# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editor ^np++++=EDITOR'S
dying ^vbg+++xvbgx+=dying,
, ^zz++++=EXTRAWORD
Roger ^np++++=Roger
promised ^vbd+vpub++xvbn+=promised
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
son ^nn++++=son
might ^md+pos+++=might
be ^vb+be+aux++=be
educated ^vpsv++agls+xvbnx+=educated
for ^in++++=for
service ^nn++++=service
in ^in++++=in
the ^ati++++=the
Vanderwater ^np+nom++??+=Vanderwater
offices ^nns++++=offices.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
intelligence ^nn+nom+++=intelligence,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Roger ^np++++=Roger
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
wasted ^vpsv++agls+xvbnx+=wasted
among ^in++++=among
labourers ^nns+nom+++=labourers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
the ^ati++++=the
poison ^nn++++=poison
in ^cs+sub+++=in
that ^cs"++++=that
praise ^nn++++=praise?
? ^zz++++=EXTRAWORD
Intelligence ^nn+nom+++=Intelligence
among ^in++++=among
slaves ^nns++++=slaves
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
waste ^nn++++=waste.
. ^zz++++=EXTRAWORD
Intelligence ^nn+nom+++=Intelligence
serving ^vwbg+++xvbg+=serving
masters ^nns+nom+++=masters
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
advancement ^nn+nom+++=advancement.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slave ^nn++++=slave
returned ^vbd+++xvbn+=returned
to ^in++++=to
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
no ^at++++=no
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
die ^vbi++++=die
beneath ^in+pl+++=beneath
the ^ati++++=the
painted ^jj+atrb++xvbn+=painted
ancestors ^nns++++=ancestors
of ^in++++=of
Bloody ^jj+atrb+++=Bloody
Vange ^np+++??+=Vange.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wounds ^nns++++=wounds
had ^vbd+hvd+aux++=had
festered ^vprf+++xvbnx+=festered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
lungs ^nns++++=lungs
were ^vbd+bed+aux++=were
failing ^nvbg+++xvbg+=failing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived
through ^in++++=through
the ^ati++++=the
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
barely ^rb+down+++=barely.
. ^zz++++=EXTRAWORD
During ^in++++=During
those ^dt+dem+++=those
months ^nns++++=months
he ^pp3a+pp3+++=he
taught ^vbd+vsua+tht0+xvbnx+=taught
his ^pp$+pp3+++=his
son ^nn++++=son.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
was ^vbd+bedz+vrb++=was
young ^jj+pred+++=young.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
after ^in++++=after
the ^ati++++=the
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
straw ^nn++++=straw
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
learned ^jj+atrb++xvbn+=learned
letters ^nns+nom+++=letters
scratched ^vwbn+++xvbn+=scratched
in ^in++++=in
soot ^nn++++=soot
upon ^in++++=upon
a ^at++++=a
board ^nn++++=board.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father
had ^vb+hv+vrb++=had
only ^rb+down+++=only
scraps ^nns++++=scraps:
: ^zz++++=EXTRAWORD
part ^nn++++=part
of ^in++++=of
a ^at++++=a
freight ^nn++++=freight
list ^nn++++=list,
, ^zz++++=EXTRAWORD
three ^cd++++=three
pages ^nns++++=pages
from ^in++++=from
a ^at++++=a
history ^nn++++=history,
, ^zz++++=EXTRAWORD
a ^at++++=a
hymn ^nn++++=hymn
book ^nn++++=book
with ^in++++=with
its ^pp$+it+++=its
cover ^vb++++=cover
torn ^vbd+++xvbn+=torn
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
punishment ^nn+nom+++=punishment
notice ^vb+vprv+++=notice
bearing ^vbg+++xvbg+=bearing
the ^ati++++=the
seal ^nn++++=seal
of ^in++++=of
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater.
. ^zz++++=EXTRAWORD
From ^in++++=From
these ^dt+dem+++=these
he ^pp3a+pp3+++=he
taught ^vbd+vsua++xvbnx+=taught
everything ^pn++++=everything
he ^pp3a+pp3+++=he
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
A ^at++++=A
for ^in++++=for
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
B ^zz++++=B
for ^in++++=for
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
C ^zz++++=C
for ^in++++=for
chain ^nn++++=chain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
taught ^vbd+vsua++xvbnx+=taught
the ^ati++++=the
boy ^nn++++=boy
to ^to++++=to
read ^vbn+vprv++xvbn+=read
the ^ati++++=the
masters ^nns+nom+++=masters'
' ^zz++++=EXTRAWORD
notices ^nns++++=notices,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
their ^pp$+pp3+++=their
account ^nn++++=account
books ^nns++++=books,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
their ^pp$+pp3+++=their
histories ^nns++++=histories.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
of ^in++++=of
Bill ^nn++++=Bill
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
Sly ^jj+atrb+++=Sly
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
Bloody ^jj+atrb+++=Bloody
Vange ^np+++??+=Vange.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
explained ^vbd+vpub++xvbnx+=explained
that ^tht+vcmp+++=that
the ^ati++++=the
past ^jjb++++=past
had ^vb+hv+vrb++=had
not ^xnot++not++=not
vanished ^jj+++xvbn+=vanished
merely ^rb+down+++=merely
because ^cs+cos+++=because
the ^ati++++=the
masters ^nns+nom+++=masters
forbade ^vbd+++xvbn+=forbade
slaves ^nns++++=slaves
to ^to++++=to
know ^vbi+vprv+++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Words
words ^nns++++=EXTRAWORD
remember ^nn+nom+++=remember,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Men
men ^nns++++=EXTRAWORD
die ^vb++++=die.
. ^zz++++=EXTRAWORD
Words ^nns++++=Words
wait ^vb++++=wait."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
spring ^nn++++=spring
he ^pp3a+pp3+++=he
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
rise ^nn++++=rise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
should ^md+nec+++=should
accept ^vb+vprv+++=accept
Roger ^np++++=Roger
Vanderwater ^np+nom+++=Vanderwater's
's ^$++++=EXTRAWORD
offer ^nn++++=offer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
might ^md+pos+++=might
enter ^vb++++=enter
the ^ati++++=the
palace ^nn++++=palace
school ^nn++++=school.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
might ^md+pos+++=might
become ^vb++++=become
a ^at++++=a
clerk ^nn++++=clerk.
. ^zz++++=EXTRAWORD
In ^in++++=In
time ^nn++++=time,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
obedient ^jj++++=obedient,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
might ^md+pos+++=might
wear ^vb++++=wear
a ^at++++=a
clean ^jj+atrb+++=clean
coat ^nn++++=coat
and ^cc++++=and
command ^nn++++=command
other ^ap++++=other
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^npt++++=father
answered ^vbd+vpub++xvbn+=answered
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
climb ^vb++++=climb
by ^in++++=by
standing ^nn++++=standing
on ^in++++=on
your ^pp$+pp2+++=your
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
not ^xnot++not++=not
escaped ^vprf+++xvbn+=escaped
the ^ati++++=the
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
only ^ap+down+++=only
become ^vprf+++xvbn+=become
its ^pp$+it+++=its
gate ^nn++++=gate."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
days ^nns++++=days
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
No ^at++++=No
monument ^nn+nom+++=monument
bears ^nns++++=bears
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
The ^ati++++=The
factory ^nn++++=factory
register ^nn+nom+++=register
says ^vbz+vpub+++=says
only ^rb+down+++=only:
: ^zz++++=EXTRAWORD
" ^zz++++="Male
male ^jj+atrb+++=EXTRAWORD
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
number ^nn++++=number
7731 ^cd++++=7731,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed
from ^in++++=from
roll ^nn++++=roll
deceased ^jj++++=deceased."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
household ^nn++++=household
chronicle ^nn++++=chronicle
calls ^nns++++=calls
him ^pp3o+pp3+++=him
" ^zz++++="the
the ^ati++++=EXTRAWORD
audacious ^jj+atrb+++=audacious
petitioner ^nn+nom+++=petitioner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
court ^nn++++=court
record ^nn++++=record
calls ^nns++++=calls
him ^pp3o+pp3+++=him
" ^zz++++="an
an ^at++++=EXTRAWORD
unlicensed ^jj+atrb++xvbn+=unlicensed
writer ^nn++++=writer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
call ^nn++++=call
him ^pp3o+pp3+++=him
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
who ^whp+rel+subj++=who
carried ^xvbn+++xvbn+=carried
Tom ^np++++=Tom
Dixon ^np++++=Dixon's
's ^$++++=EXTRAWORD
arm ^vb++++=arm
into ^in++++=into
Paradise ^nn++++=Paradise
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
the ^ati++++=the
boy ^nn++++=boy
who ^whp+rel+subj++=who
learned ^vbd+vprv++xvbn+=learned
his ^pp$+pp3+++=his
letters ^nns+nom+++=letters
in ^in++++=in
soot ^nn++++=soot.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
did ^vbd+dod+aux++=did
send ^vb++++=send
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
palace ^nn++++=palace
school ^nn++++=school
for ^in++++=for
three ^cd++++=three
months ^nns++++=months.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ate ^vbd+++xvbnx+=ate
meat ^nn++++=meat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
slept ^vbd+++xvbnx+=slept
alone ^rb++++=alone
in ^in++++=in
a ^at++++=a
room ^nn++++=room
with ^in++++=with
a ^at++++=a
window ^nn++++=window.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
taught ^vbd+vsua++xvbnx+=taught
me ^pp1o+pp1+++=me
figures ^nns++++=figures
so ^ql++++=so
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
might ^md+pos+++=might
count ^vb++++=count
the ^ati++++=the
labour ^nn++++=labour
of ^in++++=of
slaves ^nns++++=slaves
and ^cc++++=and
the ^ati++++=the
profits ^nns++++=profits
of ^in++++=of
masters ^nns+nom+++=masters.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
more ^rbr++++=more
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
intended ^vbd+vsua++xvbnx+=intended.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
old ^jj+atrb+++=old
decrees ^nns+nom+++=decrees,
, ^zz++++=EXTRAWORD
the ^ati++++=the
factory ^nn++++=factory
rolls ^nns++++=rolls,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trials ^nns++++=trials
of ^in++++=of
rebels ^nns++++=rebels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
buried ^jj+atrb++xvbn+=buried
histories ^nns++++=histories
of ^in++++=of
the ^ati++++=the
days ^nns++++=days
before ^in++++=before
hereditary ^jj+atrb+++=hereditary
bondage ^nn+nom+++=bondage.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
Bill ^nn++++=Bill
Vange ^np++++=Vange's
's ^$++++=EXTRAWORD
petition ^nn+nom+++=petition.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
the ^ati++++=the
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
he ^pp3a+pp3+++=he
betrayed ^vbd+++xvbnx+=betrayed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
proof ^nn++++=proof
of ^in++++=of
all ^abn++++=all
my ^pp$+pp1+++=my
father ^nn++++=father
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
fled ^vbd+++xvbnx+=fled.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
risen ^vprf+++xvbn+=risen,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
an ^at++++=an
office ^nn++++=office
servant ^nn+nom+++=servant,
, ^zz++++=EXTRAWORD
a ^at++++=a
district ^nn++++=district
clerk ^nn++++=clerk,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
even ^rb++++=even
an ^at++++=an
overseer ^nn+nom+++=overseer.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+aux++=Is
that ^dt+dem+++=that
rising ^vbg+++xvbg+=rising?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
slave ^nn++++=slave
is ^vbz+bez+aux++=is
lifted ^vpsv++agls+xvbnx+=lifted
high ^np++++=high
enough ^qlp++++=enough
to ^to++++=to
hold ^vbi+vprv+++=hold
the ^ati++++=the
whip ^nn++++=whip,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
he ^pp3a+pp3+++=he
cease ^vb++++=cease
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
slave ^nn++++=slave?
? ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Vange ^np+++??+=Vange
thought ^vbd+++xvbn+=thought
so ^ql++++=so.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
descendants ^nns+nom+++=descendants
still ^rb++++=still
think ^vb+vprv+++=think
so ^rb++++=so.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
chose ^vbd+++xvbnx+=chose
another ^ppls++++=another
road ^npl++++=road.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
walked ^vprf+++xvbnx+=walked
through ^in++++=through
mine ^nn++++=mine
camps ^nns++++=camps,
, ^zz++++=EXTRAWORD
furnace ^nn++++=furnace
towns ^nns++++=towns,
, ^zz++++=EXTRAWORD
grain ^nn++++=grain
districts ^nns++++=districts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
weaving ^jj+atrb++xvbg+=weaving
pens ^nns++++=pens.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
told ^vprf+++xvbnx+=told
this ^dt+dem+++=this
tale ^nn++++=tale
in ^in++++=in
cellars ^nns++++=cellars,
, ^zz++++=EXTRAWORD
drains ^nns++++=drains,
, ^zz++++=EXTRAWORD
abandoned ^jj+atrb++xvbn+=abandoned
shafts ^nns++++=shafts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beneath ^in+pl+++=beneath
the ^ati++++=the
noise ^nn++++=noise
of ^in++++=of
engines ^nns++++=engines.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
taught ^vprf+++xvbnx+=taught
letters ^nns+nom+++=letters
to ^in++++=to
children ^nns++++=children
and ^cc++++=and
old ^jj+atrb+++=old
women ^nns++++=women.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
hidden ^vprf+++xvbnx+=hidden
pages ^nns++++=pages
inside ^jjb+atrb+++=inside
flour ^nn++++=flour
barrels ^nns++++=barrels.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
copied ^vprf+++xvbnx+=copied
names ^nns++++=names
which ^whp+rel+obj++=which
the ^ati++++=the
masters ^nns+nom+++=masters
ordered ^vbd+vsua++xvbn+=ordered
forgotten ^vprf+++xvbn+=forgotten.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
that ^cs+sub+++=that
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
saved ^vwbn+++xvbn+=saved
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
that ^cs+sub+++=that
cruel ^jj+atrb+++=cruel
overseers ^nns+nom+++=overseers
are ^vb+ber+vrb++=are
the ^ati++++=the
sole ^jjb+atrb+++=sole
evil ^nn++++=evil.
. ^zz++++=EXTRAWORD
Remove ^nn++++=Remove
one ^cd1++++=one
Clancy ^np+++??+=Clancy
and ^cc++++=and
another ^dt++++=another
will ^md+prd+++=will
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Drown ^vb++++=Drown
one ^cd1++++=one
Munster ^np+nom++??+=Munster
and ^cc++++=and
another ^dt++++=another
will ^md+prd+++=will
raise ^vb++++=raise
the ^ati++++=the
punishment ^nn+nom+++=punishment
rod ^nn++++=rod.
. ^zz++++=EXTRAWORD
The ^ati++++=The
system ^nn++++=system
breeds ^nns++++=breeds
them ^pp3o+pp3+++=them
as ^in++++=as
filth ^nn++++=filth
breeds ^nns++++=breeds
flies ^nns++++=flies.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
that ^cs+sub+++=that
words ^vbz++++=words
are ^vb+ber+vrb++=are
weapons ^nns++++=weapons.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+aux++=do
the ^ati++++=the
masters ^nns+nom+++=masters
forbid ^vprf+++xvbn+=forbid
us ^pp1o+pp1+++=us
to ^to++++=to
read ^vbn+vprv++xvbn+=read?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
because ^cs+cos+++=because
letters ^nns+nom+++=letters
are ^vb+ber+vrb++=are
delicate ^jj+atrb+++=delicate
things ^nns++++=things,
, ^zz++++=EXTRAWORD
fit ^nn++++=fit
only ^rb+down+++=only
for ^in++++=for
their ^pp$+pp3+++=their
soft ^jj+atrb+++=soft
hands ^nns++++=hands?
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
fear ^vb++++=fear
what ^wdt+who+++=what
letters ^nns+nom+++=letters
contain ^vb++++=contain.
. ^zz++++=EXTRAWORD
A ^at++++=A
written ^jj+atrb++xvbn+=written
law ^nn++++=law
may ^md+pos+++=may
be ^vb+be+aux++=be
compared ^vpsv++agls+xvbnx+=compared
with ^in++++=with
a ^at++++=a
master ^nn++++=master's
's ^$++++=EXTRAWORD
action ^nn++++=action.
. ^zz++++=EXTRAWORD
An ^at++++=An
account ^nn++++=account
may ^md+pos+++=may
expose ^vb++++=expose
theft ^nn++++=theft.
. ^zz++++=EXTRAWORD
A ^at++++=A
history ^nn++++=history
may ^md+pos+++=may
prove ^vb+vprv+++=prove
that ^tht+vcmp+++=that
what ^wdt+who+++=what
exists ^vbz++++=exists
today ^nr+tm+++=today
did ^vbd+dod+aux++=did
not ^xnot++not++=not
always ^rb++++=always
exist ^vb++++=exist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
need ^vb++++=need
not ^xnot++not++=not
exist ^vb++++=exist
tomorrow ^nr+tm+++=tomorrow.
. ^zz++++=EXTRAWORD
Knowledge ^nn++++=Knowledge
gives ^vbz++++=gives
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
Memory ^nn++++=Memory
gives ^vbz++++=gives
anger ^nn++++=anger
a ^at++++=a
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
Directed ^xvbn+++xvbn+=Directed
anger ^nn++++=anger
gives ^vbz++++=gives
strength ^nn++++=strength.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
end ^vb++++=end
slavery ^nn+nom+++=slavery.
. ^zz++++=EXTRAWORD
Learn ^vb+vprv+++=Learn
one ^cd1++++=one
letter ^nn++++=letter
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
Learn ^vb+vprv+++=Learn
another ^ppls++++=another
tomorrow ^nr+tm+++=tomorrow.
. ^zz++++=EXTRAWORD
Teach ^vb+vsua+++=Teach
them ^pp3o+pp3+++=them
to ^in++++=to
your ^pp$+pp2+++=your
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Scratch ^nn++++=Scratch
them ^pp3o+pp3+++=them
on ^in++++=on
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
trace ^nn++++=trace
them ^pp3o+pp3+++=them
in ^in++++=in
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
stitch ^nn++++=stitch
them ^pp3o+pp3+++=them
beneath ^in+pl+++=beneath
clothing ^nn++++=clothing.
. ^zz++++=EXTRAWORD
Read ^j+++xvbn+=Read
their ^pp$+pp3+++=their
laws ^nns++++=laws.
. ^zz++++=EXTRAWORD
Read ^j+++xvbn+=Read
their ^pp$+pp3+++=their
ledgers ^nns+nom+++=ledgers.
. ^zz++++=EXTRAWORD
Read ^j+++xvbn+=Read
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
among ^in++++=among
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+aux++=be
caught ^vpsv++agls+xvbnx+=caught.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
will ^md+prd+++=will
be ^vb+be+aux++=be
beaten ^vpsv++agls+xvbnx+=beaten.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
lie ^vb++++=lie
about ^in++++=about
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father's
's ^$++++=EXTRAWORD
broken ^vpsv++agls+xvbnx+=broken
ribs ^nns++++=ribs
are ^vb+ber+vrb++=are
in ^in++++=in
every ^at++++=every
word ^nn++++=word
I ^pp1a+pp1+++=I
speak ^vb++++=speak.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
remember ^nn+nom+++=remember
the ^ati++++=the
tray ^nn++++=tray.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
the ^ati++++=the
red ^jj+atrb+++=red
strawberries ^nns++++=strawberries
and ^cc++++=and
the ^ati++++=the
white ^nn++++=white
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
A ^at++++=A
severed ^nn++++=severed
arm ^vb++++=arm
could ^md+pos+++=could
not ^xnot++not++=not
work ^vb++++=work
a ^at++++=a
loom ^nn++++=loom.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
not ^xnot++not++=not
lift ^vb++++=lift
a ^at++++=a
hammer ^nn++++=hammer
or ^cc++++=or
hold ^vb+vprv+++=hold
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
placed ^vwbn+++xvbn+=placed
among ^in++++=among
the ^ati++++=the
master ^nn++++=master's
's ^$++++=EXTRAWORD
luxuries ^nns++++=luxuries,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
petition ^nn+nom+++=petition
in ^in++++=in
its ^pp$+it+++=its
