Puppy ^np+++??+=PUPPY
him ^pp3o+pp3+++=him
get ^vb++++=get
even ^rb++++=even
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
Bo ^np+++??+=Bo
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
perfect ^jj++++=perfect,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
help ^vbi++++=help
him ^pp3o+pp3+++=him
get ^vb++++=get
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
could ^md+pos+++=could
keep ^vb++++=keep
him ^pp3o+pp3+++=him
safe ^jj++++=safe,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
mellow ^jj++++=mellow
out ^rp+pl+++=out
as ^ql++++=as
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
older ^jjr++++=older.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
mellowed ^jj++++=mellowed
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
he ^pp3a+pp3+++=he
could ^md+pos+++=could
someday ^rb++++=someday
have ^vb+hv+vrb++=have
a ^at++++=a
family ^nn++++=family.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
there ^ex+pex+++=there
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
Tapping ^vbg+++xvbg+=Tapping
with ^in++++=with
his ^pp$+pp3+++=his
bat ^nn++++=bat,
, ^zz++++=EXTRAWORD
happy ^jj++++=happy
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
up ^rp++++=up,
, ^zz++++=EXTRAWORD
waved ^j+++xvbn+=waved
the ^ati++++=the
bat ^nn++++=bat
at ^in++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
her ^pp$+pp3+++=her
that ^cs+sub+++=that
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
stuck ^vpsv++agls+xvbnx+=stuck
in ^in++++=in
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
all ^abn++++=all
miserable ^jj++++=miserable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^vbd+hvd+aux++=EXTRAWORD
ended ^vprf+++xvbnx+=ended
the ^ati++++=the
day ^nn++++=day
screaming ^vwbg+++xvbg+=screaming
in ^in++++=in
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
frustrated ^jj+++xvbn+=frustrated.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
was ^vbd+bedz+aux++=was
it ^pp3+it+++=it
that ^cs+sub+++=that
thought ^vprf+++xvbn+=thought
up ^rb+phrv+++=up
that ^dt+dem+++=that
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
today ^nr+tm+++=today
better ^jjr++++=better
than ^in++++=than
yesterday ^nr+tm+++=yesterday?
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
loved ^vbd+++xvbn+=loved
him ^pp3o+pp3+++=him
enough ^qlp++++=enough
to ^to++++=to
think ^vbi+vprv+tht0++=think
that ^tht+vcmp+++=that
up ^rp++++=up?
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
loved ^vbd+++xvbn+=loved
him ^pp3o+pp3+++=him
more ^ql++++=more
than ^cs+sub+++=than
anyone ^pn++++=anyone
else ^rb+cnj+++=else
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
loved ^vbd+++xvbn+=loved
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
her ^pp$+pp3+++=Her.
. ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=She
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
