Dusk ^nn++++=Dusk
thus ^rb+cnj+++=thus
brought ^vbd+++xvbn+=brought
his ^pp$+pp3+++=his
holiday ^nn++++=holiday
to ^to++++=to
so ^ql+emph+++=so
abrupt ^jj++++=abrupt
and ^cc+phrs+++=and
terrible ^jj++++=terrible
a ^at++++=a
close ^jj+atrb+++=close
need ^nn++++=need
no ^at++++=no
description ^nn+nom+++=description,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
in ^in++++=in
no ^at++++=no
way ^nn++++=way
essential ^jj++++=essential
to ^to+jcmp+++=to
this ^dt+dem+++=this
strange ^jj+atrb+++=strange
story ^nn++++=story.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
one ^cd1++++=one
or ^cc++++=or
two ^cd++++=two
curious ^jj+atrb+++=curious
details ^nns++++=details,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
came ^vbd+++xvbn+=came
to ^in++++=to
light ^nn++++=light
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
for ^in++++=for
some ^dti++++=some
weeks ^nns++++=weeks
before ^cs+sub+++=before
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
signs ^nns++++=signs
of ^in++++=of
disturbance ^nn+nom+++=disturbance
among ^in++++=among
newly ^rb++++=newly-made
- ^zz++++=EXTRAWORD
made ^xvbn+++xvbn+=EXTRAWORD
graves ^nns++++=graves
in ^in++++=in
the ^ati++++=the
cemetery ^nn+nom+++=cemetery,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
authorities ^nns+nom+++=authorities
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
trace ^vbi++++=trace
to ^in++++=to
the ^ati++++=the
nightly ^jj+atrb+++=nightly
wanderings ^nns++++=wanderings
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
madman ^nn++++=madman
- ^zz++++=-in
in ^rb++++=EXTRAWORD
vain ^rb"++++=vain;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
morning ^nn++++=morning
after ^in++++=after
the ^ati++++=the
death ^nn++++=death
a ^at++++=a
trail ^nn++++=trail
of ^in++++=of
blood ^nn++++=blood
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
across ^in+pl+++=across
the ^ati++++=the
church ^nn++++=church
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
someone ^pn++++=someone
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
through ^in++++=through
from ^in++++=from
the ^ati++++=the
back ^jjb+atrb+++=back
entrance ^nn+nom+++=entrance
to ^in++++=to
the ^ati++++=the
front ^nn++++=front.
. ^zz++++=EXTRAWORD
A ^at++++=A
special ^jj+atrb+++=special
service ^nn++++=service
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held
that ^tht+vcmp+++=that
very ^ql+amp+++=very
week ^nn++++=week
to ^in++++=to
cleanse ^nn+++??+=cleanse
the ^ati++++=the
holy ^jj++++=holy
building ^jj+++xvbg+=building
from ^in++++=from
the ^ati++++=the
evil ^nn++++=evil
of ^in++++=of
that ^dt+dem+++=that
stain ^nn++++=stain;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
villagers ^nns+nom+++=villagers,
, ^zz++++=EXTRAWORD
deep ^jj++++=deep
in ^in++++=in
their ^pp$+pp3+++=their
superstitions ^nns+nom+++=superstitions,
, ^zz++++=EXTRAWORD
declared ^nn+++xvbn+=declared
that ^tht+ncmp+++=that
nothing ^pn++++=nothing
human ^jj++++=human
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
that ^dt+dem+++=that
trail ^nn++++=trail;
; ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
could ^md+pos+++=could
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
those ^dt+dem+++=those
marks ^nns++++=marks
but ^cc++++=but
a ^at++++=a
vampire ^nn++++=vampire
disturbed ^vbd+++xvbn+=disturbed
at ^rb++++=at
midnight ^nn++++=midnight
in ^in++++=in
its ^pp$+it+++=its
awful ^jj+atrb+++=awful
occupation ^nn+nom+++=occupation
among ^in++++=among
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
Apart ^in++++=Apart
from ^in"++++=from
such ^abl++++=such
idle ^jj+atrb+++=idle
rumours ^nns++++=rumours,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bereaved ^nn++++=bereaved
carried ^vbd+++xvbn+=carried
with ^in++++=with
him ^pp3o+pp3+++=him
to ^in++++=to
this ^dt+dem+++=this
day ^nn++++=day
certain ^jj++++=certain
other ^ap++++=other
remarkable ^jj+atrb+++=remarkable
details ^nns++++=details
which ^whp+rel+subj++=which
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
so ^ql++++=so
easily ^rb++++=easily
dismissed ^vbd+++xvbn+=dismissed.
. ^zz++++=EXTRAWORD
For ^in++++=For
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
brief ^jj+atrb+++=brief
conversation ^nn+nom+++=conversation
with ^in++++=with
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+++=appears,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
impressed ^vprf+++xvbn+=impressed
him ^pp3o+pp3+++=him
profoundly ^rb++++=profoundly.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
an ^at++++=an
intelligent ^jj+atrb+++=intelligent
man ^nn++++=man,
, ^zz++++=EXTRAWORD
prosaic ^jj++++=prosaic
as ^in++++=as
granite ^nn++++=granite
into ^in++++=into
the ^ati++++=the
bargain ^nn++++=bargain,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
questioned ^vprf+++xvbnx+=questioned
him ^pp3o+pp3+++=him
rather ^rb++++=rather
closely ^rb++++=closely
as ^in++++=as
to ^in++++=to
the ^ati++++=the
recent ^jj+atrb+++=recent
life ^nn++++=life
and ^cc++++=and
habits ^nns++++=habits
of ^in++++=of
his ^pp$+pp3+++=his
dead ^jj+atrb+++=dead
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
The ^ati++++=The
account ^nn++++=account
of ^in++++=of
their ^pp$+pp3+++=their
climb ^nn++++=climb
to ^in++++=to
the ^ati++++=the
' ^zz++++='Chenille'
chenille ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
with ^in++++=with
an ^at++++=an
amazement ^nn+nom+++=amazement
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
conceal ^vb++++=conceal.
. ^zz++++=EXTRAWORD
' ^zz++++='But
but ^cc++++=EXTRAWORD
no ^at++++=no
such ^abl++++=such
chalet ^nn++++=chalet
exists ^vbz++++=exists,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
' ^zz++++='Chenille".
chenille ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
long ^jj+atrb+++=long
time ^nn++++=time
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty
years ^nns++++=years
or ^cc++++=or
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
such ^abl++++=such
a ^at++++=a
place ^nn++++=place,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
destroyed ^vpsv++by+xvbnx+=destroyed
by ^in++++=by
the ^ati++++=the
authorities ^nns+nom+++=authorities
on ^in++++=on
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
evil ^jj+atrb+++=evil
reputation ^nn+nom+++=reputation
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
burnt ^vbd+++xvbnx+=burnt
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
remains ^vbz++++=remains
today ^nr+tm+++=today
but ^cc++++=but
a ^ap++++=a
few ^ap"++++=few
bits ^nns++++=bits
of ^in++++=of
broken ^xvbn+++xvbn+=broken
wall ^np++++=wall
and ^cc++++=and
foundation ^nn+nom+++=foundation.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Evil
evil ^nn++++=EXTRAWORD
reputation ^nn+nom+++=reputation
- ^zz++++=-?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
shrugged ^vbd+++xvbn+=shrugged
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
' ^zz++++='Travellers,
travellers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
even ^rb++++=even
peasants ^nns+nom+++=peasants,
, ^zz++++=EXTRAWORD
disappeared ^j+++xvbn+=disappeared,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
' ^zz++++='An
an ^at++++=EXTRAWORD
old ^jj+atrb+++=old
woman ^nn++++=woman
lived ^vbd+++xvbn+=lived
there ^rn+pl+++=there
with ^in++++=with
her ^pp$+pp3+++=her
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poisoned ^jj+atrb+++=poisoned
milk ^nn++++=milk
was ^vbd+bedz+aux++=was
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
used ^vbd+++xvbn+=used.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
neighbourhood ^nn+nom+++=neighbourhood
accused ^vbd+++xvbn+=accused
them ^pp3o+pp3+++=them
of ^in++++=of
worse ^nn++++=worse
than ^in++++=than
ordinary ^jj+atrb+++=ordinary
murder ^nn++++=murder
- ^zz++++=-'
' ^zz++++=EXTRAWORD
' ^zz++++='In
in ^in++++=EXTRAWORD
what ^wdt+who+++=what
way ^nn++++=way?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Said
said ^vbd+vpub+tht0+xvbn+=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl
was ^vbd+bedz+vrb++=was
a ^at++++=a
vampire ^nn+++??+=vampire,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
doctor ^nn++++=doctor
shortly ^rb+tm+++=shortly.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
hesitation ^nn+nom+++=hesitation,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
his ^pp$+pp3+++=his
face ^nn++++=face
away ^rp+pl+++=away
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke:
: ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
curious ^jj+atrb+++=curious
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
tiny ^jj+atrb+++=tiny
hole ^nn++++=hole
in ^in++++=in
your ^pp$+pp2+++=your
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
small ^jj++++=small
as ^in++++=as
a ^at++++=a
pin ^nn++++=pin-prick,
- ^zz++++=EXTRAWORD
prick ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
so ^ql+emph+++=so
deep ^jj++++=deep.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
heart ^nn++++=heart
- ^zz++++=-did
did ^vbd+dod+aux++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
- ^zz++++=-was
was ^vbd+bedz+aux++=EXTRAWORD
almost ^rb+hdg+splt++=almost
completely ^rb+amp+++=completely
drained ^vpsv++agls+xvbn+=drained
of ^in++++=of
blood ^nn++++=blood.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
