[ ^zz++++=[1]
Being ^vbg+beg++xvbg+=Being
a ^at++++=a
fool ^nn++++=fool,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
neglected ^vbd+++xvbnx+=neglected
to ^to++++=to
take ^vbi++++=take
him ^pp3o+pp3+++=him
by ^in++++=by
the ^ati++++=the
throat ^nn++++=throat
and ^cc++++=and
pitch ^nn++++=pitch
him ^pp3o+pp3+++=him
into ^in++++=into
the ^ati++++=the
treetops ^nns+++??+=treetops
below ^rb++++=below,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
muttered ^vbd+++xvbn+=muttered
some ^dti++++=some
polite ^jj+atrb+++=polite
lie ^nn++++=lie
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
girl ^nn++++=girl
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
his ^pp$+pp3+++=his
coming ^nvbg+++xvbg+=coming
was ^vbd+bedz+vrb++=was
immediate ^jj+pred+++=immediate
and ^cc+phrs+++=and
unmistakable ^jj++++=unmistakable.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+aux++=was
suffused ^vpsv++agls+xvbnx+=suffused
with ^in++++=with
the ^ati++++=the
glory ^nn++++=glory
of ^in++++=of
love ^nn++++=love's
's ^$++++=EXTRAWORD
transfiguration ^nn+nom+++=transfiguration:
: ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj++++=red
light ^jj++++=light
of ^in++++=of
the ^ati++++=the
sunset ^nn++++=sunset
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
more ^rbr++++=more
obvious ^jj++++=obvious
in ^in++++=in
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
than ^in++++=than
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
the ^ati++++=the
lovelight ^nn+++??+=lovelight
that ^tht+rel+++=that
replaced ^jj+++xvbn+=replaced
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
so ^ql+emph+++=so
glad ^jj++++=glad
you ^pp2+pp2+++=you
came ^vbd+++xvbn+=came!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
giving ^jj+++xvbg+=giving
him ^pp3o+pp3+++=him
both ^abx++++=both
her ^pp$+pp3+++=her
hands ^nns++++=hands;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
God ^np++++=God
help ^nn++++=help
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
manifestly ^rb++++=manifestly
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
Seating ^nvbg+++xvbg+=Seating
himself ^ppl+pp3+++=himself
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
a ^at++++=a
lively ^jj+atrb+++=lively
dissertation ^nn+nom+++=dissertation
upon ^in++++=upon
the ^ati++++=the
wild ^jj+atrb+++=wild
flowers ^nns+nom+++=flowers
of ^in++++=of
the ^ati++++=the
region ^nn++++=region,
, ^zz++++=EXTRAWORD
a ^at++++=a
number ^nn++++=number
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
a ^at++++=a
facetious ^jj+atrb+++=facetious
sentence ^nn+nom+++=sentence
he ^pp3a+pp3+++=he
suddenly ^rb++++=suddenly
ceased ^vprf+++xvbn+=ceased
speaking ^vbg+++xvbg+=speaking
and ^cc++++=and
fixed ^jj+++xvbn+=fixed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
upon ^in++++=upon
Eva ^np+++??+=Eva,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
leaned ^vbd+++xvbn+=leaned
against ^in++++=against
the ^ati++++=the
stump ^nn++++=stump
of ^in++++=of
a ^at++++=a
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
absently ^rb++++=absently
plaiting ^vbg+++xvbg+=plaiting
grasses ^nns++++=grasses.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lifted ^vbd+++xvbnx+=lifted
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
in ^in++++=in
a ^at++++=a
startled ^jj+atrb++xvbn+=startled
way ^nn++++=way
to ^in++++=to
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
_felt_ ^nn+++??+=_felt_
his ^pp$+pp3+++=his
look ^nn++++=look.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
then ^rn+tm+++=then
rose ^nn+++xvbn+=rose,
, ^zz++++=EXTRAWORD
cast ^j+++xvbn+=cast
away ^rp+pl+++=away
her ^pp$+pp3+++=her
grasses ^nns++++=grasses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moved ^vbd+++xvbn+=moved
slowly ^rb++++=slowly
away ^in+pl+++=away
from ^in"++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
also ^rb++++=also
rose ^nn+++xvbn+=rose,
, ^zz++++=EXTRAWORD
continuing ^vbg+++xvbg+=continuing
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
still ^rb++++=still
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand
the ^ati++++=the
bunch ^nn++++=bunch
of ^in++++=of
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
speak ^vbi++++=speak,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
recall ^vb+vprv+++=recall
clearly ^rb++++=clearly
now ^rn+tm+++=now
something ^pn++++=something
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
but ^cc++++=but
half ^abn++++=half-conscious
- ^zz++++=EXTRAWORD
conscious ^jj++++=EXTRAWORD
then ^rn+tm+++=then--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
dreadful ^jj+atrb+++=dreadful
contrast ^nn++++=contrast
between ^in++++=between
the ^ati++++=the
smile ^nn++++=smile
upon ^in++++=upon
her ^pp$+pp3+++=her
lips ^nns++++=lips
and ^cc++++=and
the ^ati++++=the
terrified ^jj+atrb+++=terrified
expression ^nn++++=expression
in ^in++++=in
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
as ^ql++++=as
she ^pp3a+pp3+++=she
met ^vbd+++xvbnx+=met
his ^pp$+pp3+++=his
steady ^jj+atrb+++=steady
and ^cc+phrs+++=and
imperative ^jj+atrb+++=imperative
gaze ^nn++++=gaze.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing
of ^in++++=of
how ^wrb+who+++=how
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
how ^wrb+who+++=how
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
sooner ^rbr++++=sooner
understand ^vb+vprv+++=understand;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
only ^rb+down+++=only
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
with ^in++++=with
the ^ati++++=the
smile ^nn++++=smile
of ^in++++=of
an ^at++++=an
angel ^nn++++=angel
upon ^in++++=upon
her ^pp$+pp3+++=her
lips ^nns++++=lips
and ^cc++++=and
that ^dt+dem+++=that
look ^nn++++=look
of ^in++++=of
terror ^nn++++=terror
in ^in++++=in
her ^pp$+pp3+++=her
beautiful ^jj+atrb+++=beautiful
eyes ^nns++++=eyes
Eva ^np+++??+=Eva
Maynard ^np+++??+=Maynard
sprang ^vbd+++xvbn+=sprang
from ^in++++=from
the ^ati++++=the
cliff ^nn++++=cliff
and ^cc++++=and
shot ^nn+++xvbn+=shot
crashing ^vwbg+++xvbg+=crashing
into ^in++++=into
the ^ati++++=the
tops ^nns++++=tops
of ^in++++=of
the ^ati++++=the
pines ^nns++++=pines
below ^in+strn+++=below!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
and ^cc+cls+++=and
how ^wrb+who+++=how
long ^rb++++=long
afterward ^rb++++=afterward
I ^pp1a+pp1+++=I
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
place ^nn++++=place
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Richard ^np++++=Richard
Benning ^np+++??+=Benning
was ^vbd+bedz+vrb++=was
already ^rb++++=already
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
kneeling ^vbg+nom++xvbg+=kneeling
beside ^in+pl+++=beside
the ^ati++++=the
dreadful ^jj+atrb+++=dreadful
thing ^nn++++=thing
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead--quite
-- ^--+clp+++=EXTRAWORD
quite ^rb++++=EXTRAWORD
dead ^jj++++=dead,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
coldly ^rb++++=coldly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
go ^vb++++=go
to ^in++++=to
town ^nn++++=town
for ^in++++=for
assistance ^nn+nom+++=assistance.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
do ^vb+do+vrb++=do
me ^pp1o+pp1+++=me
the ^ati++++=the
favor ^nn++++=favor
to ^to++++=to
remain ^vbi++++=remain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet
and ^cc++++=and
moved ^vbd+++xvbn+=moved
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
and ^cc+phrs+++=and
turned ^vpsv++agls+xvbn+=turned
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
doubtless ^rb++splt++=doubtless
observed ^vprf+++xvbnx+=observed,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^cs+sub+++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
entirely ^rb+amp+++=entirely
her ^pp$+pp3+++=her
own ^ap++++=own
act ^nn++++=act.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
rise ^vb++++=rise
in ^in++++=in
time ^nn++++=time
to ^to++++=to
prevent ^vbi++++=prevent
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
knowing ^vbg+vprv++xvbg+=knowing
her ^pp$+pp3+++=her
mental ^jj+atrb+++=mental
condition ^nn+nom+++=condition--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
suspected ^vprf+++xvbnx+=suspected."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
manner ^nn++++=manner
maddened ^vbd+++xvbn+=maddened
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
as ^ql++++=as
much ^ap++++=much
her ^pp3o+pp3+++=her
assassin ^nn++++=assassin,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="as
as ^cs+sub+++=EXTRAWORD
if ^cs+cnd+++=if
your ^pp$+pp2+++=your
damnable ^jj+atrb+++=damnable
hands ^nns++++=hands
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
her ^pp$+pp3+++=her
throat ^nn++++=throat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shrugged ^vbd+++xvbnx+=shrugged
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
without ^in++++=without
reply ^nn++++=reply
and ^cc++++=and,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning,
, ^zz++++=EXTRAWORD
walked ^j+++xvbn+=walked
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
deepening ^nn++++=deepening
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
wood ^nn++++=wood
into ^in++++=into
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared,
, ^zz++++=EXTRAWORD
a ^at++++=a
rich ^jj++++=rich,
, ^zz++++=EXTRAWORD
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
baritone ^nn++++=baritone
voice ^nn++++=voice
singing ^vwbg+++xvbg+=singing
" ^zz++++="La
la ^&fw++++=EXTRAWORD
donna ^nn++++=donna
e ^zz++++=e
mobile ^jj++++=mobile,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
from ^in++++=from
" ^zz++++="Rigoletto."
rigoletto ^np++++=EXTRAWORD
." ^nn++++=EXTRAWORD
