Sailormen ^np+++??+=Sailormen
ave ^nn+++??+=EXTRAWORD
something ^pn++++=something
of ^in++++0=o'
yours ^pp$$++++=yours
to ^to++++=to
remember ^nn+nom+++=remember
you ^pp2+pp2+++=you
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
that ^dt+dem+++=that
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
your ^pp$+pp2+++=your--mattress
-- ^--+clp+++=EXTRAWORD
mattress ^nns+nom+++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
think ^vb+vprv+++=think
of ^in++++=of
you ^pp2+pp2+++=you
every ^at++++0=ev'ry
night ^nn++++=night
of ^in++++0=o'
my ^pp$+pp1+++=my
life ^nn++++=life."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
wot ^wpr++++=wot?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
second ^od++++=second
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
at ^in++++=at
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
mattress ^nns+nom+++=mattress,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
might ^md+pos+++=might
make ^vb++++=make
so ^ql++++=so
bold ^np++++=bold
as ^in++++=as
to ^in++++=to
offer ^nn++++=offer
a ^at++++=a
pound ^nn++++=pound
for ^in++++=for
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
something ^pn++++=something
wot ^wpr++++=wot's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++by+xvbnx+=used
by ^in++++=by
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^at++++=a
fancy ^nn++++=fancy
for ^in++++=for
that ^dt+dem+++=that
as ^ql++++=as
a ^at++++=a
keepsake ^nn+++??+=keepsake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
mate ^nn++++=mate
shook ^vbd+++xvbn+=shook
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
' ^zz++++='ead.
ead ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
gently ^rb+cnj+++=gently,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
it ^pp3+it+++=it
go ^vb++++=go
at ^in++++=at
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+vrb++=EXTRAWORD
sooner ^rbr++++=sooner
pay ^nn++++=pay
thirty ^cd++++=thirty
shillin ^nn+++??+=shillin's
's ^$++++=EXTRAWORD
than ^cs+sub+++=than
not ^xnot++not++=not
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
' ^zz++++='umbly.
umbly ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
gave ^vbd+++xvbnx+=gave
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
money ^nn++++=money
for ^in++++=for
that ^dt+dem+++=that
mattress ^nns+nom+++=mattress,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
forgit ^nn+++??+=forgit
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
much ^ap++++=much,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
valuable ^jj++++=valuable
that ^cs+sub+++=that
mattress ^nns+nom+++=mattress
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
one ^pn++++=one,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
else ^rb+cnj+++=else
you ^pp2+pp2+++=you
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
a ^at++++=a
couple ^nn++++=couple
of ^in++++0=o'
pounds ^nns++++=pounds
buy ^vb++++=buy
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
mate ^nn++++=mate
hum ^nn+++??+=hum'd
'd ^md+prd+vrb++0=EXTRAWORD
and ^cc++++=and
ha ^uh++++=ha'd,
'd, ^nn+++??+=EXTRAWORD
but ^cc++++=but
Bill ^nn++++=Bill
was ^vbd+bedz+vrb++=was
afeard ^nn+++??+=afeard
to ^to++++=to
go ^vbi++++=go
any ^dti++++=any
' ^zz++++='igher.
igher ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
So ^ql++++=So
far ^rb+pl+++=far
as ^in++++=as
' ^zz++++='e
e ^zz++++=EXTRAWORD
could ^md+pos+++=could
make ^vb++++=make
out ^rp+pl+++=out
from ^in++++=from
Jimmy ^np++++=Jimmy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mattress ^nns+nom+++=mattress
was ^vbd+bedz+vrb++=was
worth ^in++++=worth
about ^in++++=about
eighteen ^cd++++=eighteen
pence ^nns++++=pence--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
anybody ^pn++++=anybody
who ^whp+who+++=who
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
pertiklar ^nn+++??+=pertiklar.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
slept ^vprf+++xvbnx+=slept
on ^in++++=on
that ^dt+dem+++=that
mattress ^nns+nom+++=mattress
for ^in++++=for
years ^nns++++=years,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
second ^od++++=second
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^in++++=at
' ^zz++++='im
im ^&fw++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I
could ^md+pos+++=could
sleep ^vb++++=sleep
on ^in++++=on
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
to ^to++++=to
oblige ^vbi++++=oblige
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it
at ^rb++++=at
that ^dt+dem+++=that
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
it ^pp3+it+++=it
till ^cs+sub+++=till
we ^pp1a+pp1+++=we
go ^vb++++=go
ashore ^rb+pl+++=ashore?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thankee,
thankee ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
' ^zz++++='ardly
ardly ^jj++++=EXTRAWORD
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
keep ^vb++++=keep
from ^in++++=from
dancing ^xvbg+++xvbg+=dancing,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
' ^zz++++='and
and ^cc++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
two ^cd++++=two
pounds ^nns++++=pounds
when ^wrb+who+++=when
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
paid ^vpsv++agls+xvbnx+=paid
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
keep ^vb++++=keep
it ^pp3+it+++=it
all ^abn++++=all
my ^pp$+pp1+++=my
life ^nn++++=life,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
in ^in++++=in
memory ^nn++++=memory
of ^in++++=of
you ^pp2+pp2+++=you
and ^cc++++=and
your ^pp$+pp2+++=your
kindness ^nns+nom+++=kindness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
mind ^nn++++=mind
you ^pp2+pp2+++=you
keep ^vb++++=keep
quiet ^nn++++=quiet
about ^in++++=about
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
second ^od++++=second
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
the ^ati++++=the
skipper ^nn++++=skipper
to ^to++++=to
know ^vbi+vprv+++=know
wot ^wpr++++=wot
' ^zz++++='e'd
e ^zz++++=EXTRAWORD
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
doing ^vbg+++xvbgx+=doing,
, ^zz++++=EXTRAWORD
" ^zz++++="because
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
bothered ^vpsv++by+xvbnx+=bothered
by ^in++++=by
other ^ap++++=other
men ^nns++++=men
wanting ^vb+++xvbg+=wanting
to ^to+vcmp+++=to
buy ^vbi++++=buy
things ^nns++++=things
as ^ql++++=as
keepsakes ^nns+++??+=keepsakes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
promised ^vbd+vpub++xvbn+=promised
' ^zz++++='im
im ^&fw++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
shot ^nn+++xvbn+=shot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
' ^zz++++='e
e ^zz++++=EXTRAWORD
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
about ^in++++=about
it ^pp3+it+++=it
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
nearly ^rb+down+splt++=nearly
crying ^vbg+++xvbgx+=crying
with ^in++++=with
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
mind ^nn++++=mind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
bought ^vprf+++xvbnx+=bought
that ^dt+dem+++=that
mattress ^nns+nom+++=mattress,
, ^zz++++=EXTRAWORD
bought ^j+++xvbn+=bought
it ^pp3+it+++=it
as ^ql++++=as
it ^pp3+it+++=it
stands ^vbz++++=stands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
each ^dt++++=each
pay ^nn++++=pay
a ^at++++=a
pound ^nn++++=pound
and ^cc++++=and
halve ^vb++++=halve
wot ^wpr++++=wot's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
persuaded ^vbd+vsua++xvbnx+=persuaded
me ^pp1o+pp1+++=me
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
boy ^nn++++=boy
watched ^vbd+++xvbn+=watched
us ^pp1o+pp1+++=us
like ^in++++=like
a ^at++++=a
cat ^nn++++=cat
watching ^vwbg+++xvbg+=watching
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
canaries ^nns++++=canaries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
we ^pp1a+pp1+++=we
should ^md+nec+++=should
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
all ^abn++++=all
we ^pp1a+pp1+++=we
could ^md+pos+++=could
do ^vb+do+aux++=do
to ^to++++=to
deceive ^vbi++++=deceive
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
more ^rbr++++=more
suspicious ^jj++++=suspicious
of ^in++++0=o'
Bill ^nn++++=Bill
than ^cs+sub+++=than
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
worrying ^nvbg+++xvbg+=worrying
us ^pp1o+pp1+++=us
nearly ^rb+down+++=nearly
every ^at++++=every
day ^nn++++=day
to ^to++++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
beat ^vbd+++xvbn+=beat
about ^in++++=about
in ^in++++=in
the ^ati++++=the
channel ^nn++++=channel
with ^in++++=with
a ^at++++=a
strong ^jj++++=strong
' ^zz++++='ead-wind
ead ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
wind ^nn++++=EXTRAWORD
for ^in++++=for
four ^cd++++=four
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
a ^at++++=a
tug ^nn++++=tug
picked ^vbd+++xvbn+=picked
us ^pp1o+pp1+++=us
up ^rp++++=up
and ^cc++++=and
towed ^vbd+++xvbn+=towed
us ^pp1o+pp1+++=us
to ^in++++=to
London ^np++++=London.
. ^zz++++=EXTRAWORD
The ^ati++++=The
excitement ^nn+nom+++=excitement
of ^in++++=of
that ^dt+dem+++=that
last ^rb++++=last
little ^ap++++=little
bit ^nn++++=bit
was ^vbd+bedz+vrb++=was
' ^zz++++='orrible.
orrible ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Fust ^np+++??+=Fust
of ^in++++=of
all ^abn++++=all
we ^pp1a+pp1+++=we
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
get ^vbi++++=get
the ^ati++++=the
mattress ^nns+nom+++=mattress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
in ^in++++=in
some ^dti++++=some
way ^nn++++=way
we ^pp1a+pp1+++=we
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
get ^vbi++++=get
rid ^xvbn+++xvbn+=rid
of ^in++++0=o'
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
idea ^nn++++=idea
was ^vbd+bedz+vrb++=was
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
take ^vbi++++=take
' ^zz++++='im
im ^&fw++++=EXTRAWORD
ashore ^rb+pl+++=ashore
with ^in++++=with
me ^pp1o+pp1+++=me
and ^cc++++=and
tell ^vb++++=tell
' ^zz++++='im
im ^&fw++++=EXTRAWORD
that ^dt+dem+++=that
Bill ^nn++++=Bill
would ^md+prd+++=would
join ^vb++++=join
us ^pp1o+pp1+++=us
arterwards ^rb+cnj+++=arterwards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
lose ^vb++++=lose
' ^zz++++='im;
im ^&fw++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
till ^cs+sub+++=till
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
got ^vprf+++xvbnx+=got
my ^pp$+pp1+++=my
share ^nn++++=share
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
bear ^vb+vprv+++=bear
to ^to+vcmp+++=to
lose ^vbi++++=lose
sight ^nn++++=sight
of ^in++++0=o'
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
honest ^jj+atrb+++=honest
face ^nn++++=face
for ^in++++=for
' ^zz++++='alf
alf ^np++++=EXTRAWORD
a ^at++++=a
second ^od++++=second.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
besides ^rb++++=besides,
, ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='ave
ave ^jj+++??+=EXTRAWORD
gone ^xvbn+++xvbn+=gone.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
way ^nn++++=way
up ^rp++++=up
the ^ati++++=the
river ^nn++++=river
' ^zz++++='e
e ^zz++++=EXTRAWORD
stuck ^vbd+++xvbn+=stuck
to ^in++++=to
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kept ^vbd+++xvbn+=kept
asking ^vbg+vsua++xvbg+=asking
' ^zz++++='im
im ^&fw++++=EXTRAWORD
wot ^wpr++++=wot
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
' ^zz++++='E
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
' ^zz++++='alf
alf ^np++++=EXTRAWORD
crying ^vwbg+++xvbg+=crying,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
excited ^jj+++xvbn+=excited
that ^dt+dem+++=that
Bill ^nn++++=Bill
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
the ^ati++++=the
other ^ap++++=other
chaps ^nns++++=chaps
would ^md+prd+++=would
notice ^vb+vprv+++=notice
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
our ^pp$+pp1+++=our
berth ^nn+++??+=berth
in ^in++++=in
the ^ati++++=the
East ^np+pl+++=East
India ^np++++=India
Docks ^nns++++=Docks
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
fast ^rb++++=fast
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
below ^in+pl+++=below
to ^to++++=to
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
a ^at++++=a
wash ^nn++++=wash
and ^cc++++=and
change ^nn++++=change
into ^in++++=into
our ^pp$+pp1+++=our
shoregoing ^jj+atrb++xvbg+=shoregoing
togs ^nns+++??+=togs.
. ^zz++++=EXTRAWORD
Jimmy ^nn++++=Jimmy
watched ^vbd+++xvbn+=watched
us ^pp1o+pp1+++=us
all ^rb++++=all
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
' ^zz++++='e
e ^zz++++=EXTRAWORD
comes ^vbz++++=comes
up ^in+cmpx+++=up
to ^in++++=to
Bill ^nn++++=Bill
biting ^vwbg+++xvbg+=biting
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
nails ^nns++++=nails,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="How's
how ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
it ^pp3+it+++=it
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hang
hang ^nn++++=EXTRAWORD
about ^in++++=about
arter ^jjr++++=arter
the ^ati++++=the
rest ^nn++++=rest
' ^zz++++='ave
ave ^jj+++??+=EXTRAWORD
gone ^xvbn+++xvbn+=gone
ashore ^rb+cnj+++=ashore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trust ^vb++++=trust
to ^to+vcmp+++=to
luck ^vb++++=luck,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="We'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
the ^ati++++=the
land ^nn++++=land
lays ^vbz++++=lays
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
draw ^vb++++=draw
our ^pp$+pp1+++=our
advance ^nn+nom+++=advance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
down ^rp++++=down
aft ^jjb++++=aft
to ^to++++=to
draw ^vbi++++=draw
ten ^cd++++=ten
shillings ^nns+nom+++=shillings
each ^dt++++=each
to ^to++++=to
go ^vbi++++=go
ashore ^rb+pl+++=ashore
with ^in+strn+++=with.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
and ^cc++++=and
me ^pp1o+pp1+++=me
got ^vbd+++xvbn+=got
ours ^pp$$++++=ours
fust ^nn+++??+=fust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
second ^od++++=second
mate ^nn++++=mate
who ^whp+rel+obj++=who
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
tipped ^vbd+++xvbn+=tipped
' ^zz++++='im
im ^&fw++++=EXTRAWORD
the ^ati++++=the
wink ^nn++++=wink
followed ^vbd+vprv++xvbn+=followed
us ^pp1o+pp1+++=us
out ^rp+pl+++=out
unconcerned ^jj++++=unconcerned-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
and ^cc++++=and
' ^zz++++='anded
anded ^jj+atrb++xvbn+=EXTRAWORD
Bill ^nn++++=Bill
the ^ati++++=the
mattress ^nns+nom+++=mattress
rolled ^vbd+++xvbn+=rolled
up ^rp++++=up
in ^in++++=in
a ^at++++=a
sack ^nn++++=sack.
. ^zz++++=EXTRAWORD
" ^zz++++="'Ere
' ^zz++++=EXTRAWORD
ere ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="Much
much ^ap++++=EXTRAWORD
obliged ^jj+++xvbn+=obliged,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
' ^zz++++='ands
ands ^vbz+++??+=EXTRAWORD
trembled ^vprf+++xvbn+=trembled
so ^ql++++=so
as ^in++++=as
' ^zz++++='e
e ^zz++++=EXTRAWORD
could ^md+pos+++=could
' ^zz++++='ardly
ardly ^jj++++=EXTRAWORD
' ^zz++++='old
old ^jj++++=EXTRAWORD
