High ^jj++++=High
the ^ati++++=the
column ^nn++++=column
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
statue ^nn++++=statue:
: ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^jj++++=EXTRAWORD
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
how ^wrb+who+++=how
shabby ^jj++++=shabby
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^npt++++=Prince
looks ^nns++++=looks!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
shabby ^jj++++=shabby
indeed ^rb++++=indeed!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
Town ^nn++++=Town
Councillors ^nns++++=Councillors,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
always ^rb++++=always
agreed ^vbd+vpub++xvbn+=agreed
with ^in++++=with
the ^ati++++=the
Mayor ^nn++++=Mayor;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
up ^rp++++=up
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
ruby ^np++++=ruby
has ^vbz+hvz+aux++=has
fallen ^vprf+++xvbn+=fallen
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
are ^vb+ber+aux++=are
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
golden ^jj+pred+++=golden
no ^at++++=no
longer ^rbr++++=longer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Mayor ^nn++++=Mayor
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
" ^zz++++="he
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
litttle ^nn+++??+=litttle
beter ^jjr++++=beter
than ^in++++=than
a ^at++++=a
beggar ^nn++++=beggar!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Little
little ^ap++++=EXTRAWORD
better ^jjr++++=better
than ^in++++=than
a ^at++++=a
beggar ^nn++++=beggar,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Town ^nn++++=Town
Councillors ^nns++++=Councillors.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
actually ^rb+amp+++=actually
a ^at++++=a
dead ^jj+atrb+++=dead
bird ^nn++++=bird
at ^in++++=at
his ^pp$+pp3+++=his
feet ^nns++++=feet!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
the ^ati++++=the
Mayor ^nn++++=Mayor.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
really ^rb+emph+splt++=really
issue ^vb++++=issue
a ^at++++=a
proclamation ^nn+nom+++=proclamation
that ^tht+rel+obj++=that
birds ^nns++++=birds
are ^vb+ber+vrb++=are
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
die ^vb++++=die
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
Town ^nn++++=Town
Clerk ^nn++++=Clerk
made ^vbd+++xvbn+=made
a ^at++++=a
note ^nn++++=note
of ^in++++=of
the ^ati++++=the
suggestion ^nn+nom+++=suggestion.
. ^zz++++=EXTRAWORD
So ^ql++++=So
they ^pp3a+pp3+++=they
pulled ^vbd+++xvbnx+=pulled
down ^rb+phrv+++=down
the ^ati++++=the
statue ^nn++++=statue
of ^in++++=of
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince.
. ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
beautiful ^jj++++=beautiful
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
useful ^jj++++=useful,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Art ^nn++++=Art
Professor ^npt++++=Professor
at ^rb++++=at
the ^ati++++=the
University ^nn+nom+++=University.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
melted ^vbd+++xvbnx+=melted
the ^ati++++=the
statue ^nn++++=statue
in ^in++++=in
a ^at++++=a
furnace ^nn++++=furnace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Mayor ^npt++++=Mayor
held ^vbd+vprv++xvbn+=held
a ^at++++=a
meeting ^jj+++xvbg+=meeting
of ^in++++=of
the ^ati++++=the
Corporation ^nn+nom+++=Corporation
to ^to++++=to
decide ^vbi+vprv+++=decide
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done
with ^in++++=with
the ^ati++++=the
metal ^nn++++=metal.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+vrb++=have
another ^dt++++=another
statue ^nn++++=statue,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
it ^pp3+it+++=it
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
a ^at++++=a
statue ^nn++++=statue
of ^in++++=of
myself ^ppl+pp1+++=myself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in++++=EXTRAWORD
myself ^ppl+pp1+++=myself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
each ^ppls++++=each
of ^in++++=of
the ^ati++++=the
Town ^nn++++=Town
Councillors ^nns++++=Councillors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
quarrelled ^vbd+++xvbnx+=quarrelled.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
last ^ap++++=last
heard ^vprf+++xvbn+=heard
of ^in++++=of
them ^pp3o+pp3+++=them
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
quarrelling ^nvbg+++xvbg+=quarrelling
still ^jj+pred+++=still.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
strange ^jj+atrb+++=strange
thing ^nn++++=thing!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
overseer ^nn+nom+++=overseer
of ^in++++=of
the ^ati++++=the
workmen ^nns++++=workmen
at ^in++++=at
the ^ati++++=the
foundry ^nn++++=foundry.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
broken ^jj+atrb++xvbn+=broken
lead ^nn++++=lead
heart ^nn++++=heart
will ^md+prd+++=will
not ^xnot++not++=not
melt ^vb++++=melt
in ^in++++=in
the ^ati++++=the
furnace ^nn++++=furnace.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
throw ^vb++++=throw
it ^pp3+it+++=it
away ^rp+pl+++=away."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
they ^pp3a+pp3+++=they
threw ^vbd+++xvbnx+=threw
it ^pp3+it+++=it
on ^in++++=on
a ^at++++=a
dust ^nn++++=dust-heap
- ^zz++++=EXTRAWORD
heap ^nn++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
dead ^nn++++=dead
Swallow ^vb++++=Swallow
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
lying ^vbg+++xvbgx+=lying.
. ^zz++++=EXTRAWORD
" ^zz++++="Bring
bring ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
the ^ati++++=the
two ^cd++++=two
most ^ap+emph+++=most
precious ^jj+atrb+++=precious
things ^nns++++=things
in ^in++++=in
the ^ati++++=the
city ^nn++++=city,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
God ^np++++=God
to ^to++++=to
one ^pn++++=one
of ^in++++=of
His ^pp$+pp3+++=His
Angels ^nns++++=Angels;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Angel ^nn++++=Angel
brought ^vbd+++xvbn+=brought
Him ^pp3o+pp3+++=Him
the ^ati++++=the
leaden ^jj+atrb++xvbn+=leaden
heart ^nn++++=heart
and ^cc++++=and
the ^ati++++=the
dead ^jj+atrb+++=dead
bird ^nn++++=bird.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
rightly ^rb++splt++=rightly
chosen ^vprf+++xvbnx+=chosen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
God ^np++++=God,
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
garden ^nn++++=garden
of ^in++++=of
Paradise ^nn++++=Paradise
this ^dt+dem+++=this
little ^jj+atrb+++=little
bird ^nn++++=bird
shall ^md+prd+++=shall
sing ^vb++++=sing
for ^in++++=for
evermore ^nn+++??+=evermore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
my ^pp$+pp1+++=my
city ^nn++++=city
of ^in++++=of
gold ^nn++++=gold
the ^ati++++=the
happy ^jj+atrb+++=Happy
prince ^nn++++=Prince
shall ^md+prd+++=shall
praise ^vb++++=praise
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
