Of ^in+emph+++=Of
! ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
he ^pp3a+pp3+++=he
speak ^vb++++=speak?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
shot ^nn+++xvbn+=shot.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
getting ^vbg+++xvbgx+=getting
along ^in++++=along
home ^nr++++=home,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
croaked ^vbd+++xvbnx+=croaked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
walking ^vbg+++xvbg+=walking
across ^in+pl+++=across
the ^ati++++=the
lawn ^nn++++=lawn.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Anne ^np++++=Anne
ran ^vbd+++xvbn+=ran
after ^in++++=after
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
yet ^rb+cnj+++=yet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
imploringly ^jj++++=imploringly.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
possibly ^rb++++=possibly
go ^vb++++=go
away ^rp+pl+++=away
feeling ^nvbg+++xvbg+=feeling
like ^in++++=like
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
she ^pp3a+pp3+++=she
stared ^vbd+++xvbnx+=stared
up ^rp++++=up
at ^in++++=at
him ^pp3o+pp3+++=him
frowning ^jj+++xvbg+=frowning,
, ^zz++++=EXTRAWORD
biting ^vbg+++xvbg+=biting
her ^pp$+pp3+++=her
lip ^nn++++=lip.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Reggie ^np+++??+=Reggie,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
himself ^ppl+pp3+++=himself
a ^at++++=a
shake ^nn++++=shake.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll--"
'll--" ^nn+++??+=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
waved ^vbd+++xvbnx+=waved
his ^pp$+pp3+++=his
hand ^nn++++=hand
as ^ql++++=as
much ^ap++++=much
to ^to++++=to
say ^vbi+vpub+++=say
" ^zz++++="get
get ^vb++++=EXTRAWORD
over ^in+ppvb+++=over
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
awful ^jj+pred+++=awful,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anne ^np++++=Anne.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
clasped ^vbd+++xvbnx+=clasped
her ^pp$+pp3+++=her
hands ^nns++++=hands
and ^cc++++=and
stood ^vpsv++agls+xvbn+=stood
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Surely
surely ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
fatal ^jj++++=fatal
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
for ^in++++=for
us ^pp1o+pp1+++=us
to ^to++++=to
marry ^vbi++++=marry,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
quite ^rb+cnj+++=quite,
, ^zz++++=EXTRAWORD
quite ^rb+cnj+++=quite,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Reggie ^np+++??+=Reggie,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
her ^pp$+pp3+++=her
with ^in++++=with
haggard ^jj+atrb+++=haggard
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
wrong ^jj++++=wrong,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
wicked ^jj++++=wicked,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
as ^ql++++=as
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
very ^ql+amp+++=very
well ^rb++++=well
for ^in++++=for
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dove ^np++++=Dove.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
in ^in++++=in
real ^jj+atrb+++=real
life ^nn++++=life
imagine ^vb+vprv+tht0++=imagine
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
absolutely ^rb+cnj+++=absolutely,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Reggie ^np+++??+=Reggie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
started ^vbd+++xvbnx+=started
to ^to++++=to
walk ^vbi++++=walk
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
again ^rb+tm+++=again
Anne ^np++++=Anne
stopped ^vbd+++xvbn+=stopped
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tugged ^vbd+++xvbnx+=tugged
at ^in++++=at
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
his ^pp$+pp3+++=his
astonishment ^nn+nom+++=astonishment,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
laughing ^xvbg+++xvbg+=laughing,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
like ^in++++=like
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
cry ^vb++++=cry.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
so ^ql++++=so
un ^np++++=un-unhappy?"
- ^zz++++=EXTRAWORD
unhappy ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wailed ^vbd+++xvbnx+=wailed.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
mind ^nn++++=mind
so ^ql++++=so
fearfully ^rb++++=fearfully?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
look ^vb++++=look
so ^ql++++=so
aw ^uh++++=aw-awful?"
- ^zz++++=EXTRAWORD
awful ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie
gulped ^vbd+++xvbn+=gulped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
again ^rb+tm+++=again
he ^pp3a+pp3+++=he
waved ^vbd+++xvbnx+=waved
something ^pn++++=something
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
a ^at++++=a
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
cut ^vbd+++xvbnx+=cut
off ^rb+phrv+++=off
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
talk ^vb++++=talk
of ^in++++=of
cutting ^xvbg+++xvbg+=cutting
off ^in+pl+++=off
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anne ^np++++=Anne
scornfully ^rb++++=scornfully.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stamped ^vbd+++xvbnx+=stamped
her ^pp3o+pp3+++=her
foot ^nn++++=foot
at ^in++++=at
Reggie ^np+++??+=Reggie;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
crimson ^nn+++??+=crimson.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
be ^vb+be+vrb++=be
so ^ql+emph+++=so
cruel ^jj++++=cruel?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
go ^vb++++=go
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
for ^rb++++=for
certain ^jj++++=certain
that ^tht+jcmp+++=that
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
just ^rb+emph+++=just
as ^in++++=as
happy ^jj++++=happy
as ^ql++++=as
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
before ^cs+sub+++=before
you ^pp2+pp2+++=you
asked ^vbd+vsua++xvbn+=asked
me ^pp1o+pp1+++=me
to ^to++++=to
marry ^vbi++++=marry
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
you ^pp2+pp2+++=you
must ^md+nec+++=must
see ^vb+vprv+tht0++=see
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^ql+emph+++=so
simple ^jj++++=simple."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
at ^rb++++=at
all ^abn++++=all
simple ^jj++++=simple
to ^in++++=to
Reginald ^np++++=Reginald.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
impossibly ^rb++++=impossibly
difficult ^jj++++=difficult.
. ^zz++++=EXTRAWORD
" ^zz++++="Even
even ^cs+sub+++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
marry ^vb++++=marry
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
all ^abn++++=all
that ^dt+dem+++=that
way ^nn++++=way
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
that ^dt+dem+++=that
awful ^jj+atrb+++=awful
mother ^nn++++=mother
to ^to++++=to
write ^vbi++++=write
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
miserable ^jj+pred+++=miserable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
my ^pp$+pp1+++=my
fault ^nn++++=fault?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
your ^pp$+pp2+++=your
fault ^nn++++=fault.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
fate ^nn++++=fate."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
hand ^nn++++=hand
off ^in+pl+++=off
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
pity ^nn++++=pity
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
dear ^uh++++=dear
little ^ap++++=little
Anne ^np++++=Anne,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
gently ^rb++++=gently.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+dem+++=this
time ^nn++++=time
he ^pp3a+pp3+++=he
nearly ^rb+down+++=nearly
ran ^vbd+++xvbn+=ran,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
pink ^jj+atrb+++=pink
arches ^nns++++=arches,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
garden ^nn++++=garden
path ^nn++++=path.
. ^zz++++=EXTRAWORD
" ^zz++++="Roo-coo-coo-coo!
roo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Roo ^np+++??+=Roo-coo-coo-coo!"
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sounded ^vbd+++xvbn+=sounded
from ^in++++=from
the ^ati++++=the
veranda ^nn++++=veranda.
. ^zz++++=EXTRAWORD
" ^zz++++="Reggie,
reggie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
saw ^vbd+vprv+tht0+xvbnx+=saw
his ^pp$+pp3+++=his
timid ^jj++++=timid,
, ^zz++++=EXTRAWORD
puzzled ^j+++xvbn+=puzzled
look ^vb++++=look,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
gave ^vbd+++xvbnx+=gave
a ^rb++++=a
little ^rb"++++=little
laugh ^vb++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vb++++=EXTRAWORD
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Dove ^np++++=Dove,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anne ^np++++=Anne.
 ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Reginald ^np++++=Reginald
Came ^vbd+++xvbn+=came
Slowly ^rb++++=slowly
Across ^in+pl+++=across
The ^ati++++=the
Lawn ^nn++++=lawn.
 ^zz++++=EXTRAWORD
