Of ^in++++=Of
touched ^vbd+++xvbn+=touched
the ^ati++++=the
back ^jjb+atrb+++=back
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
block ^nn++++=block,
, ^zz++++=EXTRAWORD
the ^ati++++=the
seat ^nn++++=seat
occupied ^vbd+++xvbn+=occupied
the ^ati++++=the
centre ^nn++++=centre,
, ^zz++++=EXTRAWORD
whilst ^cs+sub+++=whilst
the ^ati++++=the
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
curved ^jj+atrb+++=curved
claws ^nns++++=claws
of ^in++++=of
the ^ati++++=the
doubled ^jj+++xvbn+=doubled-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
crouching ^vbg+++xvbg+=crouching
hind ^jjb+atrb+++=hind
legs ^nns++++=legs
gripped ^vbd+++xvbn+=gripped
the ^ati++++=the
front ^jjb+atrb+++=front
edge ^nn++++=edge
and ^cc++++=and
extended ^vbd+++xvbn+=extended
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
way ^nn++++=way
down ^in++++=down
towards ^in++++=towards
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
pedestal ^nn+nom+++=pedestal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cephalopod ^nn+++??+=cephalopod
head ^jjb++++=head
was ^vbd+bedz+aux++=was
bent ^vpsv++agls+xvbnx+=bent
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
ends ^nns++++=ends
of ^in++++=of
the ^ati++++=the
facial ^jj+atrb+++=facial
feelers ^nns+nom+++=feelers
brushed ^vbd+++xvbn+=brushed
the ^ati++++=the
backs ^nns++++=backs
of ^in++++=of
huge ^jj+atrb+++=huge
fore ^nn++++=fore-paws
- ^zz++++=EXTRAWORD
paws ^nns+++??+=EXTRAWORD
which ^whp+rel+subj++=which
clasped ^vbd+++xvbn+=clasped
the ^ati++++=the
croucher ^jjr++++=croucher's
's ^vbz+bez+aux++0=EXTRAWORD
elevated ^vpsv++agls+xvbnx+=elevated
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
whole ^nn++++=whole
was ^vbd+bedz+vrb++=was
abnormally ^rb++++=abnormally
lifelike ^jj+pred+++=lifelike,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
more ^rbr++++=more
subtly ^rb++++=subtly
fearful ^jj++++=fearful
because ^cs+cos+++=because
its ^pp$+it+++=its
source ^nn++++=source
was ^vbd+bedz+vrb++=was
so ^ql++++=so
totally ^rb+amp+++=totally
unknown ^jj++++=unknown.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
vast ^jj++++=vast,
, ^zz++++=EXTRAWORD
awesome ^jj++++=awesome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
incalculable ^jj+atrb+++=incalculable
age ^nn++++=age
was ^vbd+bedz+vrb++=was
unmistakable ^jj+pred+++=unmistakable;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
not ^xnot++not++=not
one ^cd1++++=one
link ^nn++++=link
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
show ^nn++++=show
with ^in++++=with
any ^dti++++=any
known ^jj+atrb++xvbn+=known
type ^nn++++=type
of ^in++++=of
art ^nn++++=art
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
civilization ^nn+nom+++=civilization's
's ^$++++=EXTRAWORD
youth ^nn++++=youth
or ^cc++++=or
indeed ^rb++++=indeed
to ^in++++=to
any ^dti++++=any
other ^ap++++=other
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Totally ^rb+amp+++=Totally
separate ^jj++++=separate
and ^cc++++=and
apart ^in+strn+++=apart,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
very ^ql+amp+++=very
material ^nn++++=material
was ^vbd+bedz+vrb++=was
a ^at++++=a
mystery ^nn+nom+++=mystery;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
soapy ^nn+++??+=soapy,
, ^zz++++=EXTRAWORD
greenish ^jj++++=greenish-black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
stone ^nn++++=stone
with ^in++++=with
its ^pp$+it+++=its
golden ^jj+atrb+++=golden
or ^cc+phrs+++=or
iridescent ^jj+atrb+++=iridescent
flecks ^nns++++=flecks
and ^cc++++=and
striations ^nns+nom+++=striations
resembled ^vbd+++xvbn+=resembled
nothing ^pn++++=nothing
familiar ^jj++++=familiar
to ^in++++=to
geology ^nn++++=geology
or ^cc++++=or
mineralogy ^nn+++??+=mineralogy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
characters ^nns+nom+++=characters
along ^in++++=along
the ^ati++++=the
base ^nn++++=base
were ^vbd+bed+vrb++=were
equally ^rb++++=equally
baffling ^jj+pred+++=baffling;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
member ^nn++++=member
present ^nn++++=present,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
a ^at++++=a
representation ^nn+nom+++=representation
of ^in++++=of
half ^nn++++=half
the ^ati++++=the
world ^nn++++=world's
's ^$++++=EXTRAWORD
expert ^nn++++=expert
learning ^vwbg+vprv++xvbg+=learning
in ^in++++=in
this ^dt+dem+++=this
field ^nn++++=field,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
form ^vb++++=form
the ^ati++++=the
least ^rbt++++=least
notion ^nn++++=notion
of ^in++++=of
even ^rb++++=even
their ^pp$+pp3+++=their
remotest ^jjt+atrb+++=remotest
linguistic ^jj+atrb+++=linguistic
kinship ^nn+nom+++=kinship.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
subject ^nn++++=subject
and ^cc++++=and
material ^nn++++=material,
, ^zz++++=EXTRAWORD
belonged ^j+++xvbn+=belonged
to ^in++++=to
something ^pn++++=something
horribly ^rb++++=horribly
remote ^jj++++=remote
and ^cc+phrs+++=and
distinct ^jj++++=distinct
from ^in++++=from
mankind ^nn++++=mankind
as ^ql++++=as
we ^pp1a+pp1+++=we
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
something ^pn++++=something
frightfully ^rb++++=frightfully
suggestive ^jj++++=suggestive
of ^in++++=of
old ^jj+atrb+++=old
and ^cc+phrs+++=and
unhallowed ^jj+atrb++xvbn+=unhallowed
cycles ^nns++++=cycles
of ^in++++=of
life ^nn++++=life
in ^in++++=in
which ^whp+rel+pied++=which
our ^pp$+pp1+++=our
world ^nn++++=world
and ^cc++++=and
our ^pp$+pp1+++=our
conceptions ^nns+nom+++=conceptions
have ^vb+hv+vrb++=have
no ^at++++=no
part ^nn++++=part.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
members ^nns+nom+++=members
severally ^rb++++=severally
shook ^vbd+++xvbn+=shook
their ^pp$+pp3+++=their
heads ^nns++++=heads
and ^cc++++=and
confessed ^vbd+vpub++xvbn+=confessed
defeat ^nn++++=defeat
at ^rb++++=at
the ^ati++++=the
inspector ^nn++++=inspector's
's ^$++++=EXTRAWORD
problem ^nn++++=problem,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
man ^nn++++=man
in ^cs+sub+++=in
that ^cs"++++=that
gathering ^vbg+++xvbg+=gathering
who ^whp+who+++=who
suspected ^vbd+vprv++xvbn+=suspected
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
bizarre ^jj+atrb+++=bizarre
familiarity ^nn+nom+++=familiarity
in ^in++++=in
the ^ati++++=the
monstrous ^jj+atrb+++=monstrous
shape ^nn++++=shape
and ^cc++++=and
writing ^nvbg+++xvbg+=writing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
presently ^rb+tm+++=presently
told ^vbd+vpub++xvbn+=told
with ^in++++=with
some ^dti++++=some
diffidence ^nn+nom+++=diffidence
of ^in++++=of
the ^ati++++=the
odd ^jj+atrb+++=odd
trifle ^nn++++=trifle
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
person ^nn++++=person
was ^vbd+bedz+vrb++=was
the ^ati++++=the
late ^jj+atrb+++=late
William ^np++++=William
Channing ^np+++??+=Channing
Webb ^np++++=Webb,
, ^zz++++=EXTRAWORD
professor ^npt++++=professor
of ^in++++=of
anthropology ^nn++++=anthropology
in ^in++++=in
Princeton ^np+++??+=Princeton
University ^nn+nom+++=University,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
explorer ^nn+nom+++=explorer
of ^in++++=of
no ^at++++=no
slight ^jj+atrb+++=slight
note ^nn++++=note.
. ^zz++++=EXTRAWORD
Professor ^npt++++=Professor
Webb ^np++++=Webb
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
engaged ^vpsv++agls+xvbnx+=engaged,
, ^zz++++=EXTRAWORD
forty ^cd++++=forty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
years ^nns++++=years
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
tour ^nn++++=tour
of ^in++++=of
Greenland ^np++++=Greenland
and ^cc++++=and
Iceland ^np++++=Iceland
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
some ^dti++++=some
Runic ^np+++??+=Runic
inscriptions ^nns+nom+++=inscriptions
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
failed ^vbd+++xvbnx+=failed
to ^to+vcmp+++=to
unearth ^vbi+++??+=unearth;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whilst ^cs+sub+++=whilst
high ^jj++++=high
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
West ^np+pl+++=West
Greenland ^np++++=Greenland
coast ^nn++++=coast
had ^vbd+hvd+aux++=had
encountered ^vprf+++xvbnx+=encountered
a ^at++++=a
singular ^jj+atrb+++=singular
tribe ^nn++++=tribe
or ^cc++++=or
cult ^nn++++=cult
of ^in++++=of
degenerate ^jj+atrb+++=degenerate
Eskimos ^nn++++=Eskimos
whose ^whp+rel+obj++=whose
religion ^nn++++=religion,
, ^zz++++=EXTRAWORD
a ^at++++=a
curious ^jj+atrb+++=curious
form ^nn++++=form
of ^in++++=of
devil ^nn++++=devil-worship,
- ^zz++++=EXTRAWORD
worship ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
chilled ^j+++xvbn+=chilled
him ^pp3o+pp3+++=him
with ^in++++=with
its ^pp$+it+++=its
deliberate ^jj+atrb+++=deliberate
bloodthirstiness ^nns+nom+++=bloodthirstiness
and ^cc++++=and
repulsiveness ^nns+nom+++=repulsiveness.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
faith ^nn++++=faith
of ^in++++=of
which ^whp+rel+pied++=which
other ^ap++++=other
Eskimos ^nn++++=Eskimos
knew ^vbd+vprv++xvbn+=knew
little ^jj++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
mentioned ^vbd+vpub++xvbnx+=mentioned
only ^rb+down+++=only
with ^in++++=with
shudders ^nns+nom+++=shudders,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
down ^rp++++=down
from ^in++++=from
horribly ^rb++++=horribly
ancient ^jj+atrb+++=ancient
aeons ^nns+++??+=aeons
before ^cs+sub+++=before
ever ^rb++++=ever
the ^ati++++=the
world ^nn++++=world
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made.
. ^zz++++=EXTRAWORD
Besides ^rb+cnj+++=Besides
nameless ^jj+atrb+++=nameless
rites ^nns++++=rites
and ^cc++++=and
human ^jj+atrb+++=human
sacrifices ^nns++++=sacrifices
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
certain ^jj+atrb+++=certain
queer ^jj+atrb+++=queer
hereditary ^jj+atrb+++=hereditary
rituals ^nns+nom+++=rituals
addressed ^vbd+++xvbn+=addressed
to ^in++++=to
a ^at++++=a
supreme ^jj+atrb+++=supreme
elder ^jjr+atrb+++=elder
devil ^nn++++=devil
or ^cc++++=or
tornasuk ^nn+++??+=tornasuk;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
this ^dt+dem+++=this
Professor ^nn++++=Professor
Webb ^np++++=Webb
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
a ^at++++=a
careful ^jj+atrb+++=careful
phonetic ^jj+atrb+++=phonetic
copy ^nn++++=copy
from ^in++++=from
an ^at++++=an
aged ^jj+atrb+++=aged
angekok ^nn+++??+=angekok
or ^cc++++=or
wizard ^nn++++=wizard-priest,
- ^zz++++=EXTRAWORD
priest ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
expressing ^vbg+++xvbg+=expressing
the ^ati++++=the
sounds ^nns++++=sounds
in ^in++++=in
Roman ^jj+atrb+++=Roman
letters ^nns+nom+++=letters
as ^in++++=as
best ^jjt++++=best
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
how ^wrb+who+whcl++=how.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
just ^rb+emph+++=just
now ^rn+tm+++=now
of ^in++++=of
prime ^jjb+atrb+++=prime
significance ^nn+nom+++=significance
was ^vbd+bedz+vrb++=was
the ^ati++++=the
fetish ^jj++++=fetish
which ^whp+who+++=which
this ^dt+dem+++=this
cult ^nn++++=cult
had ^vbd+hvd+aux++=had
cherished ^vprf+++xvbnx+=cherished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
around ^in++++=around
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
danced ^vbd+++xvbnx+=danced
when ^wrb+who+++=when
the ^ati++++=the
aurora ^nn+++??+=aurora
leaped ^vbd+++xvbn+=leaped
high ^jj++++=high
over ^in++++=over
the ^ati++++=the
ice ^nn++++=ice
cliffs ^nns++++=cliffs.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
the ^ati++++=the
professor ^npt++++=professor
stated ^vbd+vpub++xvbn+=stated,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
crude ^jj+atrb+++=crude
bas ^nns+++??+=bas-relief
- ^zz++++=EXTRAWORD
relief ^nn++++=EXTRAWORD
of ^in++++=of
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
a ^at++++=a
hideous ^jj+atrb+++=hideous
picture ^nn++++=picture
and ^cc++++=and
some ^dti++++=some
cryptic ^jj+atrb+++=cryptic
writing ^nvbg+++xvbg+=writing.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
tell ^vb++++=tell,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
rough ^jj+atrb+++=rough
parallel ^nn++++=parallel
in ^in++++=in
all ^abn++++=all
essential ^nn++++=essential
features ^nns++++=features
of ^in++++=of
the ^ati++++=the
bestial ^jj+atrb+++=bestial
thing ^nn++++=thing
now ^rn+tm+++=now
lying ^vbg+++xvbg+=lying
before ^in++++=before
the ^ati++++=the
meeting ^nvbg+++xvbg+=meeting.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
data ^nns++++=data,
, ^zz++++=EXTRAWORD
received ^j+++xvbn+=received
with ^in++++=with
suspense ^nn++++=suspense
and ^cc++++=and
astonishment ^nn+nom+++=astonishment
by ^in++++=by
the ^ati++++=the
assembled ^jj+atrb++xvbn+=assembled
members ^nns+nom+++=members,
, ^zz++++=EXTRAWORD
proved ^j+++xvbn+=proved
doubly ^rb++++=doubly
exciting ^jj++++=exciting
to ^in++++=to
Inspector ^npt++++=Inspector
Legrasse ^np+++??+=Legrasse;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
at ^rb++++=at
once ^rb"+tm+++=once
to ^in++++=to
ply ^nn++++=ply
his ^pp$+pp3+++=his
informant ^nn+nom+++=informant
with ^in++++=with
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
Having ^vbg+++xvbg+=Having
noted ^jj+++xvbn+=noted
and ^cc+phrs+++=and
copied ^jj+++xvbn+=copied
an ^at++++=an
oral ^jj++++=oral
ritual ^jjb++++=ritual
among ^in++++=among
the ^ati++++=the
swamp ^nn++++=swamp
cult ^nn++++=cult-worshippers
- ^zz++++=EXTRAWORD
worshippers ^nns+nom+++=EXTRAWORD
his ^pp$+pp3+++=his
men ^nns++++=men
had ^vbd+hvd+aux++=had
arrested ^vprf+++xvbnx+=arrested,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
besought ^vprf+++xvbn+=besought
the ^ati++++=the
professor ^nn++++=professor
to ^to++++=to
remember ^nn+nom+++=remember
as ^in++++=as
best ^jjt++++=best
he ^pp3a+pp3+++=he
might ^md+pos+++=might
the ^ati++++=the
syllables ^nns++++=syllables
taken ^vwbn+++xvbn+=taken
down ^rb+phrv+++=down
amongst ^in++++=amongst
the ^ati++++=the
diabolist ^nn+nom+++=diabolist
Eskimos ^nn++++=Eskimos.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
then ^rn+tm+++=then
followed ^vbd+vprv++xvbn+=followed
an ^at++++=an
exhaustive ^jj+atrb+++=exhaustive
comparison ^nn++++=comparison
of ^in++++=of
details ^nns++++=details,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
moment ^nn++++=moment
of ^in++++=of
really ^rb+emph+++=really
awed ^vbd+++xvbn+=awed
silence ^nn+nom+++=silence
when ^wrb+who+++=when
both ^abx++++=both
detective ^nn++++=detective
and ^cc++++=and
scientist ^nn+nom+++=scientist
agreed ^vbd+vpub++xvbn+=agreed
on ^in++++=on
the ^ati++++=the
virtual ^jj+atrb+++=virtual
identity ^nn+nom+++=identity
of ^in++++=of
the ^ati++++=the
phrase ^nn++++=phrase
common ^jj++++=common
to ^to++++=to
two ^cd++++=two
hellish ^jj+atrb+++=hellish
rituals ^nns+nom+++=rituals
so ^cs+sub+++=so
many ^ap++++=many
worlds ^nns++++=worlds
of ^in++++=of
distance ^nn+nom+++=distance
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What,
, ^zz++++=EXTRAWORD
in ^in++++=in
substance ^nn+nom+++=substance,
, ^zz++++=EXTRAWORD
both ^abx++++=both
the ^ati++++=the
Eskimo ^nn++++=Eskimo
wizards ^nns+++??+=wizards
and ^cc++++=and
the ^ati++++=the
Louisiana ^np+++??+=Louisiana
swamp ^nn++++=swamp-priests
- ^zz++++=EXTRAWORD
priests ^nns++++=EXTRAWORD
had ^vbd+hvd+aux++=had
chanted ^vprf+++xvbnx+=chanted
to ^in++++=to
their ^pp$+pp3+++=their
kindred ^nn++++=kindred
idols ^nns++++=idols
was ^vbd+bedz+vrb++=was
something ^pn++++=something
very ^ql+amp+++=very
like ^vb++++=like
this ^dt+dem+++=this
the ^ati++++=the
word ^nn++++=word-divisions
- ^zz++++=EXTRAWORD
divisions ^nns++++=EXTRAWORD
being ^xvbg+++xvbg+=being
guessed ^vbd+vprv++xvbn+=guessed
at ^rb++++=at
from ^in++++=from
traditional ^jj+atrb+++=traditional
breaks ^nns++++=breaks
in ^in++++=in
the ^ati++++=the
phrase ^nn++++=phrase
as ^cs+sub+++=as
chanted ^vbd+++xvbn+=chanted
aloud ^rb++++=aloud;
; ^zz++++=EXTRAWORD
Legrasse ^np+++??+=Legrasse
had ^vb+hv+vrb++=had
one ^cd1++++=one
point ^nn++++=point
in ^in++++=in
advance ^nn+nom+++=advance
of ^in++++=of
Professor ^npt++++=Professor
Webb ^np++++=Webb,
, ^zz++++=EXTRAWORD
for ^in++++=for
several ^ap++++=several
among ^in++++=among
his ^pp$+pp3+++=his
mongrel ^nn+++??+=mongrel
prisoners ^nns+nom+++=prisoners
had ^vbd+hvd+aux++=had
repeated ^vprf+++xvbnx+=repeated
to ^in++++=to
him ^pp3o+pp3+++=him
what ^wdt+who+++=what
older ^jjr+atrb+++=older
celebrants ^nns+nom+++=celebrants
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
them ^pp3o+pp3+++=them
the ^ati++++=the
words ^nns++++=words
meant ^vbd+vprv++xvbn+=meant.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
text ^nn++++=text,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
given ^vbd+++xvbn+=given,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
something ^pn++++=something
like ^in++++=like
this ^dt+pdem+++=this:
: ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
in ^in++++=in
response ^nn++++=response
to ^in++++=to
a ^at++++=a
general ^jj+atrb+++=general
and ^cc+phrs+++=and
urgent ^jj+atrb+++=urgent
demand ^nn++++=demand,
, ^zz++++=EXTRAWORD
Inspector ^nn++++=Inspector
Legrasse ^np+++??+=Legrasse
related ^vbd+++xvbn+=related
as ^ql++++=as
fully ^rb+amp+++=fully
as ^in++++=as
possible ^jj++++=possible
his ^pp$+pp3+++=his
experience ^nn+nom+++=experience
with ^in++++=with
the ^ati++++=the
swamp ^nn++++=swamp
worshippers ^nns+nom+++=worshippers;
; ^zz++++=EXTRAWORD
telling ^vbg+nom++xvbg+=telling
a ^at++++=a
story ^nn++++=story
to ^to++++=to
which ^whp+who+++=which
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
my ^pp$+pp1+++=my
uncle ^npt++++=uncle
attached ^vbd+++xvbn+=attached
profound ^jj+atrb+++=profound
significance ^nn+nom+++=significance.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
savoured ^vbd+++xvbn+=savoured
of ^in++++=of
the ^ati++++=the
wildest ^jjt+atrb+++=wildest
dreams ^nns++++=dreams
of ^in++++=of
myth ^nn++++=myth-maker
- ^zz++++=EXTRAWORD
maker ^nn++++=EXTRAWORD
and ^cc++++=and
theosophist ^nn+nom+++=theosophist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disclosed ^vbd+vpub++xvbn+=disclosed
an ^at++++=an
astonishing ^jj+atrb+++=astonishing
degree ^nn++++=degree
of ^in++++=of
cosmic ^jj+atrb+++=cosmic
imagination ^nn+nom+++=imagination
among ^in++++=among
such ^abl++++=such
half ^abn++++=half-castes
- ^zz++++=EXTRAWORD
castes ^nns++++=EXTRAWORD
and ^cc++++=and
pariahs ^nns+++??+=pariahs
as ^ql++++=as
might ^md+pos+++=might
be ^vb+be+aux++=be
least ^rbt++splt++=least
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
possess ^nns+nom+++=possess
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
On ^in++++=On
1 ^zz++++=1
November ^nr+nom+++=November
1907 ^cd+date+++=1907,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
New ^jj+atrb+++=New
Orleans ^nns+nom++??+=Orleans
police ^nns++++=police
a ^at++++=a
frantic ^jj+atrb+++=frantic
summons ^nn++++=summons
from ^in++++=from
the ^ati++++=the
swamp ^nn++++=swamp
and ^cc++++=and
lagoon ^nn++++=lagoon
country ^nn++++=country
to ^in++++=to
the ^ati++++=the
south ^np+pl+++=south.
. ^zz++++=EXTRAWORD
The ^ati++++=The
squatters ^nns+nom+++=squatters
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
mostly ^rb++++=mostly
primitive ^jj++++=primitive
but ^cc+phrs+++=but
good ^jj++++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj+atrb+++=EXTRAWORD
descendants ^nns+nom+++=descendants
of ^in++++=of
Lafitte ^np++++=Lafitte's
's ^$++++=EXTRAWORD
men ^nns++++=men,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
grip ^nn++++=grip
of ^in++++=of
stark ^jj+atrb+++=stark
terror ^nn++++=terror
from ^in++++=from
an ^at++++=an
unknown ^jj+atrb+++=unknown
thing ^nn++++=thing
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
upon ^in++++=upon
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
voodoo ^nn+++??+=voodoo,
, ^zz++++=EXTRAWORD
apparently ^rb+cnj+++=apparently,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
voodoo ^nn+++??+=voodoo
of ^in++++=of
a ^at++++=a
more ^rbr++++=more
terrible ^jj+atrb+++=terrible
sort ^nn++++=sort
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
known ^vprf+++xvbnx+=known;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
of ^in++++=of
their ^pp$+pp3+++=their
women ^nns++++=women
and ^cc++++=and
children ^nns++++=children
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared
since ^cs+sub+++=since
the ^ati++++=the
malevolent ^jj+atrb+++=malevolent
tom ^np++++=tom-tom
- ^zz++++=EXTRAWORD
tom ^np++++=EXTRAWORD
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
its ^pp$+it+++=its
incessant ^jj++++=incessant
beating ^jj+++xvbg+=beating
far ^rb+pl+++=far
within ^in++++=within
the ^ati++++=the
black ^nn++++=black
haunted ^vbd+++xvbn+=haunted
woods ^npl++++=woods
where ^wrb+who+++=where
no ^at++++=no
dweller ^nn++++=dweller
ventured ^vbd+++xvbn+=ventured.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
insane ^jj+atrb+++=insane
shouts ^nns++++=shouts
and ^cc++++=and
harrowing ^jj+atrb+++=harrowing
screams ^nns++++=screams,
, ^zz++++=EXTRAWORD
soul ^nn++++=soul-chilling
- ^zz++++=EXTRAWORD
chilling ^xvbg+++xvbg+=EXTRAWORD
chants ^vbz++++=chants
and ^cc++++=and
dancing ^nvbg+++xvbg+=dancing
devil ^nn++++=devil-flames;
- ^zz++++=EXTRAWORD
flames ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
the ^ati++++=the
frightened ^jj+++xvbn+=frightened
messenger ^np+nom+++=messenger
added ^vbd+vpub++xvbn+=added,
, ^zz++++=EXTRAWORD
the ^ati++++=the
people ^nns++++=people
could ^md+pos+++=could
stand ^vb++++=stand
it ^pp3+it+++=it
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
a ^at++++=a
body ^nn++++=body
of ^in++++=of
