Those ^dt+dem+++=Those
the ^ati++++=the
shot ^nn+++xvbn+=shot-gun
- ^zz++++=EXTRAWORD
gun ^nn++++=EXTRAWORD
wavin ^nn+++??+=wavin'
' ^zz++++=EXTRAWORD
aloft ^rb+cnj+++=aloft,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
chargin ^nn+++??+=chargin'
' ^zz++++=EXTRAWORD
an ^at++++=an
army ^nn++++=army
of ^in++++=of
greasers ^nns+nom+++=greasers
at ^in++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
his ^pp$+pp3+++=his
regiment ^nn+nom+++=regiment.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
placed ^vprf+++xvbnx+=placed
any ^dti++++=any
money ^nn++++=money
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
wrong ^jj+pred+++=wrong
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
always ^rb++splt++=always
wondered ^vprf+++xvbnx+=wondered
how ^wrb+who+whcl++=how
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
ever ^rb++++=ever
got ^vbd+++xvbn+=got
through ^in++++=through
that ^dt+dem+++=that
war ^nn++++=war
with ^in++++=with
only ^rb+down+++=only
three ^cd++++=three
recommendations ^nns+nom+++=recommendations
to ^in++++=to
the ^ati++++=the
government ^nn+nom+++=government.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
certainly ^rb++++=certainly
kept ^vbd+++xvbn+=kept
good ^jj+atrb+++=good
horses ^nns++++=horses
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
five ^cd++++=five
minutes ^nns++++=minutes
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
left ^vprf+++xvbnx+=left
the ^ati++++=the
posse ^nn++++=posse
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
him ^pp3o+pp3+++=him
madly ^rb++++=madly
urgin ^nn+++??+=urgin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
horse ^nn++++=horse
into ^in++++=into
range ^nn++++=range,
, ^zz++++=EXTRAWORD
reloadin ^nn+++??+=reloadin'
' ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
threw ^vbd+++xvbnx+=threw
the ^ati++++=the
quirt ^nn+++??+=quirt
into ^in++++=into
the ^ati++++=the
mare ^nn++++=mare
with ^in++++=with
my ^pp$+pp1+++=my
good ^jj+atrb+++=good
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
allowed ^vbd+++xvbnx+=allowed
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
had ^vb+hv+vrb++=had
about ^in++++=about
all ^abn++++=all
the ^ati++++=the
horse ^nn++++=horse-stealin'
- ^zz++++=EXTRAWORD
stealin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
devil ^nn++++=devil
finally ^rb++++=finally
saw ^vbd+vprv+tht0+xvbn+=saw
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
losin ^nn+++??+=losin'
' ^zz++++=EXTRAWORD
ground ^nn++++=ground
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
efforts ^nns++++=efforts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
have ^vb+hv+vrb++=have
both ^abx++++=both
barrels ^nns++++=barrels.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
shot ^nn+++xvbn+=shot
patter ^nn++++=patter
on ^in++++=on
the ^ati++++=the
hard ^jj+atrb+++=hard
road ^npl++++=road
behind ^rp+pl+++=behind
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hoped ^vbd+vprv+tht0+xvbn+=hoped
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
quit ^vb++++=quit
and ^cc+phrs+++=and
go ^vb++++=go
home ^nr++++=home,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
blamed ^vpsv++agls+xvbnx+=blamed
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
chase ^nn++++=chase
me ^pp1o+pp1+++=me
five ^cd++++=five
miles ^nns++++=miles
further ^jjb++++=further
before ^in++++=before
turnin ^nn+++??+=turnin'
' ^zz++++=EXTRAWORD
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
in ^in++++=in
hopes ^nns++++=hopes
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
cast ^vprf+++xvbnx+=cast
a ^at++++=a
shoe ^nn++++=shoe
or ^cc++++=or
something ^pn++++=something
would ^md+prd+++=would
happen ^vb+++??+=happen
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
only ^rb+down+++=only
horse ^nn++++=horse
in ^in++++=in
Texas ^np++++=Texas
that ^tht+rel+subj++=that
could ^md+pos+++=could
have ^vb+hv+vrb++=have
outrun ^nn+++??+=outrun
the ^ati++++=the
Colonel ^nn++++=Colonel
and ^cc++++=and
his ^pp$+pp3+++=his
that ^dt+dem+++=that
mornin ^nn+++??+=mornin'.
'. ^nn+++??+=EXTRAWORD
About ^in++++=About
noon ^nn++++=noon
I ^pp1a+pp1+++=I
stopped ^vbd+++xvbnx+=stopped
at ^rb++++=at
a ^at++++=a
blacksmith ^nn++++=blacksmith's
's ^$++++=EXTRAWORD
shop ^nn++++=shop,
, ^zz++++=EXTRAWORD
half ^abn++++=half
dead ^jj++++=dead
with ^in++++=with
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
my ^pp$+pp1+++=my
arm ^vb++++=arm
dressed ^vbd+++xvbn+=dressed
and ^cc++++=and
a ^at++++=a
big ^jj+atrb+++=big
jolt ^nn++++=jolt
of ^in++++=of
whiskey ^nn+++??+=whiskey.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
posse ^nn++++=posse
rode ^vbd+++xvbn+=rode
up ^in+cmpx+++=up
to ^in"++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
sittin ^nn+++??+=sittin'
' ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun
by ^in++++=by
the ^ati++++=the
lathered ^jj+atrb++xvbn+=lathered
flanks ^nns++++=flanks
of ^in++++=of
my ^pp$+pp1+++=my
horse ^nn++++=horse
and ^cc++++=and
nursin ^nn+++??+=nursin'
' ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
Jim ^np++++=Jim
yells ^nns+++??+=yells
out ^rp+pl+++=out:
: ^zz++++=EXTRAWORD
" ^zz++++="Here
here ^rn+pl+++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is!
! ^zz++++=EXTRAWORD
Surround ^vb++++=Surround
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
our ^pp$+pp1+++=our
prisoner ^nn+nom+++=prisoner!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No!
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
blamed ^vpsv++agls+xvbnx+=blamed
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
get ^vb++++=get
another ^dt++++=another
desperado ^nn+++??+=desperado.
. ^zz++++=EXTRAWORD
after ^in++++=After
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=I'm
am ^vb+bem+vrb++=EXTRAWORD
the ^ati++++=the
sheriff ^nn++++=sheriff!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
