' ^zz++++='Way
's ^$++++=EXTRAWORD
little ^ap++++=little
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
summon ^vb++++=summon
Sylvester ^np+nom++??+=Sylvester
Noble ^jj++++=Noble
to ^in++++=to
her ^pp$+pp3+++=her
protection ^nn+nom+++=protection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
felt ^vbd+vprv++xvbn+=felt
secure ^vb++++=secure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slept ^vbd+++xvbn+=slept
sweetly ^rb++++=sweetly.
. ^zz++++=EXTRAWORD
Noble ^jj++++=Noble
was ^vbd+bedz+vrb++=was
a ^at++++=a
mild ^jj+atrb+++=mild
mystery ^nn+nom+++=mystery
in ^in++++=in
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
withdrawn ^xvbn+++xvbn+=withdrawn
himself ^ppl+pp3+++=himself
into ^in++++=into
a ^at++++=a
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
away ^in+pl+++=away
from ^in"++++=from
his ^pp$+pp3+++=his
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
himself ^ppl+pp3+++=himself
open ^jj++++=open
to ^in++++=to
speculation ^nn+nom+++=speculation.
. ^zz++++=EXTRAWORD
Either ^dtx++++=Either
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
some ^dti++++=some
private ^jj+atrb+++=private
plum ^nn++++=plum
of ^in++++=of
guilt ^nn++++=guilt
or ^cc++++=or
grief ^nn++++=grief
to ^to++++=to
consider ^nn+nom+++=consider,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
his ^pp$+pp3+++=his
brain ^nn++++=brain
was ^vbd+bedz+aux++=was
touched ^vpsv++agls+xvbnx+=touched.
. ^zz++++=EXTRAWORD
People ^nns++++=People
saw ^vbd+vprv++xvbn+=saw
no ^at++++=no
harm ^nn++++=harm
in ^in++++=in
Noble ^jj++++=Noble,
, ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
inclined ^jj+++xvbnx+=inclined
to ^to+jcmp+++=to
the ^ati++++=the
latter ^ap++++=latter
view ^nn++++=view.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
always ^rb++++=always
heard ^vbd+vprv+tht0+xvbn+=heard
him ^pp3o+pp3+++=him
called ^vbd+++xvbn+=called
" ^zz++++="love-cracked"
love ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
cracked ^vbd+++xvbn+=EXTRAWORD
" ^zz++++=EXTRAWORD
without ^in++++=without
much ^ap++++=much
consideration ^nn+nom+++=consideration.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
she ^pp3a+pp3+++=she
coupled ^vbd+++xvbnx+=coupled
this ^dt+dem+++=this
idea ^nn++++=idea
with ^in++++=with
her ^pp$+pp3+++=her
theory ^nn++++=theory
of ^in++++=of
Angeline ^np+++??+=Angeline,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
wonder ^vb++++=wonder
and ^cc++++=and
pity ^nn++++=pity
sprang ^vbd+++xvbn+=sprang
up ^rp++++=up
in ^in++++=in
her ^pp$+pp3+++=her
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thought ^vbd+++xvbnx+=thought
about ^rb++++=about
him ^pp3o+pp3+++=him
as ^ql++++=as
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved
around ^rp++++=around
her ^pp$+pp3+++=her
little ^ap++++=little
house ^npl++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
talked ^vbd+++xvbnx+=talked
him ^pp3o+pp3+++=him
over ^in++++=over
with ^in++++=with
Ellen ^np++++=Ellen.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
suppose ^vb+vprv+++=suppose
the ^ati++++=the
girl ^nn++++=girl
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
love ^nn++++=love
with ^in++++=with
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua+tht0+xvbn+=asked
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Ellen ^np++++=Ellen
knew ^vbd+vprv++xvbn+=knew
no ^at++++=no
more ^rbr++++=more
than ^cs+sub+++=than
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
All ^abn++++=All
any ^dti++++=any
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
Sylvester ^np+nom++??+=Sylvester
Noble ^jj++++=Noble
was ^vbd+bedz+vrb++=was
about ^in++++=about
forty ^cd++++=forty
years ^nns++++=years
old ^jj++++=old;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village
eight ^cd++++=eight
or ^cc++++=or
nine ^cd++++=nine
years ^nns++++=years,
, ^zz++++=EXTRAWORD
all ^abn++++=all
alone ^rb++++=alone
in ^in++++=in
a ^at++++=a
small ^jj++++=small,
, ^zz++++=EXTRAWORD
neglected ^xvbn+++xvbn+=neglected
house ^npl++++=house
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
purchased ^vprf+++xvbnx+=purchased;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+vrb++=have
some ^dti++++=some
slender ^jj+atrb+++=slender
means ^nn++++=means
of ^in++++=of
support ^nn++++=support,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
apparently ^rb++++=apparently
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
labor ^nn++++=labor;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
every ^at++++=every
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
through ^in++++=through
most ^ql+emph+++=most
of ^in++++=of
July ^nr++++=July
and ^cc++++=and
August ^nr++++=August,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
away ^rp+pl+splt++=away
camping ^vbg+++xvbgx+=camping
out ^rp+pl+++=out
somewhere ^rb++++=somewhere.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
summer ^nn++++=summer
July ^nr++++=July
melted ^vbd+++xvbn+=melted
into ^in++++=into
August ^nr++++=August,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sylvester ^np+nom++??+=Sylvester
had ^vb+hv+aux++=had
not ^xnot++not++=not
gone ^vbd+++xvbn+=gone.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
month ^nn++++=month,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
currant ^jj+atrb+++=currant
bushes ^nns++++=bushes
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
was ^vbd+bedz+vrb++=was
sewing ^nn++++=sewing
at ^in++++=at
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saw ^vbd+vprv++xvbnx+=saw
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ran ^vbd+++xvbn+=ran
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
across ^in+pl+++=across
the ^ati++++=the
yard ^nn++++=yard
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Noble ^jj++++=Noble
looked ^jj+++xvbn+=looked
down ^rp++++=down
at ^in++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
away ^rp+pl+++=away,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
let ^vprf+++xvbnx+=let
you ^pp2+pp2+++=you
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
looked ^vbd+++xvbn+=looked
up ^rp++++=up
at ^in++++=at
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
frightened ^jj+atrb++xvbn+=frightened
way ^nn++++=way.
. ^zz++++=EXTRAWORD
" ^zz++++="Aren't
are ^vb+ber+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
coming ^vbg+++xvbg+=coming
back ^jjb++++=back?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Coming
coming ^vbg+++xvbg+=EXTRAWORD
back ^jjb++++=back?
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
just ^rb+emph+splt++=just
going ^vbg+++xvbgx+=going
over ^rb+phrv+++=over
to ^in+ppvb+++=to
the ^ati++++=the
Green ^nn++++=Green
Hills ^nns++++=Hills
to ^to++++=to
stay ^vbi++++=stay
a ^at++++=a
week ^nn++++=week
or ^cc++++=or
two ^cd++++=two.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
go ^vb++++=go
every ^at++++=every
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^rb++++=a
little ^rb"++++=little
shanty ^nn+++??+=shanty
I ^pp1a+pp1+++=I
built ^vbd+++xvbnx+=built
over ^in++++=over
there ^rn+pl+++=there
" ^zz++++="
" ^zz++++="Oh."
oh ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
frightened ^jj+++xvbn+=frightened
while ^cs+sub+++=while
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wo ^&fw++++=won't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
thinking ^vbg+++xvbgx+=thinking
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
that ^cs+sub+++=that
Ives ^np+++??+=Ives
girl ^nn++++=girl
come ^vprf+++xvbn+=come
over ^in++++=over
and ^cc++++=and
stay ^nn++++=stay
with ^in++++=with
you ^pp2+pp2+++=you
nights ^nns++++=nights?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
she ^pp3a+pp3+++=she
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
afraid ^jj++++=afraid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ask ^vb++++=ask
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
I ^pp1a+pp1+++=I
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ask ^vb++++=ask
her ^pp$+pp3+++=her
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
know ^vb+vprv+++=know
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
go ^vb++++=go,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Noble ^jj++++=Noble
stood ^vbd+++xvbn+=stood
looking ^vbg+++xvbg+=looking
at ^rb++++=at
her ^pp3o+pp3+++=her
silently ^rb++++=silently.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
talk ^vbi++++=talk.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
in ^in++++=in
the ^ati++++=the
Green ^nn++++=Green
Hills ^nns++++=Hills?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="Kill
kill ^vb++++=EXTRAWORD
snakes ^nns++++=snakes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shuddered ^vbd+++xvbnx+=shuddered.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
to ^to+vcmp+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Like
like ^vb++++=EXTRAWORD
to ^to+vcmp+++=to!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
better ^jjr+pred+++=better
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
way ^nn++++=way.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
awful ^jj+atrb+++=awful
things ^nns++++=things!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
looked ^vbd+++xvbn+=looked
bewildered ^vbd+++xvbn+=bewildered
and ^cc+phrs+++=and
frightened ^vbd+++xvbn+=frightened.
. ^zz++++=EXTRAWORD
" ^zz++++="Aren't
are ^vb+ber+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
afraid ^jj++++=afraid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling.
. ^zz++++=EXTRAWORD
" ^zz++++="Afraid
afraid ^jj++++=EXTRAWORD
of ^in++++=of
snakes ^nns++++=snakes?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
over ^in+ppvb+++=over
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ada ^np++++=Ada's
's ^$++++=EXTRAWORD
face ^nn++++=face
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
white ^jj+pred+++=white.
. ^zz++++=EXTRAWORD
Noble ^jj++++=Noble
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
tone ^nn++++=tone
changed ^vbd+++xvbn+=changed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=do
other ^ap++++=other
things ^nns++++=things
besides ^rb++++=besides
killing ^vbg+nom++xvbg+=killing
snakes ^nns++++=snakes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
pick ^vb++++=pick
up ^rp++++=up
stones ^nns++++=stones
and ^cc++++=and
queer ^jj+atrb+++=queer
objects ^nns++++=objects,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
write ^vb++++=write
things ^nns++++=things
about ^rb++++=about
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
with ^in++++=with
awe ^nn++++=awe.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
much ^ap++++=much
schooling ^nn+nom+++=schooling
father ^nn++++=father
was ^vbd+bedz+vrb++=was
all ^abn++++=all
for ^in++++=for
saving ^xvbg+++xvbg+=saving
money ^nn++++=money
but ^cc++++=but
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
picked ^vprf+++xvbnx+=picked
up ^rp++++=up
some ^dti++++=some
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
a ^rb++++=a
little ^rb"++++=little
about ^in++++=about
stones ^nns++++=stones
and ^cc++++=and
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
write ^vb++++=write
about ^in++++=about
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
pay ^nn++++=pay
me ^pp1o+pp1+++=me
something ^pn++++=something,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
I ^pp1a+pp1+++=I
keep ^vb++++=keep
soul ^nn++++=soul
and ^cc++++=and
body ^nn++++=body
together ^nn+nom+++=together."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
relief ^nn++++=relief
and ^cc++++=and
admiration ^nn+nom+++=admiration.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
can ^md+pos+++=can
do ^vb+do+vrb++=do
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
right ^jj++++=right
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
to ^to+vcmp+++=to
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
can ^md+pos+++=can
call ^vb++++=call
him ^pp3o+pp3+++=him
love ^nn++++=love-cracked
- ^zz++++=EXTRAWORD
cracked ^vbd+++xvbn+=EXTRAWORD
all ^abn++++=all
they ^pp3a+pp3+++=they
want ^vb++++=want
to ^to+vcmp+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
expressed ^vbd+vpub++xvbnx+=expressed
this ^dt+dem+++=this
opinion ^nn++++=opinion
with ^in++++=with
girlish ^jj+atrb+++=girlish
force ^vb++++=force
to ^to+vcmp+++=to
Ellen ^vb++++=Ellen
Ives ^np+++??+=Ives
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
to ^to++++=to
spend ^vbi++++=spend
the ^ati++++=the
nights ^nns++++=nights
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
give ^vb++++=give
her ^pp$+pp3+++=her
reason ^nn++++=reason
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
have ^vbi++vrb++=have
the ^ati++++=the
whole ^jj+atrb+++=whole
town ^nn++++=town
talking ^vwbg+++xvbg+=talking
about ^in++++=about
his ^pp$+pp3+++=his
affairs ^nns++++=affairs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
to ^to+vcmp+++=to
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
two ^cd++++=two
weeks ^nns++++=weeks
or ^cc++++=or
so ^ql++++=so
she ^pp3a+pp3+++=she
saw ^vbd+vprv+tht0+xvbnx+=saw
him ^pp3o+pp3+++=him
enter ^vb++++=enter
the ^ati++++=the
house ^npl++++=house
at ^rb++++=at
dusk ^nn++++=dusk
one ^cd1++++=one
Saturday ^nr++++=Saturday.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
she ^pp3a+pp3+++=she
stayed ^vbd+++xvbnx+=stayed
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blew ^vbd+++xvbn+=blew
out ^rp+pl+++=out
her ^pp$+pp3+++=her
light ^jj++++=light
with ^in++++=with
a ^at++++=a
reliant ^np+nom+++=reliant
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
bell ^nn++++=bell.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
in ^in++++=in
church ^nn++++=church
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
sweet ^jj++++=sweet
and ^cc++++=and
fair ^nn++++=fair
in ^in++++=in
her ^pp$+pp3+++=her
Sunday ^nr++++=Sunday
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^vpsv++agls+xvbn+=thought
about ^in++++=about
Sylvester ^np+nom++??+=Sylvester
Noble ^jj++++=Noble,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
one ^cd1++++=one
or ^cc++++=or
two ^cd++++=two
young ^jj+atrb+++=young
men ^nns++++=men,
, ^zz++++=EXTRAWORD
orthodox ^jj++++=orthodox,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
steady ^jj++++=steady,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reliable ^jj++++=reliable,
, ^zz++++=EXTRAWORD
eyed ^j+++xvbn+=eyed
her ^pp$+pp3+++=her
furtively ^jj++++=furtively.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
go ^vb++++=go
to ^in++++=to
meeting ^xvbg+++xvbg+=meeting,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
to ^to+vcmp+++=to
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saw ^vbd+vprv++xvbnx+=saw
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
that ^tht+rel+++=that
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
her ^pp3o+pp3+++=her
a ^at++++=a
pail ^nn++++=pail
of ^in++++=of
blackberries ^nns++++=blackberries
and ^cc++++=and
a ^at++++=a
great ^jj+atrb+++=great
bunch ^nn++++=bunch
of ^in++++=of
ferns ^nns+++??+=ferns
and ^cc++++=and
flowers ^nns+nom+++=flowers
over ^in++++=over
the ^ati++++=the
currant ^jj+atrb+++=currant
bushes ^nns++++=bushes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
very ^ql+amp+++=very
handsome ^jj++++=handsome
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
sunburned ^jj+atrb++xvbn+=sunburned
face ^nn++++=face,
