Sitting ^vbg+++xvbg+=Sitting
range ^nn++++=range
and ^cc++++=and
look ^vb++++=look
up ^rp++++=up
Alice ^np++++=Alice
and ^cc++++=and
bring ^vb++++=bring
her ^pp$+pp3+++=her
home ^nr++++=home,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
too ^ql++++=too
weak ^jj++++=weak
to ^to++++=to
come ^vbi++++=come
back ^jjb++++=back
with ^in++++=with
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Basilio ^np++++=Basilio
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
corral ^nn++++=corral
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
lashed ^vbd+++xvbnx+=lashed
to ^in++++=to
the ^ati++++=the
horse ^nn++++=horse?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know--Nicolas
-- ^--+clp+++=EXTRAWORD
nicolas ^np++++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
may ^md+pos+++=may
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
all ^abn++++=all
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
threw ^vbd+++xvbnx+=threw
her ^pp$+pp3+++=her
arms ^nns++++=arms
around ^rp++++=around
her ^pp3o+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
neck ^nn++++=neck
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
him ^pp3o+pp3+++=him
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
noble ^jj+atrb+++=noble,
, ^zz++++=EXTRAWORD
generous ^jj+atrb+++=generous
husband ^nn++++=husband!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you
a ^at++++=a
thousand ^cd++++=thousand
times ^nns++++=times
more ^rbr++++=more
than ^in++++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
go ^vb++++=go,
, ^zz++++=EXTRAWORD
Robert ^np++++=Robert,
, ^zz++++=EXTRAWORD
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
release ^nn++++=release
Basilio ^np++++=Basilio."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
leave ^vb++++=leave
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
shall ^md+prd+++=shall!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
fully ^rb+amp+splt++=fully
recovered ^vpsv++agls+xvbnx+=recovered.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
sooner ^rbr++++=sooner
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
the ^ati++++=the
room ^nn++++=room
than ^cs+sub+++=than
she ^pp3a+pp3+++=she
sprang ^vbd+++xvbnx+=sprang
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
caught ^j+++xvbn+=caught
up ^rp++++=up
a ^at++++=a
penknife ^nn++++=penknife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
noiselessly ^rb++++=noiselessly
followed ^vbd+vprv++xvbn+=followed
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
suspect ^jj++++=suspect
her ^pp3o+pp3+++=her
presence ^nn+nom+++=presence
close ^jj++++=close
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him
as ^ql++++=as
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
towards ^in++++=towards
the ^ati++++=the
corral ^nn++++=corral.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
thus ^rb+cnj+++=thus
a ^at++++=a
short ^jj+atrb+++=short
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
house ^npl++++=house
her ^pp$+pp3+++=her
alert ^nn++++=alert
ear ^nn++++=ear
caught ^vbd+++xvbn+=caught
a ^at++++=a
peculiar ^jj++++=peculiar
sound ^jj++++=sound
that ^dt+dem+++=that
sent ^xvbn+++xvbn+=sent
icicles ^nns+++??+=icicles
through ^rp++++=through
her ^pp3o+pp3+++=her
body ^nn++++=body.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
feeble ^jj+atrb+++=feeble
cries ^nns++++=cries
of ^in++++=of
human ^jj+atrb+++=human
agony ^nn++++=agony,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
from ^in+ppvb+++=from
a ^at++++=a
direction ^nn+nom+++=direction
other ^ap++++=other
than ^cs+sub+++=than
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
corral ^nn++++=corral.
. ^zz++++=EXTRAWORD
Heedlessly ^rb+cnj+++=Heedlessly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
unwisely ^rb+cnj+++=unwisely,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ran ^vbd+++xvbnx+=ran
towards ^in++++=towards
their ^pp$+pp3+++=their
source ^nn++++=source,
, ^zz++++=EXTRAWORD
without ^in++++=without
having ^nn+nn+aux++=having
summoned ^vbd+++xvbn+=summoned
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soon ^rb+tm+++=soon
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
upon ^in+ppvb+++=upon
a ^at++++=a
fearful ^jj+atrb+++=fearful
spectacle ^nn++++=spectacle.
. ^zz++++=EXTRAWORD
Mcpherson ^np+++??+=McPherson
pursued ^vbd+++xvbn+=pursued
his ^pp$+pp3+++=his
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
corral ^nn++++=corral;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
arrived ^vbd+++xvbnx+=arrived
there ^ex+pex+++=there
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
surprised ^vpsv++agls+xvbnx+=surprised
not ^xnot++not++=not
to ^to++++=to
find ^vbi+vprv+++=find
Basilio ^np++++=Basilio
in ^in++++=in
the ^ati++++=the
enclosure ^nn++++=enclosure.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gate ^nn++++=gate
was ^vbd+bedz+aux++=was
closed ^vpsv++agls+xvbnx+=closed--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
horse ^nn++++=horse
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
lashed ^vpsv++agls+xvbnx+=lashed
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
escaped ^vprf+++xvbnx+=escaped
through ^in++++=through
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
signs ^nns++++=signs
of ^in++++=of
a ^at++++=a
commotion ^nn+nom+++=commotion
that ^tht+rel+subj++=that
must ^md+nec+++=must
have ^vb+hv+aux++=have
occurred ^vprf+++xvbnx+=occurred
among ^in++++=among
the ^ati++++=the
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
caused ^j+++xvbn+=caused,
, ^zz++++=EXTRAWORD
undoubtedly ^rb+cnj+++=undoubtedly,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
strange ^jj+atrb+++=strange
sight ^nn++++=sight
of ^in++++=of
a ^at++++=a
man ^nn++++=man
lashed ^vbd+++xvbn+=lashed
in ^in++++=in
some ^dti++++=some
peculiar ^jj+atrb+++=peculiar
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
one ^pn++++=one
of ^in++++=of
their ^pp$+pp3+++=their
number ^nn++++=number.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ground ^nn++++=ground
was ^vbd+bedz+aux++=was
torn ^vpsv++by+xvbnx+=torn
by ^in++++=by
flying ^xvbg+++xvbg+=flying
hoofs ^nns++++=hoofs
in ^in++++=in
all ^abn++++=all
directions ^nns+nom+++=directions;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
wild ^jj+atrb+++=wild
stampede ^nn+++??+=stampede
among ^in++++=among
the ^ati++++=the
animals ^nns+nom+++=animals.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered,
, ^zz++++=EXTRAWORD
possibly ^rb++++=possibly
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
half ^abn++++=half-hour
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
after ^cs+sub+++=after
Basilio ^np++++=Basilio
was ^vbd+bedz+aux++=was
introduced ^vpsv++agls+xvbnx+=introduced
among ^in++++=among
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
huddled ^vpsv++agls+xvbnx+=huddled
in ^in++++=in
a ^at++++=a
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
snorted ^vpsv++agls+xvbn+=snorted
in ^in++++=in
alarm ^nn++++=alarm
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
approached ^vbd+++xvbnx+=approached
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horse ^nn++++=horse
to ^to++++=to
which ^whp+who+++=which
Nicolas ^np+++??+=Nicolas
had ^vbd+hvd+aux++=had
lashed ^vprf+++xvbnx+=lashed
Basilio ^np++++=Basilio
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
Annoyed ^jj++++=Annoyed
at ^in++++=at
the ^ati++++=the
stupidity ^nn+nom+++=stupidity
of ^in++++=of
Nicolas ^np+++??+=Nicolas,
, ^zz++++=EXTRAWORD
Mcpherson ^np+++??+=McPherson
looked ^vbd+++xvbn+=looked
about ^in++++=about
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
fence ^nn++++=fence
through ^in++++=through
which ^whp+rel+pied++=which
Basilio ^np++++=Basilio's
's ^$++++=EXTRAWORD
horse ^nn++++=horse
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken;
; ^zz++++=EXTRAWORD
only ^rb+down+++=only
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
rails ^nns++++=rails
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thrown ^vpsv++agls+xvbnx+=thrown
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Alarmed ^j+++xvbn+=Alarmed
and ^cc+phrs+++=and
distressed ^jj+++xvbn+=distressed,
, ^zz++++=EXTRAWORD
Mcpherson ^np+++??+=McPherson
leaped ^vbd+++xvbn+=leaped
over ^in++++=over
the ^ati++++=the
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
up ^rp++++=up
the ^ati++++=the
trail ^nn++++=trail
of ^in++++=of
the ^ati++++=the
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vbd+vprv++xvbn+=followed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
he ^pp3a+pp3+++=he
discovered ^vbd+vprv++xvbnx+=discovered
that ^tht+vcmp+++=that
the ^ati++++=the
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
mad ^jj+atrb+++=mad
flight ^nn++++=flight,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
through ^in++++=through
the ^ati++++=the
fence ^nn++++=fence
enclosing ^vwbg+++xvbg+=enclosing
the ^ati++++=the
apiary ^nn++++=apiary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
played ^vprf+++xvbnx+=played
havoc ^nn++++=havoc
among ^in++++=among
the ^ati++++=the
twenty ^cd++++=twenty
or ^cc++++=or
more ^rbr++++=more
bee ^nn++++=bee-hives
- ^zz++++=EXTRAWORD
hives ^nns++++=EXTRAWORD
therein ^rb++++=therein.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Mcpherson ^np+++??+=McPherson
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
spectacle ^nn++++=spectacle
that ^tht+rel+++=that
for ^in++++=for
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
took ^vbd+++xvbn+=took
all ^rb++++=all
the ^ati++++=the
strength ^nn++++=strength
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
body ^nn++++=body.
. ^zz++++=EXTRAWORD
The ^ati++++=The
senora ^nn+++??+=senora,
, ^zz++++=EXTRAWORD
guided ^xvbn+++xvbn+=guided
by ^in++++=by
a ^at++++=a
quicker ^jjr+atrb+++=quicker
sense ^nn++++=sense
than ^cs+sub+++=than
that ^dt+dem+++=that
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
straight ^jj++++=straight
to ^in++++=to
the ^ati++++=the
apiary ^nn++++=apiary.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
with ^in++++=with
Basilio ^np++++=Basilio,
, ^zz++++=EXTRAWORD
naked ^jj++++=naked
to ^in++++=to
the ^ati++++=the
waist ^nn++++=waist,
, ^zz++++=EXTRAWORD
strapped ^j+++xvbn+=strapped
upon ^in++++=upon
his ^pp$+pp3+++=his
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
the ^ati++++=the
animal ^nn++++=animal
plunging ^vwbg+++xvbg+=plunging
madly ^rb++++=madly
among ^in++++=among
the ^ati++++=the
bee ^nn++++=bee-hives,
- ^zz++++=EXTRAWORD
hives ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
kicking ^vbg+++xvbg+=kicking
them ^pp3o+pp3+++=them
to ^in++++=to
fragments ^nns+nom+++=fragments
as ^in++++=as
the ^ati++++=the
vicious ^jj+atrb+++=vicious
insects ^nns++++=insects
plied ^vbd+++xvbn+=plied
him ^pp3o+pp3+++=him
with ^in++++=with
their ^pp$+pp3+++=their
stings ^nns+++??+=stings.
. ^zz++++=EXTRAWORD
Basilio ^np++++=Basilio
was ^vbd+bedz+aux++=was
tied ^vpsv++agls+xvbnx+=tied
with ^in++++=with
his ^pp$+pp3+++=his
face ^nn++++=face
to ^in++++=to
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
poured ^vbd+++xvbn+=poured
its ^pp$+it+++=its
fierce ^jj+atrb+++=fierce
rays ^nns++++=rays
into ^in++++=into
his ^pp$+pp3+++=his
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
for ^in++++=for
Nicolas ^np+++??+=Nicolas
was ^vbd+bedz+aux++=was
devoted ^vpsv++agls+xvbnx+=devoted
to ^in++++=to
the ^ati++++=the
senora ^nn+++??+=senora,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
determined ^jj++agls+xvbnx+=determined
to ^to+jcmp+++=to
make ^vbi++++=make
matters ^nns+nom+++=matters
as ^ql++++=as
uncomfortable ^jj++++=uncomfortable
for ^in++++=for
the ^ati++++=the
ingrate ^nn+nom+++=ingrate
as ^in++++=as
possible ^nn++++=possible.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
Basilio ^np++++=Basilio's
's ^$++++=EXTRAWORD
unprotected ^jj+atrb+++=unprotected
body ^nn++++=body
the ^ati++++=the
bees ^nns++++=bees
swarmed ^vwbn+++xvbn+=swarmed
by ^in++++=by
hundreds ^cds++++=hundreds,
, ^zz++++=EXTRAWORD
giving ^jj+++xvbg+=giving
him ^pp3o+pp3+++=him
a ^at++++=a
score ^nn++++=score
of ^in++++=of
stings ^nns+++??+=stings
to ^to++++=to
one ^pn++++=one
for ^in++++=for
the ^ati++++=the
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
utterly ^rb+amp+++=utterly
helpless ^vb+pred+++=helpless
to ^to+vcmp+++=to
protect ^vbi++++=protect
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Already ^rb++++=Already
the ^ati++++=the
poison ^nn++++=poison
of ^in++++=of
a ^at++++=a
thousand ^cd++++=thousand
stings ^nns+++??+=stings
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
poured ^vpsv++agls+xvbnx+=poured
into ^in++++=into
his ^pp$+pp3+++=his
face ^nn++++=face
and ^cc++++=and
body ^nn++++=body;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
features ^nns++++=features
were ^vbd+bed+vrb++=were
hideously ^rb++++=hideously
swollen ^jj+pred+++=swollen
and ^cc+phrs+++=and
distorted ^jj+++xvbn+=distorted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
chest ^nn++++=chest
was ^vbd+bedz+aux++=was
puffed ^vpsv++agls+xvbnx+=puffed
out ^rp+pl+++=out
of ^in++++=of
resemblance ^nn+nom+++=resemblance
to ^in++++=to
a ^at++++=a
human ^jj+atrb+++=human
shape ^nn++++=shape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
livid ^jj+pred+++=livid
and ^cc+phrs+++=and
ghastly ^jj++++=ghastly.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
hesitation ^nn+nom+++=hesitation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
senora ^nn+++??+=senora
flew ^vbd+++xvbn+=flew
through ^in++++=through
the ^ati++++=the
gate ^nn++++=gate
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
the ^ati++++=the
deliverance ^nn+nom+++=deliverance
of ^in++++=of
Basilio ^np++++=Basilio,
, ^zz++++=EXTRAWORD
praying ^jj+++xvbg+=praying
to ^in++++=to
God ^np++++=God
with ^in++++=with
every ^at++++=every
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
cries ^nns++++=cries
were ^vbd+bed+vrb++=were
feeble ^jj+pred+++=feeble,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
strength ^nn++++=strength
was ^vbd+bedz+aux++=was
nearly ^rb+down+splt++=nearly
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
incredible ^jj+atrb+++=incredible
agony ^nn++++=agony,
, ^zz++++=EXTRAWORD
aided ^xvbn+++xvbn+=aided
by ^in++++=by
the ^ati++++=the
poison ^nn++++=poison
of ^in++++=of
the ^ati++++=the
bees ^nns++++=bees,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
his ^pp$+pp3+++=his
wits ^nns++++=wits
astray ^rb++++=astray.
. ^zz++++=EXTRAWORD
For ^in++++=For
Violante ^np+++??+=Violante
to ^in++++=to
approach ^nn++++=approach
the ^ati++++=the
maddened ^jj+atrb++xvbn+=maddened
horse ^nn++++=horse
and ^cc++++=and
the ^ati++++=the
swarming ^jj+atrb+++=swarming
bees ^nns++++=bees
was ^vbd+bedz+aux++=was
to ^to++++=to
offer ^vb++++=offer
herself ^ppl+pp3+++=herself
to ^in++++=to
death ^nn++++=death;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
cared ^vbd+++xvbn+=cared
she ^pp3a+pp3+++=she
for ^in++++=for
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
another ^dt++++=another's
's ^vbz+bez+vrb++0=EXTRAWORD
life ^nn++++=life
was ^vbd+bedz+vrb++=was
at ^rb++++=at
stake ^nn++++=stake?
? ^zz++++=EXTRAWORD
Into ^in++++=Into
this ^dt+dem+++=this
desperate ^jj+atrb+++=desperate
situation ^nn+nom+++=situation
she ^pp3a+pp3+++=she
threw ^vbd+++xvbnx+=threw
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
coolness ^nns+nom+++=coolness
of ^in++++=of
a ^at++++=a
trained ^jj+atrb++xvbn+=trained
horsewoman ^nn+nom+++=horsewoman,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
finally ^rb++++=finally
twisted ^vbd+++xvbn+=twisted
the ^ati++++=the
fingers ^nns+nom+++=fingers
of ^in++++=of
one ^cd1++++=one
hand ^nn++++=hand
into ^in++++=into
the ^ati++++=the
frantic ^jj+atrb+++=frantic
horse ^nn++++=horse's
's ^$++++=EXTRAWORD
nostrils ^nns++++=nostrils,
, ^zz++++=EXTRAWORD
bringing ^jj+++xvbg+=bringing
him ^pp3o+pp3+++=him
instantly ^rb+tm+++=instantly
under ^in++++=under
control ^nn++++=control.
. ^zz++++=EXTRAWORD
In ^in++++=In
another ^dt++++=another
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
unmindful ^jj++++=unmindful
of ^in++++=of
the ^ati++++=the
stings ^nns+++??+=stings
which ^whp+rel+obj++=which
the ^ati++++=the
bees ^nns++++=bees
inflicted ^vbd+++xvbn+=inflicted
upon ^in++++=upon
her ^pp$+pp3+++=her
face ^nn++++=face
and ^cc++++=and
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
Basilio ^np++++=Basilio's
's ^$++++=EXTRAWORD
lashings ^nns+++??+=lashings
and ^cc++++=and
caught ^vbd+++xvbn+=caught
his ^pp$+pp3+++=his
shapeless ^jj+atrb+++=shapeless
body ^nn++++=body
in ^in++++=in
her ^pp$+pp3+++=her
arms ^nns++++=arms
as ^ql++++=as
it ^pp3+it+++=it
slipped ^vbd+++xvbn+=slipped
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
taking ^jj+++xvbg+=taking
him ^pp3o+pp3+++=him
under ^in++++=under
the ^ati++++=the
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
dragged ^vbd+++xvbnx+=dragged
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
with ^in++++=with
uncommon ^jj+atrb+++=uncommon
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
enclosure ^nn++++=enclosure
and ^cc++++=and
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
murderous ^jj+atrb+++=murderous
assaults ^nns++++=assaults
of ^in++++=of
the ^ati++++=the
bees ^nns++++=bees.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
moaned ^vbd+++xvbnx+=moaned;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^jjb++++=head
rolled ^jj+++xvbn+=rolled
from ^in++++=from
one ^cd1++++=one
side ^nn++++=side
to ^in++++=to
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
closed ^vpsv++by+xvbnx+=closed
by ^in++++=by
the ^ati++++=the
swelling ^nn+nom+++=swelling
of ^in++++=of
the ^ati++++=the
lids ^nns++++=lids,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
had ^vb+hv+aux++=had
this ^dt+dem+++=this
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
past ^jjb++++=past
knowing ^jj+++xvbg+=knowing
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laid ^vbd+++xvbnx+=laid
him ^pp3o+pp3+++=him
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
shade ^nn++++=shade
of ^in++++=of
a ^at++++=a
great ^jj+atrb+++=great
oak ^nn++++=oak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
