Human ^jj+atrb+++=Human
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
explained ^vprf+++xvbnx+=explained
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
could ^md+pos+++=could
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
back ^jjb++++=back
at ^in++++=at
the ^ati++++=the
usual ^jj+atrb+++=usual
time ^nn++++=time.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Yes--that's
yes--that ^nn+++??+=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
true ^jj++++=true--but--'
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
it ^pp3+it+++=it
happen ^vb+++??+=happen
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
really ^rb+cnj+++=really,
, ^zz++++=EXTRAWORD
Archibald ^np++++=Archibald!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
suddenly ^rb++++=suddenly
exclaimed ^jj+++xvbn+=exclaimed.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
idea ^nn++++=idea
of ^in++++=of
you ^pp2+pp2+++=you
coming ^nvbg+++xvbg+=coming
into ^in++++=into
the ^ati++++=the
room ^nn++++=room
with ^in++++=with
muddy ^jj+atrb+++=muddy
boots ^nns++++=boots!
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
look ^vb++++=look!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
patch ^nn++++=patch
of ^in++++=of
mud ^nn++++=mud
on ^in++++=on
the ^ati++++=the
carpet ^nn++++=carpet--'
-- ^--+clp+++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
hurry ^nn++++=hurry
to ^to++++=to
speak ^vbi++++=speak
to ^in++++=to
you ^pp2+pp2+++=you,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
murmured ^vbd+++xvbn+=murmured
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan,
, ^zz++++=EXTRAWORD
in ^in++++=in
confusion ^nn++++=confusion.
. ^zz++++=EXTRAWORD
' ^zz++++='Please
please ^uh++++=EXTRAWORD
go ^vb++++=go
at ^rb++++=at
once ^rb"+tm+++=once
and ^cc++++=and
take ^vb++++=take
your ^pp$+pp2+++=your
boots ^nns++++=boots
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
left ^vbd+++xvbn+=left
your ^pp$+pp2+++=your
slippers ^nns+nom+++=slippers
in ^in++++=in
the ^ati++++=the
bedroom ^nn++++=bedroom
this ^dt+dem+++=this
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
always ^rb++splt++=always
bring ^vb++++=bring
them ^pp3o+pp3+++=them
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
dining ^jj+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
cupboard ^nn++++=cupboard;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
ready ^jj+pred+++=ready
for ^in++++=for
you ^pp2+pp2+++=you
when ^wrb+who+++=when
you ^pp2+pp2+++=you
come ^vb++++=come
into ^in+ppvb+++=into
the ^ati++++=the
house ^nn++++=house.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
had ^vb+hv+vrb++=had
but ^cc++++=but
a ^at++++=a
moderate ^jj+atrb+++=moderate
appetite ^nn++++=appetite
for ^in++++=for
his ^pp$+pp3+++=his
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
talk ^nn++++=talk
so ^ql++++=so
pleasantly ^rb++++=pleasantly
as ^in++++=as
usual ^nn++++=usual.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
but ^cc++++=but
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
troubles ^nns++++=troubles
such ^abl++++=such
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
not ^xnot++not++=not
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
foreseen ^vwbn+++xvbn+=foreseen.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
since ^cs+sub+++=since
their ^pp$+pp3+++=their
engagement ^nn+nom+++=engagement
taken ^vwbn+++xvbn+=taken
the ^ati++++=the
upper ^jjb+atrb+++=upper
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
show ^vbi+vprv+++=show
her ^pp$+pp3+++=her
determination ^nn+nom+++=determination
to ^to+ncmp+++=to
keep ^vbi++++=keep
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
day ^nn++++=day
by ^in++++=by
day ^nn++++=day
her ^pp3o+pp3+++=her
rule ^nn++++=rule
grew ^vbd+++xvbn+=grew
more ^rbr++++=more
galling ^jj++++=galling
to ^in++++=to
the ^ati++++=the
ex ^np++++=ex-bachelor.
- ^zz++++=EXTRAWORD
bachelor ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
days ^nns++++=days,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
plagued ^vprf+++xvbnx+=plagued
his ^pp$+pp3+++=his
landladies ^nns++++=landladies
by ^in++++=by
insisting ^nn++++=insisting
upon ^in++++=upon
method ^nn++++=method
and ^cc++++=and
routine ^nn++++=routine,
, ^zz++++=EXTRAWORD
by ^in++++=by
his ^pp$+pp3+++=his
faddish ^jj+atrb+++=faddish
attention ^nn+nom+++=attention
to ^in++++=to
domestic ^jj+atrb+++=domestic
minutiae ^nns++++=minutiae;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
now ^rn+tm+++=now
learnt ^vbd+vprv++xvbn+=learnt
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
despotism ^nn+nom+++=despotism,
, ^zz++++=EXTRAWORD
exercised ^j+++xvbn+=exercised
with ^in++++=with
much ^ap++++=much
more ^rbr++++=more
exasperating ^jj+atrb+++=exasperating
persistence ^nn+nom+++=persistence.
. ^zz++++=EXTRAWORD
Whereas ^cs+sub+++=Whereas
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield
had ^vb+hv+aux++=had
scrupulously ^rb++splt++=scrupulously
obeyed ^vprf+++xvbnx+=obeyed
every ^at++++=every
direction ^nn+nom+++=direction
given ^vwbn+++xvbn+=given
by ^in++++=by
her ^pp$+pp3+++=her
lodger ^jjr++++=lodger,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
was ^vbd+bedz+aux++=was
evidently ^rb++splt++=evidently
resolved ^vpsv++agls+xvbnx+=resolved
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
husband ^nn++++=husband
should ^md+nec+++=should
live ^vb++++=live,
, ^zz++++=EXTRAWORD
move ^vb++++=move,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
his ^pp$+pp3+++=his
being ^vbg+beg++xvbg+=being
in ^in++++=in
the ^ati++++=the
strictest ^jjt+atrb+++=strictest
accordance ^nn+nom+++=accordance
with ^in++++=with
her ^pp$+pp3+++=her
own ^ap++++=own
ideal ^nn++++=ideal.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
in ^in++++=in
any ^dti++++=any
spirit ^nn++++=spirit
of ^in++++=of
nagging ^xvbg+++xvbg+=nagging,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
ill ^jj++++=ill-tempered
- ^zz++++=EXTRAWORD
tempered ^vwbn+++xvbn+=EXTRAWORD
unreasonableness ^nns+nom+++=unreasonableness;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
merely ^rb+down+++=merely
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
favourite ^jjb+atrb+++=favourite
way ^nn++++=way
of ^in++++=of
doing ^xvbg+++xvbg+=doing
every ^at++++=every
conceivable ^jj+atrb+++=conceivable
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
felt ^vbd+vprv++xvbn+=felt
so ^ql+emph+++=so
sure ^jj++++=sure
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
all ^rb++++=all
possible ^jj+atrb+++=possible
ways ^nns++++=ways
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
endure ^vb++++=endure
any ^dti++++=any
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
serious ^jj+atrb+++=serious
disagreement ^nn+nom+++=disagreement
between ^in++++=between
them ^pp3o+pp3+++=them
had ^vb+hv+vrb++=had
reference ^nn+nom+++=reference
to ^to++++=to
conduct ^vbi++++=conduct
at ^in++++=at
the ^ati++++=the
breakfast ^nn++++=breakfast-table.
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
night ^nn++++=night,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
headachy ^nn+++??+=headachy
and ^cc++++=and
worried ^jj+++xvbn+=worried,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
newspaper ^nn+nom+++=newspaper,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded
it ^pp3+it+++=it
conveniently ^rb+cnj+++=conveniently,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^nn+++xvbn+=set
it ^pp3+it+++=it
against ^in++++=against
the ^ati++++=the
bread ^nn++++=bread
so ^ql++++=so
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
read ^vb+vprv++xvbn+=read
while ^cs+sub+++=while
eating ^nvbg+++xvbg+=eating.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
a ^at++++=a
word ^nn++++=word,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
gently ^rb++++=gently
removed ^vbd+++xvbn+=removed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
it ^pp3+it+++=it
aside ^rp++++=aside
on ^in++++=on
a ^at++++=a
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
gruffly ^jj++++=gruffly.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
read ^vb+vprv++xvbn+=read
at ^rb++++=at
meals ^nns++++=meals,
, ^zz++++=EXTRAWORD
Archibald ^np++++=Archibald.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
bad ^jj+atrb+++=bad
manners ^nns+nom+++=manners,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bad ^jj++++=bad
for ^in++++=for
your ^pp$+pp2+++=your
digestion ^nn+nom+++=digestion.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
read ^vprf+++xvbnx+=read
the ^ati++++=the
news ^nn++++=news
at ^in++++=at
breakfast ^nn++++=breakfast
all ^rb++++=all
my ^pp$+pp1+++=my
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
do ^vb+do+vrb++=do
so ^rb++++=so
still ^rb+cnj+++=still,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
starting ^nvbg+++xvbg+=starting
up ^rp++++=up
and ^cc++++=and
recovering ^vbg+++xvbg+=recovering
his ^pp$+pp3+++=his
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
' ^zz++++='Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
have ^vb+hv+vrb++=have
breakfast ^nn++++=breakfast
by ^in++++=by
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
Nelly ^np++++=Nelly,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
must ^md+nec+++=must
go ^vb++++=go
into ^in++++=into
the ^ati++++=the
other ^ap++++=other
room ^nn++++=room
till ^in++++=till
papa ^npt++++=papa
has ^vbz+hvz+aux++=has
finished ^vprf+++xvbnx+=finished.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
ate ^vbd+++xvbn+=ate
mechanically ^rb+cnj+++=mechanically,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stared ^vprf+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
newspaper ^nn+nom+++=newspaper
with ^in++++=with
just ^rb+emph+++=just
as ^ql++++=as
little ^ap++++=little
consciousness ^nns+nom+++=consciousness.
. ^zz++++=EXTRAWORD
Prompted ^xvbn+++xvbn+=Prompted
by ^in++++=by
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
weakness ^nns+nom+++=weakness
of ^in++++=of
his ^pp$+pp3+++=his
character ^nn+nom+++=character
to ^to++++=to
yield ^vbi++++=yield
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
wrath ^nn++++=wrath
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
dogged ^jj++++=dogged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
more ^rbr++++=more
steadily ^rb++++=steadily
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
his ^pp$+pp3+++=his
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^ql++++=more
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
appalled ^vbd+++xvbnx+=appalled
by ^in++++=by
the ^ati++++=the
outlook ^nn++++=outlook.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
meant ^vbd+vprv++xvbn+=meant
downright ^jjb+atrb+++=downright
slavery ^nn+nom+++=slavery!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
married ^vprf+++xvbnx+=married
a ^at++++=a
woman ^nn++++=woman
so ^rb++++=so
horribly ^rb++++=horribly
like ^in++++=like
himself ^ppl+pp3+++=himself
in ^in++++=in
several ^ap++++=several
points ^nns++++=points
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
only ^rb+down+++=only
hope ^nn++++=hope
lay ^vbd+++xvbn+=lay
in ^in++++=in
overcoming ^xvbg+++xvbg+=overcoming
her ^pp$+pp3+++=her
by ^in++++=by
sheer ^jjb+atrb+++=sheer
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
A ^at++++=A
thoroughly ^rb+amp+++=thoroughly
good ^jj++++=good
and ^cc++++=and
well ^rb++++=well-meaning
- ^zz++++=EXTRAWORD
meaning ^nvbg+++xvbg+=EXTRAWORD
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
an ^at++++=an
excellent ^jj+atrb+++=excellent
housekeeper ^nn+nom+++=housekeeper,
, ^zz++++=EXTRAWORD
the ^ati++++=the
kind ^rb++++=kind
of ^rb"++++=of
wife ^nn++++=wife
to ^to++++=to
do ^vbi++++=do
him ^pp3o+pp3+++=him
credit ^nn++++=credit
and ^cc++++=and
improve ^vb++++=improve
his ^pp$+pp3+++=his
social ^jj+atrb+++=social
position ^nn+nom+++=position;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
self ^nn++++=self-willed,
- ^zz++++=EXTRAWORD
willed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
pertinacious ^jj++++=pertinacious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
probably ^rb++++=probably
thinking ^nvbg+++xvbg+=thinking
herself ^ppl+pp3+++=herself
his ^pp$+pp3+++=his
superior ^nn++++=superior
in ^in++++=in
every ^at++++=every
respect ^nn++++=respect.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^to++++=to
fear ^vbi++++=fear
but ^cc++++=but
subjection ^nn+nom+++=subjection--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
one ^cd1++++=one
thing ^nn++++=thing
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
anticipated ^vprf+++xvbnx+=anticipated,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
thing ^nn++++=thing
he ^pp3a+pp3+++=he
could ^md+pos+++=could
never ^rb++splt++=never
endure ^vb++++=endure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
off ^rp+pl+++=off
to ^in++++=to
business ^nns+nom+++=business
without ^in++++=without
seeing ^xvbg+++xvbg+=seeing
his ^pp$+pp3+++=his
wife ^nn++++=wife
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passed ^vbd+++xvbn+=passed
a ^at++++=a
lamentable ^jj+atrb+++=lamentable
day ^nn++++=day.
. ^zz++++=EXTRAWORD
At ^in++++=At
his ^pp$+pp3+++=his
ordinary ^jj+atrb+++=ordinary
hour ^nn++++=hour
of ^in++++=of
return ^nn++++=return,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
setting ^xvbg+++xvbg+=setting
off ^in+pl+++=off
homeward ^rb+cnj+++=homeward,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
strayed ^vbd+++xvbnx+=strayed
about ^in++++=about
the ^ati++++=the
by ^in++++=by-streets
- ^zz++++=EXTRAWORD
streets ^nns++++=EXTRAWORD
of ^in++++=of
Islington ^np+++??+=Islington
and ^cc++++=and
Pentonville ^np+++??+=Pentonville.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
till ^in++++=till
this ^dt+dem+++=this
moment ^nn++++=moment
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
how ^wrb+who+whcl++=how
dear ^uh++++=dear
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
to ^to++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
familiar ^jj+atrb+++=familiar
streets ^nns++++=streets;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
very ^ql+amp+++=very
odours ^nns++++=odours
fell ^vbd+++xvbn+=fell
sweet ^jj++++=sweet
upon ^in++++=upon
his ^pp$+pp3+++=his
nostrils ^nns++++=nostrils.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
again ^rb+tm+++=again
could ^md+pos+++=could
he ^pp3a+pp3+++=he
go ^vb++++=go
hither ^rb++++=hither
and ^cc+phrs+++=and
thither ^rb+cnj+++=thither,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
old ^jj+atrb+++=old
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
places ^nns++++=places,
, ^zz++++=EXTRAWORD
to ^in++++=to
his ^pp$+pp3+++=his
heart ^nn++++=heart's
's ^$++++=EXTRAWORD
content ^nn++++=content.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
had ^vbd+hvd+aux++=had
possessed ^vprf+++xvbnx+=possessed
him ^pp3o+pp3+++=him
to ^to++++=to
abandon ^vbi++++=abandon
this ^dt+dem+++=this
precious ^jj+atrb+++=precious
liberty ^nn++++=liberty!
! ^zz++++=EXTRAWORD
The ^ati++++=The
thought ^nn+++xvbn+=thought
of ^in++++=of
Wood ^nn++++=Wood
Green ^nn++++=Green
revolted ^vbd+++xvbn+=revolted
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
live ^vb++++=live
there ^rn+pl+++=there
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
he ^pp3a+pp3+++=he
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
never ^rb++++=never
be ^vb+be+vrb++=be
at ^rb++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife
( ^zz++++=(now
now ^rn+tm+++=EXTRAWORD
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
him ^pp3o+pp3+++=him)
) ^zz++++=EXTRAWORD
with ^in++++=with
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
with ^in++++=with
a ^at++++=a
reaction ^nn+nom+++=reaction
of ^in++++=of
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
her ^pp$+pp3+++=her
wait ^vb++++=wait!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He--Archibald
-- ^--+clp+++=EXTRAWORD
archibald ^np++++=EXTRAWORD
Jordan ^np++++=Jordan--before
-- ^--+clp+++=EXTRAWORD
before ^cs+sub+++=EXTRAWORD
whom ^whp+rel+pied++=whom
women ^nns++++=women
had ^vbd+hvd+aux++=had
bowed ^vprf+++xvbnx+=bowed
and ^cc+phrs+++=and
trembled ^vpsv++agls+xvbn+=trembled
for ^in++++=for
five ^cd++++=five-and-twenty
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
years ^nns++++=years--was
-- ^--+clp+++=EXTRAWORD
was ^vbd+bedz+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he
to ^to++++=to
come ^vbi++++=come
and ^cc+phrs+++=and
go ^vb++++=go
at ^in++++=at
a ^at++++=a
wife ^nn++++=wife's
's ^vbz+bez+aux++0=EXTRAWORD
bidding ^vbg+++xvbgx+=bidding?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
at ^rb++++=at
length ^rb"++++=length
the ^ati++++=the
thought ^nn++++=thought
seemed ^vbd+seem++xvbn+=seemed
so ^ql++++=so
utterly ^rb+amp+++=utterly
preposterous ^jj++++=preposterous
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
sped ^vbd+++xvbnx+=sped
northward ^jjb++++=northward
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
determined ^j+++xvbn+=determined
to ^in+jcmp+++=to
right ^jj++++=right
himself ^ppl+pp3+++=himself
this ^dt+dem+++=this
very ^ap+amp+++=very
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
sat ^vbd+++xvbn+=sat
alone ^jj++++=alone.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
marched ^vbd+++xvbnx+=marched
into ^in++++=into
the ^ati++++=the
room ^nn++++=room
with ^in++++=with
muddy ^jj+atrb+++=muddy
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
flung ^j+++xvbn+=flung
his ^pp$+pp3+++=his
hat ^nn++++=hat
and ^cc++++=and
overcoat ^nn++++=overcoat
into ^in++++=into
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poked ^vbd+++xvbn+=poked
the ^ati++++=the
fire ^nn++++=fire
violently ^rb++++=violently.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
eye ^nn++++=eye
was ^vbd+bedz+aux++=was
fixed ^vpsv++agls+xvbnx+=fixed
on ^rp++++=on
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
first ^rb++++=first
spoke ^vbd+++xvbn+=spoke--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
the ^ati++++=the
quiet ^jj+atrb+++=quiet
voice ^nn++++=voice
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
dreaded ^vbd+++xvbnx+=dreaded.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
by ^in++++=by
carrying ^nn++++=carrying
on ^in++++=on
like ^in++++=like
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
Archibald ^np++++=Archibald?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
carry ^vb++++=carry
on ^in++++=on
as ^ql++++=as
I ^pp1a+pp1+++=I
like ^vb++++=like
in ^in++++=in
my ^pp$+pp1+++=my
own ^ap++++=own
house ^nn++++=house--hear
