Half ^abn++++=Half
with ^in+ppvb+++=with
' ^zz++++='the
the ^ati++++=EXTRAWORD
long ^jj++++=long-knives
- ^zz++++=EXTRAWORD
knives ^nns++++=EXTRAWORD
and ^cc++++=and
leather ^nn++++=leather-stockings,'
- ^zz++++=EXTRAWORD
stockings ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
you ^pp2+pp2+++=you
outrun ^vb+++??+=outrun
his ^pp$+pp3+++=his
fleetest ^jjt+atrb+++=fleetest
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
more ^rbr++++=more
naked ^jj+atrb+++=naked
backs ^nns++++=backs
than ^in++++=than
naked ^jj+atrb+++=naked
faces ^nns++++=faces
among ^in++++=among
your ^pp$+pp2+++=your
people ^nns++++=people,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Great ^jj++++=Great
Bear ^vb+vprv+++=Bear
got ^vbd+++xvbn+=got
a ^at++++=a
rap ^nn++++=rap
on ^in++++=on
his ^pp$+pp3+++=his
nose ^nn++++=nose
that ^tht+rel+subj++=that
sent ^vprf+++xvbn+=sent
him ^pp3o+pp3+++=him
to ^in++++=to
his ^pp$+pp3+++=his
village ^nn+nom+++=village
yelping ^vwbg+++xvbg+=yelping
like ^in++++=like
a ^at++++=a
cur ^nn++++=cur."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
was ^vbd+bedz+vrb++=was
the ^ati++++=the
corporal ^npt+nom+++=corporal
compelled ^vwbn+++xvbn+=compelled
to ^to+vcmp+++=to
stop ^vbi++++=stop
to ^to++++=to
take ^vbi++++=take
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
The ^ati++++=The
allusion ^nn++++=allusion
to ^in++++=to
Wayne ^np+++??+=Wayne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
defeat ^nn++++=defeat
of ^in++++=of
the ^ati++++=the
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
excited ^j+++xvbn+=excited
so ^pn++++=so
much ^ap++++=much
ire ^nn++++=ire,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
several ^ap++++=several
hands ^nns++++=hands
grasped ^vwbn+vprv++xvbn+=grasped
knives ^nns++++=knives
and ^cc++++=and
tomahawks ^nns+++??+=tomahawks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
arrow ^nn++++=arrow
was ^vbd+bedz+aux++=was
actually ^rb+amp+splt++=actually
drawn ^vpsv++agls+xvbnx+=drawn
nearly ^rb+down+++=nearly
to ^in++++=to
the ^ati++++=the
head ^nn++++=head;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
frown ^nn++++=frown
of ^in++++=of
Bear ^np++++=Bear's
's ^$++++=EXTRAWORD
Meat ^nn++++=Meat
prevented ^vbd+++xvbn+=prevented
any ^dti++++=any
outbreak ^nn++++=outbreak,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
actual ^jj+atrb+++=actual
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
deemed ^vpsv++agls+xvbnx+=deemed
prudent ^jj++++=prudent,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
to ^to++++=to
put ^vbi++++=put
an ^at++++=an
end ^nn++++=end
to ^in++++=to
this ^dt+dem+++=this
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
the ^ati++++=the
straightforward ^jj+atrb+++=straightforward
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
laid ^vbd+++xvbn+=laid
it ^pp3+it+++=it
on ^in++++=on
heavily ^rb+cnj+++=heavily,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
so ^ql++++=so
much ^ap++++=much
to ^to++++=to
say ^vbi+vpub+++=say
about ^in++++=about
Indian ^jj+atrb+++=Indian
defeats ^nns++++=defeats,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
actually ^rb+amp+splt++=actually
succeed ^vb++++=succeed
in ^in++++=in
touching ^xvbg+++xvbg+=touching
some ^dti++++=some
festering ^xvbg+++xvbg+=festering
wound ^xvbn+++xvbn+=wound
that ^dt+pdem+++=that
would ^md+prd+++=would
bring ^vb++++=bring
him ^pp3o+pp3+++=him
to ^in++++=to
his ^pp$+pp3+++=his
death ^nn++++=death
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
accordingly ^rb+cnj+++=accordingly,
, ^zz++++=EXTRAWORD
determined ^j+++xvbn+=determined
to ^to+jcmp+++=to
proceed ^vbi++++=proceed
with ^in++++=with
the ^ati++++=the
torture ^nn++++=torture
of ^in++++=of
the ^ati++++=the
saplings ^nns+nom+++=saplings
without ^in++++=without
further ^jjb+atrb+++=further
delay ^nn++++=delay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
corporal ^nn+nom+++=corporal
was ^vbd+bedz+aux++=was
removed ^vpsv++agls+xvbnx+=removed
accordingly ^rb+cnj+++=accordingly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
placed ^vpsv++agls+xvbn+=placed
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
bended ^jj+atrb+++=bended
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
kept ^vpsv++agls+xvbnx+=kept
together ^nn+nom+++=together
by ^in++++=by
withes ^nns+++??+=withes
around ^rp++++=around
their ^pp$+pp3+++=their
tops ^nns++++=tops.
. ^zz++++=EXTRAWORD
An ^at++++=An
arm ^nn++++=arm
of ^in++++=of
the ^ati++++=the
captive ^nn++++=captive
was ^vbd+bedz+aux++=was
bound ^vpsv++agls+xvbnx+=bound
tightly ^rb++++=tightly
at ^in++++=at
the ^ati++++=the
wrist ^nn++++=wrist
to ^in++++=to
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
each ^ppls++++=each
tree ^np++++=tree,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
his ^pp$+pp3+++=his
limbs ^nns++++=limbs
were ^vbd+bed+vrb++=were
to ^in++++=to
act ^nn++++=act
as ^in++++=as
the ^ati++++=the
only ^rb+down+++=only
tie ^nn++++=tie
between ^in++++=between
the ^ati++++=the
saplings ^nns+nom+++=saplings,
, ^zz++++=EXTRAWORD
as ^ql++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
withes ^nns+++??+=withes
should ^md+nec+++=should
be ^vb+be+aux++=be
cut ^vpsv++agls+xvbnx+=cut.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Indians ^nn++++=Indians
now ^rn+tm+++=now
worked ^vbd+++xvbn+=worked
in ^in++++=in
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
matter ^nn++++=matter
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
to ^to++++=to
be ^vbi++vrb++=be
much ^ap++++=much
too ^ql++++=too
serious ^jj++++=serious
for ^in++++=for
the ^ati++++=the
corporal ^nn+nom+++=corporal
to ^to++++=to
indulge ^vbi++++=indulge
in ^in++++=in
any ^dti++++=any
more ^ql++++=more
words ^nns++++=words.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cold ^jj+atrb+++=cold
sweat ^nn++++=sweat
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
an ^at++++=an
anxious ^jj+atrb+++=anxious
glance ^nn++++=glance
was ^vbd+bedz+aux++=was
cast ^vpsv++by+xvbnx+=cast
by ^in++++=by
the ^ati++++=the
veteran ^nn++++=veteran
on ^in++++=on
the ^ati++++=the
fell ^nn+++xvbn+=fell
preparations ^nns+nom+++=preparations.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
he ^pp3a+pp3+++=he
maintained ^vbd+vpub++xvbnx+=maintained
appearances ^nns+nom+++=appearances,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
all ^rb++++=all
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
man ^nn++++=man
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
aware ^jj+pred+++=aware
of ^in++++=of
the ^ati++++=the
agony ^nn++++=agony
of ^in++++=of
dread ^nn++++=dread
which ^whp+rel+subj++=which
prevailed ^vbd+++xvbn+=prevailed
in ^in++++=in
the ^ati++++=the
breast ^nn++++=breast
of ^in++++=of
the ^ati++++=the
victim ^nn++++=victim.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
death ^nn++++=death
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
feared ^vbd+vprv++xvbnx+=feared
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
suffering ^nvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corporal ^npt+nom+++=corporal
well ^rb++++=well
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
make ^vb++++=make
the ^ati++++=the
pain ^nn++++=pain
intolerable ^jj++++=intolerable,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
no ^at++++=no
hope ^nn++++=hope
of ^in++++=of
putting ^xvbg+++xvbg+=putting
a ^at++++=a
speedy ^nn+++??+=speedy
end ^nn++++=end
to ^in++++=to
his ^pp$+pp3+++=his
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
might ^md+pos+++=might
live ^vb++++=live
hours ^nns++++=hours
in ^in++++=in
such ^abl++++=such
a ^at++++=a
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
teachings ^nns++++=teachings
of ^in++++=of
childhood ^nn+nom+++=childhood
were ^vbd+bed+aux++=were
revived ^vpsv++agls+xvbnx+=revived
in ^in++++=in
the ^ati++++=the
bosom ^nn++++=bosom
of ^in++++=of
this ^dt+dem+++=this
hardened ^jj+atrb++xvbn+=hardened
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
Being ^jj+++xvbg+=Being
that ^dt+dem+++=that
died ^jj+++xvbn+=died
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
in ^rb++++=in
common ^rb"++++=common
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
human ^jj+atrb+++=human
race ^nn++++=race,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
The ^ati++++=The
seeming ^jj+atrb++xvbg+=seeming
similarity ^nn+nom+++=similarity
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
execution ^nn+nom+++=execution
struck ^vbd+++xvbn+=struck
his ^pp$+pp3+++=his
imagination ^nn+nom+++=imagination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
a ^at++++=a
tardy ^nn+++??+=tardy
but ^cc++++=but
faint ^jj+atrb+++=faint
recollection ^nn+nom+++=recollection
of ^in++++=of
those ^dt+dem+++=those
lessons ^nns++++=lessons
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
most ^ql+emph+++=most
of ^in++++=of
their ^pp$+pp3+++=their
efficacy ^nn+nom+++=efficacy
in ^in++++=in
the ^ati++++=the
wickedness ^nns+nom+++=wickedness
and ^cc++++=and
impiety ^nn+++??+=impiety
of ^in++++=of
camps ^nns++++=camps.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
soul ^nn++++=soul
struggled ^vbd+++xvbn+=struggled
for ^in++++=for
relief ^nn++++=relief
in ^cs+sub+++=in
that ^cs"++++=that
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
present ^jj+atrb+++=present
scene ^nn++++=scene
was ^vbd+bedz+vrb++=was
too ^ql++++=too
absorbing ^jj+++xvbg+=absorbing
to ^to++++=to
admit ^vbi+vpub+++=admit
of ^in++++=of
its ^pp$+it+++=its
lifting ^nvbg+++xvbg+=lifting
itself ^ppl++++=itself
so ^rb++++=so
far ^rb+pl+++=far
above ^rb++++=above
his ^pp$+pp3+++=his
humanity ^nn+nom+++=humanity.
. ^zz++++=EXTRAWORD
" ^zz++++="Warrior
warrior ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
pale ^jj++++=pale-faces,"
- ^zz++++=EXTRAWORD
faces ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bough ^nn++++=Bough
of ^in++++=of
the ^ati++++=the
Oak ^nn++++=Oak,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=are
going ^md"++pmd"++=going
to ^md+prd+++=to
cut ^vb+++xvbn+=cut
the ^ati++++=the
withe ^nn+++??+=withe.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
then ^rn+tm+++=then
be ^vb+be+vrb++=be
where ^wrb+who+++=where
a ^at++++=a
brave ^jj+atrb+++=brave
man ^nn++++=man
will ^md+prd+++=will
want ^vb++++=want
all ^abn++++=all
his ^pp$+pp3+++=his
courage ^nn+nom+++=courage.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
firm ^jj+pred+++=firm,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
honor ^nn++++=honor;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
faint ^vb++++=faint
and ^cc++++=and
screech ^nn++++=screech,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
young ^jj+atrb+++=young
men ^nns++++=men
will ^md+prd+++=will
laugh ^vb++++=laugh
at ^rb++++=at
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
way ^nn++++=way
with ^in++++=with
Injins ^np+++??+=Injins.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
honor ^nn++++=honor
braves ^nns++++=braves;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
point ^vb++++=point
the ^ati++++=the
finger ^nn++++=finger
at ^in++++=at
cowards ^nns++++=cowards."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
a ^at++++=a
sign ^nn++++=sign
was ^vbd+bedz+aux++=was
made ^vpsv++by+xvbnx+=made
by ^in++++=by
Bear ^np++++=Bear's
's ^$++++=EXTRAWORD
Meat ^nn++++=Meat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
warrior ^nn++++=warrior
raised ^vbd+++xvbn+=raised
the ^ati++++=the
tomahawk ^nn+++??+=tomahawk
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
to ^to++++=to
separate ^nn+nom+++=separate
the ^ati++++=the
fastenings ^nns++++=fastenings.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
very ^ql+amp+++=very
act ^vb+vpub+++=act
of ^in++++=of
descending ^xvbg+++xvbg+=descending,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
crack ^nn++++=crack
of ^in++++=of
a ^at++++=a
rifle ^nn++++=rifle
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
smoke ^nn++++=smoke
rose ^vbd+++xvbn+=rose
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
thicket ^nn++++=thicket,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
spot ^nn++++=spot
where ^wrb+who+++=where
the ^ati++++=the
bee ^nn++++=bee-hunter
- ^zz++++=EXTRAWORD
hunter ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
so ^ql++++=so
long ^rb++++=long
hid ^vbd+++xvbn+=hid,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
occasion ^nn++++=occasion
of ^in++++=of
the ^ati++++=the
council ^nn++++=council
first ^od++++=first
held ^vbd+vprv++xvbn+=held
in ^cs+sub+++=in
that ^cs"++++=that
place ^nn++++=place.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tomahawk ^nn+++??+=tomahawk
fell ^vbd+++xvbn+=fell,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
withes ^nns+++??+=withes
were ^vbd+bed+aux++=were
parted ^vpsv++agls+xvbnx+=parted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
up ^rp++++=up
flew ^vbd+++xvbn+=flew
the ^ati++++=the
saplings ^nns+nom+++=saplings,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
violence ^nn+nom+++=violence
that ^tht+rel+subj++=that
threatened ^nn+++xvbn+=threatened
to ^to+ncmp+++=to
tear ^vb++++=tear
the ^ati++++=the
arms ^nns++++=arms
of ^in++++=of
the ^ati++++=the
victim ^nn++++=victim
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
sockets ^nns++++=sockets.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Indians ^nn++++=Indians
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
expecting ^vbg+vprv++xvbg+=expecting
the ^ati++++=the
screeches ^nns+++??+=screeches
and ^cc++++=and
groans ^nn++++=groans;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
gazed ^vbd+++xvbnx+=gazed,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv++xvbg+=hoping
to ^to+vcmp+++=to
witness ^nns+nom+++=witness
the ^ati++++=the
writhings ^nns++++=writhings
of ^in++++=of
their ^pp$+pp3+++=their
captive ^nn++++=captive.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
disappointed ^vpsv++agls+xvbnx+=disappointed.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
hung ^vbd+++xvbn+=hung
the ^ati++++=the
body ^nn++++=body,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
arms ^nns++++=arms
distended ^vbd+++xvbn+=distended,
, ^zz++++=EXTRAWORD
still ^rb++++=still
holding ^vbg+vprv++xvbg+=holding
the ^ati++++=the
tops ^nns++++=tops
of ^in++++=of
the ^ati++++=the
saplings ^nns+nom+++=saplings
bowed ^vbd+++xvbn+=bowed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
a ^at++++=a
sign ^nn++++=sign
of ^in++++=of
life ^nn++++=life
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
A ^at++++=A
small ^jj+atrb+++=small
line ^nn++++=line
of ^in++++=of
blood ^nn++++=blood
trickled ^vbd+++xvbn+=trickled
down ^in++++=down
the ^ati++++=the
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
above ^jjb++++=above
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
nearly ^rb+down+++=nearly
imperceptible ^jj+atrb+++=imperceptible
hole ^nn++++=hole
made ^vwbn+++xvbn+=made
by ^in++++=by
the ^ati++++=the
passage ^nn+nom+++=passage
of ^in++++=of
a ^at++++=a
bullet ^nn++++=bullet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
head ^nn++++=head
itself ^ppl++++=itself
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
on ^in++++=on
one ^cd1++++=one
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
The ^ati++++=The
corporal ^npt+nom+++=corporal
had ^vbd+hvd+aux++=had
escaped ^vprf+++xvbnx+=escaped
the ^ati++++=the
torments ^nns+nom+++=torments
reserved ^vwbn+++xvbn+=reserved
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
by ^in++++=by
this ^dt+dem+++=this
friendly ^jj+atrb+++=friendly
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
