Than ^in++++=Than
wrought ^vpsv++agls+xvbnx+=wrought
from ^in++++=from
the ^ati++++=the
very ^ap+amp+++=very
texture ^nn++++=texture
of ^in++++=of
despondency ^nn++++=despondency.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
indignantly ^rb+cnj+++=indignantly,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
befits ^nns+++??+=befits
only ^rb+down+++=only
him ^pp3o+pp3+++=him
to ^to++++=to
mourn ^vbi++++=mourn
for ^in++++=for
the ^ati++++=the
decay ^nn++++=decay
of ^in++++=of
outward ^jjb+atrb+++=outward
grace ^nn++++=grace,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
possessed ^vbd+++xvbnx+=possessed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
all ^abn++++=all.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
have ^vb+hv+vrb++=have
not ^xnot++not++=not
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
ask ^vb++++=ask,
, ^zz++++=EXTRAWORD
a ^at++++=a
treasure ^nn++++=treasure
in ^in++++=in
reserve ^nn++++=reserve,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
every ^at++++=every
year ^nn++++=year
may ^md+pos+++=may
add ^vb+vpub+++=add
far ^rb+pl+++=far
more ^rbr++++=more
value ^nn++++=value
than ^in++++=than
age ^nn++++=age
or ^cc++++=or
death ^nn++++=death
itself ^ppl++++=itself
can ^md+pos+++=can
snatch ^vb++++=snatch
from ^in++++=from
that ^dt+dem+++=that
miserable ^jj+atrb+++=miserable
clay ^nn++++=clay?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
tell ^vb++++=tell
me ^pp1o+pp1+++=me
that ^dt+dem+++=that
though ^cs+sub+++=though
the ^ati++++=the
bloom ^nn++++=bloom
of ^in++++=of
life ^nn++++=life
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
nipped ^vpsv++agls+xvbnx+=nipped
with ^in++++=with
a ^at++++=a
frost ^nn++++=frost,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
soul ^nn++++=soul
must ^md+nec+++=must
not ^xnot++not++=not
sit ^vb++++=sit
shivering ^jj+++xvbg+=shivering
in ^in++++=in
its ^pp$+it+++=its
cell ^nn++++=cell,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
bestir ^nn+++??+=bestir
itself ^ppl++++=itself
manfully ^rb+cnj+++=manfully,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kindle ^nn+++??+=kindle
a ^at++++=a
genial ^jj+atrb+++=genial
warmth ^nn++++=warmth
from ^in++++=from
its ^pp$+it+++=its
own ^ap++++=own
exercise ^nn++++=exercise
against ^in+strn+++=against;
; ^zz++++=EXTRAWORD
the ^ati++++=the
autumnal ^jj++++=autumnal
and ^cc++++=and
the ^ati++++=the
wintry ^jj+atrb+++=wintry
atmosphere ^nn++++=atmosphere.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
in ^in++++=in
return ^nn++++=return,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
bid ^vb++++=bid
him ^pp3o+pp3+++=him
be ^vb+be+vrb++=be
of ^in++++=of
good ^jj+atrb+++=good
cheer ^nn++++=cheer,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
take ^vb++++=take
it ^pp3+it+++=it
amiss ^jj++++=amiss
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
must ^md+nec+++=must
blanch ^vb++++=blanch
his ^pp$+pp3+++=his
locks ^nns++++=locks
and ^cc++++=and
wrinkle ^nn++++=wrinkle
him ^pp3o+pp3+++=him
up ^rp++++=up
like ^in++++=like
a ^at++++=a
wilted ^jj+atrb++xvbn+=wilted
apple ^nn++++=apple,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++=it
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
my ^pp$+pp1+++=my
endeavor ^nn++++=endeavor
so ^ql++++=so
to ^to++++=to
beautify ^vbi++++=beautify
his ^pp$+pp3+++=his
face ^nn++++=face
with ^in++++=with
intellect ^nn++++=intellect
and ^cc++++=and
mild ^jj+atrb+++=mild
benevolence ^nn+nom+++=benevolence
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
shall ^md+prd+++=shall
profit ^vb++++=profit
immensely ^rb++++=immensely
by ^in++++=by
the ^ati++++=the
change ^nn++++=change.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
here ^rn+pl+++=here
a ^at++++=a
smile ^nn++++=smile
will ^md+prd+++=will
glimmer ^vb++++=glimmer
somewhat ^rb+down+++=somewhat
sadly ^rb++++=sadly
over ^in++++=over
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np++++=Miroir's
's ^$++++=EXTRAWORD
visage ^nn++++=visage.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
this ^dt+dem+++=this
subject ^nn++++=subject
shall ^md+prd+++=shall
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
sufficiently ^rb++splt++=sufficiently
discussed ^vpsv++agls+xvbn+=discussed
we ^pp1a+pp1+++=we
may ^md+pos+++=may
take ^vb++++=take
up ^rb+phrv+++=up
others ^aps++++=others
as ^in++++=as
important ^nn++++=important.
. ^zz++++=EXTRAWORD
Reflecting ^vbg+vprv++xvbg+=Reflecting
upon ^in++++=upon
his ^pp$+pp3+++=his
power ^nn++++=power
of ^in++++=of
following ^xvbg+++xvbg+=following
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
remotest ^jjt+atrb+++=remotest
regions ^nns++++=regions
and ^cc++++=and
into ^in++++=into
the ^ati++++=the
deepest ^jjt+atrb+++=deepest
privacy ^nn+nom+++=privacy,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
compare ^vb++++=compare
the ^ati++++=the
attempt ^nn++++=attempt
to ^to+ncmp+++=to
escape ^vbi++++=escape
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
hopeless ^jj+atrb+++=hopeless
race ^nn++++=race
that ^tht+rel+obj++=that
men ^nns++++=men
sometimes ^rb++++=sometimes
run ^vb+++xvbn+=run
with ^in++++=with
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
their ^pp$+pp3+++=their
own ^ap++++=own
hearts ^nns++++=hearts,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
their ^pp$+pp3+++=their
moral ^jj+atrb+++=moral
selves ^nns++++=selves,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
burdened ^vbd+++xvbn+=burdened
with ^in++++=with
cares ^vbz++++=cares
enough ^qlp++++=enough
to ^to++++=to
crush ^vbi++++=crush
an ^at++++=an
elephant ^nn+nom+++=elephant,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
never ^rb++++=never
be ^vb+be+aux++=be
one ^cd1++++=one
step ^vb++++=step
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
be ^vb+be+vrb++=be
self ^nn++++=self-contemplative,
- ^zz++++=EXTRAWORD
contemplative ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
nature ^nn++++=nature
bids ^nns++++=bids
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
make ^vb++++=make
him ^pp3o+pp3+++=him
the ^ati++++=the
picture ^nn++++=picture
or ^cc++++=or
visible ^jj+atrb+++=visible
type ^nn++++=type
of ^in++++=of
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
muse ^nn++++=muse
upon ^in+strn+++=upon,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
mind ^nn++++=mind
may ^md+pos+++=may
not ^xnot++not++=not
wander ^vb++++=wander
so ^rb++++=so
vaguely ^rb++++=vaguely
as ^ql++++=as
heretofore ^vb+++??+=heretofore,
, ^zz++++=EXTRAWORD
chasing ^nvbg+++xvbg+=chasing
its ^pp$+it+++=its
own ^ap++++=own
shadow ^nn++++=shadow
through ^in++++=through
a ^at++++=a
chaos ^nn++++=chaos
and ^cc++++=and
catching ^vbg+++xvbg+=catching
only ^rb+down+++=only
the ^ati++++=the
monsters ^nns+nom+++=monsters
that ^tht+rel+subj++=that
abide ^vb++++=abide
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
will ^md+prd+++=will
we ^pp1a+pp1+++=we
turn ^vb++++=turn
our ^pp$+pp1+++=our
thoughts ^nns++++=thoughts
to ^in++++=to
the ^ati++++=the
spiritual ^jj+atrb+++=spiritual
world ^nn++++=world,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
reality ^nn+nom+++=reality
of ^in++++=of
which ^whp+rel+pied++=which
my ^pp$+pp1+++=my
companions ^nns++++=companions
shall ^md+prd+++=shall
furnish ^vb++++=furnish
me ^pp1o+pp1+++=me
an ^at++++=an
illustration ^nn+nom+++=illustration,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not
an ^at++++=an
argument ^nn+nom+++=argument;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
only ^rb+down+++=only
the ^ati++++=the
testimony ^nn++++=testimony
of ^in++++=of
the ^ati++++=the
eye ^nn++++=eye
to ^in++++=to
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np++++=Miroir's
's ^$++++=EXTRAWORD
existence ^nn+nom+++=existence,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
all ^abn++++=all
the ^ati++++=the
other ^ap++++=other
senses ^nns++++=senses
would ^md+prd+++=would
fail ^vb++++=fail
to ^to+vcmp+++=to
inform ^vbi++++=inform
us ^pp1o+pp1+++=us
that ^dt+dem+++=that
such ^abl++++=such
a ^at++++=a
figure ^nn++++=figure
stands ^nns++++=stands
within ^in++++=within
arm ^vb++++=arm's-length,
's-length, ^nn+++??+=EXTRAWORD
wherefore ^nn+++??+=wherefore
should ^md+nec+++=should
there ^ex+pex+++=there
not ^xnot++not++=not
be ^vb+be+vrb++=be
beings ^nns++++=beings
innumerable ^jj+atrb+++=innumerable
close ^nn++++=close
beside ^in+pl+++=beside
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
filling ^nvbg+++xvbg+=filling
heaven ^nn++++=heaven
and ^cc++++=and
earth ^nn++++=earth
with ^in++++=with
their ^pp$+pp3+++=their
multitude ^nn++++=multitude,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
of ^in++++=of
whom ^whp+rel+pied++=whom
no ^at++++=no
corporeal ^jj+atrb+++=corporeal
perception ^nn+nom+++=perception
can ^md+pos+++=can
take ^vb++++=take
cognizance ^nn+nom+++=cognizance?
? ^zz++++=EXTRAWORD
A ^at++++=A
blind ^jj+atrb+++=blind
man ^nn++++=man
might ^md+pos+++=might
as ^in++++=as
reasonably ^rb++++=reasonably
deny ^vb+vpub+++=deny
that ^tht+vcmp+++=that
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
exists ^vbz++++=exists,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
Creator ^nn++++=Creator
has ^vbz+hvz+aux++=has
hitherto ^rb++splt++=hitherto
withheld ^vprf+++xvbnx+=withheld
the ^ati++++=the
spiritual ^jj+atrb+++=spiritual
perception ^nn+nom+++=perception,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
therefore ^rb+cnj+splt++=therefore
contend ^vb+vpub+++=contend
that ^tht+vcmp+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
no ^at++++=no
spirits ^nns++++=spirits.
. ^zz++++=EXTRAWORD
O ^zz++++=O,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
at ^rb++++=at
this ^dt+dem+++=this
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
write ^vb++++=write
has ^vbz+hvz+aux++=has
grown ^vprf+++xvbnx+=grown
strong ^jj++++=strong
within ^in++++=within
me ^pp1o+pp1+++=me
and ^cc++++=and
surrounded ^vbd+++xvbn+=surrounded
itself ^ppl++++=itself
with ^in++++=with
those ^dt+dem+++=those
solemn ^jj+atrb+++=solemn
and ^cc+phrs+++=and
awful ^jj+atrb+++=awful
associations ^nns+nom+++=associations
which ^whp+rel+subj++=which
might ^md+pos+++=might
have ^vb+hv+aux++=have
seemed ^vprf+++xvbnx+=seemed
most ^ql+emph+++=most
alien ^jj++++=alien
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
fancy ^vb++++=fancy
that ^tht+vcmp+++=that
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
himself ^ppl+pp3+++=himself
is ^vbz+bez+vrb++=is
a ^at++++=a
wanderer ^nn++++=wanderer
from ^in++++=from
the ^ati++++=the
spiritual ^jj+atrb+++=spiritual
world ^nn++++=world,
, ^zz++++=EXTRAWORD
with ^in++++=with
nothing ^pn++++=nothing
human ^jj++++=human
except ^in++++=except
his ^pp$+pp3+++=his
delusive ^jj+atrb+++=delusive
garment ^nn+nom+++=garment
of ^in++++=of
visibility ^nn+nom+++=visibility.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Methinks
thinks ^vbz+vprv+tht0++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
tremble ^vb++++=tremble
now ^rn+tm+++=now
were ^vbd+bed+vrb++=were
his ^pp$+pp3+++=his
wizard ^nn++++=wizard
power ^nn++++=power
of ^in++++=of
gliding ^nn++++=gliding
through ^in++++=through
all ^abn++++=all
impediments ^nns+nom+++=impediments
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
me ^pp1o+pp1+++=me
to ^to++++=to
place ^vbi++++=place
him ^pp3o+pp3+++=him
suddenly ^rb++++=suddenly
before ^in++++=before
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Ha ^uh++++=Ha!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
yonder ^jjb+pred+++=yonder?
? ^zz++++=EXTRAWORD
Shape ^nn++++=Shape
of ^in++++=of
mystery ^nn+nom+++=mystery,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
the ^ati++++=the
tremor ^nn++++=tremor
of ^in++++=of
my ^pp$+pp1+++=my
heartstrings ^nns+++??+=heartstrings
vibrate ^nn+nom+++=vibrate
to ^in++++=to
thine ^pp$+pp2+++=thine
own ^ap++++=own,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
call ^vb++++=call
thee ^pp2+pp2+++=thee
from ^in++++=from
thy ^pp$+pp2+++=thy
home ^nr++++=home
among ^in++++=among
the ^ati++++=the
dancers ^nns+nom+++=dancers
of ^in++++=of
the ^ati++++=the
northern ^jj+atrb+++=northern
lights ^nns++++=lights,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shadows ^nps++++=shadows
flung ^vbd+++xvbn+=flung
from ^in++++=from
departed ^jj+atrb++xvbn+=departed
sunshine ^nn++++=sunshine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
giant ^jjb+atrb+++=giant
spectres ^nns+++??+=spectres
that ^tht+rel+subj++=that
appear ^vb+seem+++=appear
on ^in++++=on
clouds ^nns++++=clouds
at ^rb++++=at
daybreak ^nn+++??+=daybreak
and ^cc++++=and
affright ^nn+++??+=affright
the ^ati++++=the
climber ^nn++++=climber
of ^in++++=of
the ^ati++++=the
Alps ^nps++++=Alps?
? ^zz++++=EXTRAWORD
In ^in++++=In
truth ^nn++++=truth
it ^pp3+it+++=it
startled ^vbd+++xvbn+=startled
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
threw ^vbd+++xvbnx+=threw
a ^at++++=a
wary ^jj+atrb+++=wary
glance ^nn++++=glance
eastward ^rb++++=eastward
across ^in+pl+++=across
the ^ati++++=the
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
to ^to++++=to
discern ^vbi++++=discern
an ^at++++=an
unbidden ^jj+atrb+++=unbidden
guest ^nn++++=guest
with ^in++++=with
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
bent ^vbd+++xvbn+=bent
on ^in++++=on
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
identical ^jj+atrb+++=identical
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir!
! ^zz++++=EXTRAWORD
Still ^rb++++=Still
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
sits ^vbz++++=sits
and ^cc+phrs+++=and
returns ^vbz++++=returns
my ^pp$+pp1+++=my
gaze ^nn++++=gaze
with ^in++++=with
as ^ql++++=as
much ^ap++++=much
of ^in++++=of
awe ^nn++++=awe
and ^cc++++=and
curiosity ^nn+nom+++=curiosity
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
a ^at++++=a
solitary ^jj+atrb+++=solitary
evening ^nn++++=evening
in ^in++++=in
fantastic ^jj+atrb+++=fantastic
musings ^nns++++=musings
and ^cc++++=and
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
his ^pp$+pp3+++=his
theme ^nn++++=theme.
. ^zz++++=EXTRAWORD
So ^ql+emph+++=So
inimitably ^jj++++=inimitably
does ^vbz+doz+vrb++=does
he ^pp3a+pp3+++=he
counterfeit ^nn+++??+=counterfeit
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
almost ^rb+hdg+++=almost
doubt ^nn++++=doubt
which ^whp+rel+obj++=which
of ^in++++=of
us ^pp1o+pp1+++=us
is ^vbz+bez+vrb++=is
the ^ati++++=the
visionary ^nn+nom+++=visionary
form ^nn++++=form,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
each ^dt++++=each
be ^vb+be+vrb++=be
not ^xnot++not++=not
the ^ati++++=the
other's ^ap$++++=other's
mystery ^nn+nom+++=mystery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
twin ^nn++++=twin
brethren ^nns++++=brethren
of ^in++++=of
one ^cd1++++=one
fate ^nn++++=fate,
, ^zz++++=EXTRAWORD
in ^in++++=in
mutually ^rb++++=mutually
reflected ^vbd+vprv++xvbn+=reflected
spheres ^nns++++=spheres.
. ^zz++++=EXTRAWORD
O ^zz++++=O
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
canst ^nn+++??+=canst
thou ^pp2+pp2+++=thou
not ^xnot++not++=not
hear ^vb+vprv+++=hear
and ^cc++++=and
answer ^nn++++=answer
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Break ^vb++++=Break
down ^rp++++=down
the ^ati++++=the
barrier ^nn++++=barrier
between ^in++++=between
us ^pp1o+pp1+++=us!
! ^zz++++=EXTRAWORD
Grasp ^nn++++=Grasp
my ^pp$+pp1+++=my
hand ^nn++++=hand!
! ^zz++++=EXTRAWORD
Speak ^vb++++=Speak!
! ^zz++++=EXTRAWORD
Listen ^vb++++=Listen!
! ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
words ^nns++++=words,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
satisfy ^vb++++=satisfy
the ^ati++++=the
feverish ^jj++++=feverish
yearning ^jj+++xvbg+=yearning
of ^in++++=of
my ^pp$+pp1+++=my
soul ^nn++++=soul
for ^in++++=for
some ^dti++++=some
master ^nn++++=master-thought
- ^zz++++=EXTRAWORD
thought ^vprf+++xvbn+=EXTRAWORD
that ^tht+vcmp+++=that
should ^md+nec+++=should
guide ^vb++++=guide
me ^pp1o+pp1+++=me
through ^in++++=through
this ^dt+dem+++=this
labyrinth ^nn+++??+=labyrinth
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
teaching ^vbg+vsua++xvbg+=teaching
wherefore ^nn+++??+=wherefore
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
to ^to++++=to
do ^vbi++++=do
my ^pp$+pp1+++=my
task ^nn++++=task
on ^in++++=on
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Alas ^uh++++=Alas!
! ^zz++++=EXTRAWORD
Even ^cs+sub+++=Even
that ^dt+dem+++=that
unreal ^jj+atrb+++=unreal
image ^nn++++=image
should ^md+nec+++=should
forget ^vb+vprv+++=forget
to ^to+vcmp+++=to
ape ^vb++++=ape
me ^pp1o+pp1+++=me
and ^cc++++=and
smile ^nn++++=smile
at ^rb++++=at
these ^dt+dem+++=these
vain ^jj+atrb+++=vain
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
do ^vb+do+aux++=do
mortals ^nns+nom+++=mortals
deify ^vb++++=deify,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
a ^at++++=a
mere ^jjb+atrb+++=mere
shadow ^nn++++=shadow
of ^in++++=of
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
a ^at++++=a
spectre ^nn+++??+=spectre
of ^in++++=of
human ^jj+atrb+++=human
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ask ^vb++++=ask
of ^in++++=of
that ^dt+dem+++=that
to ^in++++=to
unveil ^nn+++??+=unveil
the ^ati++++=the
mysteries ^nns+nom+++=mysteries
which ^whp+rel+obj++=which
Divine ^jj+atrb+++=Divine
Intelligence ^nn+nom+++=Intelligence
has ^vbz+hvz+aux++=has
revealed ^vprf+++xvbnx+=revealed
so ^pn++++=so
far ^rb+pl+++=far
as ^in++++=as
needful ^vb++++=needful
to ^to+vcmp+++=to
our ^pp$+pp1+++=our
guidance ^nn+nom+++=guidance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hid ^vbd+++xvbn+=hid
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
Farewell ^nn++++=Farewell,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
as ^in++++=as
of ^in"++++=of
many ^ap++++=many
men ^nns++++=men,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+aux++=be
doubted ^vpsv++agls+xvbnx+=doubted
whether ^cs+who+++=whether
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
the ^ati++++=the
wiser ^jjr++++=wiser,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
your ^pp$+pp2+++=your
whole ^jj+atrb+++=whole
business ^nns+nom+++=business
is ^vbz+bez+vrb++=is
reflection ^nn+nom+++=reflection.
. ^zz++++=EXTRAWORD
