Tom ^np++++=Tom
black ^jj+atrb+++=black
pencil ^nn++++=pencil,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
three ^cd++++=three
strokes ^nns+++??+=strokes
the ^ati++++=the
length ^nn++++=length
of ^in++++=of
each ^dt++++=each
sheet ^nn++++=sheet,
, ^zz++++=EXTRAWORD
wrote ^j+++xvbn+=wrote
a ^at++++=a
very ^ql+amp+++=very
long ^rb++++=long
and ^cc++++=and
startling ^jj++++=startling
head ^jjb++++=head
over ^in++++=over
it ^pp3+it+++=it
and ^cc++++=and
thrust ^nn+++xvbn+=thrust
it ^pp3+it+++=it
into ^in++++=into
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
a ^at++++=a
waiting ^jj+atrb++xvbg+=waiting
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="Copy-cutter,"
copy ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
cutter ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^in++++=as
the ^ati++++=the
boy ^nn++++=boy
sped ^vbd+++xvbn+=sped
off ^in+pl+++=off
the ^ati++++=the
editor ^nn++++=editor
turned ^vbd+++xvbn+=turned
to ^in++++=to
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
" ^zz++++="How'd
how ^wrb+who+whq++0=EXTRAWORD
'd ^md+prd+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
frowning ^vbg+++xvbg+=frowning
tremendously ^rb++++=tremendously.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor's
's ^$++++=EXTRAWORD
frowns ^nns+++??+=frowns
no ^at++++=no
longer ^rbr++++=longer
struck ^vbd+++xvbn+=struck
terror ^nn++++=terror
into ^in++++=into
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
the ^ati++++=the
story ^nn++++=story
briefly ^rb+cnj+++=briefly,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
his ^pp$+pp3+++=his
hearer ^jjr++++=hearer
puffed ^jj+++xvbn+=puffed
rapidly ^rb++++=rapidly
at ^in++++=at
his ^pp$+pp3+++=his
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
once ^rb+tm+++=once
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
interrupted ^vbd+++xvbnx+=interrupted.
. ^zz++++=EXTRAWORD
" ^zz++++="Hold
hold ^nn++++=EXTRAWORD
on ^in++++=on
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
editor ^nn++++=editor.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
certain ^jj++++=certain
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
not ^xnot++not++=not
give ^vb++++=give
out ^rp+pl+++=out
the ^ati++++=the
statement ^nn+nom+++=statement
again ^rb+tm+++=again
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
New ^jj+atrb+++=New
York ^np++++=York?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Quite
quite ^rb++++=EXTRAWORD
certain ^jj++++=certain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
almost ^rb+hdg+++=almost
resembling ^jj+atrb++xvbg+=resembling
pleasure ^nn++++=pleasure
appeared ^vbd+seem++xvbn+=appeared
on ^in++++=on
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="He'll
he ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
not ^xnot++not++=not
get ^vb++++=get
there ^rn+pl+++=there
until ^in++++=until
8.30 ^cd++++=8.30;
; ^zz++++=EXTRAWORD
too ^ql++++=too
late ^jj++++=late
for ^in++++=for
the ^ati++++=the
evening ^nn++++=evening
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
biggest ^jjt+atrb+++=biggest
beat ^nn+++xvbn+=beat
of ^in++++=of
the ^ati++++=the
year ^nn++++=year,
, ^zz++++=EXTRAWORD
by ^in++++=by
George ^np++++=George!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
the ^ati++++=the
glasses ^nns++++=glasses
and ^cc++++=and
the ^ati++++=the
frown ^nn++++=frown
were ^vbd+bed+aux++=were
lost ^vpsv++agls+xvbnx+=lost
in ^in++++=in
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
" ^zz++++="Go
go ^vb++++=EXTRAWORD
on ^in+strn+++=on,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
commanded ^vbd+vpub++xvbnx+=commanded.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
finished ^vbd+++xvbn+=finished
his ^pp$+pp3+++=his
story ^nn++++=story
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
words ^nns++++=words;
; ^zz++++=EXTRAWORD
told ^j+++xvbn+=told
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
a ^at++++=a
train ^nn++++=train
already ^rb++++=already
waiting ^vbg+++xvbg+=waiting
at ^rb++++=at
the ^ati++++=the
Junction ^nn+nom+++=Junction,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
out ^rp+pl+++=out
his ^pp$+pp3+++=his
copy ^nn++++=copy
on ^in++++=on
the ^ati++++=the
way ^nn++++=way
back ^jjb++++=back
to ^in++++=to
Washington ^np++++=Washington;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
it ^pp3+it+++=it
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
a ^at++++=a
long ^rb++++=long
delay ^nn++++=delay
just ^rb+emph+++=just
outside ^jjb++++=outside
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
reached ^vprf+++xvbnx+=reached
the ^ati++++=the
office ^nn++++=office
in ^in++++=in
time ^nn++++=time
for ^in++++=for
the ^ati++++=the
regular ^jj+atrb+++=regular
edition ^nn+nom+++=edition.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
he ^pp3a+pp3+++=he
waited ^vbd+++xvbnx+=waited
for ^in++++=for
a ^at++++=a
word ^nn++++=word
of ^in++++=of
commendation ^nn+nom+++=commendation.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
none ^rb++++=none
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor
nodded ^vbd+++xvbn+=nodded
his ^pp$+pp3+++=his
head ^jjb++++=head
once ^rb+tm+++=once
or ^cc+phrs+++=or
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
thoughtfully ^rb+cnj+++=thoughtfully,
, ^zz++++=EXTRAWORD
frowningly ^jj++++=frowningly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
need ^vb++++=needn't
n't ^xnot++not++0=EXTRAWORD
wait ^vb++++=wait
around ^rp++++=around
any ^dti++++=any
longer ^rbr++++=longer;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
else ^rb+cnj+++=else
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
arose ^vbd+++xvbn+=arose,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
blankly ^rb++++=blankly
at ^in++++=at
the ^ati++++=the
speaker ^nn++++=speaker.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
he ^pp3a+pp3+++=he
failed ^vbd+++xvbnx+=failed
after ^in++++=after
all ^abn++++=all!
! ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
being ^xvbg+++xvbg+=being
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor's
's ^$++++=EXTRAWORD
next ^ap++++=next
words ^nns++++=words
dispelled ^vwbn+++xvbn+=dispelled
all ^abn++++=all
doubt ^nn++++=doubt.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
go ^vb++++=go
to ^in++++=to
work ^nn++++=work
on ^in++++=on
this ^dt+dem+++=this
paper ^nn++++=paper
at ^in++++=at
eight ^cd++++=eight
o ^zz++++=o'clock,
'clock, ^nn+++??+=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Collins ^np++++=Collins;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
eight ^cd++++=eight
I ^pp1a+pp1+++=I
mean ^jj++++=mean
eight ^cd++++=eight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
ten ^cd++++=ten
minutes ^nns++++=minutes
past ^jjb++++=past.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
any ^dti++++=any
man ^nn++++=man
working ^vwbg+++xvbg+=working
for ^in++++=for
me ^pp1o+pp1+++=me
who ^whp+who+++=who
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
prompt ^jj+pred+++=prompt.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
understand ^vb+vprv+++=understand?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
Tom ^np++++=Tom
clattered ^vbd+++xvbn+=clattered
happily ^rb++++=happily
downstairs ^jjb++++=downstairs
a ^at++++=a
deep ^jj+atrb+++=deep
reverberation ^nn+nom+++=reverberation
that ^tht+rel+subj++=that
shook ^vbd+++xvbn+=shook
the ^ati++++=the
building ^jj+++xvbg+=building
from ^in++++=from
top ^nn++++=top
to ^in++++=to
bottom ^nn++++=bottom
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
the ^ati++++=the
presses ^nns+nom++??+=presses
were ^vbd+bed+aux++=were
already ^rb++splt++=already
printing ^vbg+++xvbg+=printing
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
his ^pp$+pp3+++=his
first ^od++++=first
assignment ^nn+nom+++=assignment.
. ^zz++++=EXTRAWORD
