Parable ^nn++++=PARABLE
to ^to++++=to
avoid ^vbi++++=avoid
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
one ^cd1++++=one
thing ^nn++++=thing
that ^tht+rel+subj++=that
would ^md+prd+++=would
assuredly ^rb++splt++=assuredly
ameliorate ^nn+nom+++=ameliorate
it ^pp3+it+++=it
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
unwilling ^jj+pred+++=unwilling
to ^to+jcmp+++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
advice ^nn++++=advice
given ^vwbn+++xvbn+=given
them ^pp3o+pp3+++=them
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
more ^ql++++=more
than ^cs+sub+++=than
anything ^pn++++=anything
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
rouses ^nns+++??+=rouses
their ^pp$+pp3+++=their
indignation ^nn+nom+++=indignation.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
any ^dti++++=any
possibility ^nn+nom+++=possibility
of ^in++++=of
doubting ^xvbg+++xvbg+=doubting
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
astray ^rb+cnj+++=astray,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
this ^dt+dem+++=this
treatment ^nn+nom+++=treatment
of ^in++++=of
the ^ati++++=the
advice ^nn++++=advice
to ^in++++=to
" ^zz++++="
think ^vb+vprv+++=think
it ^pp3+it+++=it
over ^in++++=over
" ^zz++++="
proves ^vbz+vprv+++=proves
more ^rbr++++=more
distinctly ^rb++++=distinctly
than ^in++++=than
anything ^pn++++=anything
else ^rb+cnj+++=else
how ^wrb+who+++=how
hopelessly ^rb++++=hopelessly
astray ^rb++++=astray
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
and ^cc+cls+++=and
how ^wrb+who+++=how
great ^jj++++=great
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
despair ^nn++++=despair.
. ^zz++++=EXTRAWORD
original ^nn+nom+++=Original
footnotes ^nns++++=footnotes
