( ^zz++++=(1854)SKETCH
softened ^jj+++xvbn+=softened,
, ^zz++++=EXTRAWORD
bythe ^nn+++??+=bythe
strange ^jj+atrb+++=strange
double ^jj+atrb+++=double
twilight ^nn++++=twilight
of ^in++++=of
the ^ati++++=the
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
full ^jj+atrb+++=full
moon ^np++++=moon
burnt ^vbd+++xvbn+=burnt
inthe ^nn+++??+=inthe
low ^jj+atrb+++=low
west ^np+pl+++=west
like ^in++++=like
a ^at++++=a
half ^abn++++=half-spent
- ^zz++++=EXTRAWORD
spent ^vbd+++xvbn+=EXTRAWORD
beacon ^npl++++=beacon,
, ^zz++++=EXTRAWORD
casting ^vbg+++xvbg+=casting
a ^at++++=a
soft ^jj+atrb+++=soft
mellow ^jj+atrb+++=mellow
tinge ^nn++++=tinge
uponthe ^nn+++??+=uponthe
sea ^nn++++=sea
like ^in++++=like
that ^dt+dem+++=that
cast ^vpsv++by+xvbn+=cast
by ^in++++=by
a ^at++++=a
waning ^jj+atrb+++=waning
fire ^nn++++=fire
of ^in++++=of
embers ^nns++++=embers
upon ^in++++=upon
a ^at++++=a
midnighthearth ^nn+++??+=midnighthearth;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
along ^in++++=along
the ^ati++++=the
entire ^jjb++++=entire
east ^np+pl+++=east
the ^ati++++=the
invisible ^jj+atrb+++=invisible
sun ^nn++++=sun
sent ^vbd+++xvbn+=sent
pallidintimations ^nns+nom+++=pallidintimations
of ^in++++=of
his ^pp$+pp3+++=his
coming ^nvbg+++xvbg+=coming.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
was ^vbd+bedz+vrb++=was
light ^jj+pred+++=light;
; ^zz++++=EXTRAWORD
the ^ati++++=the
waves ^nns++++=waves
languid ^jj++++=languid;
; ^zz++++=EXTRAWORD
thestars ^nns+++??+=thestars
twinkled ^vbd+++xvbn+=twinkled
with ^in++++=with
a ^at++++=a
faint ^jj+atrb+++=faint
effulgence ^nn+nom+++=effulgence;
; ^zz++++=EXTRAWORD
all ^abn++++=all
nature ^nn++++=nature
seemed ^vbd+seem++xvbn+=seemed
supine ^nn+++??+=supine
withthe ^nn+++??+=withthe
long ^rb++++=long
night ^nn++++=night
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
half ^abn++++=half-suspended
- ^zz++++=EXTRAWORD
suspended ^vbd+++xvbn+=EXTRAWORD
in ^in++++=in
jaded ^xvbn+++xvbn+=jaded
expectation ^nn+nom+++=expectation
of ^in++++=of
thesun ^nn+++??+=thesun.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
critical ^jj+atrb+++=critical
hour ^nn++++=hour
to ^to++++=to
catch ^vbi++++=catch
Rodondo ^np+++??+=Rodondo
in ^in++++=in
his ^pp$+pp3+++=his
perfect ^jj+atrb+++=perfect
mood.the ^nn+++??+=mood.The
twilight ^nn++++=twilight
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
enough ^dt++++=enough
to ^to++++=to
reveal ^vbi+vprv+++=reveal
every ^at++++=every
striking ^jj+atrb++xvbg+=striking
point ^nn++++=point,
, ^zz++++=EXTRAWORD
withouttearing ^jj+++xvbg+=withouttearing
away ^rp+pl+++=away
the ^ati++++=the
dim ^jj+atrb+++=dim
investiture ^nn+++??+=investiture
of ^in++++=of
wonder ^nn++++=wonder.
. ^zz++++=EXTRAWORD
From ^in++++=From
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
stair ^nn++++=stair-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
base ^nn++++=base,
, ^zz++++=EXTRAWORD
washed ^xvbn+++xvbn+=washed,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
steps ^nns++++=steps
of ^in++++=of
a ^at++++=a
water ^nn++++=water-palace,by
- ^zz++++=EXTRAWORD
palace,by ^nn+++??+=EXTRAWORD
the ^ati++++=the
waves ^nns++++=waves,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tower ^nn++++=tower
rose ^vbd+++xvbn+=rose
in ^in++++=in
entablatures ^nns+++??+=entablatures
of ^in++++=of
strata ^nns++++=strata
to ^in++++=to
a ^at++++=a
shavensummit ^nn+++??+=shavensummit.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
uniform ^jj+atrb+++=uniform
layers ^nns++++=layers,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
compose ^vb++++=compose
the ^ati++++=the
mass ^nn++++=mass,
, ^zz++++=EXTRAWORD
form ^nn++++=form
its ^pp$+it+++=its
mostpeculiar ^nn+++??+=mostpeculiar
feature ^nn++++=feature.
. ^zz++++=EXTRAWORD
For ^in++++=For
at ^in++++=at
their ^pp$+pp3+++=their
lines ^nns++++=lines
of ^in++++=of
junction ^nn+nom+++=junction
they ^pp3a+pp3+++=they
project ^nn++++=project
flatlyinto ^nn+++??+=flatlyinto
encircling ^vwbg+++xvbg+=encircling
shelves ^nns++++=shelves,
, ^zz++++=EXTRAWORD
from ^in++++=from
top ^nn++++=top
to ^in++++=to
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
one ^cd1++++=one
above ^jjb++++=above
another ^dt++++=another
ingraduated ^jj+atrb++xvbn+=ingraduated
series ^nn++++=series.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^in++++=as
the ^ati++++=the
eaves ^nns++++=eaves
of ^in++++=of
any ^dti++++=any
old ^jj+atrb+++=old
barn ^nn++++=barn
or ^cc++++=or
abbey ^nn++++=abbey
are ^vb+ber+vrb++=are
alivewith ^nn+++??+=alivewith
swallows ^nns+++??+=swallows,
, ^zz++++=EXTRAWORD
so ^ql++++=so
were ^vbd+bed+vrb++=were
all ^abn++++=all
these ^dt+dem+++=these
rocky ^jj+atrb+++=rocky
ledges ^nns+++??+=ledges
with ^in++++=with
unnumbered ^jj+atrb+++=unnumbered
sea ^nn++++=sea-fowl.Eaves
- ^zz++++=EXTRAWORD
fowl.eaves ^nns+++??+=EXTRAWORD
upon ^in++++=upon
eaves ^nns++++=eaves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nests ^nns++++=nests
upon ^in++++=upon
nests ^nns++++=nests.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
and ^cc++++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
longbirdlime ^nn+++??+=longbirdlime
streaks ^nns++++=streaks
of ^in++++=of
a ^at++++=a
ghostly ^jj+atrb+++=ghostly
white ^jj+atrb+++=white
staining ^nn++++=staining
the ^ati++++=the
tower ^nn++++=tower
from ^in++++=from
sea ^nn++++=sea
to ^in++++=to
air,readily ^jj++++=air,readily
accounting ^jj+++xvbg+=accounting
for ^in++++=for
its ^pp$+it+++=its
sail ^vb++++=sail-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
look ^vb++++=look
afar ^rb++++=afar.
. ^zz++++=EXTRAWORD
All ^abn++++=All
would ^md+prd+++=would
have ^vb+hv+vrb++=have
beenbewitchingly ^rb++++=beenbewitchingly
quiescent ^jj++++=quiescent,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
it ^pp3+it+++=it
not ^xnot++not++=not
for ^in++++=for
the ^ati++++=the
demoniac ^nn+++??+=demoniac
din ^nn+++??+=din
created ^vwbn+++xvbn+=created
by ^in++++=by
thebirds ^nns+++??+=thebirds.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
were ^vbd+bed+vrb++=were
the ^ati++++=the
eaves ^nns++++=eaves
rustling ^nn+nom+++=rustling
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
flew ^vbd+++xvbnx+=flew
denselyoverhead ^nn+++??+=denselyoverhead,
, ^zz++++=EXTRAWORD
spreading ^vbg+++xvbg+=spreading
themselves ^ppls+pp3+++=themselves
into ^in++++=into
a ^at++++=a
winged ^jj++++=winged
and ^cc++++=and
continually ^rb++++=continually
shiftingcanopy ^nn+++??+=shiftingcanopy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tower ^nn++++=tower
is ^vbz+bez+vrb++=is
the ^ati++++=the
resort ^nn++++=resort
of ^in++++=of
aquatic ^jj+atrb+++=aquatic
birds ^nns++++=birds
for ^in++++=for
hundreds ^cds++++=hundreds
of ^in++++=of
leaguesaround ^nn+++??+=leaguesaround.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
north ^np+pl+++=north,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
east ^np+pl+++=east,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
stretches ^vbz++++=stretches
nothing ^pn++++=nothing
buteternal ^jj+atrb+++=buteternal
ocean ^nn++++=ocean;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
man ^nn++++=man-of-war
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
war ^nn++++=EXTRAWORD
hawk ^nn+++??+=hawk
coming ^vwbg+++xvbg+=coming
from ^in++++=from
the ^ati++++=the
coasts ^nns++++=coasts
ofnorth ^nn+++??+=ofNorth
America ^np++++=America,
, ^zz++++=EXTRAWORD
Polynesia ^np+++??+=Polynesia,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Peru ^np++++=Peru,
, ^zz++++=EXTRAWORD
makes ^vbz++++=makes
his ^pp$+pp3+++=his
first ^od++++=first
land ^nn++++=land
at ^in++++=at
Rodondo ^np+++??+=Rodondo.
. ^zz++++=EXTRAWORD
Andyet ^np+++??+=Andyet
though ^cs+sub+++=though
Rodondo ^np+++??+=Rodondo
be ^vb+be+vrb++=be
terra ^&fw++++=terra-firma,
- ^zz++++=EXTRAWORD
firma ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
land ^nn++++=land-bird
- ^zz++++=EXTRAWORD
bird ^nn++++=EXTRAWORD
ever ^rb++++=ever
lighted ^vbd+++xvbn+=lighted
on ^in++++=on
it.fancy ^nn+++??+=it.Fancy
a ^at++++=a
red ^jj++++=red-robin
- ^zz++++=EXTRAWORD
robin ^np++++=EXTRAWORD
or ^cc++++=or
a ^at++++=a
canary ^nn++++=canary
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
falling ^jj+++xvbg+=falling
into ^in++++=into
the ^ati++++=the
hands ^nns++++=hands
ofthe ^nn+++??+=ofthe
Philistines ^np+++??+=Philistines,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
poor ^jj++++=poor
warbler ^jjr++++=warbler
should ^md+nec+++=should
be ^vb+be+aux++=be
surrounded ^vpsv++by+xvbnx+=surrounded
by ^in++++=by
suchlocust ^nn+++??+=suchlocust-flights
- ^zz++++=EXTRAWORD
flights ^nns++++=EXTRAWORD
of ^in++++=of
strong ^jj+atrb+++=strong
bandit ^nn+++??+=bandit
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
with ^in++++=with
long ^jj+atrb+++=long
bills ^nns++++=bills
cruel ^jj++++=cruel
as ^ql++++=as
daggers ^nns+nom+++=daggers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
not ^xnot++not++=not
where ^wrb+who+++=where
one ^cd1++++=one
can ^md+pos+++=can
better ^jjr+atrb+++=better
study ^nn++++=study
the ^ati++++=the
Natural ^jj+atrb+++=Natural
History ^nn++++=History
of ^in++++=of
strangesea ^nn+++??+=strangesea-fowl
- ^zz++++=EXTRAWORD
fowl ^nn+++??+=EXTRAWORD
than ^in++++=than
at ^rb++++=at
Rodondo ^np+++??+=Rodondo.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
aviary ^nn++++=aviary
of ^in++++=of
Ocean ^nn++++=Ocean.
. ^zz++++=EXTRAWORD
Birds ^nns++++=Birds
light ^jj+atrb+++=light
herewhich ^nn+++??+=herewhich
never ^rb++++=never
touched ^vbd+++xvbn+=touched
mast ^nn++++=mast
or ^cc++++=or
tree ^nn++++=tree;
; ^zz++++=EXTRAWORD
hermit ^nn++++=hermit-birds,
- ^zz++++=EXTRAWORD
birds ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
ever ^rb++++=ever
fly ^vb++++=fly
alone;cloud ^nn+++??+=alone;cloud-birds,
- ^zz++++=EXTRAWORD
birds ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
familiar ^jj++++=familiar
with ^in++++=with
unpierced ^jj+atrb++xvbn+=unpierced
zones ^nns++++=zones
of ^in++++=of
air ^nn++++=air.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
first ^rb++++=first
glance ^nn++++=glance
low ^jj++++=low
down ^in++++=down
to ^in++++=to
the ^ati++++=the
lowermost ^nn+++??+=lowermost
shelf ^nn++++=shelf
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
thewidest ^jjt+pred+++=thewidest,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
but ^cc++++=but
a ^rb++++=a
little ^rb"++++=little
space ^nn++++=space
from ^in++++=from
high ^jj++++=high-water
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
mark ^nn++++=mark.
. ^zz++++=EXTRAWORD
Whatoutlandish ^np+++??+=Whatoutlandish
beings ^nns++++=beings
are ^vb+ber+vrb++=are
these ^dt+pdem+++=these?
? ^zz++++=EXTRAWORD
Erect ^vb++++=Erect
as ^ql++++=as
men ^nns++++=men,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
hardly ^rb+down+++=hardly
as ^ql++++=as
symmetrical,they ^vb+++??+=symmetrical,they
stand ^vb++++=stand
all ^abn++++=all
round ^in++++=round
the ^ati++++=the
rock ^npl++++=rock
like ^in++++=like
sculptured ^jj+atrb+++=sculptured
caryatides ^nns++++=caryatides,
, ^zz++++=EXTRAWORD
supporting ^vbg+++xvbg+=supporting
thenext ^nn+++??+=thenext
range ^nn++++=range
of ^in++++=of
eaves ^nns++++=eaves
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
bodies ^nns++++=bodies
are ^vb+ber+vrb++=are
grotesquely ^rb++++=grotesquely
misshapen ^jj+pred+++=misshapen;
; ^zz++++=EXTRAWORD
theirbills ^nns+++??+=theirbills
short ^jj++++=short;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
feet ^nns++++=feet
seemingly ^rb++++=seemingly
legless ^jj++++=legless;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
members ^nns+nom+++=members
at ^rb++++=at
theirsides ^nns+++??+=theirsides
are ^vb+ber+vrb++=are
neither ^dt++neg++=neither
fin ^nn++++=fin,
, ^zz++++=EXTRAWORD
wing ^nn++++=wing,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
truly ^rb++++=truly
neither ^dt++neg++=neither
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
norfowl ^nn+++??+=norfowl
is ^vbz+bez+vrb++=is
the ^ati++++=the
penguin ^nn+++??+=penguin;
; ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
edible ^jj++++=edible,
, ^zz++++=EXTRAWORD
pertaining ^vbg+++xvbg+=pertaining
neither ^dt++neg++=neither
to ^in++++=to
Carnival ^nn+nom+++=Carnival
norlent ^jj++++=norLent;
; ^zz++++=EXTRAWORD
without ^in++++=without
exception ^nn+nom+++=exception
the ^ati++++=the
most ^ql+emph+++=most
ambiguous ^jj++++=ambiguous
and ^cc++++=and
least ^rbt++++=least
lovely ^jj+atrb+++=lovely
creature ^nn++++=creature
yetdiscovered ^vwbn+++xvbn+=yetdiscovered
by ^in++++=by
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
dabbling ^vbg+nom++xvbg+=dabbling
in ^in++++=in
all ^rb++++=all
three ^cd++++=three
elements ^nns+nom+++=elements,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indeedpossessing ^nvbg+++xvbg+=indeedpossessing
some ^dti++++=some
rudimental ^jj+atrb+++=rudimental
claims ^vb++++=claims
to ^to+vcmp+++=to
all ^abn++++=all,
, ^zz++++=EXTRAWORD
the ^ati++++=the
penguin ^nn+++??+=penguin
is ^vbz+bez+vrb++=is
at ^rb++++=at
home ^nr++++=home
innone ^nn+++??+=innone.
. ^zz++++=EXTRAWORD
On ^in++++=On
land ^nn++++=land
it ^pp3+it+++=it
stumps ^nns++++=stumps;
; ^zz++++=EXTRAWORD
afloat ^jj++++=afloat
it ^pp3+it+++=it
sculls ^vbz+++??+=sculls;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
it ^pp3+it+++=it
flops ^vbz+++??+=flops.
. ^zz++++=EXTRAWORD
As ^in++++=As
ifashamed ^nn++++=ifashamed
of ^in++++=of
her ^pp$+pp3+++=her
failure ^nn++++=failure,
, ^zz++++=EXTRAWORD
Nature ^nn++++=Nature
keeps ^vbz++++=keeps
this ^dt+dem+++=this
ungainly ^jj+atrb+++=ungainly
child ^nn++++=child
hidden ^vbd+++xvbn+=hidden
away ^rp+pl+++=away
atthe ^nn+++??+=atthe
ends ^nns++++=ends
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Straits ^nns++++=Straits
of ^in++++=of
Magellan ^np+nom++??+=Magellan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
abasedsea ^nn+++??+=abasedsea-story
- ^zz++++=EXTRAWORD
story ^nn++++=EXTRAWORD
of ^in++++=of
Rodondo ^np+++??+=Rodondo.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
look ^nn++++=look,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
are ^vb+ber+aux++=are
yon ^nn+++??+=yon
wobegone ^nn+++??+=wobegone
regiments ^nns+nom+++=regiments
drawn ^vwbn+++xvbn+=drawn
up ^rb+phrv+++=up
on ^in++++=on
the ^ati++++=the
next ^ap++++=next
shelfabove ^nn+++??+=shelfabove?
? ^zz++++=EXTRAWORD
what ^wdt+who+++=what
rank ^nn++++=rank
and ^cc++++=and
file ^nn++++=file
of ^in++++=of
large ^jj+atrb+++=large
strange ^jj+atrb+++=strange
fowl ^nn+++??+=fowl?
? ^zz++++=EXTRAWORD
what ^wdt+who+++=what
sea ^nn++++=sea
Friars ^np++++=Friars
oforders ^nns+nom+++=ofOrders
Gray ^np++++=Gray?
? ^zz++++=EXTRAWORD
Pelicans ^nns+nom++??+=Pelicans.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
elongated ^jj+atrb++xvbn+=elongated
bills ^nns++++=bills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heavy ^jj++++=heavy
leathern ^vprf+++xvbn+=leathern
pouchessuspended ^vbd+++xvbn+=pouchessuspended
thereto ^rb+cnj+++=thereto,
, ^zz++++=EXTRAWORD
give ^vb++++=give
them ^pp3o+pp3+++=them
the ^ati++++=the
most ^ql+emph+++=most
lugubrious ^jj+atrb+++=lugubrious
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
A ^at++++=A
pensiverace ^nn+++??+=pensiverace,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
stand ^vb++++=stand
for ^in+ppvb+++=for
hours ^nns++++=hours
together ^nn+nom+++=together
without ^in++++=without
motion ^nn++++=motion.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
dull ^jj++++=dull,
, ^zz++++=EXTRAWORD
ashyplumage ^nn+nom+++=ashyplumage
imparts ^vbz++++=imparts
an ^at++++=an
aspect ^nn++++=aspect
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
powdered ^vpsv++agls+xvbnx+=powdered
over ^in++++=over
withcinders ^nns+nom+++=withcinders.
. ^zz++++=EXTRAWORD
A ^at++++=A
penitential ^jj+atrb+++=penitential
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
fitly ^jj++++=fitly
haunting ^jj++++=haunting
the ^ati++++=the
shores ^nns++++=shores
of ^in++++=of
theclinkered ^jj+++xvbn+=theclinkered
Encantadas ^np+++??+=Encantadas,
, ^zz++++=EXTRAWORD
whereon ^wrb+who+++=whereon
tormented ^jj+atrb++xvbn+=tormented
Job ^nn++++=Job
himself ^ppl+pp3+++=himself
might ^md+pos+++=might
have ^vb+hv+aux++=have
well ^rb++splt++=well
satdown ^vprf+++xvbnx+=satdown
and ^cc+phrs+++=and
scraped ^vbd+++xvbn+=scraped
himself ^ppl+pp3+++=himself
with ^in++++=with
potsherds ^nns+++??+=potsherds.
. ^zz++++=EXTRAWORD
Higher ^jjr++++=Higher
up ^rp++++=up
now ^rn+tm+++=now
we ^pp1a+pp1+++=we
mark ^vb++++=mark
the ^ati++++=the
gony ^nn+++??+=gony,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
gray ^np++++=gray
albatross ^nns+++??+=albatross,
, ^zz++++=EXTRAWORD
anomalously ^jj++++=anomalously
socalled ^jj+++xvbn+=socalled,
, ^zz++++=EXTRAWORD
an ^at++++=an
unsightly ^jj+atrb+++=unsightly
unpoetic ^nn++++=unpoetic
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
unlike ^in++++=unlike
its ^pp$+it+++=its
storied ^jj+atrb++xvbn+=storied
kinsman ^nn++++=kinsman,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
isthe ^nn+++??+=isthe
snow ^np++++=snow-white
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
ghost ^nn++++=ghost
of ^in++++=of
the ^ati++++=the
haunted ^jj+++xvbn+=haunted
Capes ^np+++??+=Capes
of ^in++++=of
Hope ^nn++++=Hope
and ^cc++++=and
Horn ^nn++++=Horn.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
still ^rb+atrb+++=still
ascend ^nn+++??+=ascend
from ^in++++=from
shelf ^nn++++=shelf
to ^in++++=to
shelf ^nn++++=shelf,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
the ^ati++++=the
tenants ^nns+nom+++=tenants
of ^in++++=of
the ^ati++++=the
towerserially ^rb++++=towerserially
disposed ^jj+++xvbn+=disposed
in ^in++++=in
order ^nn++++=order
of ^in++++=of
their ^pp$+pp3+++=their
magnitude: ^nn+++??+=magnitude:--gannets,
-- ^--+clp+++=EXTRAWORD
gannets ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
andspeckled ^jj+atrb++xvbn+=andspeckled
haglets ^nns+nom+++=haglets,
, ^zz++++=EXTRAWORD
jays ^nns+++??+=jays,
, ^zz++++=EXTRAWORD
sea ^nn++++=sea-hens,
- ^zz++++=EXTRAWORD
hens ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sperm ^nn+++??+=sperm-whale-birds,
- ^zz++++=EXTRAWORD
whale ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
birds ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
gulls ^nns++++=gulls
of ^in++++=of
allvarieties: ^nn+++??+=allvarieties:--thrones,
-- ^--+clp+++=EXTRAWORD
thrones ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
princedoms ^nns+nom+++=princedoms,
, ^zz++++=EXTRAWORD
powers ^nns++++=powers,
, ^zz++++=EXTRAWORD
dominating ^vbg+++xvbg+=dominating
one ^cd1++++=one
above ^jjb++++=above
another ^dt++++=another
insenatorial ^jj+atrb+++=insenatorial
array ^nn++++=array;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
sprinkled ^j+++xvbn+=sprinkled
over ^in++++=over
all ^abn++++=all,
, ^zz++++=EXTRAWORD
like ^in++++=like
an ^at++++=an
ever ^rb++++=ever-repeated
- ^zz++++=EXTRAWORD
repeated ^vprf+++xvbn+=EXTRAWORD
flyin ^nn+++??+=flyin
a ^at++++=a
great ^jj+atrb+++=great
piece ^nn++++=piece
of ^in++++=of
broidery ^nn+nom+++=broidery,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stormy ^jj+atrb+++=stormy
petrel ^nn+++??+=petrel
or ^cc++++=or
Mother ^nn++++=Mother
Cary ^np++++=Cary's
's ^$++++=EXTRAWORD
chickensounds ^nns+++??+=chickensounds
his ^pp$+pp3+++=his
continual ^jj+atrb+++=continual
challenge ^nn++++=challenge
and ^cc++++=and
alarm ^nn++++=alarm.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
this ^dt+dem+++=this
mysterioushummingbird ^nn+++??+=mysterioushummingbird
of ^in++++=of
ocean ^nn++++=ocean--which,
-- ^--+clp+++=EXTRAWORD
which ^whp+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
but ^cc++++=but
brilliancy ^nn+++??+=brilliancy
of ^in++++=of
hue ^nn++++=hue,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
fromits ^nns+++??+=fromits
evanescent ^jj+atrb+++=evanescent
liveliness ^nns+nom+++=liveliness,
, ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
almost ^rb+hdg+splt++=almost
called ^vpsv++agls+xvbnx+=called
its ^pp$+it+++=its
butterfly ^nn++++=butterfly,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
whosechirrup ^nn+++??+=whosechirrup
under ^in++++=under
the ^ati++++=the
stern ^nn++++=stern
is ^vbz+bez+vrb++=is
ominous ^jj+pred+++=ominous
to ^in++++=to
mariners ^nns+nom+++=mariners
as ^in++++=as
to ^in++++=to
the ^ati++++=the
peasant ^nn+nom+++=peasant
thedeath ^nn+++??+=thedeath-tick
- ^zz++++=EXTRAWORD
tick ^nn+++??+=EXTRAWORD
sounding ^vwbg+++xvbg+=sounding
from ^in++++=from
behind ^in+pl+++=behind
the ^ati++++=the
chimney ^nn++++=chimney
jamb ^nn++++=jamb--should
-- ^--+clp+++=EXTRAWORD
should ^md+nec+++=EXTRAWORD
have ^vb+hv+vrb++=have
itsspecial ^jj+atrb+++=itsspecial
haunt ^nn++++=haunt
at ^in++++=at
the ^ati++++=the
Encantadas ^np+++??+=Encantadas,
, ^zz++++=EXTRAWORD
contributes ^vbz++++=contributes,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
seaman ^nn++++=seaman's
's ^$++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
nota ^nn+++??+=nota
little ^ap++++=little
to ^in++++=to
their ^pp$+pp3+++=their
dreary ^jj+atrb+++=dreary
