Winifred ^np++++=Winifred
He ^pp3a+pp3+++=He
cursed ^vbd+++xvbnx+=cursed
books ^nns++++=books
and ^cc++++=and
people ^nns++++=people
and ^cc++++=and
schools ^nns++++=schools.
. ^zz++++=EXTRAWORD
" ^zz++++="Damn
damn ^vb++++=EXTRAWORD
it ^pp3+it+++=it
all ^rb+cnj+++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
makes ^vbz++++=makes
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
about ^in++++=about
life ^nn++++=life?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
makes ^vbz++++=makes
people ^nns++++=people
want ^vb++++=want
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
about ^in++++=about
life ^nn++++=life?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they
live ^vb++++=live?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they
leave ^vb++++=leave
books ^nns++++=books
and ^cc++++=and
thoughts ^nns++++=thoughts
and ^cc++++=and
schools ^nns++++=schools
alone ^jj++++=alone?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
his ^pp$+pp3+++=his
wife ^nn++++=wife
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
pale ^nn++++=pale
and ^cc++++=and
stared ^vprf+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
queer ^jj+atrb+++=queer
fixed ^jj+atrb++xvbn+=fixed
uncertain ^jj+atrb+++=uncertain
stare ^nn++++=stare.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
negro ^nn++++=negro
woman ^nn++++=woman
got ^vbd+++xvbn+=got
up ^rp++++=up
and ^cc++++=and
went ^vbd+++xvbn+=went
quickly ^rb++++=quickly
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
older ^jjr+atrb+++=older
children ^nns++++=children
began ^vbd+++xvbn+=began
to ^to++++=to
cry ^vbi++++=cry.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
was ^vbd+bedz+vrb++=was
miserable ^jj+pred+++=miserable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
startled ^jj+atrb++xvbn+=startled
girl ^nn++++=girl
in ^in++++=in
the ^ati++++=the
chair ^nn++++=chair
who ^whp+rel+subj++=who
also ^rb++++=also
had ^vb+hv+vrb++=had
tears ^nns++++=tears
in ^in++++=in
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fingers ^nns+nom+++=fingers
pulled ^vbd+++xvbn+=pulled
nervously ^rb++++=nervously
at ^in++++=at
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
two ^cd++++=two
women ^nns++++=women
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
like ^in++++=like
a ^at++++=a
boy ^nn++++=boy
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
caught ^vpsv++agls+xvbnx+=caught
stealing ^nvbg+++xvbg+=stealing
food ^nn++++=food
in ^in++++=in
a ^at++++=a
pantry ^nn++++=pantry.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
having ^vbg+hvg++xvbg+=having
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
silly ^jj+atrb+++=silly
irritable ^jj+atrb+++=irritable
spells ^nns++++=spells,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
his ^pp$+pp3+++=his
wife ^nn++++=wife
but ^cc++++=but
in ^in++++=in
reality ^nn+nom+++=reality
addressing ^vwbg+++xvbg+=addressing
the ^ati++++=the
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+tht0++=see
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
more ^rbr++++=more
serious ^jj+pred+++=serious
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
pretend ^vb+vprv+++=pretend
to ^to+vcmp+++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
irritated ^vpsv++by+xvbn+=irritated
by ^in++++=by
your ^pp$+pp2+++=your
book ^nn++++=book
but ^cc++++=but
by ^in++++=by
something ^pn++++=something
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
so ^ql++++=so
much ^ap++++=much
that ^dt+pdem+++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
in ^in++++=in
life ^nn++++=life
and ^cc++++=and
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
so ^ql++++=so
little ^ap++++=little."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
upstairs ^jjb++++=upstairs
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
room ^nn++++=room
wondering ^vwbg+++xvbg+=wondering
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lied ^vprf+++xvbnx+=lied
to ^in++++=to
the ^ati++++=the
two ^cd++++=two
women ^nns++++=women,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
continually ^rb++++=continually
lied ^vbd+++xvbn+=lied
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
he ^pp3a+pp3+++=he
lie ^vb++++=lie
to ^in++++=to
himself ^ppl+pp3+++=himself?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
answer ^vbi++++=answer
the ^ati++++=the
question ^nn+nom+++=question
but ^cc++++=but
could ^md+pos+++=couldn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
like ^in++++=like
one ^cd1++++=one
who ^whp+rel+subj++=who
walks ^vbz++++=walks
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness
of ^in++++=of
the ^ati++++=the
hallway ^nn++++=hallway
of ^in++++=of
a ^at++++=a
house ^nn++++=house
and ^cc++++=and
comes ^vbz++++=comes
to ^in++++=to
a ^at++++=a
blank ^jj+atrb+++=blank
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
desire ^nn++++=desire
to ^to+ncmp+++=to
run ^vbi++++=run
away ^in+pl+++=away
from ^in"++++=from
life ^nn++++=life,
, ^zz++++=EXTRAWORD
to ^to++++=to
wear ^vbi++++=wear
himself ^ppl+pp3+++=himself
out ^rp+pl+++=out
physically ^rb+cnj+++=physically,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
back ^jjb++++=back
upon ^in++++=upon
him ^pp3o+pp3+++=him
like ^in++++=like
a ^at++++=a
madness ^nns+nom+++=madness.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness
inside ^in+pl+++=inside
his ^pp$+pp3+++=his
own ^ap++++=own
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
stopped ^vbd+++xvbn+=stopped
crying ^nvbg+++xvbg+=crying
and ^cc++++=and
the ^ati++++=the
house ^nn++++=house
became ^vbd+++xvbn+=became
quiet ^jj++++=quiet
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
hear ^vb+vprv+tht0++=hear
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
speaking ^vwbg+++xvbg+=speaking
softly ^rb++++=softly
and ^cc+phrs+++=and
presently ^rb+tm+++=presently
the ^ati++++=the
back ^jjb+atrb+++=back
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
banged ^vbd+++xvbn+=banged
and ^cc++++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
the ^ati++++=the
schoolgirl ^nn++++=schoolgirl
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Life ^nn++++=Life
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
began ^vbd+++xvbn+=began
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
ate ^vbd+++xvbn+=ate
his ^pp$+pp3+++=his
dinner ^nn++++=dinner
in ^in++++=in
silence ^nn+nom+++=silence
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
for ^in+ppvb+++=for
a ^at++++=a
long ^rb++++=long
walk ^nn++++=walk.
. ^zz++++=EXTRAWORD
For ^in++++=For
two ^cd++++=two
weeks ^nns++++=weeks
Mary ^np++++=Mary
Cochran ^np++++=Cochran
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vb++++=come
to ^in++++=to
his ^pp$+pp3+++=his
house ^nn++++=house
and ^cc++++=and
then ^rn+tm+++=then
one ^cd1++++=one
day ^nn++++=day
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
on ^in++++=on
the ^ati++++=the
college ^nn++++=college
grounds ^nns++++=grounds.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
pupils ^nns++++=pupils.
. ^zz++++=EXTRAWORD
" ^zz++++="Please
please ^uh++++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not
desert ^nn++++=desert
us ^pp1o+pp1+++=us
because ^cs+cos+++=because
of ^in"++++=of
my ^pp$+pp1+++=my
rudeness ^nns+nom+++=rudeness,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
blushed ^vbd+++xvbn+=blushed
and ^cc+phrs+++=and
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
home ^nr++++=home
that ^tht+rel+++=that
evening ^nn++++=evening
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard
beside ^in+pl+++=beside
the ^ati++++=the
house ^npl++++=house
playing ^vwbg+++xvbg+=playing
with ^in++++=with
the ^ati++++=the
children ^nns++++=children.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
at ^rb++++=at
once ^rb"+tm+++=once
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
room ^nn++++=room.
. ^zz++++=EXTRAWORD
A ^at++++=A
hard ^jj+atrb+++=hard
smile ^nn++++=smile
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
went ^vbd+++xvbn+=went
on ^in++++=on
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
a ^at++++=a
young ^jj+atrb+++=young
tree ^nn++++=tree
any ^dti++++=any
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
like ^in++++=like
Winifred ^np++++=Winifred.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
like ^in++++=like
a ^at++++=a
person ^nn++++=person
who ^whp+rel+subj++=who
belongs ^vbz++++=belongs
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
belongs ^vbz++++=belongs
to ^in++++=to
me ^pp1o+pp1+++=me
and ^cc++++=and
my ^pp$+pp1+++=my
life ^nn++++=life,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
Cochran ^np++++=Cochran's
's ^$++++=EXTRAWORD
visits ^nns++++=visits
to ^in++++=to
the ^ati++++=the
Walker ^nn++++=Walker
household ^nn++++=household
came ^vbd+++xvbn+=came
to ^in++++=to
an ^at++++=an
end ^nn++++=end
very ^ql+amp+++=very
abruptly ^rb++++=abruptly.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening
when ^wrb+who+++=when
Hugh ^np++++=Hugh
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
room ^nn++++=room
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
up ^rp++++=up
the ^ati++++=the
stairway ^nn++++=stairway
with ^in++++=with
the ^ati++++=the
two ^cd++++=two
boys ^nns++++=boys.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
dined ^vprf+++xvbnx+=dined
with ^in++++=with
the ^ati++++=the
family ^nn++++=family
and ^cc++++=and
was ^vbd+bedz+aux++=was
putting ^vbg+++xvbgx+=putting
the ^ati++++=the
two ^cd++++=two
boys ^nns++++=boys
into ^in++++=into
their ^pp$+pp3+++=their
beds ^nns++++=beds.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
privilege ^nn++++=privilege
she ^pp3a+pp3+++=she
claimed ^vbd+vpub++xvbnx+=claimed
when ^wrb+who+whcl++=when
she ^pp3a+pp3+++=she
dined ^vbd+++xvbnx+=dined
with ^in++++=with
the ^ati++++=the
Walkers ^nns+nom+++=Walkers.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
had ^vbd+hvd+aux++=had
hurried ^vprf+++xvbnx+=hurried
upstairs ^jjb++++=upstairs
immediately ^rb+tm+++=immediately
after ^in++++=after
dining ^xvbg+++xvbg+=dining.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
where ^wrb+who+whcl++=where
his ^pp$+pp3+++=his
wife ^nn++++=wife
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
downstairs ^jjb+pred+++=downstairs,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
under ^in++++=under
a ^at++++=a
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
reading ^vbg+++xvbg+=reading
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
books ^nns++++=books
of ^in++++=of
Robert ^np++++=Robert
Louis ^np++++=Louis
Stevenson ^np++++=Stevenson.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
Hugh ^np++++=Hugh
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
voices ^nns++++=voices
of ^in++++=of
his ^pp$+pp3+++=his
children ^nns++++=children
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
thing ^nn++++=thing
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
Cochran ^np++++=Cochran
came ^vbd+++xvbn+=came
down ^in++++=down
the ^ati++++=the
stairway ^nn++++=stairway
that ^tht+rel+subj++=that
led ^vprf+++xvbn+=led
past ^jjb++++=past
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
his ^pp$+pp3+++=his
room ^nn++++=room.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
back ^jjb++++=back
and ^cc+phrs+++=and
climbed ^jj+++xvbn+=climbed
the ^ati++++=the
stairs ^nns++++=stairs
again ^rb+tm+++=again
to ^in++++=to
the ^ati++++=the
room ^nn++++=room
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
arose ^vbd+++xvbn+=arose
and ^cc+phrs+++=and
stepped ^vbd+++xvbn+=stepped
into ^in++++=into
the ^ati++++=the
hallway ^nn++++=hallway.
. ^zz++++=EXTRAWORD
The ^ati++++=The
schoolgirl ^nn++++=schoolgirl
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
to ^in++++=to
the ^ati++++=the
children ^nns++++=children's
's ^$++++=EXTRAWORD
room ^nn++++=room
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
suddenly ^rb++splt++=suddenly
overtaken ^vpsv++agls+xvbn+=overtaken
with ^in++++=with
a ^at++++=a
hunger ^nn++++=hunger
to ^to++++=to
kiss ^vbi++++=kiss
Hugh ^np++++=Hugh's
's ^$++++=EXTRAWORD
oldest ^jjt+atrb+++=oldest
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
a ^at++++=a
lad ^nn++++=lad
of ^in++++=of
nine ^cd++++=nine.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
crept ^vbd+++xvbnx+=crept
into ^in++++=into
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
stood ^vpsv++agls+xvbn+=stood
for ^in+ppvb+++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
looking ^vwbg+++xvbg+=looking
at ^rb++++=at
the ^ati++++=the
two ^cd++++=two
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
unaware ^jj++++=unaware
of ^in++++=of
her ^pp$+pp3+++=her
presence ^nn+nom+++=presence
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
stole ^vbd+++xvbnx+=stole
forward ^rb++++=forward
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
the ^ati++++=the
boy ^nn++++=boy
lightly ^rb++++=lightly.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
Hugh ^np++++=Hugh
stood ^vbd+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness
waiting ^vwbg+++xvbg+=waiting
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
hold ^nn++++=hold
of ^in++++=of
her ^pp$+pp3+++=her
hand ^nn++++=hand
and ^cc++++=and
led ^vwbn+++xvbn+=led
her ^pp$+pp3+++=her
down ^in++++=down
the ^ati++++=the
stairs ^nns++++=stairs
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
room ^nn++++=room.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
terribly ^rb++++=terribly
afraid ^jj+pred+++=afraid
and ^cc++++=and
her ^pp$+pp3+++=her
fright ^nn++++=fright
in ^in++++=in
an ^at++++=an
odd ^jj+atrb+++=odd
way ^nn++++=way
pleased ^vbd+++xvbn+=pleased
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand
now ^rn+tm+++=now
what ^wdt+who+++=what's
's ^vbz+bez+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
happen ^vb+++??+=happen
here ^rn+pl+++=here
but ^cc++++=but
some ^dti++++=some
day ^nn++++=day
you ^pp2+pp2+++=you
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
kiss ^vb++++=kiss
you ^pp2+pp2+++=you
and ^cc++++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
ask ^vb++++=ask
you ^pp2+pp2+++=you
to ^to++++=to
go ^vbi++++=go
out ^rp+pl+++=out
of ^in++++=of
this ^dt+dem+++=this
house ^nn++++=house
and ^cc++++=and
never ^rb++++=never
come ^vb++++=come
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv++xvbnx+=held
the ^ati++++=the
girl ^nn++++=girl
against ^in++++=against
his ^pp$+pp3+++=his
body ^nn++++=body
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
her ^pp$+pp3+++=her
upon ^in++++=upon
the ^ati++++=the
cheeks ^nns++++=cheeks
and ^cc++++=and
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
led ^vbd+++xvbnx+=led
her ^pp$+pp3+++=her
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
weak ^jj++++=weak
with ^in++++=with
fright ^nn++++=fright
and ^cc++++=and
with ^in++++=with
new ^jj++++=new,
, ^zz++++=EXTRAWORD
strange ^jj+atrb+++=strange,
, ^zz++++=EXTRAWORD
trembling ^jj+atrb++xvbg+=trembling
desires ^nns++++=desires
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
with ^in++++=with
difficulty ^nn++++=difficulty
make ^vb++++=make
her ^pp$+pp3+++=her
way ^nn++++=way
down ^in++++=down
the ^ati++++=the
stair ^nn++++=stair
and ^cc++++=and
into ^in++++=into
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
lie ^vb++++=lie
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heard ^vbd+vprv++xvbn+=heard
her ^pp$+pp3+++=her
voice ^nn++++=voice
coming ^vwbg+++xvbg+=coming
up ^rp++++=up
the ^ati++++=the
stairs ^nns++++=stairs
like ^in++++=like
an ^at++++=an
echo ^nn++++=echo
to ^in++++=to
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
terrible ^jj+atrb+++=terrible
headache ^nn++++=headache.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
hurry ^vb++++=hurry
home ^nr++++=home,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
her ^pp$+pp3+++=her
voice ^nn++++=voice
saying ^vwbg+++xvbg+=saying.
. ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
dull ^jj+pred+++=dull
and ^cc+phrs+++=and
heavy ^jj++++=heavy.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
like ^in++++=like
a ^at++++=a
young ^jj+atrb+++=young
tree ^nn++++=tree,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
and ^cc+phrs+++=and
proud ^jj++++=proud
of ^in++++=of
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
door ^nn++++=door
at ^in++++=at
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
house ^npl++++=house
close ^jj++++=close
softly ^rb++++=softly
his ^pp$+pp3+++=his
heart ^nn++++=heart
jumped ^vbd+++xvbn+=jumped.
. ^zz++++=EXTRAWORD
A ^at++++=A
strange ^jj++++=strange
quivering ^jj+++xvbg+=quivering
light ^jj++++=light
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+aux++=be
imprisoned ^vpsv++agls+xvbnx+=imprisoned
but ^cc++++=but
