San ^np++++=San
them ^pp3o+pp3+++=them
with ^in++++=with
the ^ati++++=the
revolver ^nn+nom+++=revolver,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
sat ^vbd+++xvbnx+=sat
stolidly ^rb++++=stolidly
in ^in++++=in
the ^ati++++=the
flooded ^jj+atrb+++=flooded
cabin ^nn++++=cabin
and ^cc++++=and
on ^in++++=on
the ^ati++++=the
roof ^nn++++=roof
and ^cc++++=and
would ^md+prd+++=would
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
Fifteen ^cd++++=Fifteen
minutes ^nns++++=minutes
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
sinking ^vwbg+++xvbg+=sinking
deeper ^jjr++++=deeper
and ^cc+phrs+++=and
deeper ^jjr++++=deeper,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
mainsail ^nn+++??+=mainsail
flapping ^vwbg+++xvbg+=flapping
in ^in++++=in
the ^ati++++=the
calm ^nn++++=calm.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
from ^in++++=from
off ^in+pl+++=off
the ^ati++++=the
Point ^nn++++=Point
Pedro ^np++++=Pedro
shore ^nn++++=shore
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
dark ^jj+atrb+++=dark
line ^nn++++=line
form ^nn++++=form
on ^in++++=on
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
travel ^nn++++=travel
toward ^in++++=toward
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
steady ^jj+atrb+++=steady
breeze ^nn++++=breeze
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
expecting ^vbg+vprv++xvbgx+=expecting
so ^ql++++=so
long ^rb++++=long.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
to ^in++++=to
the ^ati++++=the
Chinese ^nn+nom+++=Chinese
and ^cc++++=and
pointed ^vbd+++xvbn+=pointed
it ^pp3+it+++=it
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
hailed ^vbd+++xvbnx+=hailed
it ^pp3+it+++=it
with ^in++++=with
exclamations ^nns+nom+++=exclamations.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
pointed ^vbd+++xvbnx+=pointed
to ^in++++=to
the ^ati++++=the
sail ^nn++++=sail
and ^cc++++=and
to ^in++++=to
the ^ati++++=the
water ^nn++++=water
in ^in++++=in
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indicated ^vpsv++by+xvbn+=indicated
by ^in++++=by
signs ^nns++++=signs
that ^tht+ncmp+++=that
when ^wrb+who+++=when
the ^ati++++=the
wind ^nn++++=wind
reached ^vbd+++xvbn+=reached
the ^ati++++=the
sail ^nn++++=sail,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
of ^in++++=of
the ^ati++++=the
water ^nn++++=water
aboard ^in+pl+++=aboard
we ^pp1a+pp1+++=we
would ^md+prd+++=would
capsize ^vb++++=capsize.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
jeered ^vbd+++xvbnx+=jeered
defiantly ^rb+cnj+++=defiantly,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
in ^in++++=in
my ^pp$+pp1+++=my
power ^nn++++=power
to ^to+ncmp+++=to
luff ^vb+++??+=luff
the ^ati++++=the
helm ^np++++=helm
and ^cc++++=and
let ^vb+++xvbn+=let
go ^vb++++=go
the ^ati++++=the
main ^jjb++++=main-sheet,
- ^zz++++=EXTRAWORD
sheet ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^rb++++=so
as ^in++++=as
to ^in++++=to
spill ^nn++++=spill
the ^ati++++=the
wind ^nn++++=wind
and ^cc++++=and
escape ^nn++++=escape
damage ^nn++++=damage.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
mind ^nn++++=mind
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
up ^rp++++=up.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hauled ^vbd+++xvbnx+=hauled
in ^rb++++=in
the ^rb"++++=the
main ^rb"++++=main-sheet
- ^zz++++=EXTRAWORD
sheet ^nn++++=EXTRAWORD
a ^at++++=a
foot ^nn++++=foot
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^at++++=a
turn ^nn++++=turn
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bracing ^nvbg+++xvbg+=bracing
my ^pp$+pp1+++=my
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
my ^pp$+pp1+++=my
back ^jjb++++=back
against ^in++++=against
the ^ati++++=the
tiller ^nn++++=tiller.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
left ^vbd+++xvbn+=left
me ^pp1o+pp1+++=me
one ^cd1++++=one
hand ^nn++++=hand
for ^in++++=for
the ^ati++++=the
sheet ^nn++++=sheet
and ^cc++++=and
one ^pn++++=one
for ^in++++=for
the ^ati++++=the
revolver ^nn+nom+++=revolver.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dark ^jj+atrb+++=dark
line ^nn++++=line
drew ^vbd+++xvbn+=drew
nearer ^rbr++++=nearer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
them ^pp3o+pp3+++=them
looking ^vbg+++xvbg+=looking
from ^in++++=from
me ^pp1o+pp1+++=me
to ^in++++=to
it ^pp3+it+++=it
and ^cc++++=and
back ^jjb++++=back
again ^rb+tm+++=again
with ^in++++=with
an ^at++++=an
apprehension ^nn++++=apprehension
they ^pp3a+pp3+++=they
could ^md+pos+++=could
not ^xnot++not++=not
successfully ^rb++++=successfully
conceal ^vb++++=conceal.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
brain ^nn++++=brain
and ^cc++++=and
will ^md+prd+++=will
and ^cc++++=and
endurance ^nn+nom+++=endurance
were ^vbd+bed+aux++=were
pitted ^vpsv++agls+xvbnx+=pitted
against ^in++++=against
theirs ^pp$$++++=theirs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
problem ^nn++++=problem
was ^vbd+bedz+aux++=was
which ^whp+who+++=which
could ^md+pos+++=could
stand ^vb++++=stand
the ^ati++++=the
strain ^nn++++=strain
of ^in++++=of
imminent ^jj+atrb+++=imminent
death ^nn++++=death
the ^ati++++=the
longer ^rbr++++=longer
and ^cc++++=and
not ^xnot++not++=not
give ^vb++++=give
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
wind ^nn++++=wind
struck ^vbd+++xvbn+=struck
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
The ^ati++++=The
main ^jjb++++=main-sheet
- ^zz++++=EXTRAWORD
sheet ^nn++++=EXTRAWORD
tautened ^vbd+++xvbn+=tautened
with ^in++++=with
a ^at++++=a
brisk ^jj++++=brisk
rattling ^jj++++=rattling
of ^in++++=of
the ^ati++++=the
blocks ^nns++++=blocks,
, ^zz++++=EXTRAWORD
the ^ati++++=the
boom ^nn++++=boom
uplifted ^jj++++=uplifted,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sail ^nn++++=sail
bellied ^vbd+++xvbn+=bellied
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
heeled ^vbd+++xvbn+=heeled
over ^in++++=over
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
over ^rb+cnj+++=over,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
lee ^np++++=lee-rail
- ^zz++++=EXTRAWORD
rail ^nn++++=EXTRAWORD
went ^vbd+++xvbn+=went
under ^in+strn+++=under,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cabin ^nn++++=cabin
windows ^nns++++=windows
went ^vbd+++xvbn+=went
under ^in+strn+++=under,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bay ^nn++++=bay
began ^vbd+++xvbn+=began
to ^to++++=to
pour ^vbi++++=pour
in ^in++++=in
over ^in++++=over
the ^ati++++=the
cockpit ^nn++++=cockpit
rail ^nn++++=rail.
. ^zz++++=EXTRAWORD
So ^ql++++=So
violently ^rb++++=violently
had ^vb+hv+aux++=had
she ^pp3a+pp3+++=she
heeled ^vbd+++xvbnx+=heeled
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
cabin ^nn++++=cabin
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thrown ^vpsv++agls+xvbnx+=thrown
on ^rb+phrv+++=on
top ^nn++++=top
of ^in++++=of
one ^cd1++++=one
another ^dt++++=another
into ^in++++=into
the ^ati++++=the
lee ^nn++++=lee
bunk ^nn++++=bunk,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
squirmed ^vbd+++xvbnx+=squirmed
and ^cc+phrs+++=and
twisted ^vbd+++xvbn+=twisted
and ^cc++++=and
were ^vbd+bed+aux++=were
washed ^vpsv++agls+xvbnx+=washed
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
underneath ^in+pl+++=underneath
being ^xvbg+++xvbg+=being
perilously ^rb++++=perilously
near ^in+cmpx+++=near
to ^in"++++=to
drowning ^xvbg+++xvbg+=drowning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
freshened ^vbd+++xvbn+=freshened
a ^at++++=a
bit ^nn++++=bit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
went ^vbd+++xvbn+=went
over ^in++++=over
farther ^rbr++++=farther
than ^in++++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
moment ^nn++++=moment
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
another ^ppls++++=another
puff ^vb++++=puff
like ^in++++=like
that ^dt+pdem+++=that
and ^cc++++=and
she ^pp3a+pp3+++=she
surely ^rb++++=surely
would ^md+prd+++=would
go ^vb++++=go.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
I ^pp1a+pp1+++=I
pressed ^vbd+++xvbnx+=pressed
her ^pp$+pp3+++=her
under ^in++++=under
and ^cc++++=and
debated ^vbd+++xvbn+=debated
whether ^cs+who+++=whether
I ^pp1a+pp1+++=I
should ^md+nec+++=should
give ^vb++++=give
up ^rb+phrv+++=up
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Chinese ^nn+nom+++=Chinese
cried ^vbd+++xvbn+=cried
for ^in++++=for
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sweetest ^jjt++++=sweetest
sound ^jj++++=sound
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
ever ^rb++splt++=ever
heard ^vprf+++xvbnx+=heard.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
until ^in++++=until
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
I ^pp1a+pp1+++=I
luff ^nn+++??+=luff
up ^rp++++=up
and ^cc++++=and
ease ^nn++++=ease
out ^rp+pl+++=out
the ^ati++++=the
main ^jjb++++=main-sheet.
- ^zz++++=EXTRAWORD
sheet ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Reindeer ^np+nom++??+=Reindeer
righted ^vbd+++xvbn+=righted
very ^ql+amp+++=very
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
on ^in++++=on
an ^at++++=an
even ^rb++++=even
keel ^nn++++=keel
was ^vbd+bedz+vrb++=was
so ^ql++++=so
much ^ap++++=much
awash ^nn+++??+=awash
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
doubted ^vbd+vprv++xvbnx+=doubted
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
could ^md+pos+++=could
be ^vb+be+aux++=be
saved ^vpsv++agls+xvbnx+=saved.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
Chinese ^nn+nom+++=Chinese
scrambled ^vbd+++xvbn+=scrambled
madly ^rb++++=madly
into ^in++++=into
the ^ati++++=the
cockpit ^nn++++=cockpit
and ^cc++++=and
fell ^nn+++xvbn+=fell
to ^to++++=to
bailing ^vbi+nom+++=bailing
with ^in++++=with
buckets ^nns+++??+=buckets,
, ^zz++++=EXTRAWORD
pots ^nns++++=pots,
, ^zz++++=EXTRAWORD
pans ^nns++++=pans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
they ^pp3a+pp3+++=they
could ^md+pos+++=could
lay ^jjb+atrb++xvbn+=lay
hands ^nns++++=hands
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
sight ^nn++++=sight
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
water ^nn++++=water
flying ^vwbg+++xvbg+=flying
over ^in++++=over
the ^ati++++=the
side ^nn++++=side!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
was ^vbd+bedz+vrb++=was
high ^jj+pred+++=high
and ^cc+phrs+++=and
proud ^jj++++=proud
on ^in++++=on
the ^ati++++=the
water ^nn++++=water
once ^rb+tm+++=once
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
dashed ^vbd+++xvbn+=dashed
away ^rp+pl+++=away
with ^in++++=with
the ^ati++++=the
breeze ^nn++++=breeze
on ^in++++=on
our ^pp$+pp1+++=our
quarter ^nn++++=quarter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
last ^ap++++=last
possible ^jj+atrb+++=possible
moment ^nn++++=moment
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
mud ^nn++++=mud
flats ^nns++++=flats
and ^cc++++=and
entered ^vbd+++xvbn+=entered
the ^ati++++=the
slough ^nn++++=slough.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spirit ^nn++++=spirit
of ^in++++=of
the ^ati++++=the
Chinese ^nn+nom+++=Chinese
was ^vbd+bedz+aux++=was
broken ^vpsv++agls+xvbnx+=broken,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+emph+++=so
docile ^jj++++=docile
did ^vbd+dod+aux++=did
they ^pp3a+pp3+++=they
become ^vprf+++xvbn+=become
that ^dt+dem+++=that
ere ^nn+++??+=ere
we ^pp1a+pp1+++=we
made ^vbd+++xvbn+=made
San ^np++++=San
Rafael ^np++++=Rafael
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
out ^rp+pl+++=out
with ^in++++=with
the ^ati++++=the
tow ^nn++++=tow-rope,
- ^zz++++=EXTRAWORD
rope ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Yellow ^jj+atrb+++=Yellow
Handkerchief ^nn++++=Handkerchief
at ^in++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
line ^nn++++=line.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
George ^np++++=George,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
last ^rb++++=last
trip ^nn++++=trip
with ^in++++=with
the ^ati++++=the
fish ^nns++++=fish
patrol ^nn++++=patrol.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
care ^nn++++=care
for ^in++++=for
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
a ^at++++=a
clerkship ^nn+nom+++=clerkship
ashore ^rb+pl+++=ashore
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good
enough ^dt++++=enough
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=And
we ^pp1a+pp1+++=we
thought ^nn++++=thought
so ^ql++++=so
too ^ql++++=too.
. ^zz++++=EXTRAWORD
