Eastward ^rb++++=Eastward
by ^in++++=by
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
her ^pp$+pp3+++=her
elder ^jjr+atrb+++=elder
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
fast ^rb++++=fast
asleep ^jj+pred+++=asleep,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
at ^in++++=at
the ^ati++++=the
grey ^nn++++=grey
of ^in++++=of
the ^ati++++=the
morning ^nn++++=morning
heard ^vbd+vprv+tht0+xvbn+=heard
the ^ati++++=the
latch ^nn++++=latch
lifted ^vbd+++xvbn+=lifted
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv+tht0+xvbn+=saw
little ^jj+atrb+++=little
Billy ^np++++=Billy
enter ^vb++++=enter
and ^cc++++=and
close ^rb++++=close
the ^ati++++=the
door ^nn++++=door
gently ^rb++++=gently
after ^in++++=after
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
light ^jj+pred+++=light
enough ^qlp++++=enough
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
barefoot ^jj+pred+++=barefoot
and ^cc+phrs+++=and
ragged ^jj++++=ragged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
pale ^nn++++=pale
and ^cc++++=and
famished ^jj++++=famished.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
straight ^rb++++=straight
to ^in++++=to
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cowered ^vpsv++agls+xvbn+=cowered
over ^in++++=over
the ^ati++++=the
turf ^nn++++=turf
embers ^nns++++=embers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rubbed ^vbd+++xvbn+=rubbed
his ^pp$+pp3+++=his
hands ^nns++++=hands
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
shiver ^vbi++++=shiver
as ^ql++++=as
he ^pp3a+pp3+++=he
gathered ^vbd+++xvbnx+=gathered
the ^ati++++=the
smouldering ^jj+atrb++xvbg+=smouldering
turf ^nn++++=turf
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
girl ^nn++++=girl
clutched ^vbd+++xvbn+=clutched
her ^pp$+pp3+++=her
sister ^nn++++=sister
in ^in++++=in
terror ^nn++++=terror
and ^cc++++=and
whispered ^jj+++xvbn+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="Waken,
waken ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Nelly ^np++++=Nelly,
, ^zz++++=EXTRAWORD
waken ^vb++++=waken;
; ^zz++++=EXTRAWORD
here ^rn+pl+++=here's
's ^vbz+bez+aux++0=EXTRAWORD
Billy ^np++++=Billy
come ^vb++++=come
back ^jjb++++=back!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nelly ^np++++=Nelly
slept ^vbd+++xvbn+=slept
soundly ^rb++++=soundly
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
little ^jj+atrb+++=little
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
hands ^nns++++=hands
were ^vbd+bed+aux++=were
extended ^vpsv++agls+xvbnx+=extended
close ^jj++++=close
over ^in++++=over
the ^ati++++=the
coals ^nns++++=coals,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
and ^cc+phrs+++=and
looked ^jj+++xvbn+=looked
toward ^in++++=toward
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
in ^in++++=in
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
glare ^nn++++=glare
of ^in++++=of
the ^ati++++=the
embers ^nns++++=embers
reflected ^vbd+vprv++xvbn+=reflected
on ^in++++=on
his ^pp$+pp3+++=his
thin ^jj+atrb+++=thin
cheek ^nn++++=cheek
as ^ql++++=as
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
toward ^in++++=toward
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose
and ^cc+phrs+++=and
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
on ^in++++=on
tiptoe ^nn+++??+=tiptoe,
, ^zz++++=EXTRAWORD
quickly ^rb++++=quickly
to ^in++++=to
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
in ^in++++=in
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
himself ^ppl+pp3+++=himself
out ^rp+pl+++=out
as ^in++++=as
softly ^rb++++=softly
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
boy ^nn++++=boy
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
seen ^vpsv++agls+xvbnx+=seen
any ^dti++++=any
more ^rbr++++=more
by ^in++++=by
any ^dti++++=any
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
kindred ^nn++++=kindred.
. ^zz++++=EXTRAWORD
" ^zz++++="Fairy
fairy ^nn++++=EXTRAWORD
doctors ^nns++++=doctors,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
dealers ^nns+nom+++=dealers
in ^in++++=in
the ^ati++++=the
preternatural ^nn+nom+++=preternatural,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
in ^in++++=in
such ^abl++++=such
cases ^nns++++=cases
were ^vbd+bed+aux++=were
called ^vpsv++agls+xvbnx+=called
in ^rb+cnj+++=in,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
termed ^vpsv++agls+xvbnx+=termed,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
all ^abn++++=all
that ^dt+dem+++=that
in ^in++++=in
them ^pp3o+pp3+++=them
lay ^vbd+++xvbn+=lay
but ^cc++++=but
in ^rb++++=in
vain ^rb"++++=vain.
. ^zz++++=EXTRAWORD
Father ^nn++++=Father
Tom ^np++++=Tom
came ^vbd+++xvbn+=came
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tried ^vbd+++xvbn+=tried
what ^wdt+who+++=what
holier ^jjr+atrb+++=holier
rites ^nns++++=rites
could ^md+pos+++=could
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
equally ^rb++++=equally
without ^in++++=without
result ^nn++++=result.
. ^zz++++=EXTRAWORD
So ^ql++++=So
little ^ap++++=little
Billy ^np++++=Billy
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead
to ^in++++=to
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sisters ^nns+nom+++=sisters;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
grave ^nn++++=grave
received ^vbd+++xvbn+=received
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
whom ^whp+rel+obj++=whom
affection ^nn+nom+++=affection
cherished ^vbd+++xvbn+=cherished,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
in ^in++++=in
holy ^jj+atrb+++=holy
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
churchyard ^nn++++=churchyard
of ^in++++=of
Abington ^np+++??+=Abington,
, ^zz++++=EXTRAWORD
with ^in++++=with
headstone ^nn++++=headstone
to ^to++++=to
mark ^vbi++++=mark
the ^ati++++=the
spot ^nn++++=spot
over ^in++++=over
which ^whp+rel+pied++=which
the ^ati++++=the
survivor ^nn++++=survivor
might ^md+pos+++=might
kneel ^vb++++=kneel
and ^cc+phrs+++=and
say ^vb+vpub+++=say
a ^at++++=a
kind ^nn++++=kind
prayer ^nn++++=prayer
for ^in++++=for
the ^ati++++=the
peace ^nn++++=peace
of ^in++++=of
the ^ati++++=the
departed ^jj+atrb++xvbn+=departed
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
landmark ^nn++++=landmark
to ^to++++=to
show ^vbi+vprv+++=show
where ^wrb+who+whcl++=where
little ^jj+atrb+++=little
Billy ^np++++=Billy
was ^vbd+bedz+aux++=was
hidden ^vpsv++agls+xvbnx+=hidden
from ^in++++=from
their ^pp$+pp3+++=their
loving ^jj+atrb++xvbg+=loving
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
hill ^nn++++=hill
of ^in++++=of
Lisnavoura ^np+++??+=Lisnavoura,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
cast ^vbd+++xvbn+=cast
its ^pp$+it+++=its
long ^jj+atrb+++=long
shadow ^nn++++=shadow
at ^in++++=at
sunset ^nn++++=sunset
before ^in++++=before
the ^ati++++=the
cabin ^nn++++=cabin-door;
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
white ^jj++++=white
and ^cc+phrs+++=and
filmy ^jj++++=filmy
in ^in++++=in
the ^ati++++=the
moonlight ^nn++++=moonlight,
, ^zz++++=EXTRAWORD
in ^in++++=in
later ^rbr+tm+++=later
years ^nns++++=years,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
occupy ^vb++++=occupy
his ^pp$+pp3+++=his
brother ^nn++++=brother's
's ^$++++=EXTRAWORD
gaze ^nn++++=gaze
as ^ql++++=as
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
from ^in++++=from
fair ^jj++++=fair
or ^cc++++=or
market ^nn++++=market,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
draw ^nn++++=draw
from ^in++++=from
him ^pp3o+pp3+++=him
a ^at++++=a
sigh ^nn++++=sigh
and ^cc++++=and
a ^at++++=a
prayer ^nn++++=prayer
for ^in++++=for
the ^ati++++=the
little ^ap++++=little
brother ^nn++++=brother
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
so ^ql++++=so
long ^rb++++=long
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
never ^rb++++=never
to ^to++++=to
see ^vb+vprv+++=see
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
