Blood ^nn++++=Blood
were ^vbd+bed+vrb++=were
honor ^nn++++=honor.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
further ^jjb++++=further,
, ^zz++++=EXTRAWORD
Ligoun ^np+++??+=Ligoun
being ^vwbg+beg++xvbg+=being
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
need ^nn++++=need
for ^in++++=for
my ^pp$+pp1+++=my
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
laid ^vbd+++xvbnx+=laid
about ^rb++++=about
me ^pp1o+pp1+++=me
with ^in++++=with
his ^pp$+pp3+++=his
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
choosing ^jj+++xvbg+=choosing
the ^ati++++=the
chiefest ^nn++++=chiefest
of ^in++++=of
rank ^nn++++=rank
that ^tht+rel+subj++=that
yet ^rb++++=yet
remained ^vbd+++xvbn+=remained."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Palitlum ^np+++??+=Palitlum
fumbled ^vbd+++xvbn+=fumbled
under ^in++++=under
his ^pp$+pp3+++=his
shirt ^nn++++=shirt
and ^cc++++=and
drew ^vbd+++xvbn+=drew
forth ^rp++++=forth
a ^at++++=a
beaded ^jj+atrb++xvbn+=beaded
sheath ^nn++++=sheath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
sheath ^nn++++=sheath,
, ^zz++++=EXTRAWORD
a ^at++++=a
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
knife ^nn++++=knife
home ^nr++++=home-wrought
- ^zz++++=EXTRAWORD
wrought ^vwbn+++xvbn+=EXTRAWORD
and ^cc++++=and
crudely ^jj++++=crudely
fashioned ^jj+++xvbn+=fashioned
from ^in++++=from
a ^at++++=a
whip ^nn++++=whip-saw
- ^zz++++=EXTRAWORD
saw ^vbd+vprv++xvbn+=EXTRAWORD
file ^nn++++=file;
; ^zz++++=EXTRAWORD
a ^at++++=a
knife ^nn++++=knife
such ^abl++++=such
as ^ql++++=as
one ^cd1++++=one
may ^md+pos+++=may
find ^vb+vprv+++=find
possessed ^vpsv++by+xvbn+=possessed
by ^in++++=by
old ^jj+atrb+++=old
men ^nns++++=men
in ^in++++=in
a ^at++++=a
hundred ^cd++++=hundred
Alaskan ^np+++??+=Alaskan
villages ^nns+nom+++=villages.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
knife ^nn++++=knife
of ^in++++=of
Ligoun ^np+++??+=Ligoun?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Palitlum ^np+++??+=Palitlum
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
knife ^nn++++=knife
of ^in++++=of
Ligoun ^np+++??+=Ligoun,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="will
will ^md+prd+++=EXTRAWORD
I ^pp1a+pp1+++=I
give ^vb++++=give
thee ^pp2+pp2+++=thee
ten ^cd++++=ten
bottles ^nns++++=bottles
of ^in++++=of
' ^zz++++='Three
three ^cd++++=EXTRAWORD
Star. ^np+++??+=Star.'"
'" ^nn+++??+=EXTRAWORD
But ^cc++++=But
Palitlum ^np+++??+=Palitlum
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
" ^zz++++="Hair-Face,
hair ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
weak ^jj+pred+++=weak
as ^in++++=as
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
easy ^jj++++=easy
as ^in++++=as
a ^at++++=a
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
soiled ^jj++++=soiled
my ^pp$+pp1+++=my
belly ^nn++++=belly
with ^in++++=with
quass ^nns+++??+=quass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hooch ^nn+++??+=hooch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='Three
three ^cd++++=EXTRAWORD
Star ^nn++++=Star.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
eyes ^nns++++=eyes
are ^vb+ber+aux++=are
blunted ^vprf+++xvbn+=blunted,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
ears ^nns++++=ears
have ^vb+hv+aux++=have
lost ^vprf+++xvbnx+=lost
their ^pp$+pp3+++=their
keenness ^nns+nom+++=keenness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
strength ^nn++++=strength
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
into ^in++++=into
fat ^nn++++=fat.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
without ^in++++=without
honor ^nn++++=honor
in ^in++++=in
these ^dt+dem+++=these
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
am ^vb+bem+aux++=am
called ^vpsv++agls+xvbnx+=called
Palitlum ^np+++??+=Palitlum,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Drinker ^np+++??+=Drinker.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
honor ^nn++++=honor
was ^vbd+bedz+vrb++=was
mine ^nn++++=mine
at ^rb++++=at
the ^ati++++=the
potlatch ^nn+++??+=potlatch
of ^in++++=of
Niblack ^np+++??+=Niblack,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
Skoot ^np+++??+=Skoot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
Ligoun ^np+++??+=Ligoun,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
dear ^jj+pred+++=dear
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Nay ^uh++++=Nay,
, ^zz++++=EXTRAWORD
didst ^nn+++??+=didst
thou ^pp2+pp2+++=thou
turn ^vb++++=turn
the ^ati++++=the
sea ^nn++++=sea
itself ^ppl++++=itself
into ^in++++=into
' ^zz++++='Three
three ^cd++++=EXTRAWORD
Star ^nn++++=Star'
' ^zz++++=EXTRAWORD
and ^cc++++=and
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
all ^abn++++=all
mine ^pp$$++++=mine
for ^in++++=for
the ^ati++++=the
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
would ^md+prd+++=would
I ^pp1a+pp1+++=I
keep ^vb++++=keep
the ^ati++++=the
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
Palitlum ^np+++??+=Palitlum,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Drinker ^np+++??+=Drinker,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
Olo ^np+++??+=Olo,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ever ^rb++++=Ever-Hungry,
- ^zz++++=EXTRAWORD
hungry ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
bore ^vbd+++xvbn+=bore
up ^rp++++=up
Ligoun ^np+++??+=Ligoun
with ^in++++=with
his ^pp$+pp3+++=his
youth ^nn++++=youth!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thou
thou ^pp2+pp2+++=EXTRAWORD
art ^nn++++=art
a ^at++++=a
great ^jj+atrb+++=great
man ^nn++++=man,
, ^zz++++=EXTRAWORD
Palitlum ^np+++??+=Palitlum,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
honor ^nn++++=honor
thee ^pp2+pp2+++=thee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Palitlum ^np+++??+=Palitlum
reached ^vbd+++xvbn+=reached
out ^rp+pl+++=out
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
' ^zz++++='Three
three ^cd++++=EXTRAWORD
Star ^nn++++=Star'
' ^zz++++=EXTRAWORD
between ^in++++=between
thy ^pp$+pp2+++=thy
knees ^nns++++=knees
be ^vb+be+vrb++=be
mine ^nn++++=mine
for ^in++++=for
the ^ati++++=the
tale ^nn++++=tale
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
told ^vprf+++xvbnx+=told,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
on ^in++++=on
the ^ati++++=the
frown ^nn++++=frown
of ^in++++=of
the ^ati++++=the
cliff ^np++++=cliff
at ^rb++++=at
our ^pp$+pp1+++=our
backs ^nns++++=backs,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
torso ^nn++++=torso,
, ^zz++++=EXTRAWORD
monstrous ^jj++++=monstrous
beneath ^in+pl+++=beneath
a ^at++++=a
huge ^jj+atrb+++=huge
inverted ^jj+atrb+++=inverted
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
