( ^zz++++=(1
Our ^pp$+pp1+++=Our
soaked ^xvbn+++xvbn+=soaked
jackets ^nns++++=jackets
had ^vbd+hvd+aux++=had
chilled ^vprf+++xvbnx+=chilled
us ^pp1o+pp1+++=us
to ^in++++=to
the ^ati++++=the
bone ^nn++++=bone.
. ^zz++++=EXTRAWORD
In ^to++++=In
order ^vb++++=order
to ^to+vcmp+++=to
keep ^vb++++=keep
warm ^jj++++=warm
we ^pp1a+pp1+++=we
lay ^vbd+++xvbn+=lay
so ^ql++++=so
closely ^rb++++=closely
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
could ^md+pos+++=could
hear ^vb+vprv+tht0++=hear
our ^pp$+pp1+++=our
hearts ^nns++++=hearts
beat ^vbd+++xvbn+=beat
above ^jjb++++=above
the ^ati++++=the
tumult ^nn++++=tumult
of ^in++++=of
sea ^nn++++=sea
and ^cc++++=and
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
grew ^vbd+++xvbn+=grew
very ^ql+amp+++=very
hungry ^jj++++=hungry,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
having ^xvbg+++xvbg+=having
broken ^vprf+++xvbn+=broken
our ^pp$+pp1+++=our
fast ^rb++++=fast
since ^in++++=since
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rain ^nn++++=rain
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
the ^ati++++=the
hard ^jj++++=hard-tack
- ^zz++++=EXTRAWORD
tack ^nn++++=EXTRAWORD
into ^in++++=into
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
dough ^nn+++??+=dough;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
better ^jjr+pred+++=better
than ^in++++=than
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^md"++pmd"++=used
to ^to++++=to
laugh ^vb++++=laugh
at ^in+ppvb+++=at
Fred ^np++++=Fred
Langdon ^np++++=Langdon
for ^in++++=for
always ^rb++++=always
carrying ^jj+++xvbg+=carrying
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
a ^at++++=a
small ^jj++++=small
vial ^jj++++=vial
of ^in++++=of
essence ^nn+nom+++=essence
of ^in++++=of
peppermint ^jj+++xvbn+=peppermint
or ^cc++++=or
sassafras ^nns+++??+=sassafras,
, ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
drops ^nns++++=drops
of ^in++++=of
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
sprinkled ^j+++xvbn+=sprinkled
on ^in++++=on
a ^at++++=a
lump ^nn++++=lump
of ^in++++=of
loaf ^nn++++=loaf-sugar,
- ^zz++++=EXTRAWORD
sugar ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
consider ^nn+nom+++=consider
a ^at++++=a
great ^jj+atrb+++=great
luxury ^nn++++=luxury.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+++=what
would ^md+prd+++=would
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
of ^in++++=of
us ^pp1o+pp1+++=us
at ^in++++=at
this ^dt+dem+++=this
crisis ^nn++++=crisis
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
that ^dt+dem+++=that
omnipresent ^jj+atrb+++=omnipresent
bottle ^nn++++=bottle
of ^in++++=of
hot ^jj+atrb+++=hot
stuff ^nn++++=stuff.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
poured ^vbd+++xvbn+=poured
the ^ati++++=the
stinging ^jj+++xvbg+=stinging
liquid ^jj++++=liquid
over ^in++++=over
our ^pp$+pp1+++=our
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
dry ^jj++++=dry
in ^in++++=in
a ^at++++=a
sardine ^nn+++??+=sardine-box,
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
warmed ^vbd+++xvbn+=warmed
ourselves ^ppls+pp1+++=ourselves
with ^in++++=with
frequent ^jj+atrb+++=frequent
doses ^nns++++=doses.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
four ^cd++++=four
or ^cc++++=or
five ^cd++++=five
hours ^nns++++=hours
the ^ati++++=the
rain ^nn++++=rain
ceased ^vbd+++xvbn+=ceased,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wind ^nn++++=wind
died ^vbd+++xvbn+=died
away ^rp+pl+++=away
to ^in++++=to
a ^at++++=a
moan ^nn++++=moan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sea ^nn++++=sea--no
-- ^--+clp+++=EXTRAWORD
no ^at++++=EXTRAWORD
longer ^rbr++++=longer
raging ^jj+++xvbg+=raging
like ^in++++=like
a ^at++++=a
maniac ^nn++++=maniac--sobbed
-- ^--+clp+++=EXTRAWORD
sobbed ^j+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
sobbed ^jj+++xvbn+=sobbed
with ^in++++=with
a ^at++++=a
piteous ^jj+atrb+++=piteous
human ^jj+atrb+++=human
voice ^nn++++=voice
all ^abn++++=all
along ^in++++=along
the ^ati++++=the
coast ^nn++++=coast.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
well ^rb++++=well
it ^pp3+it+++=it
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
after ^in++++=after
that ^dt+dem+++=that
night ^nn++++=night's
's ^$++++=EXTRAWORD
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Twelve ^cd++++=Twelve
sail ^nn++++=sail
of ^in++++=of
the ^ati++++=the
Gloucester ^np+nom+++=Gloucester
fishing ^vwbg+++xvbg+=fishing
fleet ^nn++++=fleet
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
down ^rb+phrv+++=down
with ^in+ppvb+++=with
every ^at++++=every
soul ^nn++++=soul
on ^in++++=on
board ^nn++++=board,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
outside ^in+cmpx+++=outside
of ^in"++++=of
Whale ^nn++++=Whale's-Back
's-back ^nn+++??+=EXTRAWORD
Light ^jj++++=Light.
. ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
of ^in++++=of
the ^ati++++=the
wide ^jj+atrb+++=wide
grief ^nn++++=grief
that ^tht+rel+subj++=that
follows ^vbz+vprv+++=follows
in ^in++++=in
the ^ati++++=the
wake ^nn++++=wake
of ^in++++=of
one ^cd1++++=one
wreck ^nn++++=wreck;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
despairing ^jj+atrb++xvbg+=despairing
women ^nns++++=women
who ^whp+rel+subj++=who
wrung ^xvbn+++xvbn+=wrung
their ^pp$+pp3+++=their
hands ^nns++++=hands
and ^cc++++=and
wept ^vbd+++xvbn+=wept,
, ^zz++++=EXTRAWORD
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets
of ^in++++=of
Gloucester ^np+nom+++=Gloucester,
, ^zz++++=EXTRAWORD
Marblehead ^np++++=Marblehead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Newcastle ^np++++=Newcastle!
! ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
our ^pp$+pp1+++=our
strength ^nn++++=strength
was ^vbd+bedz+aux++=was
nearly ^rb+down+splt++=nearly
spent ^vpsv++agls+xvbnx+=spent,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
too ^ql++++=too
cold ^jj++++=cold
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
I ^pp1a+pp1+++=I
sunk ^vbd+++xvbnx+=sunk
into ^in++++=into
a ^at++++=a
troubled ^jj+atrb++xvbn+=troubled
doze ^nn++++=doze,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
Charley ^np++++=Charley
Marden ^np++++=Marden's
's ^$++++=EXTRAWORD
parting ^nvbg+++xvbg+=parting
words ^nns++++=words,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Sea ^nn++++=Sea
that ^tht+rel+subj++=that
said ^vbd+vpub++xvbn+=said
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
threw ^vbd+++xvbnx+=threw
off ^rb+phrv+++=off
the ^ati++++=the
drowsiness ^nns+nom+++=drowsiness
whenever ^nn+nom+++=whenever
it ^pp3+it+++=it
threatened ^nn+++xvbn+=threatened
to ^to+ncmp+++=to
overcome ^vbi++++=overcome
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Fred ^np++++=Fred
Langdon ^np++++=Langdon
was ^vbd+bedz+vrb++=was
the ^ati++++=the
earliest ^jjt++++=earliest
to ^to++++=to
discover ^nn+nom+++=discover
a ^at++++=a
filmy ^jj+atrb+++=filmy,
, ^zz++++=EXTRAWORD
luminous ^jj+atrb+++=luminous
streak ^nn++++=streak
in ^in++++=in
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
glimmering ^vbg+++xvbg+=glimmering
of ^in++++=of
sunrise ^nn++++=sunrise.
. ^zz++++=EXTRAWORD
" ^zz++++="Look,
look ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
nearly ^rb+down+++=nearly
daybreak ^jj+pred++??+=daybreak!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
While ^cs+sub+++=While
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
following ^vbg+++xvbgx+=following
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
his ^pp$+pp3+++=his
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
a ^at++++=a
sound ^nn++++=sound
of ^in++++=of
distant ^jj+atrb+++=distant
oars ^nns+++??+=oars
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
our ^pp$+pp1+++=our
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
listened ^vbd+++xvbn+=listened
breathlessly ^rb++++=breathlessly;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
the ^ati++++=the
dip ^nn++++=dip
of ^in++++=of
the ^ati++++=the
blades ^nns++++=blades
became ^vbd+++xvbn+=became
more ^rbr++++=more
audible ^jj++++=audible,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
discerned ^vbd+++xvbn+=discerned
two ^cd++++=two
foggy ^nn+++??+=foggy
lights ^nns++++=lights,
, ^zz++++=EXTRAWORD
like ^in++++=like
will-o ^nn+++??+=will-o'-the-wisps,
'-the-wisps, ^nn+++??+=EXTRAWORD
floating ^vwbg+++xvbg+=floating
on ^in++++=on
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
Running ^jj+++xvbg+=Running
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
water ^nn++++=water's
's ^$++++=EXTRAWORD
edge ^nn++++=edge,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
hailed ^vbd+++xvbn+=hailed
the ^ati++++=the
boats ^nns++++=boats
with ^in++++=with
all ^abn++++=all
our ^pp$+pp1+++=our
might ^md+pos+++=might.
. ^zz++++=EXTRAWORD
The ^ati++++=The
call ^nn++++=call
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
oars ^nn++++=oars
rested ^vbd+++xvbn+=rested
a ^at++++=a
moment ^nn++++=moment
in ^in++++=in
the ^ati++++=the
row ^nn++++=row-locks,
- ^zz++++=EXTRAWORD
locks ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
pulled ^vbd+++xvbn+=pulled
in ^rb+phrv+++=in
towards ^in++++=towards
the ^ati++++=the
island ^nn++++=island.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
two ^cd++++=two
boats ^nns++++=boats
from ^in++++=from
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
foremost ^nn++++=foremost
of ^in++++=of
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
could ^md+pos+++=could
now ^rn+tm+splt++=now
make ^vb++++=make
out ^rp+pl+++=out
the ^ati++++=the
figures ^nns++++=figures
of ^in++++=of
Captain ^nn++++=Captain
Nutter ^np+++??+=Nutter
and ^cc++++=and
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace's
's ^$++++=EXTRAWORD
father ^nn++++=father.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shrunk ^vprf+++xvbn+=shrunk
back ^jjb++++=back
on ^in++++=on
seeing ^xvbg+++xvbg+=seeing
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
God ^nn++++=God!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wallace ^np++++=Wallace
fervently ^rb+cnj+++=fervently,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
leaped ^vbd+++xvbnx+=leaped
from ^in++++=from
the ^ati++++=the
wherry ^nn++++=wherry
without ^in++++=without
waiting ^xvbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
bow ^nn++++=bow
to ^in++++=to
touch ^nn++++=touch
the ^ati++++=the
beach ^nn++++=beach.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
only ^rb+down+++=only
three ^cd++++=three
boys ^nns++++=boys
standing ^vwbg+++xvbg+=standing
on ^in++++=on
the ^ati++++=the
sands ^nns++++=sands,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eye ^nn++++=eye
wandered ^vbd+++xvbn+=wandered
restlessly ^rb++++=restlessly
about ^rb++++=about
in ^in++++=in
quest ^in"++++=quest
of ^in"++++=of
the ^ati++++=the
fourth ^od++++=fourth;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
deadly ^jj+atrb+++=deadly
pallor ^nn++++=pallor
overspread ^nn+++??+=overspread
his ^pp$+pp3+++=his
features ^nns++++=features.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
story ^nn++++=story
was ^vbd+bedz+aux++=was
soon ^rb+tm+splt++=soon
told ^vpsv++agls+xvbnx+=told.
. ^zz++++=EXTRAWORD
A ^at++++=A
solemn ^nn++++=solemn
silence ^nn+nom+++=silence
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
the ^ati++++=the
crowd ^nn++++=crowd
of ^in++++=of
rough ^nn++++=rough
boatmen ^vbd+++xvbn+=boatmen
gathered ^xvbn+++xvbn+=gathered
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
interrupted ^j+++xvbn+=interrupted
only ^rb+down+++=only
by ^in++++=by
a ^at++++=a
stifled ^jj+atrb++xvbn+=stifled
sob ^nn++++=sob
form ^nn++++=form
one ^cd1++++=one
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
man ^nn++++=man
who ^whp+rel+subj++=who
stood ^vbd+++xvbn+=stood
apart ^in++++=apart
from ^in"++++=from
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^nn++++=sea
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
running ^vbg+++xvbgx+=running
too ^ql++++=too
high ^np++++=high
for ^in++++=for
any ^dti++++=any
small ^jj+atrb+++=small
boat ^nn++++=boat
to ^to++++=to
venture ^vbi++++=venture
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
arranged ^vpsv++agls+xvbnx+=arranged
that ^tht+vcmp+++=that
the ^ati++++=the
wherry ^nn++++=wherry
should ^md+nec+++=should
take ^vb++++=take
us ^pp1o+pp1+++=us
back ^jjb++++=back
to ^in++++=to
town ^nn++++=town,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
yawl ^nn++++=yawl,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
picked ^jj+atrb++xvbn+=picked
crew ^nn++++=crew,
, ^zz++++=EXTRAWORD
to ^to++++=to
hug ^vbi++++=hug
the ^ati++++=the
island ^nn++++=island
until ^in++++=until
daybreak ^nn+++??+=daybreak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
set ^xvbn+++xvbn+=set
forth ^rb+phrv+++=forth
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
the ^ati++++=the
Dolphin ^np+++??+=Dolphin.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
barely ^rb+down+++=barely
sunrise ^nn++++=sunrise
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
reached ^vbd+++xvbn+=reached
town ^nn++++=town,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
persons ^nns++++=persons
assembled ^vbd+++xvbn+=assembled
at ^rb++++=at
the ^ati++++=the
landing ^jj+++xvbg+=landing
eager ^jj++++=eager
for ^in++++=for
intelligence ^nn+nom+++=intelligence
from ^in++++=from
missing ^xvbg+++xvbg+=missing
boats ^nns++++=boats.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
picnic ^nn++++=picnic
parties ^nns++++=parties
had ^vbd+hvd+aux++=had
started ^vprf+++xvbnx+=started
down ^rp++++=down
river ^npl++++=river
the ^ati++++=the
day ^nn++++=day
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
previous ^in+cmpx+++=previous
to ^in"++++=to
the ^ati++++=the
gale ^nn++++=gale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothing ^pn++++=nothing
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
heard ^vpsv++agls+xvbnx+=heard
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
that ^cs+sub+++=that
the ^ati++++=the
pleasure ^nn++++=pleasure-seekers
- ^zz++++=EXTRAWORD
seekers ^nns+nom+++=EXTRAWORD
saw ^vbd+vprv++xvbn+=saw
their ^pp$+pp3+++=their
danger ^nn++++=danger
in ^in++++=in
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ran ^vbd+++xvbn+=ran
ashore ^rb+pl+++=ashore
on ^in++++=on
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
least ^rb++++=least
exposed ^vwbn+++xvbn+=exposed
islands ^npl++++=islands,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Shortly ^rb+tm+++=Shortly
after ^cs+sub+++=after
our ^pp$+pp1+++=our
own ^ap++++=own
arrival ^nn++++=arrival
they ^pp3a+pp3+++=they
appeared ^vbd+seem++xvbnx+=appeared
off ^in+pl+++=off
Rivermouth ^np+++??+=Rivermouth,
, ^zz++++=EXTRAWORD
much ^ap++++=much
to ^in++++=to
the ^ati++++=the
joy ^nn++++=joy
of ^in++++=of
their ^pp$+pp3+++=their
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
in ^in++++=in
two ^cd++++=two
shattered ^jj+atrb++xvbn+=shattered,
, ^zz++++=EXTRAWORD
dismasted ^jj+atrb++xvbn+=dismasted
boats ^nns++++=boats.
. ^zz++++=EXTRAWORD
The ^ati++++=The
excitement ^nn+nom+++=excitement
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
forlorn ^jj+atrb+++=forlorn
state ^nn++++=state,
, ^zz++++=EXTRAWORD
physically ^rb++++=physically
and ^cc+phrs+++=and
mentally ^rb++++=mentally.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Nutter ^np+++??+=Nutter
put ^vbd+++xvbn+=put
me ^pp1o+pp1+++=me
to ^in++++=to
bed ^nn++++=bed
between ^in++++=between
hot ^jj+atrb+++=hot
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^xvbn+++xvbn+=sent
Kitty ^np++++=Kitty
Collins ^np++++=Collins
for ^in++++=for
the ^ati++++=the
doctor ^nn++++=doctor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
wandering ^vbg+++xvbgx+=wandering
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fancied ^vbd+++xvbn+=fancied
myself ^ppl+pp1+++=myself
still ^rb++++=still
on ^in++++=on
Sandpeep ^np+++??+=Sandpeep
Island ^nn++++=Island:
: ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
building ^vbg+++xvbgx+=building
our ^pp$+pp1+++=our
brick ^nn++++=brick
stove ^nn++++=stove
to ^to++++=to
cook ^vbi++++=cook
the ^ati++++=the
chowder ^jjr++++=chowder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
delirium ^nn+++??+=delirium,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed
aloud ^rb++++=aloud
and ^cc++++=and
shouted ^vpsv++agls+xvbn+=shouted
to ^in++++=to
my ^pp$+pp1+++=my
comrades ^nns++++=comrades;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
the ^ati++++=the
sky ^nn++++=sky
darkened ^vbd+++xvbn+=darkened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
squall ^nn++++=squall
struck ^vbd+++xvbn+=struck
the ^ati++++=the
island ^nn++++=island;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
orders ^vb++++=orders
to ^to+vcmp+++=to
Wallace ^vb++++=Wallace
how ^wrb+who+++=how
to ^to++++=to
manage ^vbi++++=manage
the ^ati++++=the
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried
because ^cs+cos+++=because
the ^ati++++=the
rain ^nn++++=rain
was ^vbd+bedz+aux++=was
pouring ^vbg+++xvbgx+=pouring
in ^in++++=in
on ^rp++++=on
me ^pp1o+pp1+++=me
through ^in++++=through
the ^ati++++=the
holes ^nns++++=holes
in ^in++++=in
the ^ati++++=the
tent ^nn++++=tent.
. ^zz++++=EXTRAWORD
Towards ^in++++=Towards
evening ^nn++++=evening
a ^at++++=a
high ^jj+atrb+++=high
fever ^nn++++=fever
set ^vbd+++xvbn+=set
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
many ^ap++++=many
days ^nns++++=days
before ^cs+sub+++=before
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
deemed ^vwbn+++xvbn+=deemed
it ^pp3+it+++=it
prudent ^jj++++=prudent
to ^to++++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found,
, ^zz++++=EXTRAWORD
floating ^vbg+++xvbg+=floating
keel ^nn++++=keel
upwards ^rb+cnj+++=upwards,
, ^zz++++=EXTRAWORD
four ^cd++++=four
miles ^nns++++=miles
southeast ^nn+++??+=southeast
of ^in++++=of
Mackerel ^nn++++=Mackerel
Reef ^nn++++=Reef.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
little ^jj+atrb+++=little
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
strange ^jj++++=strange
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^in++++=to
school ^nn++++=school
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
empty ^jj+atrb+++=empty
seat ^nn++++=seat
in ^in++++=in
the ^ati++++=the
fifth ^od++++=fifth
row ^vb++++=row!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
gloomy ^jj++++=gloomy
the ^ati++++=the
playground ^nn++++=playground
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
lacking ^jj+++xvbg+=lacking
the ^ati++++=the
sunshine ^nn++++=sunshine
of ^in++++=of
his ^pp$+pp3+++=his
gentle ^jj+atrb+++=gentle,
, ^zz++++=EXTRAWORD
sensitive ^jj+atrb+++=sensitive
face ^nn++++=face!
! ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
a ^at++++=a
folded ^jj+atrb++xvbn+=folded
sheet ^nn++++=sheet
slipped ^vbd+++xvbn+=slipped
from ^in++++=from
my ^pp$+pp1+++=my
algebra ^nn++++=algebra:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^rb++++=last
note ^nn++++=note
he ^pp3a+pp3+++=he
ever ^rb++++=ever
wrote ^vbd+vprv++xvbn+=wrote
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
read ^vb+vprv++xvbn+=read
it ^pp3+it+++=it
for ^in++++=for
the ^ati++++=the
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
pang ^nn++++=pang
