Speaking ^vbg+++xvbg+=SPEAKING
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
weeks ^nns++++=weeks
later ^rbr+tm+++=later
some ^dti++++=some
flying ^jj+atrb++xvbg+=flying
horror ^nn++++=horror
bit ^nn++++=bit
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
thumb ^nn++++=thumb,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
promptly ^rb++++=promptly
kicked ^vbd+++xvbn+=kicked
the ^ati++++=the
bucket ^nn++++=bucket.
. ^zz++++=EXTRAWORD
About ^in++++=About
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
our ^pp$+pp1+++=our
imaginative ^jj+atrb+++=imaginative
West ^np+pl+++=West
Coast ^nn++++=Coast
trader ^nn++++=trader
disappeared ^vbd+seem++xvbn+=disappeared
with ^in++++=with
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
of ^in++++=of
the ^ati++++=the
working ^jj+atrb++xvbg+=working
capital ^nn++++=capital
of ^in++++=of
" ^zz++++="Gaboon,
gaboon ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Limited ^j+++xvbn+=Limited,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
nothing ^pn++++=nothing
remained ^vbd+++xvbn+=remained
of ^in++++=of
that ^dt+dem+++=that
glorious ^jj+atrb+++=glorious
African ^jj+atrb+++=African
enterprise ^nn++++=enterprise
except ^in++++=except
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
incongruous ^jj++++=incongruous,
, ^zz++++=EXTRAWORD
ludicrous ^jj+atrb+++=ludicrous,
, ^zz++++=EXTRAWORD
suburban ^jj+atrb+++=suburban
house ^nn++++=house
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
tropics ^nns++++=tropics
Westchester ^np+nom++??+=Westchester-in-the-Congo,
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
congo ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
the ^ati++++=the
natives ^nns++++=natives
must ^md+nec+++=must
have ^vb+hv+aux++=have
considered ^vprf+++xvbnx+=considered
it ^pp3+it+++=it
" ^zz++++="bad
bad ^jj++++=EXTRAWORD
ju ^&fw++++=ju-ju,"
- ^zz++++=EXTRAWORD
ju ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
left ^vbd+++xvbnx+=left
it ^pp3+it+++=it
severely ^rb++++=severely
alone ^jj++++=alone.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
bad ^jj+pred+++=bad
ju ^&fw++++=ju-ju.
- ^zz++++=EXTRAWORD
ju ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Ll ^np+++??+=LL
right ^nn++++=right.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
for ^in+ppvb+++=for
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running,
, ^zz++++=EXTRAWORD
stumbling ^jj++++=stumbling,
, ^zz++++=EXTRAWORD
soaked ^j+++xvbn+=soaked
to ^in++++=to
the ^ati++++=the
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pushed ^vbd+++xvbnx+=pushed
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
conscious ^jj++++=conscious
of ^in++++=of
a ^at++++=a
terrible ^jj+atrb+++=terrible,
, ^zz++++=EXTRAWORD
overpowering ^jj+atrb+++=overpowering
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
vague ^jj++++=vague,
, ^zz++++=EXTRAWORD
crushing ^jj+++xvbg+=crushing
foreboding ^jj+++xvbg+=foreboding
which ^whp+who+++=which
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
sensed ^vprf+++xvbnx+=sensed
all ^abn++++=all
the ^ati++++=the
way ^nn++++=way
down ^in++++=down
the ^ati++++=the
river ^nn++++=river
had ^vb+hv+vrb++=had
suddenly ^rb++++=suddenly
peaked ^jj++++=peaked
to ^in++++=to
an ^at++++=an
apex ^nn++++=apex;
; ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
realization ^nn+nom+++=realization
of ^in++++=of
that ^dt+dem+++=that
presentiment ^nn+nom+++=presentiment
the ^ati++++=the
physical ^jj+atrb+++=physical
realization ^nn+nom+++=realization,
, ^zz++++=EXTRAWORD
mind ^nn++++=mind
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
me ^pp1o+pp1+++=me
somewhere ^rb++++=somewhere
within ^in++++=within
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Waiting ^vbg+++xvbg+=Waiting
to ^to+vcmp+++=to
leap ^vbi++++=leap
upon ^in++++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
to ^to++++=to
kill ^vbi++++=kill
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+whq++=what
could ^md+pos+++=could
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside
was ^vbd+bedz+vrb++=was
the ^ati++++=the
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
miasmic ^jj+atrb+++=miasmic
jungle ^nn++++=jungle
stench ^nn++++=stench,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certain ^jj+atrb+++=certain
death ^nn++++=death
while ^cs+sub+++=while
inside ^jjb++++=inside?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
Stumbled ^vbd+++xvbnx+=STUMBLED
across ^in+ppvb+++=across
the ^ati++++=the
threshold ^nn++++=threshold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
instinctively ^rb+cnj+++=instinctively,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
my ^pp$+pp1+++=my
revolver ^nn+nom+++=revolver
from ^in++++=from
my ^pp$+pp1+++=my
waterproofed ^jj+atrb++xvbn+=waterproofed
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
yelled ^vbd+++xvbnx+=yelled
at ^in++++=at
the ^ati++++=the
empty ^jj++++=empty,
, ^zz++++=EXTRAWORD
spooky ^nn+++??+=spooky
rooms ^nns++++=rooms:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
defend ^vb++++=defend
myself ^ppl+pp1+++=myself
to ^in++++=to
the ^ati++++=the
last ^rb++++=last
drop ^vb++++=drop
of ^in++++=of
my ^pp$+pp1+++=my
blood ^nn++++=blood!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Quite ^rb++++=Quite
melodramatic ^jj++++=melodramatic,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?
? ^zz++++=EXTRAWORD
Incredibly ^rb+cnj+++=Incredibly,
, ^zz++++=EXTRAWORD
garishly ^jj++++=garishly
so ^ql++++=so,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
good ^jj++++=good
old ^jj++++=old
Second ^od++++=Second
Avenue ^nn++++=Avenue
five ^cd++++=five-acter
- ^zz++++=EXTRAWORD
acter ^jjr++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
hero ^nn++++=hero
is ^vbz+bez+aux++=is
tied ^vpsv++agls+xvbnx+=tied
to ^in++++=to
the ^ati++++=the
stake ^nn++++=stake
and ^cc++++=and
the ^ati++++=the
villain ^nn++++=villain
does ^vbz+doz+vrb++=does
a ^at++++=a
war ^nn++++=war-dance
- ^zz++++=EXTRAWORD
dance ^nn++++=EXTRAWORD
around ^rp++++=around
him ^pp3o+pp3+++=him
with ^in++++=with
brandished ^vbd+++xvbn+=brandished
weapons ^nns++++=weapons.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
myself ^ppl+pp1+++=myself;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
ghastly ^jj++++=ghastly,
, ^zz++++=EXTRAWORD
unknown ^jj+atrb+++=unknown,
, ^zz++++=EXTRAWORD
invisible ^jj+atrb+++=invisible
enemy ^nn++++=enemy
of ^in++++=of
mine ^nn++++=mine
the ^ati++++=the
moment ^nn++++=moment
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
beyond ^in++++=beyond
the ^ati++++=the
threshold ^nn++++=threshold.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
shrouded ^vpsv++agls+xvbnx+=shrouded,
, ^zz++++=EXTRAWORD
ambiguous ^jj++++=ambiguous.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Hidden ^j+++xvbn+=Hidden
somewhere ^rb++++=somewhere
in ^in++++=in
the ^ati++++=the
great ^jj++++=great,
, ^zz++++=EXTRAWORD
square ^nn++++=square
entrance ^nn+nom+++=entrance
hall ^nn++++=hall
and ^cc++++=and
peeping ^jj+++xvbg+=peeping
in ^in++++=in
upon ^in++++=upon
my ^pp$+pp1+++=my
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
sanity ^nn++++=sanity.
. ^zz++++=EXTRAWORD
Momentarily ^rb+cnj+++=Momentarily,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
controlled ^vbd+++xvbnx+=controlled
myself ^ppl+pp1+++=myself
with ^in++++=with
a ^at++++=a
tremendous ^jj+atrb+++=tremendous,
, ^zz++++=EXTRAWORD
straining ^jj+atrb++xvbg+=straining
effort ^nn++++=effort.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
soberly ^jj++++=soberly,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
here ^rn+pl+++=here
to ^to++++=to
get ^vbi++++=get
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
off ^rb+phrv+++=off
my ^pp$+pp1+++=my
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
on ^in++++=on
a ^at++++=a
rickety ^nn+++??+=rickety,
, ^zz++++=EXTRAWORD
heat ^nn++++=heat-gangrened
- ^zz++++=EXTRAWORD
gangrened ^jj+atrb++xvbn+=EXTRAWORD
chair ^nn++++=chair
and ^cc++++=and
began ^vbd+++xvbn+=began
kicking ^vbg+++xvbg+=kicking
off ^in+pl+++=off
my ^pp$+pp1+++=my
waterlogged ^jj+atrb+++=waterlogged
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
up ^rp++++=up
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
hurry ^nn++++=hurry,
, ^zz++++=EXTRAWORD
yelling ^vbg+nom++xvbg+=yelling,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling
in ^in++++=in
every ^at++++=every
limb ^nn++++=limb.
. ^zz++++=EXTRAWORD
For ^in++++=For
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
unknown ^jj+atrb+++=unknown,
, ^zz++++=EXTRAWORD
invisible ^jj+atrb+++=invisible
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
sat ^vprf+++xvbnx+=sat
down ^rb+phrv+++=down
by ^in++++=by
my ^pp$+pp1+++=my
side ^nn++++=side.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
feel ^vb+vprv+++=feel
him ^pp3o+pp3+++=him
blow ^nn++++=blow
over ^in++++=over
my ^pp$+pp1+++=my
face ^nn++++=face,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
breath ^nn++++=breath
of ^in++++=of
icy ^jj+atrb+++=icy
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
way ^nn++++=way
to ^to++++=to
put ^vbi++++=put
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
up ^rp++++=up
again ^rb+tm+++=again
in ^in++++=in
a ^at++++=a
hurry ^nn++++=hurry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
shrieking ^vbg+++xvbg+=shrieking
at ^in++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
my ^pp$+pp1+++=my
lungs ^nns++++=lungs,
, ^zz++++=EXTRAWORD
peering ^vbg+++xvbg+=peering
into ^in++++=into
every ^at++++=every
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
revolver ^nn+nom+++=revolver
in ^in++++=in
my ^pp$+pp1+++=my
right ^jj+atrb+++=right
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
finger ^nn++++=finger
on ^in++++=on
trigger ^nn++++=trigger,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
to ^to+jcmp+++=to
fight ^vbi++++=fight,
, ^zz++++=EXTRAWORD
fight ^nn++++=fight
to ^in++++=to
death ^nn++++=death,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
enemy ^nn++++=enemy
would ^md+prd+++=would
only ^ap+down+++=only
come ^vprf+++xvbn+=come
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
open ^jj++++=open
if ^cs+cnd+++=if
only ^rb+down+++=only
he ^pp3a+pp3+++=he
would ^md+prd+++=would
fight ^vb++++=fight!
! ^zz++++=EXTRAWORD
" ^zz++++="Coward!
coward ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
dirty ^jj+atrb+++=dirty,
, ^zz++++=EXTRAWORD
sneaking ^jj+atrb+++=sneaking
coward ^nn++++=coward!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
yelled ^vbd+++xvbnx+=yelled
at ^in++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
out ^rp+pl+++=out
here ^rn+pl+++=here
and ^cc++++=and
show ^vb+vprv+++=show
your ^pp$+pp2+++=your
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fight ^nn++++=fight
like ^in++++=like
a ^at++++=a
man ^nn++++=man!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed,
, ^zz++++=EXTRAWORD
derisively ^rb+cnj+++=derisively,
, ^zz++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
his ^pp$+pp3+++=his
goat ^nn++++=goat;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
could ^md+pos+++=could
hear ^vb+vprv+tht0++=hear
his ^pp$+pp3+++=his
answering ^jj+atrb++xvbg+=answering
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
in ^in++++=in
staccato ^jj++++=staccato,
, ^zz++++=EXTRAWORD
high ^jj++++=high-pitched
- ^zz++++=EXTRAWORD
pitched ^xvbn+++xvbn+=EXTRAWORD
bursts ^nns++++=bursts:
: ^zz++++=EXTRAWORD
" ^zz++++="Ho-ho-ho!"
ho ^uh++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ho ^uh++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ho ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Too ^rb+cnj+++=Too,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
him ^pp3o+pp3+++=him
move ^vb++++=move
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
somewhere ^rb++++=somewhere
right ^jj++++=right
close ^in+cmpx+++=close
to ^in"++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
decided ^vbd+vprv++xvbnx+=decided
to ^to+vcmp+++=to
use ^vbi++++=use
a ^at++++=a
stratagem ^nn+++??+=stratagem.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
decided ^vbd+vprv++xvbnx+=decided
to ^to+vcmp+++=to
stand ^vbi++++=stand
quite ^rb++++=quite
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
to ^to++++=to
turn ^vbi++++=turn
with ^in++++=with
utter ^jjb+atrb+++=utter
suddenness ^nns+nom+++=suddenness
and ^cc++++=and
take ^vb++++=take
him ^pp3o+pp3+++=him
by ^in++++=by
surprise ^nn++++=surprise;
; ^zz++++=EXTRAWORD
to ^in++++=to
pounce ^nn+++??+=pounce
upon ^in++++=upon
him ^pp3o+pp3+++=him
and ^cc++++=and
kill ^nn++++=kill
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Surely ^rb+cnj+++=Surely,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
quick ^jj++++=quick
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
motionless ^jj++++=motionless,
, ^zz++++=EXTRAWORD
tense ^jj++++=tense,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mind ^nn++++=mind
rigid ^jj++++=rigid;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
heart ^nn++++=heart
going ^vwbg+++xvbg+=going
like ^in++++=like
a ^at++++=a
trip ^nn++++=trip-hammer;
- ^zz++++=EXTRAWORD
hammer ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
right ^jj+atrb+++=right
hand ^nn++++=hand
gripping ^vwbg+++xvbg+=gripping
my ^pp$+pp1+++=my
revolver ^nn+nom+++=revolver;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
left ^vbd+++xvbn+=left
clenched ^vwbn+++xvbn+=clenched
until ^cs+sub+++=until
the ^ati++++=the
knuckles ^nns++++=knuckles
stretched ^vwbn+++xvbn+=stretched
white ^np++++=white.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
revolver ^nn+nom+++=revolver
leaping ^vwbg+++xvbg+=leaping
out ^rp+pl+++=out
and ^cc+phrs+++=and
up ^rp++++=up,
, ^zz++++=EXTRAWORD
a ^at++++=a
shout ^nn++++=shout
of ^in++++=of
triumph ^nn++++=triumph
on ^in++++=on
my ^pp$+pp1+++=my
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
hear ^vb+vprv+tht0++=hear
his ^pp$+pp3+++=his
footsteps ^nns++++=footsteps
pattering ^vwbg+++xvbg+=pattering
away ^rp+pl+++=away
through ^in++++=through
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
farther ^rbr++++=farther
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
maniacal ^jj+atrb+++=maniacal,
, ^zz++++=EXTRAWORD
staccato ^jj+atrb+++=staccato
laughter ^nn+nom+++=laughter.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
hated ^vbd+++xvbnx+=hated
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
hated ^j+++xvbn+=hated
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
after ^in++++=after
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
through ^in++++=through
room ^nn++++=room
after ^in++++=after
room ^nn++++=room,
, ^zz++++=EXTRAWORD
shouting ^vbg+vpub++xvbg+=shouting:
: ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
dirty ^jj+atrb+++=dirty
coward ^nn++++=coward,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
you ^pp2+pp2+++=you
and ^cc++++=and
kill ^vb++++=kill
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=AND
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
room ^nn++++=room
on ^in++++=on
the ^ati++++=the
top ^jjb+atrb+++=top
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
face ^nn++++=face
to ^to++++=to
face ^vbi++++=face
with ^in++++=with
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
light ^jj+pred+++=light
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
sun ^nn++++=sun
rays ^nns++++=rays
dropping ^vwbg+++xvbg+=dropping
in ^in++++=in
like ^in++++=like
crackling ^nn+nom+++=crackling
spears ^nns++++=spears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
toward ^in++++=toward
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
make ^vb++++=make
out ^rp+pl+++=out
every ^at++++=every
line ^nn++++=line
in ^in++++=in
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Tall ^jj++++=Tall
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gaunt ^jj++++=gaunt
and ^cc++++=and
hunger ^nn++++=hunger-bitten
- ^zz++++=EXTRAWORD
bitten ^vb+++xvbn+=EXTRAWORD
and ^cc++++=and
dreadfully ^rb+cnj+++=dreadfully,
, ^zz++++=EXTRAWORD
dreadfully ^rb++++=dreadfully
pale ^jj++++=pale,
, ^zz++++=EXTRAWORD
with ^in++++=with
yellowish ^jj++++=yellowish-green
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
spots ^vbz++++=spots
on ^in++++=on
his ^pp$+pp3+++=his
high ^jj+atrb+++=high
cheekbones ^nns++++=cheekbones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
peaked ^jj+atrb+++=peaked
chin ^nn++++=chin
covered ^vbd+++xvbn+=covered
with ^in++++=with
a ^at++++=a
week ^nn++++=week's
