Scene. ^np+++??+=Scene.--The
I ^pp1a+pp1+++=I
guess ^vb++++=guess;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
out ^rp+pl+++=out
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vpsv++agls+xvbn+=brought
in ^rb+phrv+++=in
a ^at++++=a
long ^jj++++=long,
, ^zz++++=EXTRAWORD
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
flat ^nn++++=flat
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
it ^pp3+it+++=it
on ^in++++=on
old ^jj+atrb+++=old
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Old
old ^jj+atrb+++=EXTRAWORD
Tom ^np++++=Tom
he ^pp3a+pp3+++=he
wilted ^vbd+++xvbnx+=wilted
down ^in++++=down
considerable ^nn++++=considerable
under ^in++++=under
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
railly ^jj++++=railly
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
give ^vbi++++=give
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
staid ^jj++++=staid
still ^rb++++=still
there ^rn+pl+++=there
a ^at++++=a
good ^jj++++=good
long ^rb++++=long
spell ^nn++++=spell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
minister ^nn+nom+++=minister
and ^cc++++=and
Huldy ^np+++??+=Huldy
left ^vbd+++xvbn+=left
him ^pp3o+pp3+++=him
there ^rn+pl+++=there
and ^cc++++=and
come ^vb++++=come
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
house ^nn++++=house;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
more ^ql++++=more
than ^cs+sub+++=than
got ^vprf+++xvbn+=got
in ^rb+phrv+++=in
the ^ati++++=the
door ^nn++++=door
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
see ^vb+vprv+++=see
old ^jj+atrb+++=old
Tom ^np++++=Tom
a ^at++++=a
hippin ^nn+++??+=hippin'
' ^zz++++=EXTRAWORD
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
as ^in++++=as
high ^jj++++=high-steppin'
- ^zz++++=EXTRAWORD
steppin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
as ^ql++++=as
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
sayin ^nn+++??+=sayin'
' ^zz++++=EXTRAWORD
' ^zz++++='Talk!
talk ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
talk ^nn++++=talk!
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quitter ^jjr++++=quitter!
! ^zz++++=EXTRAWORD
quitter ^jjr++++=quitter!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
struttin ^nn+++??+=struttin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
gobblin ^nn+++??+=gobblin'
' ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
come ^vprf+++xvbn+=come
through ^in++++=through
the ^ati++++=the
Red ^jj+atrb+++=Red
Sea ^nn++++=Sea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vbd+++xvbn+=got
the ^ati++++=the
victory ^nn++++=victory.
. ^zz++++=EXTRAWORD
" ^zz++++="'Oh,
' ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
eggs ^nns++++=eggs!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
' ^zz++++='I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
smashed ^vpsv++agls+xvbnx+=smashed
' ^zz++++='em!'
em ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
sure ^jj++++=sure
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
smashed ^jj+atrb++xvbn+=smashed
flat ^nn++++=flat
enough ^qlp++++=enough
under ^in++++=under
the ^ati++++=the
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
" ^zz++++="'I'll
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+aux++=have
him ^pp3o+pp3+++=him
killed ^vbd+++xvbn+=killed,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
parson ^nn++++=parson:
: ^zz++++=EXTRAWORD
' ^zz++++='we
we ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
such ^abl++++=such
a ^at++++=a
critter ^jjr++++=critter
' ^zz++++='round.'
round ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
slep ^nn+++??+=slep'
' ^zz++++=EXTRAWORD
o ^zz++++=on't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
only ^ap+down+++=only
come ^vprf+++xvbn+=come
out ^rp+pl+++=out
next ^ap++++=next
Sunday ^nr++++=Sunday
with ^in++++=with
a ^at++++=a
tip ^nn++++=tip-top
- ^zz++++=EXTRAWORD
top ^jjb+atrb+++=EXTRAWORD
sermon ^nn++++=sermon
on ^in++++=on
the ^ati++++=the
' ^zz++++='Riginal
riginal ^jj+atrb+++=EXTRAWORD
Cuss ^np+++??+=Cuss'
' ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
pronounced ^vpsv++agls+xvbnx+=pronounced
on ^in++++=on
things ^nns++++=things
in ^in++++=in
gineral ^nn++++=gineral,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Adam ^np++++=Adam
fell ^vbd+++xvbn+=fell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
showed ^vbd+vprv++xvbn+=showed
how ^wrb+who+whcl++=how
every ^at++++=every
thing ^nn++++=thing
was ^vbd+bedz+aux++=was
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
go ^vb++++=go
contrary ^nn+nom+++=contrary
ever ^rb++++=ever
since ^in+strn+++=since.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
pig ^nn++++=pig-weed,
- ^zz++++=EXTRAWORD
weed ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pusley ^nn+++??+=pusley,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Canady ^np+++??+=Canady
thistles ^nns++++=thistles,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut-worms,
- ^zz++++=EXTRAWORD
worms ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bag ^nn++++=bag-worms,
- ^zz++++=EXTRAWORD
worms ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
canker ^jjr++++=canker-worms,
- ^zz++++=EXTRAWORD
worms ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
of ^in++++=of
rattlesnakes ^nns+++??+=rattlesnakes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
very ^ql+amp+++=very
impressive ^jj++++=impressive
and ^cc++++=and
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
improvin ^nn+++??+=improvin';
'; ^nn+++??+=EXTRAWORD
but ^cc++++=but
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
home ^nr++++=home,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
hardly ^rb+down+++=hardly
could ^md+pos+++=could
keep ^vb++++=keep
from ^in++++=from
laughin ^nn+++??+=laughin'
' ^zz++++=EXTRAWORD
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
times ^nns++++=times
in ^in++++=in
the ^ati++++=the
sermon ^nn++++=sermon
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
of ^in++++=of
old ^jj+atrb+++=old
Tom ^np++++=Tom
a ^at++++=a
standin ^nn+++??+=standin'
' ^zz++++=EXTRAWORD
up ^rb+phrv+++=up
with ^in+ppvb+++=with
the ^ati++++=the
corn ^nn++++=corn-basket
- ^zz++++=EXTRAWORD
basket ^nn++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
back ^nn++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
next ^ap++++=next
week ^nn++++=week
Huldy ^np+++??+=Huldy
she ^pp3a+pp3+++=she
jist ^nn++++=jist
borrowed ^vbd+++xvbn+=borrowed
the ^ati++++=the
minister ^nn+nom+++=minister's
's ^$++++=EXTRAWORD
horse ^nn++++=horse
and ^cc++++=and
side ^nn++++=side-saddle,
- ^zz++++=EXTRAWORD
saddle ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rode ^vpsv++agls+xvbn+=rode
over ^in++++=over
to ^in++++=to
South ^nr+pl+++=South
Parish ^nn++++=Parish
to ^in++++=to
her ^pp3o+pp3+++=her
Aunt ^npt++++=Aunt
Bascome ^np+++??+=Bascome's,--Widder
's,--widder ^jjr++++0=EXTRAWORD
Bascome ^np+++??+=Bascome's,
's, ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
lives ^nns++++=lives
there ^rn+pl+++=there
by ^in++++=by
the ^ati++++=the
trout-brook, ^nn+++??+=trout-brook,--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
got ^vbd+++xvbn+=got
a ^at++++=a
lot ^nn++++=lot
of ^in++++0=o'
turkey ^nn++++=turkey-eggs
- ^zz++++=EXTRAWORD
eggs ^nns++++=EXTRAWORD
of ^in++++0=o'
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
back ^jjb++++=back
and ^cc++++=and
set ^vb+++xvbn+=set
a ^at++++=a
hen ^nn++++=hen
on ^in++++=on
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said
nothin ^nn+++??+=nothin';
'; ^nn+++??+=EXTRAWORD
and ^cc++++=and
in ^in++++=in
good ^jj+atrb+++=good
time ^nn++++=time
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
as ^ql++++=as
nice ^jj++++=nice
a ^at++++=a
lot ^nn++++=lot
of ^in++++0=o'
turkey ^nn++++=turkey-chicks
- ^zz++++=EXTRAWORD
chicks ^nns++++=EXTRAWORD
as ^in++++=as
ever ^rb++++=ever
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
never ^rb++++=never
said ^vbd+vpub++xvbn+=said
a ^at++++=a
word ^nn++++=word
to ^in++++=to
the ^ati++++=the
minister ^npt+nom+++=minister
about ^in++++=about
his ^pp$+pp3+++=his
experiment ^nn+nom+++=experiment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
never ^rb++++=never
said ^vbd+vpub++xvbn+=said
a ^at++++=a
word ^nn++++=word
to ^in++++=to
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
more ^rbr++++=more
to ^in++++=to
his ^pp$+pp3+++=his
books ^nns++++=books,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it
on ^rp++++=on
him ^pp3o+pp3+++=him
to ^to++++=to
advise ^vbi+vpub+++=advise
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
not ^xnot++not++=not
long ^jj++++=long
arter ^jjr++++=arter
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
it ^pp3+it+++=it
into ^in++++=into
his ^pp$+pp3+++=his
head ^jjb++++=head
that ^cs+sub+++=that
Huldy ^np+++??+=Huldy
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
a ^at++++=a
pig ^nn++++=pig
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
fattin ^nn+++??+=fattin'
' ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
buttermilk ^nn+++??+=buttermilk.
. ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
set ^vbd+++xvbn+=set
him ^pp3o+pp3+++=him
up ^in+cmpx+++=up
to ^in"++++=to
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jist ^nn++++=jist
then ^rn+tm+++=then
old ^jj+atrb+++=old
Tim ^np++++=Tim
Bigelow ^np+++??+=Bigelow,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
to ^in++++=to
Juniper ^np+++??+=Juniper
Hill ^np++++=Hill,
, ^zz++++=EXTRAWORD
told ^j+++xvbn+=told
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
call ^vb++++=call
over ^in++++=over
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
give ^vb++++=give
him ^pp3o+pp3+++=him
a ^rb++++=a
little ^rb"++++=little
pig ^nn++++=pig.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
for ^in++++=for
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
to ^to++++=to
build ^vbi++++=build
a ^at++++=a
pigpen ^jj+++xvbn+=pigpen
right ^jj++++=right
out ^rp+pl+++=out
by ^in++++=by
the ^ati++++=the
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
all ^rb++++=all
ready ^jj++++=ready
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
home ^nr++++=home
with ^in++++=with
his ^pp$+pp3+++=his
pig ^nn++++=pig.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
wished ^vbd+vprv+tht0+xvbnx+=wished
he ^pp3a+pp3+++=he
might ^md+pos+++=might
put ^vb+++xvbn+=put
a ^at++++=a
curb ^nn++++=curb
round ^in++++=round
the ^ati++++=the
well ^rb++++=well
out ^rp+pl+++=out
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
sometimes ^rb+cnj+++=sometimes,
, ^zz++++=EXTRAWORD
a ^at++++=a
body ^nn++++=body
might ^md+pos+++=might
stumble ^vb++++=stumble
into ^in++++=into
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
might ^md+pos+++=might
do ^vb+do+vrb++=do
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
Aikin ^np+++??+=Aikin,
, ^zz++++=EXTRAWORD
the ^ati++++=the
carpenter ^nn+nom+++=carpenter,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
come ^vprf+++xvbn+=come
till ^cs+sub+++=till
most ^ql+emph+++=most
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
arternoon ^nn+++??+=arternoon;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
idled ^vbd+++xvbn+=idled,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
up ^rp++++=up
the ^ati++++=the
well ^rb++++=well-curb
- ^zz++++=EXTRAWORD
curb ^nn++++=EXTRAWORD
till ^cs+sub+++=till
sundown ^nn++++=sundown;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
off ^rp+pl+++=off
and ^cc++++=and
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
come ^vprf+++xvbn+=come
and ^cc++++=and
do ^vb+do+vrb++=do
the ^ati++++=the
pig ^nn++++=pig-pen
- ^zz++++=EXTRAWORD
pen ^nn++++=EXTRAWORD
next ^ap++++=next
day ^nn++++=day.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
arter ^jjr+atrb+++=arter
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl
he ^pp3a+pp3+++=he
driv ^nn+++??+=driv
into ^in++++=into
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
full ^jj+atrb+++=full
chizel ^nn+++??+=chizel,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
pig ^nn++++=pig.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^vbd+hvd+aux++=EXTRAWORD
tied ^vprf+++xvbnx+=tied
up ^rp++++=up
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
to ^to++++=to
keep ^vbi++++=keep
him ^pp3o+pp3+++=him
from ^in++++=from
squeelin ^nn+++??+=squeelin';
'; ^nn+++??+=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
was ^vbd+bedz+vrb++=was
the ^ati++++=the
pig-pen, ^nn+++??+=pig-pen,--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
nearsighted, ^nn+++??+=nearsighted,--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
and ^cc+phrs+++=and
threw ^vbd+++xvbn+=threw
piggy ^nn++++=piggy
over ^in+strn+++=over;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
down ^in++++=down
he ^pp3a+pp3+++=he
dropped ^vbd+++xvbnx+=dropped
into ^in++++=into
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
minister ^npt+nom+++=minister
put ^vbd+++xvbn+=put
out ^rb+phrv+++=out
his ^pp$+pp3+++=his
horse ^nn++++=horse
and ^cc++++=and
pranced ^vpsv++agls+xvbn+=pranced
off ^in+pl+++=off
into ^in++++=into
the ^ati++++=the
house ^npl++++=house
quite ^abl++++=quite
delighted ^jj+++xvbn+=delighted.
. ^zz++++=EXTRAWORD
" ^zz++++="'There,
' ^zz++++=EXTRAWORD
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
you ^pp2+pp2+++=you
a ^at++++=a
nice ^jj+atrb+++=nice
little ^jj+atrb+++=little
pig ^nn++++=pig.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Dear
' ^zz++++=EXTRAWORD
dear ^jj++++=EXTRAWORD
me ^pp1o+pp1+++=me!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy:
: ^zz++++=EXTRAWORD
' ^zz++++='where
where ^wrb+who+whq++=EXTRAWORD
have ^vb+hv+vrb++=have
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
him ^pp3o+pp3+++=him?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Why,
' ^zz++++=EXTRAWORD
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
pig ^nn++++=pig-pen,
- ^zz++++=EXTRAWORD
pen ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Oh,
' ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dear ^jj++++=dear
me ^pp1o+pp1+++=me!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy:
: ^zz++++=EXTRAWORD
' ^zz++++='that's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
well ^rb++++=well-curb;
- ^zz++++=EXTRAWORD
curb ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
pig ^nn++++=pig-pen
- ^zz++++=EXTRAWORD
pen ^nn++++=EXTRAWORD
built ^vbd+++xvbn+=built,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="'Lordy
' ^zz++++=EXTRAWORD
lordy ^nn+++??+=EXTRAWORD
massy ^nn+++??+=massy!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson:
: ^zz++++=EXTRAWORD
' ^zz++++='then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
thrown ^vprf+++xvbnx+=thrown
the ^ati++++=the
pig ^nn++++=pig
in ^in++++=in
the ^ati++++=the
well ^rb++++=well!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
[ ^zz++++=[Illustration:
illustration ^nn+nom+++=EXTRAWORD
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
thrown ^vprf+++xvbnx+=thrown
the ^ati++++=the
pig ^nn++++=pig
in ^in++++=in
the ^ati++++=the
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
Page ^nn++++=Page
070 ^nn+++??+=070]
] ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
she ^pp3a+pp3+++=she
worked ^vbd+++xvbnx+=worked
and ^cc+phrs+++=and
worked ^vbd+++xvbn+=worked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
she ^pp3a+pp3+++=she
fished ^vbd+++xvbnx+=fished
piggy ^nn++++=piggy
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
bucket ^nn++++=bucket,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead
as ^in++++=as
a ^at++++=a
door ^nn++++=door-nail;
- ^zz++++=EXTRAWORD
nail ^vb++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
of ^in++++0=o'
the ^ati++++=the
way ^nn++++=way
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
much ^rb++++=much;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
to ^to+vcmp+++=to
a ^at++++=a
great ^jj+atrb+++=great
Hebrew ^jj+atrb+++=Hebrew
book ^nn++++=book
in ^in++++=in
his ^pp$+pp3+++=his
study ^nn++++=study;
