Knowing ^vbg+vprv++xvbg+=Knowing
_seriously._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Wasn't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
very ^ql+amp+++=very
ill ^jj++++=ill?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Iller ^np+++??+=Iller
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
liked ^vbd+++xvbnx+=liked.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Tenderly._)
_tenderly._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
bad ^jj+atrb+++=bad
little ^jj+atrb+++=little
Pussy ^np+++??+=Pussy,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
start ^nn++++=start
you ^pp2+pp2+++=you
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
Mrs ^npt++++=MRS.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
never ^rb++++=never
do ^vb+do+vrb++=do
it ^pp3+it+++=it
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
get ^vb++++=get
those ^dt+dem+++=those
poor ^jj+atrb+++=poor
pale ^nn++++=pale
cheeks ^nns++++=cheeks
pink ^nn++++=pink
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
angry ^jj+pred+++=angry.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
try ^vb++++=try
to ^to+vcmp+++=to
lift ^vbi++++=lift
the ^ati++++=the
urn ^nn++++=urn.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
upset ^vb+++xvbn+=upset
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Comes
_comes ^nns+++??+=EXTRAWORD
round ^in++++=round
to ^in++++=to
head ^nn++++=head
of ^in++++=of
table ^nn++++=table
and ^cc++++=and
lifts ^vbz++++=lifts
urn._ ^nn+++??+=urn._)
) ^zz++++=EXTRAWORD
Mrs ^npt++++=MRS.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Quickly._)
_quickly._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
_khitmatgar ^nn+++??+=_Khitmatgar,
, ^zz++++=EXTRAWORD
bowarchi ^nn+++??+=bowarchi-khana
- ^zz++++=EXTRAWORD
khana ^nn+++??+=EXTRAWORD
see ^vb+vprv+++=see
kettly ^jj+atrb+++=kettly
lao_ ^nn+++??+=lao_.
. ^zz++++=EXTRAWORD
Butler ^np++++=Butler,
, ^zz++++=EXTRAWORD
get ^vb++++=get
a ^at++++=a
kettle ^nn++++=kettle
from ^in++++=from
the ^ati++++=the
cook ^nn++++=cook-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
( ^zz++++=(_Drawing
_drawing ^jj+atrb++xvbg+=EXTRAWORD
down_ ^nn+++??+=down_
G. ^np++++=G.'s
's ^$++++=EXTRAWORD
_face ^nn+++??+=_face
to ^in++++=to
her ^pp$+pp3+++=her
own._ ^nn+++??+=own._)
) ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
_i_ ^nn+++??+=_I_
remember ^nn+nom+++=remember.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
Mrs ^npt++++=MRS.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
last ^rb++++=last
terrible ^jj+atrb+++=terrible
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
just ^rb+emph+++=just
you ^pp2+pp2+++=you
forget ^vb+vprv+++=forget
all ^abn++++=all
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=MRS.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Softly,
_softly ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
filling._ ^nn+++??+=filling._)
) ^zz++++=EXTRAWORD
Never ^rb++++=Never.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
brought ^vprf+++xvbnx+=brought
us ^pp1o+pp1+++=us
_very_ ^nn+++??+=_very_
close ^jj++++=close
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There!
! ^zz++++=EXTRAWORD
( ^zz++++=(_Interlude._)
_interlude._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
give ^vb++++=give
Junda ^np+++??+=Junda
a ^at++++=a
_saree._ ^nn+++??+=_saree._
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
her ^pp$+pp3+++=her
fifty ^cd++++=fifty
dibs ^nns+++??+=dibs.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=MRS.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
So ^ql++++=So
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
' ^zz++++='normous
normous ^jj+atrb+++=EXTRAWORD
reward ^nn++++=reward.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
I ^pp1a+pp1+++=I
worth ^in++++=worth
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
( ^zz++++=(_Several
_several ^jj+atrb+++=EXTRAWORD
interludes._ ^nn+++??+=interludes._)
) ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't!
n't ^xnot++not++0=EXTRAWORD
! ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
_khitmatgar_. ^nn++++=_khitmatgar_.--Two
-- ^--+clp+++=EXTRAWORD
two ^cd++++=EXTRAWORD
lumps ^nns++++=lumps
or ^cc++++=or
one ^pn++++=one,
, ^zz++++=EXTRAWORD
sir ^npt++++=Sir?
? ^zz++++=EXTRAWORD
