Hardly ^rb+down+++=Hardly
white ^jj+atrb+++=white
marks ^nns++++=marks
remained ^vbd+++xvbn+=remained
across ^in+pl+++=across
its ^pp$+it+++=its
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
warmth ^nn++++=warmth
and ^cc++++=and
color ^nn++++=color
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
elsewhere ^rb+cnj+++=elsewhere,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
but ^cc++++=but
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
through ^in++++=through
its ^pp$+it+++=its
touch ^nn++++=touch,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
human ^jj+atrb+++=human
sympathy ^nn++++=sympathy,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
lightened ^vprf+++xvbnx+=lightened
that ^dt+dem+++=that
hard ^jj+atrb+++=hard
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
him ^pp3o+pp3+++=him
ready ^jj++++=ready
for ^in++++=for
the ^ati++++=the
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
John ^np++++=John
lay ^vbd+++xvbn+=lay
in ^in++++=in
state ^nn++++=state
for ^in++++=for
half ^nn++++=half
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
a ^at++++=a
thing ^nn++++=thing
which ^whp+rel+subj++=which
seldom ^rb++++=seldom
happened ^vbd+++xvbn+=happened
in ^cs+sub+++=in
that ^cs"++++=that
busy ^jj+atrb+++=busy
place ^nn++++=place;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
universal ^jj++++=universal
sentiment ^nn+nom+++=sentiment
of ^in++++=of
reverence ^nn+nom+++=reverence
and ^cc++++=and
affection ^nn+nom+++=affection
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
fill ^vbi++++=fill
the ^ati++++=the
hearts ^nns++++=hearts
of ^in++++=of
all ^abn++++=all
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
or ^cc+phrs+++=or
heard ^vpsv++agls+xvbn+=heard
of ^in++++=of
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
rumor ^nn++++=rumor
of ^in++++=of
his ^pp$+pp3+++=his
death ^nn++++=death
went ^vbd+++xvbn+=went
through ^in++++=through
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
always ^rb++++=always
astir ^rb+cnj+++=astir,
, ^zz++++=EXTRAWORD
many ^ap++++=many
came ^vbd+++xvbn+=came
to ^to++++=to
see ^vbi+vprv+++=see
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
a ^at++++=a
tender ^jj+atrb+++=tender
sort ^nn++++=sort
of ^in++++=of
pride ^nn++++=pride
in ^in++++=in
my ^pp$+pp1+++=my
lost ^vbd+++xvbn+=lost
patient ^nn++++=patient;
; ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
a ^at++++=a
most ^ql+emph+++=most
heroic ^jj+atrb+++=heroic
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
lying ^vbg+++xvbg+=lying
there ^rn+pl+++=there
stately ^jj++++=stately
and ^cc++++=and
still ^rb++++=still
as ^in++++=as
the ^ati++++=the
statue ^nn++++=statue
of ^in++++=of
some ^dti++++=some
young ^jj+atrb+++=young
knight ^nn++++=knight
asleep ^jj++++=asleep
upon ^in++++=upon
his ^pp$+pp3+++=his
tomb ^nn++++=tomb.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lovely ^jj+atrb+++=lovely
expression ^nn++++=expression
which ^whp+rel+obj++=which
so ^rb++++=so
often ^rb++++=often
beautifies ^vbz++++=beautifies
dead ^jj+atrb+++=dead
faces ^nns++++=faces
soon ^rb+tm+++=soon
replaced ^vbd+++xvbn+=replaced
the ^ati++++=the
marks ^nns++++=marks
of ^in++++=of
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
longed ^vbd+++xvbnx+=longed
for ^in++++=for
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
loved ^vbd+++xvbn+=loved
him ^pp3o+pp3+++=him
best ^jjt++++=best
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
half ^nn++++=half
an ^at++++=an
hour ^nn++++=hour's
's ^$++++=EXTRAWORD
acquaintance ^nn+nom+++=acquaintance
with ^in++++=with
Death ^nn++++=Death
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
them ^pp3o+pp3+++=them
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
stood ^vbd+++xvbn+=stood
looking ^vbg+++xvbg+=looking
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ward ^nn++++=ward
master ^nn++++=master
handed ^vbd+++xvbn+=handed
me ^pp1o+pp1+++=me
a ^at++++=a
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
forgotten ^vpsv++agls+xvbnx+=forgotten
the ^ati++++=the
night ^nn++++=night
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
John ^np++++=John's
's ^$++++=EXTRAWORD
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
just ^rb+emph+++=just
an ^at++++=an
hour ^nn++++=hour
too ^ql++++=too
late ^jj++++=late
to ^to++++=to
gladden ^vbi++++=gladden
the ^ati++++=the
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
longed ^vprf+++xvbnx+=longed
and ^cc+phrs+++=and
looked ^vpsv++agls+xvbn+=looked
for ^in++++=for
it ^pp3+it+++=it
so ^rb++++=so
eagerly ^rb++++=eagerly;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
some ^dti++++=some
brown ^jj+atrb+++=brown
locks ^npl++++=locks
for ^in++++=for
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
taken ^vpsv++agls+xvbn+=taken
off ^rb+phrv+++=off
the ^ati++++=the
ring ^nn++++=ring
to ^to++++=to
send ^vbi++++=send
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
telling ^vbg+nom++xvbg+=telling
how ^wrb+who+++=how
well ^rb++++=well
the ^ati++++=the
talisman ^jj++++=talisman
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
its ^pp$+it+++=its
work ^nn++++=work,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kissed ^vbd+++xvbnx+=kissed
this ^dt+dem+++=this
good ^jj+atrb+++=good
son ^nn++++=son
for ^in++++=for
her ^pp$+pp3+++=her
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
the ^ati++++=the
letter ^nn++++=letter
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
still ^rb++++=still
folded ^vbd+++xvbn+=folded
as ^ql++++=as
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
drew ^vbd+++xvbnx+=drew
my ^pp$+pp1+++=my
own ^ap++++=own
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
its ^pp$+it+++=its
place ^nn++++=place
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
making ^nvbg+++xvbg+=making
myself ^ppl+pp1+++=myself
happy ^jj++++=happy
with ^in++++=with
the ^ati++++=the
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
his ^pp$+pp3+++=his
solitary ^jj+atrb+++=solitary
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
" ^zz++++="Government
government ^nn+nom+++=EXTRAWORD
Lot ^nn++++=Lot,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
without ^in++++=without
some ^dti++++=some
token ^nn++++=token
of ^in++++=of
the ^ati++++=the
love ^nn++++=love
which ^whp+rel+subj++=which
makes ^vbz++++=makes
life ^nn++++=life
beautiful ^jj++++=beautiful
and ^cc++++=and
outlives ^nns++++=outlives
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
glad ^jj++++=glad
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
known ^vprf+++xvbnx+=known
so ^pn+emph+++=so
genuine ^jj++++=genuine
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carrying ^jj+++xvbg+=carrying
with ^in++++=with
me ^pp1o+pp1+++=me
an ^at++++=an
enduring ^jj+atrb++xvbg+=enduring
memory ^nn++++=memory
of ^in++++=of
the ^ati++++=the
brave ^jj+atrb+++=brave
Virginia ^np++++=Virginia
blacksmith ^nn++++=blacksmith,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
serenely ^rb++++=serenely
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
dawn ^nn++++=dawn
of ^in++++=of
that ^dt+dem+++=that
long ^rb++++=long
day ^nn++++=day
which ^whp+rel+subj++=which
knows ^vbz+vprv+++=knows
no ^at++++=no
night ^nn++++=night.
. ^zz++++=EXTRAWORD
