Both ^abx++++=Both
sitting ^vbg+++xvbgx+=sitting
up ^rp++++=up
and ^cc++++=and
wiping ^vbg+++xvbg+=wiping
a ^rb++++=a
little ^rb"++++=little
blood ^nn++++=blood
off ^in+pl+++=off
a ^at++++=a
substantially ^rb++++=substantially
uninjured ^jj+atrb+++=uninjured
face ^nn++++=face,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
only ^ap+down+++=only
said ^vprf+++xvbn+=said
shortly ^rb+tm+++=shortly:
: ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
fellow ^jjb++++=fellow
says ^vbz+vpub+++=says,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
explained ^vbd+vpub++xvbn+=explained
Royce ^np+++??+=Royce,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
Miss ^npt++++=Miss
Armstrong ^np++++=Armstrong
fainted ^vbd+++xvbn+=fainted
with ^in++++=with
a ^at++++=a
knife ^nn++++=knife
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
snatched ^vbd+++xvbn+=snatched
the ^ati++++=the
knife ^nn++++=knife
to ^in++++=to
attack ^nn++++=attack
her ^pp3o+pp3+++=her
father ^npt++++=father,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
defend ^vbi++++=defend
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
defend ^vbi++++=defend
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^xvbn+++xvbn+=repeated
Gilder ^np+++??+=Gilder
gravely ^np++++=gravely.
. ^zz++++=EXTRAWORD
" ^zz++++="Against
against ^in++++=EXTRAWORD
whom ^whp+rel+pied++=whom?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Against
against ^in++++=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
secretary ^nn+nom+++=secretary.
. ^zz++++=EXTRAWORD
Alice ^np++++=Alice
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
complex ^jj+atrb+++=complex
and ^cc+phrs+++=and
baffling ^jj+atrb+++=baffling
face ^nn++++=face;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
voice ^nn++++=voice:
: ^zz++++=EXTRAWORD
" ^zz++++="After
after ^in++++=EXTRAWORD
it ^pp3+it+++=it
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
still ^rb+atrb+++=still
glad ^jj+pred+++=glad
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
brave ^jj+pred+++=brave."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vb++++=EXTRAWORD
upstairs ^jjb++++=upstairs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Patrick ^np++++=Patrick
Royce ^np+++??+=Royce
heavily ^rb+cnj+++=heavily,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
show ^vb+vprv+tht0++=show
you ^pp2+pp2+++=you
the ^ati++++=the
whole ^nn++++=whole
cursed ^vbd+++xvbn+=cursed
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
attic ^nn++++=attic,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
secretary ^nn+nom+++=secretary's
's ^vbz+bez+vrb++0=EXTRAWORD
private ^jj+atrb+++=private
place ^nn++++=place
( ^zz++++=(and
and ^cc++++=EXTRAWORD
rather ^rb++++=rather
a ^at++++=a
small ^jj+atrb+++=small
cell ^nn++++=cell
for ^in++++=for
so ^rb+emph+++=so
large ^jj++++=large
a ^at++++=a
hermit ^nn++++=hermit),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
indeed ^qlp++++=indeed
all ^abn++++=all
the ^ati++++=the
vestiges ^nns++++=vestiges
of ^in++++=of
a ^at++++=a
violent ^jj+atrb+++=violent
drama ^nn++++=drama.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
floor ^nn++++=floor
lay ^vbd+++xvbn+=lay
a ^at++++=a
large ^jj+atrb+++=large
revolver ^nn+nom+++=revolver
as ^cs+sub+++=as
if ^cs+cnd+++=if
flung ^vbd+++xvbn+=flung
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
nearer ^in+cmpx+++=nearer
to ^in"++++=to
the ^ati++++=the
left ^nn+++xvbn+=left
was ^vbd+bedz+aux++=was
rolled ^vpsv++agls+xvbnx+=rolled
a ^at++++=a
whisky ^nn++++=whisky
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
open ^jj++++=open
but ^cc++++=but
not ^xnot++not++=not
quite ^rb++++=quite
empty ^jj++++=empty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cloth ^nn++++=cloth
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
table ^nn++++=table
lay ^vbd+++xvbn+=lay
dragged ^vbd+++xvbn+=dragged
and ^cc+phrs+++=and
trampled ^vbd+++xvbn+=trampled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
length ^nn++++=length
of ^in++++=of
cord ^nn++++=cord,
, ^zz++++=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that
found ^vbd+vprv++xvbn+=found
on ^in++++=on
the ^ati++++=the
corpse ^nn++++=corpse,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
cast ^vpsv++agls+xvbnx+=cast
wildly ^rb++++=wildly
across ^in+pl+++=across
the ^ati++++=the
windowsill ^nn+++??+=windowsill.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
vases ^nns++++=vases
were ^vbd+bed+aux++=were
smashed ^vpsv++agls+xvbnx+=smashed
on ^in++++=on
the ^ati++++=the
mantelpiece ^nn++++=mantelpiece
and ^cc++++=and
one ^pn++++=one
on ^in++++=on
the ^ati++++=the
carpet ^nn++++=carpet.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
drunk ^vpsv++agls+xvbnx+=drunk,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Royce ^np+++??+=Royce;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
simplicity ^nn+nom+++=simplicity
in ^in++++=in
the ^ati++++=the
prematurely ^rb++++=prematurely
battered ^jj+atrb++xvbn+=battered
man ^nn++++=man
somehow ^rb++++=somehow
had ^vb+hv+vrb++=had
the ^ati++++=the
pathos ^nn++++=pathos
of ^in++++=of
the ^ati++++=the
first ^od++++=first
sin ^nn++++=sin
of ^in++++=of
a ^at++++=a
baby ^nn++++=baby.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
all ^rb++++=all
know ^vb+vprv+++=know
about ^rb++++=about
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued
huskily ^rb++++=huskily;
; ^zz++++=EXTRAWORD
" ^zz++++="everybody
everybody ^pn++++=EXTRAWORD
knows ^vbz+vprv+++=knows
how ^wrb+who+whcl++=how
my ^pp$+pp1+++=my
story ^nn++++=story
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
may ^md+pos+++=may
as ^rb++++=as
well ^rb++++=well
end ^nn++++=end
like ^in++++=like
that ^dt+dem+++=that
too ^ql++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
a ^at++++=a
clever ^jj+atrb+++=clever
man ^nn++++=man
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
happy ^jj+atrb+++=happy
one ^pn++++=one;
; ^zz++++=EXTRAWORD
Armstrong ^np++++=Armstrong
saved ^vwbn+++xvbn+=saved
the ^ati++++=the
remains ^nns++++=remains
of ^in++++=of
a ^at++++=a
brain ^nn++++=brain
and ^cc++++=and
body ^nn++++=body
from ^in++++=from
the ^ati++++=the
taverns ^nns++++=taverns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
always ^rb++++=always
kind ^nn++++=kind
to ^in++++=to
me ^pp1o+pp1+++=me
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
way ^nn++++=way,
, ^zz++++=EXTRAWORD
poor ^jj++++=poor
fellow ^jjb++++=fellow!
! ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
marry ^vb++++=marry
Alice ^np++++=Alice
here ^rn+pl+++=here;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
will ^md+prd+++=will
always ^rb++++=always
be ^vb+be+aux++=be
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
form ^vb++++=form
your ^pp$+pp2+++=your
own ^ap++++=own
conclusions ^nns++++=conclusions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
me ^pp1o+pp1+++=me
to ^to++++=to
go ^vbi++++=go
into ^in++++=into
details ^nns++++=details.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
whisky ^nn++++=whisky
bottle ^nn++++=bottle
half ^abn++++=half
emptied ^jj+++xvbn+=emptied
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
revolver ^nn+nom+++=revolver
quite ^abl++++=quite
emptied ^jj+++xvbn+=emptied
on ^in++++=on
the ^ati++++=the
carpet ^nn++++=carpet.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
rope ^nn++++=rope
from ^in++++=from
my ^pp$+pp1+++=my
box ^nn++++=box
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
on ^in++++=on
the ^ati++++=the
corpse ^nn++++=corpse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
from ^in++++=from
my ^pp$+pp1+++=my
window ^nn++++=window
the ^ati++++=the
corpse ^nn++++=corpse
was ^vbd+bedz+aux++=was
thrown ^vpsv++agls+xvbnx+=thrown.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
need ^vb++++=need
not ^xnot++not++=not
set ^xvbn+++xvbn+=set
detectives ^nns++++=detectives
to ^in++++=to
grub ^nn++++=grub
up ^rp++++=up
my ^pp$+pp1+++=my
tragedy ^nn++++=tragedy;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
common ^jj++++=common
enough ^qlp++++=enough
weed ^nn++++=weed
in ^in++++=in
this ^dt+dem+++=this
world ^nn++++=world.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
give ^vb++++=give
myself ^ppl+pp1+++=myself
to ^in++++=to
the ^ati++++=the
gallows ^np++++=gallows;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
by ^in++++=by
God ^np++++=God,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
enough ^qlp++++=enough!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
a ^at++++=a
sufficiently ^rb++++=sufficiently
delicate ^jj+atrb+++=delicate
sign ^nn++++=sign,
, ^zz++++=EXTRAWORD
the ^ati++++=the
police ^nns++++=police
gathered ^vbd+++xvbn+=gathered
round ^rb++++=round
the ^ati++++=the
large ^jj+atrb+++=large
man ^nn++++=man
to ^to++++=to
lead ^vbi++++=lead
him ^pp3o+pp3+++=him
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
unobtrusiveness ^nns+nom+++=unobtrusiveness
was ^vbd+bedz+aux++=was
somewhat ^rb+down+splt++=somewhat
staggered ^vpsv++by+xvbnx+=staggered
by ^in++++=by
the ^ati++++=the
remarkable ^jj+atrb+++=remarkable
appearance ^nn+nom+++=appearance
of ^in++++=of
Father ^nn++++=Father
Brown ^jj++++=Brown,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
on ^in++++=on
his ^pp$+pp3+++=his
hands ^nns++++=hands
and ^cc++++=and
knees ^nns++++=knees
on ^in++++=on
the ^ati++++=the
carpet ^nn++++=carpet
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
engaged ^vbd+++xvbn+=engaged
in ^in++++=in
some ^dti++++=some
kind ^rb++++=kind
of ^rb"++++=of
undignified ^jj+atrb+++=undignified
prayers ^nns+nom+++=prayers.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
a ^at++++=a
person ^nn++++=person
utterly ^rb+amp+++=utterly
insensible ^jj++++=insensible
to ^in++++=to
the ^ati++++=the
social ^jj+atrb+++=social
figure ^nn++++=figure
he ^pp3a+pp3+++=he
cut ^vbd+++xvbnx+=cut,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
in ^in++++=in
this ^dt+dem+++=this
posture ^nn++++=posture,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
turned ^vbd+++xvbn+=turned
a ^at++++=a
bright ^nn++++=bright
round ^in++++=round
face ^nn++++=face
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
company ^nn++++=company,
, ^zz++++=EXTRAWORD
presenting ^vbg+++xvbg+=presenting
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
a ^at++++=a
quadruped ^nn++++=quadruped
with ^in++++=with
a ^at++++=a
very ^ql+amp+++=very
comic ^jj+atrb+++=comic
human ^jj+atrb+++=human
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
say ^vb+vpub+++=say,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
good ^jj++++=good-naturedly,
- ^zz++++=EXTRAWORD
naturedly ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="this
this ^dt+pdem+++=EXTRAWORD
really ^rb+emph+++=really
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
you ^pp2+pp2+++=you
said ^vbd+vpub+tht0+xvbn+=said
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
found ^vprf+++xvbnx+=found
no ^at++++=no
weapon ^nn++++=weapon.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
finding ^vbg+++xvbgx+=finding
too ^ql++++=too
many ^ap++++=many;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
knife ^nn++++=knife
to ^in++++=to
stab ^nn++++=stab,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rope ^nn++++=rope
to ^to++++=to
strangle ^vbi++++=strangle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pistol ^nn++++=pistol
to ^to++++=to
shoot ^vbi++++=shoot;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
all ^abn++++=all
he ^pp3a+pp3+++=he
broke ^vbd+++xvbnx+=broke
his ^pp$+pp3+++=his
neck ^nn++++=neck
by ^in++++=by
falling ^xvbg+++xvbg+=falling
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
window ^nn++++=window!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
economical ^jj++++=economical."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
shook ^vbd+++xvbnx+=shook
his ^pp$+pp3+++=his
head ^jjb++++=head
at ^in++++=at
the ^ati++++=the
ground ^nn++++=ground
as ^in++++=as
a ^at++++=a
horse ^nn++++=horse
does ^vbz+doz+vrb++=does
grazing ^nvbg+++xvbg+=grazing.
. ^zz++++=EXTRAWORD
Inspector ^nn++++=Inspector
Gilder ^np+++??+=Gilder
had ^vbd+hvd+aux++=had
opened ^vprf+++xvbnx+=opened
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
with ^in++++=with
serious ^jj+atrb+++=serious
intentions ^nns+nom+++=intentions,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
speak ^vb++++=speak
the ^ati++++=the
grotesque ^jj+atrb+++=grotesque
figure ^nn++++=figure
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
on ^in++++=on
quite ^rb++++=quite
volubly ^jj++++=volubly.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
now ^rn+tm+++=now
three ^cd++++=three
quite ^rb++++=quite
impossible ^jj+atrb+++=impossible
things ^nns++++=things.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
holes ^nns++++=holes
in ^in++++=in
the ^ati++++=the
carpet ^nn++++=carpet,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
six ^cd++++=six
bullets ^nns+nom+++=bullets
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
on ^in++++=on
earth ^nn++++=earth
should ^md+nec+++=should
anybody ^pn++++=anybody
fire ^nn++++=fire
at ^rb++++=at
the ^ati++++=the
carpet ^nn++++=carpet?
? ^zz++++=EXTRAWORD
A ^at++++=A
drunken ^jj+atrb+++=drunken
man ^nn++++=man
lets ^vbz++++=lets
fly ^vb++++=fly
at ^rb++++=at
his ^pp$+pp3+++=his
enemy ^nn++++=enemy's
's ^$++++=EXTRAWORD
head ^nn++++=head,
, ^zz++++=EXTRAWORD
the ^ati++++=the
thing ^nn++++=thing
that ^tht+rel+subj++=that's
's ^vbz+bez+aux++0=EXTRAWORD
grinning ^vbg+++xvbgx+=grinning
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
pick ^vb++++=pick
a ^at++++=a
quarrel ^nn++++=quarrel
with ^in++++=with
his ^pp$+pp3+++=his
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
lay ^jjb+atrb++xvbn+=lay
siege ^nn++++=siege
to ^in++++=to
his ^pp$+pp3+++=his
slippers ^nns+nom+++=slippers.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
rope ^nn++++=rope"
" ^zz++++=EXTRAWORD
and ^cc++++=and
having ^xvbg+++xvbg+=having
done ^vprf+++xvbn+=done
with ^in++++=with
the ^ati++++=the
carpet ^nn++++=carpet
the ^ati++++=the
speaker ^npt++++=speaker
lifted ^vbd+++xvbn+=lifted
his ^pp$+pp3+++=his
hands ^nns++++=hands
and ^cc++++=and
put ^vb+++xvbn+=put
them ^pp3o+pp3+++=them
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
continued ^vbd+++xvbn+=continued
unaffectedly ^jj++++=unaffectedly
on ^in++++=on
his ^pp$+pp3+++=his
knees ^nns++++=knees
" ^zz++++="in
in ^in++++=EXTRAWORD
what ^wdt+who+++=what
conceivable ^jj+atrb+++=conceivable
intoxication ^nn+nom+++=intoxication
would ^md+prd+++=would
anybody ^pn++++=anybody
try ^vb++++=try
to ^to+vcmp+++=to
put ^vbi++++=put
a ^at++++=a
rope ^nn++++=rope
round ^in++++=round
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
neck ^nn++++=neck
and ^cc++++=and
finally ^rb++++=finally
put ^vb+++xvbn+=put
it ^pp3+it+++=it
round ^in++++=round
his ^pp$+pp3+++=his
leg ^nn++++=leg?
? ^zz++++=EXTRAWORD
Royce ^np+++??+=Royce,
, ^zz++++=EXTRAWORD
anyhow ^rb+cnj+++=anyhow,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^cs+sub+++=so
drunk ^vprf+++xvbn+=drunk
as ^ql++++=as
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
sleeping ^vbg+++xvbgx+=sleeping
like ^in++++=like
a ^at++++=a
log ^&fo++++=log
by ^in++++=by
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
plainest ^jjt++++=plainest
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whisky ^nn++++=whisky
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
suggest ^vb+vpub+tht0++=suggest
a ^at++++=a
dipsomaniac ^nn++++=dipsomaniac
fought ^vbd+++xvbn+=fought
for ^in++++=for
the ^ati++++=the
whisky ^nn++++=whisky
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
having ^xvbg+++xvbg+=having
won ^vprf+++xvbn+=won,
, ^zz++++=EXTRAWORD
rolled ^j+++xvbn+=rolled
it ^pp3+it+++=it
away ^rp+pl+++=away
in ^in++++=in
a ^at++++=a
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
spilling ^jj+atrb++xvbg+=spilling
one ^cd1++++=one
half ^nn++++=half
and ^cc++++=and
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
very ^ql+amp+++=very
last ^rb++++=last
thing ^nn++++=thing
a ^at++++=a
dipsomaniac ^nn+++??+=dipsomaniac
would ^md+prd+++=would
do ^vb+do+vrb++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
scrambled ^vbd+++xvbnx+=scrambled
awkwardly ^rb++++=awkwardly
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vpsv++agls+xvbn+=said
to ^to+vcmp+++=to
the ^ati++++=the
self ^nn++++=self-accused
- ^zz++++=EXTRAWORD
accused ^vbd+++xvbn+=EXTRAWORD
murderer ^nn+nom+++=murderer
in ^in++++=in
tones ^nns++++=tones
of ^in++++=of
limpid ^nn+++??+=limpid
penitence ^nn+nom+++=penitence:
: ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
awfully ^ql++++=awfully
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^jj+atrb+++=dear
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
your ^pp$+pp2+++=your
tale ^nn++++=tale
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
rubbish ^nn++++=rubbish."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sir,"
sir ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Alice ^np++++=Alice
Armstrong ^np++++=Armstrong
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
tone ^nn++++=tone
to ^in++++=to
the ^ati++++=the
priest ^nn++++=priest,
, ^zz++++=EXTRAWORD
" ^zz++++="can
can ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
speak ^vb++++=speak
to ^in++++=to
you ^pp2+pp2+++=you
alone ^rb++++=alone
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
request ^nn+vpub+++=request
forced ^vbd+++xvbn+=forced
the ^ati++++=the
communicative ^jj+atrb+++=communicative
cleric ^nn++++=cleric
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
gangway ^nn++++=gangway,
