Passing ^vbg+++xvbg+=Passing
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
pause ^nn++++=pause,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
abruptness ^nns+nom+++=abruptness
of ^in++++=of
the ^ati++++=the
question ^nn+nom+++=question
had ^vb+hv+aux++=had
somewhat ^rb+down+splt++=somewhat
startled ^vprf+++xvbnx+=startled
me ^pp1o+pp1+++=me
" ^zz++++="to
to ^to++++=EXTRAWORD
be ^vbi++vrb++=be
quite ^rb++++=quite
sincere ^jj+pred+++=sincere
with ^in++++=with
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
care ^nn++++=care
little ^ap++++=little
or ^cc++++=or
nothing ^pn++++=nothing
about ^in++++=about
a ^at++++=a
stone ^nn++++=stone
for ^in++++=for
my ^pp$+pp1+++=my
own ^ap++++=own
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
am ^vb+bem+aux++=am
somewhat ^rb+down+splt++=somewhat
inclined ^jj++agls+xvbnx+=inclined
to ^to+jcmp+++=to
scepticism ^nn+nom+++=scepticism
as ^in++++=as
to ^in++++=to
the ^ati++++=the
propriety ^nn++++=propriety
of ^in++++=of
erecting ^xvbg+++xvbg+=erecting
monuments ^nns+nom+++=monuments
at ^rb++++=at
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
dust ^nn++++=dust
that ^tht+rel+subj++=that
once ^rb+tm+++=once
was ^vbd+bedz+vrb++=was
human ^jj+pred+++=human.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weight ^nn++++=weight
of ^in++++=of
these ^dt+dem+++=these
heavy ^jj+atrb+++=heavy
marbles ^nns++++=marbles,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
unfelt ^vpsv++by+xvbn+=unfelt
by ^in++++=by
the ^ati++++=the
dead ^jj+atrb+++=dead
corpse ^nn++++=corpse
or ^cc++++=or
the ^ati++++=the
enfranchised ^jj+atrb++xvbn+=enfranchised
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
presses ^nns+nom++??+=presses
drearily ^rb++++=drearily
upon ^in++++=upon
the ^ati++++=the
spirit ^nn++++=spirit
of ^in++++=of
the ^ati++++=the
survivor ^nn++++=survivor
and ^cc++++=and
causes ^nns++++=causes
him ^pp3o+pp3+++=him
to ^to++++=to
connect ^vbi++++=connect
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
death ^nn++++=death
with ^in++++=with
the ^ati++++=the
dungeon ^nn++++=dungeon-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
imprisonment ^nn+nom+++=imprisonment
of ^in++++=of
the ^ati++++=the
tomb ^nn++++=tomb,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
with ^in++++=with
the ^ati++++=the
freedom ^nn+nom+++=freedom
of ^in++++=of
the ^ati++++=the
skies ^nns++++=skies.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
gravestone ^nn+++??+=gravestone
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
ever ^rb++++=ever
made ^vbd+++xvbn+=made
is ^vbz+bez+vrb++=is
the ^ati++++=the
visible ^jj+atrb+++=visible
symbol ^nn++++=symbol
of ^in++++=of
a ^at++++=a
mistaken ^jj+atrb++xvbn+=mistaken
system ^nn++++=system.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
thoughts ^nns++++=thoughts
should ^md+nec+++=should
soar ^vb++++=soar
upward ^jjb++++=upward
with ^in++++=with
the ^ati++++=the
butterfly ^nn++++=butterfly,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
linger ^vb++++=linger
with ^in++++=with
the ^ati++++=the
exuvi ^nn+++??+=exuvi
that ^tht+rel+++=that
confined ^jj+++xvbn+=confined
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
truth ^nn++++=truth
and ^cc++++=and
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
those ^dt+pdem+++=those
whom ^whp+rel+obj++=whom
we ^pp1a+pp1+++=we
call ^vb++++=call
the ^ati++++=the
living ^nvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb++++=still
less ^rbr++++=less
the ^ati++++=the
departed ^jj+++xvbn+=departed,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
anything ^pn++++=anything
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
the ^ati++++=the
grave ^nn++++=grave."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
heard ^vbn+vprv+tht0+xvbn+=heard
anything ^pn++++=anything
so ^rb+emph+++=so
heathenish ^jj++++=heathenish,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth,
, ^zz++++=EXTRAWORD
perplexed ^j+++xvbn+=perplexed
and ^cc+phrs+++=and
displeased ^jj++++=displeased
at ^in++++=at
sentiments ^nns+nom+++=sentiments
which ^whp+rel+obj++=which
controverted ^jj+++xvbn+=controverted
all ^abn++++=all
his ^pp$+pp3+++=his
notions ^nns+nom+++=notions
and ^cc++++=and
feelings ^nns+nom+++=feelings
and ^cc++++=and
implied ^vbd+vprv++xvbn+=implied
the ^ati++++=the
utter ^jjb+atrb+++=utter
waste ^nn++++=waste,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
worse ^jjr++++=worse,
, ^zz++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
life ^nn++++=life's
's ^$++++=EXTRAWORD
labor ^nn++++=labor.
. ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
forget ^vb+vprv+++=forget
your ^pp$+pp2+++=your
dead ^jj+atrb+++=dead
friends ^nns++++=friends
the ^ati++++=the
moment ^nn++++=moment
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
under ^in++++=under
the ^ati++++=the
sod ^nn++++=sod?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+vrb++=are
not ^xnot++not++=not
under ^in++++=under
the ^ati++++=the
sod ^nn++++=sod,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rejoined ^vbd+++xvbnx+=rejoined;
; ^zz++++=EXTRAWORD
" ^zz++++="then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
should ^md+nec+++=should
I ^pp1a+pp1+++=I
mark ^vb++++=mark
the ^ati++++=the
spot ^nn++++=spot
where ^wrb+who+++=where
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
treasure ^nn++++=treasure
hidden ^vbd+++xvbn+=hidden?
? ^zz++++=EXTRAWORD
Forget ^vb+vprv+++=Forget
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
No ^at++++=No;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
to ^to++++=to
remember ^nn+nom+++=remember
them ^pp3o+pp3+++=them
aright ^rb+cnj+++=aright,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
forget ^vb+vprv+++=forget
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
cast ^vprf+++xvbnx+=cast
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
to ^to++++=to
gain ^vbi++++=gain
the ^ati++++=the
truer ^jjr+atrb+++=truer
conception ^nn+nom+++=conception
of ^in++++=of
death ^nn++++=death
I ^pp1a+pp1+++=I
would ^md+prd+++=would
forget ^vb+vprv+++=forget
the ^ati++++=the
grave ^nn++++=grave."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
still ^rb++++=still
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
sculptor ^nn++++=sculptor
murmured ^vbd+++xvbn+=murmured,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stumbled ^vbd+++xvbn+=stumbled,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
gravestones ^nns++++=gravestones
amid ^in++++=amid
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
walked ^vprf+++xvbnx+=walked
through ^in++++=through
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
right ^jj+pred+++=right
or ^cc+phrs+++=or
wrong ^jj++++=wrong,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
the ^ati++++=the
wiser ^nn++++=wiser
from ^in++++=from
our ^pp$+pp1+++=our
companionship ^nn+nom+++=companionship
and ^cc++++=and
from ^in++++=from
my ^pp$+pp1+++=my
observations ^nns+nom+++=observations
of ^in++++=of
nature ^nn++++=nature
and ^cc++++=and
character ^nn+nom+++=character
as ^in++++=as
displayed ^nn++++=displayed
by ^in++++=by
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
old ^jj+atrb+++=old
griefs ^nns++++=griefs
or ^cc++++=or
their ^pp$+pp3+++=their
new ^jj+atrb+++=new
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
them ^pp3o+pp3+++=them
recorded ^vbd+++xvbn+=recorded
upon ^in++++=upon
his ^pp$+pp3+++=his
slabs ^nns++++=slabs
of ^in++++=of
marble ^nn++++=marble.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb++++=yet
with ^in++++=with
my ^pp$+pp1+++=my
gain ^nn++++=gain
of ^in++++=of
wisdom ^nn++++=wisdom
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
likewise ^rb+cnj+splt++=likewise
gained ^vprf+++xvbnx+=gained
perplexity ^nn+nom+++=perplexity;
; ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
strange ^jj+atrb+++=strange
doubt ^nn++++=doubt
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind
whether ^cs+who+++=whether
the ^ati++++=the
dark ^jj++++=dark
shadowing ^jj+++xvbg+=shadowing
of ^in++++=of
this ^dt+dem+++=this
life ^nn++++=life,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sorrows ^nns++++=sorrows
and ^cc++++=and
regrets ^nns++++=regrets,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
not ^xnot++not++=not
as ^ql++++=as
much ^ap++++=much
real ^jj+atrb+++=real
comfort ^nn++++=comfort
in ^in++++=in
them ^pp3o+pp3+++=them
leaving ^jj+atrb++xvbg+=leaving
religious ^jj+atrb+++=religious
influences ^nns+nom+++=influences
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
question ^nn+nom+++=question
as ^ql++++=as
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
term ^nn++++=term
life ^nn++++=life's
's ^$++++=EXTRAWORD
joys ^nns++++=joys.
. ^zz++++=EXTRAWORD
