Johannes ^np+++??+=Johannes
unpleasant ^jj+atrb+++=unpleasant
incidents ^nns++++=incidents
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
embitter ^jjr++++=embitter
the ^ati++++=the
tourists ^nns+nom+++=tourists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
a ^at++++=a
year ^nn++++=year
the ^ati++++=the
family ^nn++++=family
returned ^vbd+++xvbn+=returned
once ^rb+tm+++=once
again ^rb+tm+++=again
to ^in++++=to
Salzburg ^np+++??+=Salzburg.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
time ^nn++++=time
Italy ^np++++=Italy
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Mecca ^np++++=Mecca
of ^in++++=of
the ^ati++++=the
musician ^nn++++=musician,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
study ^nn++++=study
and ^cc++++=and
win ^vb++++=win
his ^pp$+pp3+++=his
first ^od++++=first
laurels ^nns++++=laurels
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
ideal ^nn++++=ideal
of ^in++++=of
every ^at++++=every
musical ^jj+atrb+++=musical
student ^nn++++=student.
. ^zz++++=EXTRAWORD
The ^ati++++=The
musical ^jj+atrb+++=musical
atmosphere ^nn++++=atmosphere
of ^in++++=of
Salzburg ^np+++??+=Salzburg
was ^vbd+bedz+vrb++=was
narrow ^jj+pred+++=narrow
and ^cc+phrs+++=and
provincial ^jj++++=provincial,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart
wished ^vbd+vprv++xvbn+=wished
Wolfgang ^np++++=Wolfgang
to ^to++++=to
escape ^vbi++++=escape
from ^in++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
so ^ql++++=so
presently ^rb+tm+++=presently
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
young ^jj+atrb+++=young
Mozart ^np++++=Mozart
and ^cc++++=and
his ^pp$+pp3+++=his
father ^nn++++=father
journeying ^vwbg+++xvbg+=journeying
Southward ^rb++++=Southward
to ^in++++=to
Italy ^np++++=Italy
where ^wrb+who+++=where
Wolfgang ^np++++=Wolfgang
is ^vbz+bez+aux++=is
studying ^vbg+++xvbgx+=studying,
, ^zz++++=EXTRAWORD
meeting ^nvbg+++xvbg+=meeting
interesting ^jj+atrb+++=interesting
people ^nns++++=people,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
in ^rb++++=in
public ^rb"++++=public,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
writing ^nvbg+++xvbg+=writing
amusing ^jj+atrb+++=amusing
letters ^nns+nom+++=letters
home ^nr++++=home
to ^in++++=to
Nannerl ^np+++??+=Nannerl,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
becoming ^vbg+++xvbgx+=becoming
more ^rbr++++=more
devoted ^jj+++xvbn+=devoted
to ^in++++=to
her ^pp$+pp3+++=her
home ^nr++++=home
duties ^nns++++=duties
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
than ^in++++=than
to ^in++++=to
her ^pp$+pp3+++=her
music ^nn++++=music,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
always ^rb++++=always
into ^in++++=into
her ^pp$+pp3+++=her
ears ^nns++++=ears
that ^tht+rel+obj++=that
Wolfgang ^np++++=Wolfgang
poured ^vbd+++xvbn+=poured
his ^pp$+pp3+++=his
musical ^jj+atrb+++=musical
feelings ^nns+nom+++=feelings,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
in ^in++++=in
the ^ati++++=the
Sistine ^np+++??+=Sistine
chapel ^nn++++=chapel
the ^ati++++=the
painting ^jj+++xvbg+=painting
of ^in++++=of
" ^zz++++="The
the ^ati++++=EXTRAWORD
Last ^jj+atrb+++=Last
Judgment ^nn+nom+++=Judgment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
while ^cs+sub+++=while
listening ^jj+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
wonderful ^jj+atrb+++=wonderful
music ^nn++++=music
of ^in++++=of
" ^zz++++="The
the ^ati++++=EXTRAWORD
Miserere ^np+++??+=Miserere,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
music ^nn++++=music
is ^vbz+bez+aux++=is
only ^rb+down+splt++=only
performed ^vpsv++agls+xvbnx+=performed
in ^in++++=in
Holy ^jj+atrb+++=Holy
Week ^nn++++=Week
by ^in++++=by
the ^ati++++=the
Pope ^np++++=Pope's
's ^$++++=EXTRAWORD
choir ^nn++++=choir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
one ^cd1++++=one
has ^vbz+hvz+aux++=has
ever ^rb++splt++=ever
been ^vprf+ben+aux+xvbnx+=been
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
have ^vbi++vrb++=have
a ^at++++=a
copy ^nn++++=copy
of ^in++++=of
the ^ati++++=the
music ^nn++++=music
or ^cc++++=or
even ^rb++++=even
to ^to++++=to
see ^vbi+vprv+++=see
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
so ^rb+emph+++=so
accurate ^jj++++=accurate
was ^vbd+bedz+vrb++=was
little ^ap++++=little
Mozart ^np++++=Mozart's
's ^$++++=EXTRAWORD
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
after ^in++++=after
leaving ^xvbg+++xvbg+=leaving
the ^ati++++=the
chapel ^nn++++=chapel,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
not ^xnot++not++=not
only ^rb+down+++=only
wrote ^vbd+vprv++xvbn+=wrote
out ^rp+pl+++=out
the ^ati++++=the
music ^nn++++=music
correctly ^rb+cnj+++=correctly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=could
also ^rb++splt++=also
sing ^vb++++=sing
it ^pp3+it+++=it
perfectly ^rb+cnj+++=perfectly,
, ^zz++++=EXTRAWORD
a ^at++++=a
feat ^nn++++=feat
which ^whp+rel+subj++=which
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
the ^ati++++=the
musical ^nn++++=musical
marvel ^vb++++=marvel
of ^in++++=of
his ^pp$+pp3+++=his
age ^nn++++=age!
! ^zz++++=EXTRAWORD
For ^in++++=For
two ^cd++++=two
years ^nns++++=years
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
and ^cc+phrs+++=and
studied ^vbd+++xvbn+=studied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accomplished ^xvbn+++xvbn+=accomplished
great ^np++++=great
things ^nns++++=things
musically ^rb+cnj+++=musically,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
Elector ^np+++??+=Elector
of ^in++++=of
Bavaria ^np++++=Bavaria
invited ^vwbn+++xvbn+=invited
him ^pp3o+pp3+++=him
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
comic ^jj+atrb+++=comic
opera ^nn++++=opera
for ^in++++=for
the ^ati++++=the
Carnival ^nn+nom+++=Carnival,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
invitation ^nn+nom+++=invitation
the ^ati++++=the
boy ^nn++++=boy
joyfully ^rb++++=joyfully
accepted ^jj+++xvbn+=accepted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
once ^rb"+tm+++=once
set ^jj+++xvbn+=set
to ^to+jcmp+++=to
work ^vb++++=work
on ^in++++=on
the ^ati++++=the
none ^pn++++=none
too ^ql++++=too
easy ^jj+atrb+++=easy
task ^nn++++=task.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
at ^in++++=at
home ^nr++++=home
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
father ^nn++++=father
and ^cc++++=and
Nannerl ^np+++??+=Nannerl
listened ^vbd+++xvbn+=listened
eagerly ^rb++++=eagerly
to ^in++++=to
his ^pp$+pp3+++=his
themes ^nns++++=themes,
, ^zz++++=EXTRAWORD
as ^in++++=as
bit ^nn++++=bit
by ^in++++=by
bit ^nn++++=bit
he ^pp3a+pp3+++=he
elaborated ^vbd+++xvbnx+=elaborated
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
In ^in++++=In
due ^jj+atrb+++=due
time ^nn++++=time
the ^ati++++=the
opera ^nn++++=opera
was ^vbd+bedz+aux++=was
finished ^vpsv++agls+xvbnx+=finished;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
" ^zz++++="La
la ^&fw++++=EXTRAWORD
Finta ^np+++??+=Finta
Giardiniera ^np+++??+=Giardiniera,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
Wolfgang ^np++++=Wolfgang,
, ^zz++++=EXTRAWORD
accompanied ^xvbn+++xvbn+=accompanied
by ^in++++=by
his ^pp$+pp3+++=his
father ^nn++++=father
and ^cc++++=and
pretty ^rb++++=pretty
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
off ^in+pl+++=off
for ^in++++=for
Munich ^np++++=Munich,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
performance ^nn+nom+++=performance
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
given ^vpsv++agls+xvbnx+=given,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
court ^nn++++=court
life ^nn++++=life
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
gay ^np++++=gay
just ^rb+emph+++=just
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
Nannerl ^np+++??+=Nannerl
and ^cc++++=and
Wolfgang ^np++++=Wolfgang
were ^vbd+bed+vrb++=were
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
have ^vbi++vrb++=have
much ^rb++++=much
to ^to++++=to
amuse ^vbi++++=amuse
and ^cc++++=and
interest ^nn++++=interest
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Nannerl ^np+++??+=Nannerl
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
to ^to+vcmp+++=to
board ^vb++++=board
by ^in++++=by
a ^at++++=a
widow ^nn++++=widow
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
market ^nn++++=market-place,
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Leopold ^np++++=Leopold
and ^cc++++=and
the ^ati++++=the
young ^jj+atrb+++=young
composer ^nn+nom+++=composer
were ^vbd+bed+aux++=were
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
take ^vbi++++=take
rooms ^nns++++=rooms
nearer ^rbr++++=nearer
the ^ati++++=the
Court ^nn++++=Court.
. ^zz++++=EXTRAWORD
At ^rb++++=At
once ^rb"+tm+++=once
rehearsals ^nns+nom+++=rehearsals
of ^in++++=of
the ^ati++++=the
opera ^nn++++=opera
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
days ^nns++++=days
were ^vbd+bed+aux++=were
marked ^vpsv++by+xvbnx+=marked
by ^in++++=by
a ^at++++=a
succession ^nn++++=succession
of ^in++++=of
exciting ^jj+atrb+++=exciting
events ^nns++++=events
for ^in++++=for
Wolfgang ^np++++=Wolfgang
and ^cc++++=and
for ^in++++=for
Nannerl ^np+++??+=Nannerl,
, ^zz++++=EXTRAWORD
into ^in++++=into
whose ^whp+rel+pied++=whose
apartment ^nn+nom+++=apartment
Wolfgang ^np++++=Wolfgang
ran ^vbd+++xvbn+=ran
half ^nn++++=half
a ^at++++=a
dozen ^cd++++=dozen
times ^nns++++=times
a ^at++++=a
day ^nn++++=day
to ^in++++=to
report ^nn++++=report
progress ^nns+nom+++=progress.
. ^zz++++=EXTRAWORD
Up ^rp++++=Up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
humming ^jj+atrb++xvbg+=humming
bits ^nns++++=bits
of ^in++++=of
the ^ati++++=the
opera ^nn++++=opera
or ^cc++++=or
intent ^jj++++=intent
on ^in++++=on
some ^dti++++=some
new ^jj+atrb+++=new
scenic ^jj+atrb+++=scenic
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
dashed ^xvbn+++xvbn+=dashed
the ^ati++++=the
young ^jj+atrb+++=young
composer ^nn+nom+++=composer
a ^at++++=a
dozen ^cd++++=dozen
times ^nns++++=times
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
and ^cc++++=and
Nannerl ^np+++??+=Nannerl
were ^vbd+bed+vrb++=were
perfectly ^rb+amp+++=perfectly
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that
no ^at++++=no
performance ^nn+nom+++=performance
ever ^rb++++=ever
was ^vbd+bedz+aux++=was
or ^cc++++=or
ever ^rb++++=ever
could ^md+pos+++=could
be ^vb+be+vrb++=be
so ^ql+emph+++=so
marvellous ^jj++++=marvellous,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
one ^cd1++++=one
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
great ^jj+atrb+++=great
night ^nn++++=night
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
Nannerl ^np+++??+=Nannerl
was ^vbd+bedz+aux++=was
dressed ^vpsv++agls+xvbnx+=dressed
in ^in++++=in
her ^pp$+pp3+++=her
dainty ^jj+atrb+++=dainty
white ^jj+atrb+++=white
gown ^nn++++=gown
hours ^nns++++=hours
before ^in++++=before
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Wolfgang ^np++++=Wolfgang,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
detained ^vpsv++agls+xvbnx+=detained
at ^in++++=at
the ^ati++++=the
opera ^nn++++=opera
house ^npl++++=house
until ^in++++=until
the ^ati++++=the
last ^jj+atrb+++=last
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
just ^rb+emph+++=just
time ^nn++++=time
to ^to++++=to
jump ^vbi++++=jump
into ^in++++=into
his ^pp$+pp3+++=his
fine ^jj+atrb+++=fine
new ^jj+atrb+++=new
costume ^nn++++=costume
of ^in++++=of
satin ^nn++++=satin
and ^cc++++=and
lace ^nn++++=lace,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
flash ^nn++++=flash
of ^in++++=of
brilliants ^nns+nom+++=brilliants
in ^in++++=in
his ^pp$+pp3+++=his
ruff ^nn+++??+=ruff
and ^cc++++=and
on ^in++++=on
his ^pp$+pp3+++=his
slippers ^nns+nom+++=slippers;
; ^zz++++=EXTRAWORD
without ^in++++=without
a ^at++++=a
glance ^nn++++=glance
in ^in++++=in
the ^ati++++=the
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
like ^in++++=like
a ^at++++=a
proud ^jj+atrb+++=proud
young ^jj+atrb+++=young
prince ^nn++++=prince
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
joined ^vbd+++xvbnx+=joined
his ^pp$+pp3+++=his
father ^nn++++=father
and ^cc++++=and
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
hand ^nn++++=hand
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
slipped ^vbd+++xvbnx+=slipped
through ^in++++=through
Nannerl ^np++++=Nannerl's
's ^$++++=EXTRAWORD
arm ^nn++++=arm
was ^vbd+bedz+aux++=was
trembling ^nvbg+++xvbg+=trembling.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
could ^md+pos+++=could
say ^vb+vpub+++=say
what ^wdt+who+whcl++=what
the ^ati++++=the
evening ^nn++++=evening
would ^md+prd+++=would
hold ^vb+vprv+++=hold
of ^in++++=of
triumph ^nn++++=triumph
or ^cc++++=or
of ^in++++=of
failure ^nn++++=failure?
? ^zz++++=EXTRAWORD
No ^at++++=No
wonder ^vb++++=wonder
he ^pp3a+pp3+++=he
trembled ^vbd+++xvbnx+=trembled.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
arrived ^vbd+++xvbnx+=arrived
at ^rb++++=at
the ^ati++++=the
opera ^nn++++=opera
house ^nn++++=house,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
crowded ^vpsv++agls+xvbnx+=crowded
to ^in++++=to
the ^ati++++=the
doors ^nns++++=doors.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
court ^nn++++=court
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
in ^in++++=in
gala ^np++++=gala
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
youthful ^jj+atrb+++=youthful
music ^nn++++=music-master,
- ^zz++++=EXTRAWORD
master ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
scarcely ^rb+down+++=scarcely
nineteen ^cd++++=nineteen
years ^nns++++=years
old ^jj++++=old
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
with ^in++++=with
his ^pp$+pp3+++=his
father ^nn++++=father
and ^cc++++=and
Nannerl ^np+++??+=Nannerl,
, ^zz++++=EXTRAWORD
unmindful ^jj++++=unmindful
that ^tht+jcmp+++=that
all ^abn++++=all
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
focussed ^vpsv++agls+xvbnx+=focussed
on ^in++++=on
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
forgetful ^jj++++=forgetful
of ^in++++=of
all ^rb++++=all
but ^cc++++=but
the ^ati++++=the
performance ^nn+nom+++=performance
of ^in++++=of
his ^pp$+pp3+++=his
opera ^nn++++=opera.
. ^zz++++=EXTRAWORD
The ^ati++++=The
music ^nn++++=music
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
first ^od++++=first
note ^vb+vprv+++=note
to ^in++++=to
the ^ati++++=the
last ^ap++++=last,
, ^zz++++=EXTRAWORD
the ^ati++++=the
opera ^nn++++=opera
was ^vbd+bedz+vrb++=was
a ^at++++=a
triumphant ^jj+atrb+++=triumphant
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
Mozart ^np++++=Mozart
then ^rn+tm+++=then
became ^vbd+++xvbn+=became
the ^ati++++=the
object ^nn++++=object
of ^in++++=of
the ^ati++++=the
wildest ^jjt+atrb+++=wildest
enthusiasm ^nn++++=enthusiasm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
that ^dt+dem+++=that
moment ^nn++++=moment
his ^pp$+pp3+++=his
popularity ^nn+nom+++=popularity
as ^in++++=as
a ^at++++=a
musician ^nn++++=musician
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
leave ^nn++++=leave
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
stands ^vbz++++=stands
before ^in++++=before
us ^pp1o+pp1+++=us
in ^in++++=in
his ^pp$+pp3+++=his
stately ^jj+atrb+++=stately
costume ^nn++++=costume,
, ^zz++++=EXTRAWORD
bowing ^vbg+++xvbg+=bowing
acknowledgment ^nn+nom+++=acknowledgment
of ^in++++=of
the ^ati++++=the
applause ^nn++++=applause
raining ^vwbg+++xvbg+=raining
upon ^in++++=upon
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
blaze ^nn++++=blaze
of ^in++++=of
light ^nn++++=light
shining ^vwbg+++xvbg+=shining
full ^jj++++=full
upon ^in++++=upon
his ^pp$+pp3+++=his
clean ^jj++++=clean-cut
- ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=EXTRAWORD
dignified ^jj+atrb+++=dignified
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
hear ^vb+vprv+tht0++=hear
his ^pp$+pp3+++=his
famous ^jj+atrb+++=famous
compositions ^nns+nom+++=compositions
played ^vbd+++xvbn+=played,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
think ^vb+vprv+++=think
back ^jjb++++=back
to ^in++++=to
that ^dt+dem+++=that
night ^nn++++=night
of ^in++++=of
his ^pp$+pp3+++=his
first ^rb++++=first
great ^jj+atrb+++=great
public ^jj+atrb+++=public
triumph ^nn++++=triumph,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
nineteen ^cd++++=nineteen
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
Pianist ^nn+nom+++=Pianist,
, ^zz++++=EXTRAWORD
violinist ^nn+nom+++=violinist,
, ^zz++++=EXTRAWORD
composer ^nn+nom+++=composer,
, ^zz++++=EXTRAWORD
little ^ap++++=little
music ^nn++++=music-king
- ^zz++++=EXTRAWORD
king ^npt++++=EXTRAWORD
and ^cc++++=and
great ^jj+atrb+++=great
genius ^nn++++=genius
as ^rb++++=as
well ^rb++++=well
the ^ati++++=the
world ^nn++++=world
owes ^vbz++++=owes
a ^at++++=a
debt ^nn++++=debt
of ^in++++=of
gratitude ^nn++++=gratitude
to ^in++++=to
Wolfgang ^np++++=Wolfgang
Amadeus ^np+++??+=Amadeus
Mozart ^np++++=Mozart,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
only ^rb+down+++=only
be ^vb+be+aux++=be
paid ^vbd+++xvbn+=paid
in ^in++++=in
the ^ati++++=the
coin ^nn++++=coin
of ^in++++=of
appreciation ^nn+nom+++=appreciation.
. ^zz++++=EXTRAWORD
