( ^zz++++=(1855)In
ornot ^nn+++??+=ornot,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^ql++++=more
Captain ^npt++++=Captain
Delano ^np+++??+=Delano
noted ^vbd+vprv++xvbn+=noted
its ^pp$+it+++=its
pervading ^jj+atrb++xvbg+=pervading
reserve ^nn++++=reserve,
, ^zz++++=EXTRAWORD
the ^ati++++=the
less ^rbr++++=less
hefelt ^jj+atrb++xvbn+=hefelt
uneasiness ^nns+nom+++=uneasiness
at ^in++++=at
any ^dti++++=any
particular ^jj+atrb+++=particular
manifestation ^nn+nom+++=manifestation
of ^in++++=of
that ^dt+dem+++=that
reserve ^nn++++=reserve
towardshimself ^nn+++??+=towardshimself.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
were ^vbd+bed+vrb++=were
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts
taken ^vwbn+++xvbn+=taken
up ^rb+phrv+++=up
by ^in++++=by
the ^ati++++=the
captain ^npt++++=captain
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
Wonted ^np+++??+=Wonted
to ^in++++=to
thequiet ^jj+atrb++??+=thequiet
orderliness ^nns+nom+++=orderliness
of ^in++++=of
the ^ati++++=the
sealer ^jjr++++=sealer's
's ^vbz+bez+vrb++0=EXTRAWORD
comfortable ^jj+atrb+++=comfortable
family ^nn++++=family
of ^in++++=of
a ^at++++=a
crew ^nn++++=crew,
, ^zz++++=EXTRAWORD
thenoisy ^nn+++??+=thenoisy
confusion ^nn++++=confusion
of ^in++++=of
the ^ati++++=the
San ^np++++=San
Dominick ^np++++=Dominick's
's ^vbz+bez+aux++0=EXTRAWORD
suffering ^vbg+++xvbg+=suffering
host ^nn++++=host
repeatedlychallenged ^vbd+++xvbn+=repeatedlychallenged
his ^pp$+pp3+++=his
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
prominent ^jj+atrb+++=prominent
breaches ^nns+++??+=breaches,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
of ^in++++=of
discipline ^nn++++=discipline
butof ^nn+++??+=butof
decency ^nn++++=decency,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
Captain ^nn++++=Captain
Delano ^np+++??+=Delano
could ^md+pos+++=could
not ^xnot++not++=not
but ^cc++++=but
ascribe,in ^nn+++??+=ascribe,in
the ^ati++++=the
main ^jjb++++=main,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
those ^dt+dem+++=those
subordinate ^jj+atrb+++=subordinate
deck ^nn++++=deck-officers
- ^zz++++=EXTRAWORD
officers ^nns+nom+++=EXTRAWORD
to ^in++++=to
whom,along ^nn+++??+=whom,along
with ^in++++=with
higher ^jjr+atrb+++=higher
duties ^nns++++=duties,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
intrusted ^vpsv++agls+xvbnx+=intrusted
what ^wdt+who+++=what
may ^md+pos+++=may
be ^vb+be+aux++=be
styled ^vpsv++agls+xvbnx+=styled
the ^ati++++=the
policedepartment ^nn+nom+++=policedepartment
of ^in++++=of
a ^at++++=a
populous ^jj+atrb+++=populous
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
True ^jj++++=True,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
oakum ^nn+++??+=oakum-pickers
- ^zz++++=EXTRAWORD
pickers ^nns+nom+++=EXTRAWORD
appeared ^vbd+seem++xvbn+=appeared
attimes ^nns+++??+=attimes
to ^in++++=to
act ^nn++++=act
the ^ati++++=the
part ^nn++++=part
of ^in++++=of
monitorial ^jj+atrb+++=monitorial
constables ^nns++++=constables
to ^in++++=to
their ^pp$+pp3+++=their
countrymen ^nns++++=countrymen,
, ^zz++++=EXTRAWORD
theblacks ^nns+++??+=theblacks;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
though ^cs+sub+++=though
occasionally ^rb++++=occasionally
succeeding ^jj+++xvbg+=succeeding
in ^in++++=in
allaying ^xvbg+++xvbg+=allaying
triflingoutbreaks ^nns+++??+=triflingoutbreaks
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
between ^in++++=between
man ^nn++++=man
and ^cc++++=and
man ^nn++++=man,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
do ^vb+do+vrb++=do
little ^ap++++=little
ornothing ^jj+++xvbg+=ornothing
toward ^in++++=toward
establishing ^xvbg+++xvbg+=establishing
general ^jj+atrb+++=general
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
San ^np++++=San
Dominick ^np+++??+=Dominick
was ^vbd+bedz+vrb++=was
in ^in++++=in
thecondition ^nn+nom+++=thecondition
of ^in++++=of
a ^at++++=a
transatlantic ^jj+atrb+++=transatlantic
emigrant ^nn+nom+++=emigrant
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
among ^in++++=among
whose ^whp+rel+pied++=whose
multitude ^nn++++=multitude
ofliving ^vwbg+++xvbg+=ofliving
freight ^nn++++=freight
are ^vb+ber+vrb++=are
some ^dti++++=some
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
doubtless ^rb+cnj+++=doubtless,
, ^zz++++=EXTRAWORD
as ^ql++++=as
little ^ap++++=little
troublesome ^jj+atrb+++=troublesome
ascrates ^nns+nom+++=ascrates
and ^cc++++=and
bales ^nns++++=bales;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
friendly ^jj+atrb+++=friendly
remonstrances ^nns+nom++??+=remonstrances
of ^in++++=of
such ^abl++++=such
with ^in++++=with
theirruder ^jjr+atrb+++=theirruder
companions ^nns++++=companions
are ^vb+ber+vrb++=are
of ^in++++=of
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
avail ^nn++++=avail
as ^ql++++=as
the ^ati++++=the
unfriendly ^jj+atrb+++=unfriendly
arm ^nn++++=arm
of ^in++++=of
themate ^nn+nom+++=themate.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
San ^np++++=San
Dominick ^np+++??+=Dominick
wanted ^vbd+++xvbn+=wanted
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
the ^ati++++=the
emigrant ^jj+atrb+++=emigrant
ship ^nn++++=ship
has,stern ^vbd+++xvbn+=has,stern
superior ^jj+atrb+++=superior
officers ^nns+nom+++=officers.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
on ^in++++=on
these ^dt+dem+++=these
decks ^nns++++=decks
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
fourth ^od++++=fourth-matewas
- ^zz++++=EXTRAWORD
matewas ^nns+++??+=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
visitor ^nn++++=visitor's
's ^$++++=EXTRAWORD
curiosity ^nn+nom+++=curiosity
was ^vbd+bedz+aux++=was
roused ^vpsv++agls+xvbnx+=roused
to ^to++++=to
learn ^vbi+vprv+++=learn
the ^ati++++=the
particulars ^nns++++=particulars
of ^in++++=of
thosemishaps ^nns+++??+=thosemishaps
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
about ^rb+phrv+++=about
such ^abl++++=such
absenteeism ^nn+nom+++=absenteeism,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
consequences;because ^nn+++??+=consequences;because,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
deriving ^vbg+++xvbg+=deriving
some ^dti++++=some
inkling ^nn+nom+++=inkling
of ^in++++=of
the ^ati++++=the
voyage ^nn++++=voyage
from ^in++++=from
the ^ati++++=the
wails ^nns+++??+=wails
whichat ^nn+++??+=whichat
the ^ati++++=the
first ^od++++=first
moment ^nn++++=moment
had ^vbd+hvd+aux++=had
greeted ^vprf+++xvbnx+=greeted
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
of ^in++++=of
the ^ati++++=the
details ^nns++++=details
no ^at++++=no
clearunderstanding ^jj+++xvbg+=clearunderstanding
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
The ^ati++++=The
best ^jjt+atrb+++=best
account ^nn++++=account
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
doubtless ^rb+cnj+++=doubtless,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
givenby ^nn+++??+=givenby
the ^ati++++=the
captain ^nn++++=captain.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
at ^rb++++=at
first ^rb"++++=first
the ^ati++++=the
visitor ^nn++++=visitor
was ^vbd+bedz+vrb++=was
loth ^jj+pred+++=loth
to ^to++++=to
ask ^vbi++++=ask
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
unwillingto ^nn+++??+=unwillingto
provoke ^vb++++=provoke
some ^dti++++=some
distant ^jj+atrb+++=distant
rebuff ^nn++++=rebuff.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
plucking ^vbg+++xvbg+=plucking
up ^rp++++=up
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
at ^in++++=at
lastaccosted ^vbd+++xvbn+=lastaccosted
Don ^npt++++=Don
Benito ^np+++??+=Benito,
, ^zz++++=EXTRAWORD
renewing ^vbg+++xvbg+=renewing
the ^ati++++=the
expression ^nn++++=expression
of ^in++++=of
his ^pp$+pp3+++=his
benevolent ^jj+atrb+++=benevolent
interest,adding ^nvbg+++xvbg+=interest,adding,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
( ^zz++++=(Captain
captain ^npt++++=EXTRAWORD
Delano ^np+++??+=Delano)
) ^zz++++=EXTRAWORD
but ^cc++++=but
know ^vb+vprv+++=know
the ^ati++++=the
particulars ^nns++++=particulars
of ^in++++=of
theship ^nn+nom+++=theship's
's ^$++++=EXTRAWORD
misfortunes ^nns++++=misfortunes,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
better ^jjr++++=better
able ^jj++++=able
in ^in++++=in
the ^ati++++=the
end ^nn++++=end
torelieve ^nn+++??+=torelieve
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
Don ^vb++++=Don
Benito ^np+++??+=Benito
favor ^nn++++=favor
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
whole ^jj+atrb+++=whole
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
Benito ^np+++??+=Benito
faltered ^vbd+++xvbn+=faltered;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
like ^in++++=like
some ^dti++++=some
somnambulist ^nn+nom+++=somnambulist
suddenly ^rb++++=suddenly
interferedwith ^jj+++??+=interferedwith,
, ^zz++++=EXTRAWORD
vacantly ^jj++++=vacantly
stared ^jj+++xvbn+=stared
at ^rb++++=at
his ^pp$+pp3+++=his
visitor ^nn++++=visitor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ended ^vpsv++by+xvbn+=ended
by ^in++++=by
looking ^xvbg+++xvbg+=looking
down ^rp++++=down
on ^in++++=on
thedeck ^nn+++??+=thedeck.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
maintained ^vbd+vpub++xvbnx+=maintained
this ^dt+dem+++=this
posture ^nn++++=posture
so ^ql++++=so
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Captain ^npt++++=Captain
Delano ^np+++??+=Delano,
, ^zz++++=EXTRAWORD
almostequally ^rb++++=almostequally
disconcerted ^xvbn+++xvbn+=disconcerted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
involuntarily ^rb++++=involuntarily
almost ^rb+hdg+++=almost
as ^in++++=as
rude ^jj+atrb+++=rude,
, ^zz++++=EXTRAWORD
turned ^jj+atrb++xvbn+=turned
suddenlyfrom ^nn+++??+=suddenlyfrom
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
accost ^nn+++??+=accost
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
seamen ^nns++++=seamen
for ^in++++=for
thedesired ^jj+atrb++xvbn+=thedesired
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
hardly ^rb+down+splt++=hardly
gone ^vprf+++xvbnx+=gone
five ^cd++++=five
paces ^nns++++=paces,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
with ^in++++=with
asort ^nn+++??+=asort
of ^in++++=of
eagerness ^nns+nom+++=eagerness,
, ^zz++++=EXTRAWORD
Don ^npt++++=Don
Benito ^np+++??+=Benito
invited ^vwbn+++xvbn+=invited
him ^pp3o+pp3+++=him
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
regretting ^vbg+++xvbg+=regretting
his ^pp$+pp3+++=his
momentaryabsence ^nn+nom+++=momentaryabsence
of ^in++++=of
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
professing ^vbg+++xvbg+=professing
readiness ^nns+nom+++=readiness
to ^to+ncmp+++=to
gratify ^vbi++++=gratify
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
most ^ql+emph+++=most
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
story ^nn++++=story
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
given ^vprf+++xvbn+=given,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
captains ^nns++++=captains
stood ^vbd+++xvbn+=stood
onthe ^nn+++??+=onthe
after ^in++++=after
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
main ^jjb++++=main-deck,
- ^zz++++=EXTRAWORD
deck ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
privileged ^jj+atrb+++=privileged
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
being ^vbg+beg++xvbg+=being
nearbut ^nn+++??+=nearbut
the ^ati++++=the
servant ^nn+nom+++=servant.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
a ^at++++=a
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety
days ^nns++++=days,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
the ^ati++++=the
Spaniard ^np+++??+=Spaniard,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
huskywhisper ^jjr++++=huskywhisper,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^cs+sub+++=EXTRAWORD
this ^dt+dem+++=this
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
officered ^vwbn+++xvbn+=officered
and ^cc++++=and
well ^rb++++=well
manned ^vbd+++xvbn+=manned,
, ^zz++++=EXTRAWORD
with ^in++++=with
severalcabin ^nn+++??+=severalcabin
passengers ^nns+nom+++=passengers--some
-- ^--+clp+++=EXTRAWORD
some ^dti++++=EXTRAWORD
fifty ^cd++++=fifty
Spaniards ^nn++++=Spaniards
in ^in++++=in
all ^abn++++=all--sailed
-- ^--+clp+++=EXTRAWORD
sailed ^j+++xvbn+=EXTRAWORD
from ^in++++=from
Buenos ^np+++??+=Buenos
Ayresbound ^np+++??+=Ayresbound
to ^in++++=to
Lima ^np++++=Lima,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
general ^jj+atrb+++=general
cargo ^nn++++=cargo,
, ^zz++++=EXTRAWORD
hardware ^nn++++=hardware,
, ^zz++++=EXTRAWORD
Paraguay ^np+++??+=Paraguay
tea ^nn++++=tea
and ^cc++++=and
thelike ^jj++++=thelike--and,"
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
parcel ^nn++++=parcel
of ^in++++=of
negroes ^nns+++??+=negroes,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
not ^xnot++not++=not
more ^rbr++++=more
thana ^vb+++??+=thana
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
numbering ^nn++++=numbering
over ^in++++=over
three ^cd++++=three
hundredsouls ^nns+++??+=hundredsouls.
. ^zz++++=EXTRAWORD
Off ^rp+pl+++=Off
Cape ^npl++++=Cape
Horn ^np++++=Horn
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
heavy ^jj+atrb+++=heavy
gales ^nns++++=gales.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
by ^in++++=by
night ^nn++++=night,
, ^zz++++=EXTRAWORD
threeof ^nn+++??+=threeof
my ^pp$+pp1+++=my
best ^jjt+atrb+++=best
officers ^nns+nom+++=officers,
, ^zz++++=EXTRAWORD
with ^in++++=with
fifteen ^cd++++=fifteen
sailors ^nns++++=sailors,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
lost ^vpsv++agls+xvbnx+=lost,
, ^zz++++=EXTRAWORD
with ^in++++=with
themain ^nn+++??+=themain-yard;
- ^zz++++=EXTRAWORD
yard ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
spar ^nn++++=spar
snapping ^vwbg+++xvbg+=snapping
under ^in++++=under
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
slings ^nn++++=slings,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
sought,with ^jj+atrb++??+=sought,with
heavers ^nns+nom+++=heavers,
, ^zz++++=EXTRAWORD
to ^to++++=to
beat ^vbi++++=beat
down ^in++++=down
the ^ati++++=the
icy ^jj+atrb+++=icy
sail ^nn++++=sail.
. ^zz++++=EXTRAWORD
To ^to++++=To
lighten ^vbi++++=lighten
the ^ati++++=the
hull ^nn++++=hull,
, ^zz++++=EXTRAWORD
theheavier ^jjr+atrb+++=theheavier
sacks ^nns++++=sacks
of ^in++++=of
mata ^nn+++??+=mata
were ^vbd+bed+aux++=were
thrown ^vpsv++agls+xvbnx+=thrown
into ^in++++=into
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
with ^in++++=with
most ^ap+emph+++=most
of ^in++++=of
thewater ^jjr++++=thewater-pipes
- ^zz++++=EXTRAWORD
pipes ^nns++++=EXTRAWORD
lashed ^vbd+++xvbn+=lashed
on ^in++++=on
deck ^nn++++=deck
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+dem+++=this
last ^jj+atrb+++=last
necessity ^nn+nom+++=necessity
it ^pp3+it+++=it
was,combined ^vbd+++xvbn+=was,combined
with ^in++++=with
the ^ati++++=the
prolonged ^jj+atrb++xvbn+=prolonged
detections ^nns+nom+++=detections
afterwards ^rb+tm+++=afterwards
experienced ^jj+++xvbn+=experienced,
, ^zz++++=EXTRAWORD
whicheventually ^rb++++=whicheventually
brought ^vbd+++xvbn+=brought
about ^rb+phrv+++=about
our ^pp$+pp1+++=our
chief ^jjb+atrb+++=chief
causes ^nns++++=causes
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
sudden ^jj++++=sudden
fainting ^xvbg+++xvbg+=fainting
attack ^vb++++=attack
of ^in++++=of
his ^pp$+pp3+++=his
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
brought ^j+++xvbn+=brought
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
nodoubt ^nn+++??+=nodoubt,
, ^zz++++=EXTRAWORD
by ^in++++=by
his ^pp$+pp3+++=his
mental ^jj+atrb+++=mental
distress ^nns+nom+++=distress.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
servant ^nn+nom+++=servant
sustained ^vbd+++xvbn+=sustained
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drawing ^nvbg+++xvbg+=drawing
acordial ^jj++++=acordial
from ^in++++=from
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
placed ^vwbn+++xvbn+=placed
it ^pp3+it+++=it
to ^in++++=to
his ^pp$+pp3+++=his
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
a ^rb++++=a
little ^rb"++++=little
revived ^vbd+++xvbn+=revived.
. ^zz++++=EXTRAWORD
Butunwilling ^np+nom++??+=Butunwilling
to ^to++++=to
leave ^vbi++++=leave
him ^pp3o+pp3+++=him
unsupported ^jj++++=unsupported
while ^cs+sub+++=while
yet ^rb++++=yet
imperfectly ^rb++++=imperfectly
restored ^jj+++xvbn+=restored,
, ^zz++++=EXTRAWORD
theblack ^nn+++??+=theblack
with ^in++++=with
one ^cd1++++=one
arm ^nn++++=arm
still ^rb++++=still
encircled ^vbd+++xvbn+=encircled
his ^pp$+pp3+++=his
master ^nn++++=master,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
keepinghis ^nns+++??+=keepinghis
eye ^nn++++=eye
fixed ^vbd+++xvbn+=fixed
on ^in++++=on
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
watch ^vbi++++=watch
for ^in+ppvb+++=for
the ^ati++++=the
first ^od++++=first
sign ^vb++++=sign
of ^in++++=of
completerestoration ^nn+nom+++=completerestoration,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
relapse ^nn++++=relapse,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
event ^nn++++=event
might ^md+pos+++=might
prove ^vb+vprv+++=prove.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Spaniard ^np+++??+=Spaniard
proceeded ^vbd+++xvbn+=proceeded,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
brokenly ^jj++++=brokenly
and ^cc++++=and
obscurely ^rb+cnj+++=obscurely,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^pn++++=one
in ^in++++=in
a ^at++++=a
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
-- ^--+clp+++=--"Oh,
" ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
God ^nn++++=God!
! ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
pass ^nn++++=pass
through ^in++++=through
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
with ^in++++=with
joy ^nn++++=joy
I ^pp1a+pp1+++=I
wouldhave ^vb+++??+=wouldhave
hailed ^vbd+++xvbn+=hailed
the ^ati++++=the
most ^ql+emph+++=most
terrible ^jj+atrb+++=terrible
gales ^nns++++=gales;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
cough ^nn++++=cough
returned ^vbd+++xvbn+=returned
and ^cc++++=and
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
violence ^nn+nom+++=violence;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
subsiding ^nvbg+++xvbg+=subsiding;
; ^zz++++=EXTRAWORD
withreddened ^jj+atrb++xvbn+=withreddened
lips ^nns++++=lips
and ^cc++++=and
closed ^jj+atrb++xvbn+=closed
eyes ^nns++++=eyes
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
heavily ^rb++++=heavily
against ^in++++=against
his ^pp$+pp3+++=his
supporter ^nn+nom+++=supporter.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
mind ^nn++++=mind
wanders ^nns+nom+++=wanders.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
the ^ati++++=the
plague ^nn++++=plague
that ^tht+rel+subj++=that
followed ^vwbn+vprv++xvbn+=followed
thegales ^nns+nom++??+=thegales,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
plaintively ^jj++++=plaintively
sighed ^jj+++xvbn+=sighed
the ^ati++++=the
servant ^nn+nom+++=servant;
; ^zz++++=EXTRAWORD
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
poor ^jj+atrb+++=poor,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
master ^nn++++=master!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
wringingone ^nn+++??+=wringingone
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
wiping ^jj+++xvbg+=wiping
the ^ati++++=the
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
be ^vb+be+vrb++=be
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
Seor,"again ^np+++??+=Seor,"again
turning ^vwbg+++xvbg+=turning
to ^in++++=to
Captain ^npt++++=Captain
Delano ^np+++??+=Delano,
, ^zz++++=EXTRAWORD
" ^zz++++="these
these ^dt+pdem+++=EXTRAWORD
fits ^vbz++++=fits
do ^vb+do+vrb++=do
not ^xnot++not++=not
last ^rb++++=last
long ^rb++++=long;
; ^zz++++=EXTRAWORD
masterwill ^nn+++??+=masterwill
soon ^rb+tm+++=soon
be ^vb+be+vrb++=be
himself ^ppl+pp3+++=himself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Don ^npt++++=Don
Benito ^np+++??+=Benito
reviving ^vwbg+++xvbg+=reviving,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
on ^in+strn+++=on;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
this ^dt+dem+++=this
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
story ^nn++++=story
was ^vbd+bedz+vrb++=was
