[ ^zz++++=[This
" ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
crept ^vbd+++xvbn+=crept
miserably ^rb++++=miserably
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jonas ^np+++??+=Jonas
carried ^vbd+++xvbn+=carried
Thankful ^jj++++=Thankful
across ^in+pl+++=across
the ^ati++++=the
yard ^nn++++=yard
to ^in++++=to
Sarah ^np++++=Sarah.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
crouched ^vbd+++xvbn+=crouched
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
little ^ap++++=little
square ^nn++++=square
window ^nn++++=window
set ^vbd+++xvbn+=set
with ^in++++=with
tiny ^jj+atrb+++=tiny
panes ^nns++++=panes
of ^in++++=of
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
cry ^vb++++=cry.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
miserable ^jj++++=miserable,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
confession ^nn++++=confession
had ^vbd+hvd+aux++=had
awakened ^vprf+++xvbnx+=awakened
a ^at++++=a
salutary ^jj++++=salutary
smart ^jj++++=smart
in ^in++++=in
her ^pp$+pp3+++=her
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
balm ^nn+++??+=balm
of ^in++++=of
Gilead ^np+++??+=Gilead
on ^rp++++=on
her ^pp3o+pp3+++=her
cut ^vbd+++xvbn+=cut
thumb ^nn++++=thumb.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^rb+emph+++=so
unhappy ^jj++++=unhappy
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wondered ^vbd+vprv++xvbnx+=wondered
if ^cs+cnd+++=if
her ^pp3o+pp3+++=her
father ^npt++++=father
would ^md+prd+++=would
whip ^vb++++=whip
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
up ^rp++++=up
her ^pp$+pp3+++=her
mind ^nn++++=mind
not ^xnot++not++=not
to ^to++++=to
cry ^vbi++++=cry
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
Jonas ^np+++??+=Jonas
came ^vbd+++xvbn+=came
back ^jjb++++=back
she ^pp3a+pp3+++=she
still ^rb++++=still
crouched ^vbd+++xvbn+=crouched
at ^in++++=at
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Exactly ^rb++++=Exactly
opposite ^jj++++=opposite
in ^in++++=in
the ^ati++++=the
Adams ^np++++=Adams'
' ^zz++++=EXTRAWORD
house ^npl++++=house
was ^vbd+bedz+vrb++=was
another ^dt++++=another
little ^ap++++=little
square ^nn++++=square
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
lighted ^jj+++xvbn+=lighted
Sarah ^np++++=Sarah's
's ^$++++=EXTRAWORD
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
a ^at++++=a
sudden ^jj+atrb+++=sudden
Sarah ^np++++=Sarah's
's ^$++++=EXTRAWORD
face ^nn++++=face
appeared ^vbd+seem++xvbn+=appeared
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
little ^jj+atrb+++=little
girls ^nns++++=girls
stared ^vbd+++xvbn+=stared
pitifully ^rb++++=pitifully
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
Sarah ^np++++=Sarah
raised ^vbd+++xvbn+=raised
her ^pp3o+pp3+++=her
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
a ^at++++=a
stick ^nn++++=stick
under ^in++++=under
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
Submit ^vb+vpub+++=Submit
did ^vbd+dod+vrb++=did
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
put ^vbd+++xvbnx+=put
their ^pp$+pp3+++=their
faces ^nns++++=faces
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
a ^at++++=a
minute ^nn++++=minute
before ^in++++=before
speaking ^nn++++=speaking.
. ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah's
's ^$++++=EXTRAWORD
face ^nn++++=face
was ^vbd+bedz+aux++=was
streaming ^vbg+++xvbgx+=streaming
with ^in++++=with
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
you ^pp2+pp2+++=you
crying ^nvbg+++xvbg+=crying
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=called
Submit ^vb+vpub+++=Submit
softly ^rb++++=softly.
. ^zz++++=EXTRAWORD
" ^zz++++="Father
father ^nn++++=EXTRAWORD
sent ^vbd+++xvbn+=sent
me ^pp1o+pp1+++=me
up ^rp++++=up
here ^rn+pl+++=here
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
sinful ^jj+pred+++=sinful
to ^to++++=to
make ^vbi++++=make
bets ^nns++++=bets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Aunt ^nn++++=Aunt
Rose ^vbd+++xvbn+=Rose
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
any ^dti++++=any
Thanksgiving ^np+++??+=Thanksgiving
dinner ^nn++++=dinner,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
wailed ^vbd+++xvbn+=wailed
Sarah ^np++++=Sarah.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
wickeder ^jjr+pred+++=wickeder
than ^cs+sub+++=than
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Submit ^vb+vpub+++=Submit.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
put ^vbd+++xvbnx+=put
the ^ati++++=the
Revolutionary ^jj+atrb+++=Revolutionary
bullets ^nns+nom+++=bullets
in ^in++++=in
the ^ati++++=the
turkey ^nn++++=turkey
to ^to++++=to
make ^vbi++++=make
it ^pp3+it+++=it
weigh ^vb++++=weigh
more ^rbr++++=more
than ^in++++=than
yours ^pp$$++++=yours.
. ^zz++++=EXTRAWORD
Yours ^pp$$++++=Yours
weighed ^vbd+++xvbn+=weighed
the ^ati++++=the
most ^ap+emph+++=most.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
mother ^nn++++=mother
thinks ^vbz+vprv+tht0++=thinks
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
right ^nn++++=right,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
the ^ati++++=the
work ^nn++++=work-box."
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sobbed ^vbd+++xvbn+=sobbed
Sarah ^np++++=Sarah.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
dreadful ^jj+pred+++=dreadful
sorry ^uh++++=sorry
you ^pp2+pp2+++=you've
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
stay ^vb++++=stay
up ^rp++++=up
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
any ^dti++++=any
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Answering ^vbg+++xvbg+=Answering
tears ^nns++++=tears
sprang ^vbd+++xvbn+=sprang
to ^in++++=to
Submit ^np++++=Submit's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
dreadful ^jj+pred+++=dreadful
sorry ^uh++++=sorry
you ^pp2+pp2+++=you've
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
stay ^vb++++=stay
up ^rp++++=up
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
any ^dti++++=any
dinner ^nn++++=dinner,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
sobbed ^vbd+++xvbnx+=sobbed
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
touch ^nn++++=touch
on ^in++++=on
her ^pp$+pp3+++=her
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
around ^rp++++=around
and ^cc++++=and
there ^ex+pex+++=there
stood ^vprf+++xvbn+=stood
the ^ati++++=the
grandmother ^nn+nom+++=grandmother.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
look ^vbi++++=look
severe ^jj++++=severe,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
beaming ^vbg+++xvbgx+=beaming
kindly ^rb++++=kindly
on ^in++++=on
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
fair ^jj+atrb+++=fair
old ^jj+atrb+++=old
face ^nn++++=face
was ^vbd+bedz+vrb++=was
as ^ql++++=as
gentle ^jj++++=gentle
as ^in++++=as
the ^ati++++=the
mercy ^nn++++=mercy
that ^tht+rel+obj++=that
tempers ^nns+nom+++=tempers
justice ^nn++++=justice;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
horn ^np++++=horn
spectacles ^nns++++=spectacles
and ^cc++++=and
her ^pp$+pp3+++=her
knitting ^nvbg+++xvbg+=knitting
needles ^nps++++=needles
and ^cc++++=and
the ^ati++++=the
gold ^nn++++=gold
beads ^nns++++=beads
on ^rp++++=on
her ^pp3o+pp3+++=her
neck ^nn++++=neck
all ^rb++++=all
shone ^vbd+++xvbn+=shone
in ^in++++=in
the ^ati++++=the
sunlight ^nn++++=sunlight.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
had ^vb+hv+aux++=had
better ^jjr++++=better
come ^vb++++=come
downstairs ^jjb++++=downstairs,
, ^zz++++=EXTRAWORD
child ^nn++++=child,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Dinner's
dinner ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
' ^zz++++='most
most ^ql+emph+++=EXTRAWORD
ready ^jj++++=ready,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mebbe ^rb++++=mebbe
you ^pp2+pp2+++=you
can ^md+pos+++=can
help ^vb++++=help
your ^pp$+pp2+++=your
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^nn++++=father
is ^vbz+bez+aux++=isn't
n't ^xnot++not++0=EXTRAWORD
going ^vbg+++xvbg+=going
to ^in++++=to
whip ^nn++++=whip
you ^pp2+pp2+++=you
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
you ^pp2+pp2+++=you
told ^vbd+vpub++xvbn+=told
the ^ati++++=the
truth ^nn++++=truth
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
ever ^rb++++=ever
do ^vb+do+vrb++=do
such ^abl++++=such
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
wicked ^jj+atrb+++=wicked
thing ^nn++++=thing
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wo ^&fw++++=won't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sobbed ^vbd+++xvbn+=sobbed
Submit ^vb+vpub+++=Submit.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
across ^in+strn+++=across,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
beside ^in+pl+++=beside
Sarah ^np++++=Sarah's
's ^$++++=EXTRAWORD
face ^nn++++=face
in ^in++++=in
the ^ati++++=the
window ^nn++++=window
was ^vbd+bedz+vrb++=was
another ^dt++++=another
beautiful ^jj+atrb+++=beautiful
smiling ^jj+atrb++xvbg+=smiling
one ^pn++++=one.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
pink ^jj+atrb+++=pink
cheeks ^nns++++=cheeks
and ^cc++++=and
sweet ^jj+atrb+++=sweet
black ^jj+atrb+++=black
eyes ^nns++++=eyes
and ^cc++++=and
black ^jj+atrb+++=black
curls ^nns++++=curls,
, ^zz++++=EXTRAWORD
among ^in++++=among
which ^whp+rel+pied++=which
stood ^vbd+++xvbn+=stood
a ^at++++=a
high ^nn++++=high
tortoise ^vb++++=tortoise-shell
- ^zz++++=EXTRAWORD
shell ^nn++++=EXTRAWORD
comb ^nn++++=comb.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
called ^vbd+++xvbn+=called
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
joyfully ^rb+cnj+++=joyfully,
, ^zz++++=EXTRAWORD
" ^zz++++="Aunt
aunt ^nn++++=EXTRAWORD
Rose ^vbd+++xvbn+=Rose
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
can ^md+pos+++=can
go ^vb++++=go
down ^rp++++=down
to ^in++++=to
dinner ^nn++++=dinner!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Grandmother
grandmother ^nn+nom+++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
can ^md+pos+++=can!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^vbd+++xvbn+=called
back ^rb+phrv+++=back
Submit ^vb+vpub+++=Submit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beautiful ^jj+atrb+++=beautiful
smiling ^jj+atrb++xvbg+=smiling
face ^nn++++=face
opposite ^in++++=opposite
leaned ^vbd+++xvbn+=leaned
close ^in+cmpx+++=close
to ^in++++=to
Sarah ^np++++=Sarah's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in++++=for
a ^at++++=a
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Sarah ^np++++=Sarah,
, ^zz++++=EXTRAWORD
" ^zz++++="Aunt
aunt ^nn++++=EXTRAWORD
Rose ^vbd+++xvbn+=Rose
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she
will ^md+prd+++=will
make ^vb++++=make
you ^pp2+pp2+++=you
a ^at++++=a
doll ^nn++++=doll
baby ^nn++++=baby
like ^in++++=like
Thankful ^jj++++=Thankful,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
your ^pp$+pp2+++=your
mother ^nn++++=mother's
's ^vbz+bez+vrb++0=EXTRAWORD
willing ^jj++++=willing!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
she ^pp3a+pp3+++=she'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
willing ^jj+pred+++=willing
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
girl ^nn++++=girl,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^jj+atrb++xvbn+=called
Grandmother ^nn+nom+++=Grandmother
Thompson ^np++++=Thompson.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
looked ^vbd+++xvbn+=looked
across ^in+pl+++=across
a ^at++++=a
second ^od++++=second
in ^in++++=in
speechless ^jj+atrb+++=speechless
radiance ^nn+nom+++=radiance.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
faces ^nn++++=faces
vanished ^vbd+++xvbn+=vanished
from ^in++++=from
the ^ati++++=the
two ^cd++++=two
little ^jj+atrb+++=little
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Submit ^vb+vpub+++=Submit
And ^cc++++=and
Sarah ^np++++=Sarah
Went ^vbd+++xvbn+=went
Down ^rp++++=down
To ^to++++=to
Their ^pp$+pp3+++=their
Thanksgiving ^np++++=Thanksgiving
Dinners ^nns+nom+++=dinners.
 ^zz++++=EXTRAWORD
