" ^zz++++="All
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
about ^in++++=about
Fritz ^np++++=Fritz?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bent ^vbd+++xvbnx+=bent
her ^pp3o+pp3+++=her
head ^jjb++++=head
and ^cc+phrs+++=and
signed ^jj+++xvbn+=signed
to ^in++++=to
me ^pp1o+pp1+++=me
to ^to++++=to
open ^vbi++++=open
the ^ati++++=the
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
high ^jj++++=high-road
- ^zz++++=EXTRAWORD
road ^npl++++=EXTRAWORD
a ^at++++=a
stile ^nn++++=stile
faced ^vwbn+++xvbn+=faced
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
church ^nn++++=church,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
acre ^nn++++=acre
framed ^vbd+++xvbn+=framed
in ^in++++=in
elms ^nns++++=elms
and ^cc++++=and
set ^vpsv++agls+xvbn+=set
about ^in+ppvb+++=about
with ^in++++=with
trimmed ^xvbn+++xvbn+=trimmed
yews ^nns+++??+=yews.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
led ^vbd+++xvbnx+=led
the ^ati++++=the
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
low ^jj+atrb+++=low
and ^cc+phrs+++=and
whitewashed ^jj+atrb++xvbn+=whitewashed
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pushed ^vbd+++xvbn+=pushed
open ^jj++++=open
the ^ati++++=the
iron ^nn++++=iron-studded
- ^zz++++=EXTRAWORD
studded ^vwbn+++xvbn+=EXTRAWORD
door ^nn++++=door.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Van ^&fw++++=Van
der ^&fw++++=der
Knoope ^np+++??+=Knoope
repeated ^vbd+++xvbn+=repeated
itself ^ppl++++=itself
on ^in++++=on
many ^ap++++=many
mural ^nn++++=mural
tablets ^nns+nom+++=tablets.
. ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
south ^np+pl+++=south
aisle ^nn++++=aisle
she ^pp3a+pp3+++=she
paused ^vbd+++xvbnx+=paused
and ^cc+phrs+++=and
lifted ^vbd+++xvbn+=lifted
a ^at++++=a
finger ^nn++++=finger
and ^cc++++=and
pointed ^jj+++xvbn+=pointed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read-SACRED
- ^zz++++=EXTRAWORD
sacred ^jj++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
Memory ^nn++++=Memory
of ^in++++=of
Fritz ^np++++=FRITZ
Opdam ^np+++??+=OPDAM
De ^&fw++++=DE
Keyser ^np+++??+=KEYSER
Van ^&fw++++=VAN
Der ^&fw++++=DER
Knoope ^np+++??+=KNOOPE
A ^at++++=A
Midshipman ^nn+nom+++=Midshipman
of ^in++++=of
the ^ati++++=the
Royal ^jj+atrb+++=Royal
Navy ^nn++++=Navy
Who ^whp+rel+subj++=Who
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
Oct ^np+++??+=Oct.
. ^zz++++=EXTRAWORD
21 ^cd++++=21
st ^npt++++=st
Mdccclxvii ^np+++??+=MDCCCLXVII.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Drowned ^vpsv++by+xvbn+=Drowned
By ^in++++=By
the ^ati++++=the
Capsizing ^np+++??+=Capsizing
of ^in++++=of
H.m.s ^np++++=H.M.S.
. ^zz++++=EXTRAWORD
Viper ^np+++??+=Viper
off ^in+pl+++=off
the ^ati++++=the
North ^np+pl+++=North
Coast ^nn++++=Coast
of ^in++++=of
Ireland ^np++++=Ireland
On ^in++++=On
the ^ati++++=the
17 ^cd++++=17
th ^zz++++=th
of ^in++++=of
January ^nr+nom+++=January
Mdccclxxxv ^np+++??+=MDCCCLXXXV.
. ^zz++++=EXTRAWORD
A ^at++++=A
youth ^nn++++=youth
of ^in++++=of
peculiar ^jj+atrb+++=peculiar
promise ^nn++++=promise
who ^whp+rel+subj++=who
lacked ^vbd+++xvbn+=lacked
but ^cc++++=but
the ^ati++++=the
greater ^jjr+atrb+++=greater
indulgence ^nn+nom+++=indulgence
of ^in++++=of
an ^at++++=an
all ^abn++++=all-wise
- ^zz++++=EXTRAWORD
wise ^jj+atrb+++=EXTRAWORD
Providence ^np+nom++??+=Providence
to ^to++++=to
earn ^vbi++++=earn
the ^ati++++=the
distinction ^nn+nom+++=distinction
of ^in++++=of
his ^pp$+pp3+++=his
forefathers ^nns+nom+++=forefathers
( ^zz++++=(of
of ^in++++=EXTRAWORD
whom ^whp+rel+pied++=whom
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^rb++++=last
male ^jj++++=male
representative ^jj++++=representative)
) ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
Country ^np++++=Country's
's ^$++++=EXTRAWORD
service ^nn++++=service
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
laid ^vbd+++xvbnx+=laid
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
young ^jj+atrb+++=young
life ^nn++++=life
-- ^--+clp+++=---------Heu
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
heu ^nn+++??+=EXTRAWORD
miserande ^nn+++??+=miserande
puer ^jjr++++=puer!
! ^zz++++=EXTRAWORD
Si ^&fw++++=Si
qua ^&fw++++=qua
fata ^&fw++++=fata
aspera ^nn+++??+=aspera
rumpas ^nns+++??+=rumpas
Tu ^&fw++++=Tu
Marcellus ^np+++??+=Marcellus
eris ^nns+++??+=eris.
. ^zz++++=EXTRAWORD
" ^zz++++="Uncle
uncle ^nn++++=EXTRAWORD
Melchior ^np+++??+=Melchior
had ^vb+hv+aux++=had
it ^pp3+it+++=it
set ^vbd+++xvbn+=set
up ^rb+phrv+++=up.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
what ^wdt+who+++=what
Fritz ^np++++=Fritz
was ^vbd+bedz+vrb++=was
really ^rb+emph+++=really
like ^in+strn+++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
your ^pp$+pp2+++=your
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
still ^rb++++=still
believes ^vbz+vprv+++=believes--?"
-- ^--+clp+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
to ^to++++=to
marry ^vbi++++=marry
Fritz ^np++++=Fritz
in ^in++++=in
time ^nn++++=time.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
where ^wrb+who+++=where
you ^pp2+pp2+++=you
must ^md+nec+++=must
help ^vb++++=help
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
kill ^vb++++=kill
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Uncle ^nn++++=Uncle
Melchior ^np+++??+=Melchior
gets ^vbz++++=gets
puzzled ^jj+++xvbn+=puzzled
whenever ^nn+nom+++=whenever
it ^pp3+it+++=it
comes ^vbz++++=comes
to ^to++++=to
writing ^vbi++++=writing;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid
of ^in++++=of
making ^xvbg+++xvbg+=making
mistakes ^nns++++=mistakes.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We've
've ^vb+hv+aux++0=EXTRAWORD
put ^vprf+++xvbnx+=put
him ^pp3o+pp3+++=him
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
South ^nr+pl+++=South
Pacific ^jj+atrb+++=Pacific
station ^nn+nom+++=station
at ^rb++++=at
present ^jj++++=present--that
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
will ^md+prd+++=will
last ^rb++++=last
for ^in++++=for
two ^cd++++=two
years ^nns++++=years
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
have ^md"++pmd"++=have
to ^md+nec+++=to
invent ^vb++++=invent
the ^ati++++=the
gossip ^nn++++=gossip,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you--who
-- ^--+clp+++=EXTRAWORD
who ^whp+who+++=EXTRAWORD
wrote ^vbd+vprv++xvbn+=wrote
stories ^nns++++=stories--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
young ^jj+atrb+++=young
lady ^nn++++=lady,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
be ^vb+be+vrb++=be
Fritz ^np++++=Fritz,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
a ^at++++=a
letter ^nn++++=letter
duly ^rb++++=duly
once ^rb+tm+++=once
a ^at++++=a
month ^nn++++=month."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
my ^pp$+pp1+++=my
promise ^nn++++=promise
was ^vbd+bedz+aux++=was
kept ^vpsv++agls+xvbnx+=kept--until,
-- ^--+clp+++=EXTRAWORD
until ^in++++=EXTRAWORD
, ^zz++++=EXTRAWORD
two ^cd++++=two
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wrote ^vbd+vprv++xvbnx+=wrote
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
further ^jjb+atrb+++=further
need ^nn++++=need
for ^in++++=for
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
for ^in++++=for
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
For ^in++++=For
aught ^vwbn+++xvbn+=aught
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
Uncle ^nn++++=Uncle
Melchior ^np+++??+=Melchior
may ^md+pos+++=may
be ^vb+be+vrb++=be
dead ^jj+pred+++=dead
also ^rb++++=also.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
regularly ^rb+cnj+++=regularly,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
monthly ^jj+atrb+++=monthly
date ^nn++++=date
comes ^vbz++++=comes
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
Fritz ^np++++=Fritz
Opdam ^np+++??+=Opdam
de ^&fw++++=de
Keyser ^np+++??+=Keyser
van ^&fw++++=van
der ^&fw++++=der
Knoope ^np+++??+=Knoope,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
midshipman ^nn+nom+++=midshipman
of ^in++++=of
Her ^pp$+pp3+++=Her
Majesty ^np++++=Majesty's
's ^$++++=EXTRAWORD
Navy ^nn++++=Navy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wonder ^nn++++=wonder
what ^wdt+who+++=what
my ^pp$+pp1+++=my
affianced ^jj+atrb++xvbn+=affianced
bride ^nn++++=bride
is ^vbz+bez+aux++=is
doing ^vbg+++xvbgx+=doing;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her
on ^in++++=on
the ^ati++++=the
terrace ^nn++++=terrace
steps ^nns++++=steps
with ^in++++=with
those ^dt+dem+++=those
butterflies ^nns++++=butterflies
floating ^vwbg+++xvbg+=floating
about ^in++++=about
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
believed ^vpsv++agls+xvbnx+=believed
that ^tht+vcmp+++=that
the ^ati++++=the
souls ^nns++++=souls
of ^in++++=of
the ^ati++++=the
departed ^nn++++=departed
pass ^vb++++=pass
into ^in++++=into
these ^dt+dem+++=these
winged ^jj+atrb+++=winged
creatures ^nns++++=creatures.
. ^zz++++=EXTRAWORD
So ^ql++++=So
might ^md+pos+++=might
the ^ati++++=the
souls ^nns++++=souls
of ^in++++=of
those ^dt+dem+++=those
many ^ap++++=many
pictured ^jj+atrb++xvbn+=pictured
Admirals ^nns+nom+++=Admirals:
: ^zz++++=EXTRAWORD
but ^cc+cls+++=but
some ^dti++++=some
day ^nn++++=day,
, ^zz++++=EXTRAWORD
before ^in++++=before
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=I
hope ^vb++++=hope
to ^to+vcmp+++=to
cross ^vbi++++=cross
skirrid ^np++++=Skirrid
again ^rb+tm+++=again
and ^cc++++=and
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
