Superstitious ^jj+atrb+++=Superstitious
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing
about ^in++++=about
a ^at++++=a
widow ^nn++++=widow.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'A
' ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
ghost ^nn++++=ghost
must ^md+nec+++=must
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
responsibilities ^nns+nom+++=responsibilities,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
' ^zz++++='Besides,
besides ^rb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
Bill ^nn++++=Bill
sacrifices ^nns++++=sacrifices
something ^pn++++=something,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lesson ^nn++++=lesson'll
'll ^md+prd+++0=EXTRAWORD
sink ^vb++++=sink
in ^in++++=in
deeper ^nn++++=deeper.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
stared ^vbd+++xvbn+=stared
at ^in++++=at
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
speak ^vb++++=speak
too ^ql++++=too
loud ^jj++++=loud
for ^in++++=for
fear ^nn++++=fear
of ^in++++=of
Bill ^nn++++=Bill
hearing ^vwbg+vprv++xvbg+=hearing.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
promised ^vbd+vpub++xvbn+=promised
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain
another ^dt++++=another
time ^nn++++=time
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
off ^in+pl+++=off
through ^in++++=through
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
glowing ^jj+++xvbg+=glowing
gently ^rb++++=gently
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
cure ^nn++++=cure
worked ^vbd+++xvbn+=worked.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
woke ^vbd+++xvbn+=woke
next ^ap++++=next
morning ^nn++++=morning
with ^in++++=with
one ^cd1++++=one
boot ^nn++++=boot
on ^in++++=on
and ^cc++++=and
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
searched ^vbd+++xvbnx+=searched
the ^ati++++=the
room ^nn++++=room
for ^in++++=for
wet ^jj+atrb+++=wet
footprints ^nns++++=footprints,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
smear ^nn++++=smear
of ^in++++=of
luminous ^jj+atrb+++=luminous
paint ^nn++++=paint
on ^in++++=on
the ^ati++++=the
bedpost ^nn+++??+=bedpost
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
so ^ql+emph+++=so
white ^jj++++=white
that ^dt+dem+++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
nearly ^rb+down+++=nearly
felt ^vbd+vprv++xvbn+=felt
sorry ^uh++++=sorry
for ^in++++=for
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="'Silas
' ^zz++++=EXTRAWORD
silas ^nns+++??+=EXTRAWORD
came ^vbd+++xvbn+=came
last ^jj+atrb+++=last
night ^nn++++=night,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'Nonsense,'
' ^zz++++=EXTRAWORD
nonsense ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv++xvbnx+=saw
' ^zz++++='im.'
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'You
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
drink ^nn++++=drink,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'He
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+aux++=was
shining ^vbg+++xvbgx+=shining,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
' ^zz++++='And
and ^cc++++=EXTRAWORD
wet ^nn++++=wet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
right ^jj++++=right
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
cabin ^nn++++=cabin-boy
- ^zz++++=EXTRAWORD
boy ^nn++++=EXTRAWORD
hanging ^vwbg+++xvbg+=hanging
on ^in++++=on
to ^to++++=to
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
leg ^nn++++=leg.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
said ^vbd+vpub+tht0+xvbn+=said
that ^tht+vcmp+++=that
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
teach ^vb+vsua+++=teach
' ^zz++++='im
im ^&fw++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
drink ^vbi++++=drink
on ^in++++=on
an ^at++++=an
empty ^jj+atrb+++=empty
stomach ^nn++++=stomach.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
Bill ^nn++++=Bill
was ^vbd+bedz+aux++=was
changed ^vpsv++agls+xvbnx+=changed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
Jolly ^jj+atrb+++=Jolly
Mariner ^np+++??+=Mariner
that ^tht+rel+++=that
night ^nn++++=night
without ^in++++=without
going ^nn++++=going
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
The ^ati++++=The
landlord ^nn++++=landlord
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
ill ^jj+pred+++=ill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
On ^in++++=On
payday ^nn+++??+=payday
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
all ^abn++++=all
his ^pp$+pp3+++=his
wages ^nns++++=wages
home ^nr++++=home,
, ^zz++++=EXTRAWORD
except ^in++++=except
fifteen ^cd++++=fifteen
shillings ^nns+nom+++=shillings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
gave ^vbd+++xvbn+=gave
a ^at++++=a
jump ^vb++++=jump
till ^cs+sub+++=till
she ^pp3a+pp3+++=she
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
widow ^nn++++=widow.
. ^zz++++=EXTRAWORD
" ^zz++++="Next
next ^ap++++=EXTRAWORD
morning ^nn++++=morning
Bill ^nn++++=Bill
bought ^vbd+++xvbn+=bought
a ^at++++=a
money ^nn++++=money
order ^to++++=order
and ^cc++++=and
sent ^vbd+++xvbn+=sent
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
address ^nns+nom+++=address
Silas ^np+++??+=Silas
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
had ^vbd+hvd+aux++=had
arranged ^vprf+++xvbnx+=arranged
for ^in++++=for
the ^ati++++=the
letters ^nns+nom+++=letters
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
a ^at++++=a
small ^jj+atrb+++=small
shop ^nn++++=shop
kept ^vwbn+++xvbn+=kept
by ^in++++=by
a ^at++++=a
cousin ^nn++++=cousin
of ^in++++=of
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
ask ^vb++++=ask
questions ^nns+nom+++=questions
because ^cs+cos+++=because
Silas ^np+++??+=Silas
owed ^vbd+++xvbn+=owed
' ^zz++++='im
im ^&fw++++=EXTRAWORD
money ^nn++++=money
too ^rb++++=too.
. ^zz++++=EXTRAWORD
" ^zz++++="Week
week ^nn++++=EXTRAWORD
arter ^jjr+atrb+++=arter
week ^nn++++=week
Bill ^nn++++=Bill
sent ^vbd+++xvbn+=sent
the ^ati++++=the
fifteen ^cd++++=fifteen
shillings ^nns+nom+++=shillings.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
touched ^vbd+++xvbn+=touched
drink ^vb++++=drink.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^vb++++=face
lost ^vbd+++xvbn+=lost
some ^dti++++=some
of ^in++++=of
its ^pp$+it+++=its
colour ^nn++++=colour,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
stopped ^vbd+++xvbn+=stopped
shaking ^jj+++xvbg+=shaking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
getting ^vbg+++xvbg+=getting
up ^rp++++=up
in ^in++++=in
time ^nn++++=time
for ^in++++=for
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
even ^rb++++=even
brought ^xvbn+++xvbn+=brought
home ^nr++++=home
a ^at++++=a
small ^jj+atrb+++=small
table ^nn++++=table
to ^to++++=to
replace ^vbi++++=replace
one ^cd1++++=one
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
sold ^vprf+++xvbnx+=sold,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
match ^vb++++=match
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill
said ^vbd+vpub+tht0+xvbn+=said
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
anything ^pn++++=anything
left ^vbd+++xvbn+=left
for ^in++++=for
it ^pp3+it+++=it
to ^to++++=to
match ^vbi++++=match.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
might ^md+pos+++=might
think ^vb+vprv+tht0++=think
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
pleased ^vpsv++agls+xvbnx+=pleased,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
fifteen ^cd++++=fifteen
shillings ^nns+nom+++=shillings
is ^vbz+bez+vrb++=is
fifteen ^cd++++=fifteen
shillings ^nns+nom+++=shillings,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
it ^pp3+it+++=it
goes ^vbz++++=goes
on ^in++++=on
drink ^vb++++=drink
or ^cc++++=or
to ^in++++=to
a ^at++++=a
man ^nn++++=man
painted ^vbd+++xvbn+=painted
green ^np++++=green.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
Friday ^nr++++=Friday
Bill ^nn++++=Bill
counted ^vbd+++xvbn+=counted
it ^pp3+it+++=it
out ^rp+pl+++=out
with ^in++++=with
a ^at++++=a
solemn ^jj+atrb+++=solemn
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="'Poor
' ^zz++++=EXTRAWORD
poor ^jj+atrb+++=EXTRAWORD
Jane ^np++++=Jane,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
ses ^vbz+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'Poor
' ^zz++++=EXTRAWORD
poor ^jj++++=EXTRAWORD
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
would ^md+prd+++=would
ses ^vb+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'She's
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
three ^cd++++=three
children ^nns++++=children,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="'So
' ^zz++++=EXTRAWORD
so ^ql++++=EXTRAWORD
Silas ^np+++??+=Silas
told ^vbd+vpub+tht0+xvbn+=told
you ^pp2+pp2+++=you,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'And
' ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
no ^at++++=no
fire ^nn++++=fire.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'She
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
burn ^vb++++=burn
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
children ^nns++++=children,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw.
. ^zz++++=EXTRAWORD
' ^zz++++='It'd
it ^pp3+it+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
save ^vb++++=save
food ^nn++++=food
as ^rb++++=as
well ^rb++++=well.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
shocked ^vpsv++agls+xvbnx+=shocked.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
sorrow ^nn++++=sorrow
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
her ^pp$+pp3+++=her
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
went ^vbd+++xvbn+=went
to ^to++++=to
see ^vbi+vprv+++=see
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
found ^vbd+vprv++xvbnx+=found
' ^zz++++='im
im ^&fw++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
waistcoat ^nn++++=waistcoat,
, ^zz++++=EXTRAWORD
smoking ^vbg+++xvbg+=smoking
a ^at++++=a
large ^jj+atrb+++=large
cigar ^nn++++=cigar.
. ^zz++++=EXTRAWORD
" ^zz++++="'You're
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
looking ^vbg+++xvbgx+=looking
well ^jj+pred+++=well
for ^in++++=for
a ^at++++=a
drowned ^jj+atrb++xvbn+=drowned
man ^nn++++=man,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'A
' ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
clear ^jj+atrb+++=clear
conscience ^nn+nom+++=conscience,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
demanded ^vbd+vsua++xvbnx+=demanded
the ^ati++++=the
fifteen ^cd++++=fifteen
shillings ^nns+nom+++=shillings
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
spent ^vbd+++xvbn+=spent
on ^in++++=on
the ^ati++++=the
widow ^nn++++=widow.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked
where ^wrb+who+whcl++=where
the ^ati++++=the
widow ^nn++++=widow
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
tapped ^vbd+++xvbnx+=tapped
his ^pp$+pp3+++=his
chest ^nn++++=chest
and ^cc++++=and
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
meaning ^nvbg+++xvbg+=meaning,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
her ^pp$+pp3+++=her
interests ^nns++++=interests
close ^in+cmpx+++=close
to ^in"++++=to
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
" ^zz++++="'You
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
cheated ^vbd+++xvbn+=cheated
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
cured ^vbd+++xvbnx+=cured
Bill ^nn++++=Bill,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
' ^zz++++='Doctors
doctors ^nns++++=EXTRAWORD
charge ^nn++++=charge
money ^nn++++=money.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Not
' ^zz++++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
patient ^nn++++=patient's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=don't.'
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Somebody
' ^zz++++=EXTRAWORD
somebody ^pn++++=EXTRAWORD
has ^md"++pmd"++=has
to ^md+nec+++=to
pay ^vb++++=pay,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
threatened ^nn+++xvbnx+=threatened
to ^to+ncmp+++=to
tell ^vbi++++=tell
Bill ^nn++++=Bill
the ^ati++++=the
whole ^jj+atrb+++=whole
story ^nn++++=story,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Silas ^np+++??+=Silas
only ^rb+down+++=only
smiled ^vbd+++xvbn+=smiled.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
Bill ^nn++++=Bill
would ^md+prd+++=would
either ^dtx++++=either
go ^vb++++=go
back ^jjb++++=back
to ^to++++=to
drink ^vbi++++=drink
from ^in++++=from
disappointment ^nn+nom+++=disappointment
or ^cc++++=or
throw ^vb++++=throw
them ^pp3o+pp3+++=them
both ^abx++++=both
into ^in++++=into
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
knew ^vbd+vprv++xvbn+=knew
enough ^qlp++++=enough
of ^in++++=of
Bill ^nn++++=Bill
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
sense ^nn++++=sense
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
' ^zz++++='ome
ome ^nn+++??+=EXTRAWORD
thinking ^vwbg+++xvbg+=thinking.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
six ^cd++++=six
more ^ql++++=more
weeks ^nns++++=weeks
the ^ati++++=the
money ^nn++++=money
went ^vbd+++xvbn+=went.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
grew ^vbd+++xvbn+=grew
stouter ^jjr++++=stouter
and ^cc++++=and
Silas ^np+++??+=Silas
grew ^vbd+++xvbn+=grew
smarter ^jjr++++=smarter.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
had ^vb+hv+vrb++=had
two ^cd++++=two
new ^jj+atrb+++=new
dresses ^nns+nom+++=dresses
in ^in++++=in
her ^pp$+pp3+++=her
mind ^nn++++=mind
and ^cc++++=and
not ^xnot++not++=not
a ^at++++=a
penny ^nn++++=penny
to ^to++++=to
put ^vbi++++=put
on ^rb+phrv+++=on
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
one ^cd1++++=one
Friday ^nr++++=Friday
Bill ^nn++++=Bill
came ^vbd+++xvbn+=came
' ^zz++++='ome
ome ^vb+++??+=EXTRAWORD
upset ^vbd+++xvbn+=upset.
. ^zz++++=EXTRAWORD
The ^ati++++=The
money ^nn++++=money
order ^to++++=order
sent ^vbd+++xvbn+=sent
the ^ati++++=the
week ^nn++++=week
afore ^in++++=afore
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
returned ^vpsv++agls+xvbnx+=returned
because ^cs+cos+++=because
of ^in"++++=of
something ^pn++++=something
wrong ^jj++++=wrong
with ^in++++=with
the ^ati++++=the
address ^nns+nom+++=address.
. ^zz++++=EXTRAWORD
" ^zz++++="'Jane
' ^zz++++=EXTRAWORD
jane ^np++++=EXTRAWORD
never ^rb++++=never
got ^vbd+++xvbn+=got
it ^pp3+it+++=it,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
at ^rb++++=at
the ^ati++++=the
envelope ^nn++++=envelope.
. ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
stared ^vbd+++xvbn+=stared
too ^ql++++=too.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
chance ^nn++++=chance.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
night ^nn++++=night,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
after ^cs+sub+++=after
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
gone ^vprf+++xvbnx+=gone
to ^in++++=to
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
up ^rp++++=up
sudden ^jj++++=sudden.
. ^zz++++=EXTRAWORD
" ^zz++++="'Who's
' ^zz++++=EXTRAWORD
who ^whp+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
there ^rn+pl+++=there?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
sat ^vbd+++xvbn+=sat
up ^rp++++=up
too ^rb++++=too.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wot
' ^zz++++=EXTRAWORD
wot ^wpr++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
looked ^vbd+++xvbn+=looked
towards ^in++++=towards
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
bed ^nn++++=bed
and ^cc++++=and
gave ^vbd+++xvbn+=gave
a ^rb++++=a
little ^rb"++++=little
scream ^vb++++=scream.
. ^zz++++=EXTRAWORD
" ^zz++++="'Silas!'
' ^zz++++=EXTRAWORD
silas ^nns+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
went ^vbd+++xvbn+=went
under ^in++++=under
