Bullies ^nns++++=BULLIES,
" ^zz++++="Besides,"
besides ^rb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
nowhere ^rb+pl+++=nowhere
to ^to++++=to
go ^vbi++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Joe ^np++++=Joe
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
India ^np++++=India
was ^vbd+bedz+vrb++=was
a ^at++++=a
large ^jj+atrb+++=large
country ^nn++++=country
and ^cc++++=and
there ^ex+pex+++=there
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
room ^nn++++=room
for ^in++++=for
two ^cd++++=two
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
rather ^rb++splt++=rather
give ^vb++++=give
himself ^ppl+pp3+++=himself
up ^rp++++=up
and ^cc++++=and
tell ^vb++++=tell
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
alarmed ^jj+++xvbn+=alarmed
everybody ^pn++++=everybody.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Ginger ^nn++++=Ginger.
. ^zz++++=EXTRAWORD
" ^zz++++="You'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md+prd+aux++0=EXTRAWORD
be ^vb+be+aux++=be
admitting ^vbg+vpub++xvbgx+=admitting
to ^to++++=to
assaulting ^vbg+++xvbg+=assaulting
an ^at++++=an
officer ^nn++++=officer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
admit ^vb+vpub+tht0++=admit
your ^pp$+pp2+++=your
part ^nn++++=part
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
whole ^nn++++=whole
plan ^vb++++=plan."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
our ^pp$+pp1+++=our
plan ^nn++++=plan,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
only ^rb+down+++=only
took ^vbd+++xvbn+=took
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
blacked ^vbd+++xvbn+=blacked
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="Out
out ^rp+pl+++=EXTRAWORD
of ^in++++=of
kindness ^nns+nom+++=kindness,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
carpenter ^nn+nom+++=carpenter.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
lent ^vbd+++xvbn+=lent
us ^pp1o+pp1+++=us
the ^ati++++=the
shirts ^nns++++=shirts,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill
to ^in++++=to
the ^ati++++=the
steward ^nn++++=steward.
. ^zz++++=EXTRAWORD
" ^zz++++="Against
against ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
better ^jjr+atrb+++=better
judgment ^nn+nom+++=judgment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
steward ^nn++++=steward.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
reached ^vbd+++xvbn+=reached
for ^in++++=for
the ^ati++++=the
razor ^nn++++=razor
agin ^nn+++??+=agin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
another ^dt++++=another
little ^ap++++=little
struggle ^nn++++=struggle.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
it ^pp3+it+++=it
the ^ati++++=the
mate ^nn++++=mate's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
came ^vbd+++xvbn+=came
down ^in++++=down
the ^ati++++=the
hatch ^nn++++=hatch.
. ^zz++++=EXTRAWORD
" ^zz++++="Cousins!
cousins ^nns++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Pullin ^np+++??+=Pullin!
! ^zz++++=EXTRAWORD
On ^in++++=On
deck ^nn++++=deck!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
all ^abn++++=all
stopped ^jj+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
' ^zz++++='im
im ^&fw++++=EXTRAWORD
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
dead ^jj+pred+++=dead,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispers ^nns+nom+++=whispers
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="He'd
he ^pp3a+pp3+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
come ^vprf+++xvbn+=come
down ^rp++++=down
to ^to++++=to
make ^vbi++++=make
sure ^jj++++=sure,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
called ^vbd+++xvbn+=called
agin ^nn+++??+=agin,
, ^zz++++=EXTRAWORD
louder ^jjr++++=louder.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
stood ^vbd+++xvbn+=stood
up ^rp++++=up,
, ^zz++++=EXTRAWORD
swaying ^vbg+++xvbg+=swaying
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vpsv++agls+xvbn+=looked
round ^rb++++=round
at ^rb++++=at
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
black ^jj++++=black
and ^cc+phrs+++=and
shiny ^jj++++=shiny,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
show ^vb+vprv+++=show
much ^ap++++=much
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
voice ^nn++++=voice
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
everything ^pn++++=everything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
one ^cd1++++=one
step ^nn++++=step,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
six ^cd++++=six
of ^in++++=of
us ^pp1o+pp1+++=us
caught ^vbd+++xvbn+=caught
hold ^nn++++=hold
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
rash ^nn++++=rash,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="Think
think ^vb+vprv+++=EXTRAWORD
of ^in++++=of
your ^pp$+pp2+++=your
shipmates ^nns+nom+++=shipmates,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Ned ^np+++??+=Ned.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
wot ^wpr++++=wot
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
thinking ^vbg+++xvbgx+=thinking
of ^in+strn+++=of,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
we ^pp1a+pp1+++=we
was ^vbd+bedz+aux++=was
arguing ^vbg+vpub++xvbgx+=arguing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
skipper ^nn++++=skipper's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
joined ^vbd+++xvbn+=joined
the ^ati++++=the
mate ^nn++++=mate's.
's. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
ordered ^vbd+vsua++xvbnx+=ordered
the ^ati++++=the
two ^cd++++=two
men ^nns++++=men
on ^in++++=on
deck ^nn++++=deck
immediate ^jj++++=immediate.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
settled ^vprf+++xvbn+=settled
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
hide ^vb++++=hide
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carrying ^jj+++xvbg+=carrying
them ^pp3o+pp3+++0='em
ashore ^rb+pl+++=ashore
through ^in++++=through
the ^ati++++=the
porthole ^nn++++=porthole
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
practical ^jj++++=practical.
. ^zz++++=EXTRAWORD
Joe ^np++++=Joe
suddenly ^rb++++=suddenly
held ^vbd+vprv++xvbn+=held
up ^rp++++=up
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
was ^vbd+bedz+aux++=was
attacked ^vpsv++agls+xvbnx+=attacked."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
who ^whp+rel+pied++=who?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="Foreign
foreign ^jj+atrb+++=EXTRAWORD
sailors ^nns++++=sailors,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
stopped ^vbd+++xvbn+=stopped
struggling ^vbg+nom++xvbg+=struggling.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
many ^ap++++=many?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Five,"
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
pause ^nn++++=pause,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
battered ^jj+atrb++xvbn+=battered
face ^nn++++=face
began ^vbd+++xvbn+=began
to ^to++++=to
brighten ^vbi++++=brighten.
. ^zz++++=EXTRAWORD
" ^zz++++="Five
five ^cd++++=EXTRAWORD
Germans ^nns+nom+++=Germans,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Exactly,"
exactly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
attacked ^vbd+++xvbnx+=attacked
the ^ati++++=the
mate ^nn++++=mate
fust ^nn+++??+=fust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
attacked ^vbd+++xvbnx+=attacked
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
knocked ^vbd+++xvbnx+=knocked
you ^pp2+pp2+++=you
senseless ^jj++++=senseless
and ^cc+phrs+++=and
blacked ^jj+++xvbn+=blacked
your ^pp$+pp2+++=your
faces ^nns++++=faces
for ^in++++=for
spite ^in"++++=spite."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why?"
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
carpenter ^nn+nom+++=carpenter.
. ^zz++++=EXTRAWORD
" ^zz++++="Foreigners,"
foreigners ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe,
, ^zz++++=EXTRAWORD
shrugging ^jj+++xvbg+=shrugging
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
never ^rb++++=never
know ^vb+vprv+++=know
with ^in++++=with
foreigners ^nns+nom+++=foreigners."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
and ^cc++++=and
Bob ^np++++=Bob
looked ^vbd+++xvbn+=looked
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
weak ^jj+atrb+++=weak
tale ^nn++++=tale,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
shouted ^vbd+vpub++xvbn+=shouted
for ^in++++=for
them ^pp3o+pp3+++0='em
a ^at++++=a
third ^nn++++=third
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill
took ^vbd+++xvbn+=took
a ^at++++=a
deep ^jj+atrb+++=deep
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
" ^zz++++="Help
help ^nn++++=EXTRAWORD
us ^pp1o+pp1+++=us
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
helped ^vbd+++xvbn+=helped
them ^pp3o+pp3+++0='em
on ^in++++=on
deck ^nn++++=deck.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
warm ^jj+atrb+++=warm
night ^nn++++=night,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
lights ^nns++++=lights
ashore ^rb+pl+++=ashore
shining ^vbg+++xvbg+=shining
across ^in+pl+++=across
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
the ^ati++++=the
skipper ^npt++++=skipper
standing ^vwbg+++xvbg+=standing
by ^in++++=by
the ^ati++++=the
cabin ^nn++++=cabin
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grummett ^np++++=Grummett
was ^vbd+bedz+vrb++=was
alongside ^in+pl+++=alongside
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
even ^rb++++=even
larger ^jjr++++=larger
than ^in++++=than
usual ^nn++++=usual
owing ^in+cmpx+++=owing
to ^in++++=to
bandages ^nns+nom+++=bandages.
. ^zz++++=EXTRAWORD
The ^ati++++=The
skipper ^npt++++=skipper
caught ^vbd+++xvbn+=caught
sight ^nn++++=sight
of ^in++++=of
Bill ^nn++++=Bill
and ^cc++++=and
Bob ^np++++=Bob
and ^cc++++=and
stepped ^vbd+++xvbn+=stepped
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
these ^dt+dem+++=these
men ^nns++++=men?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
touched ^vbd+++xvbn+=touched
his ^pp$+pp3+++=his
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
" ^zz++++="Cousins,
cousins ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Pullin ^np+++??+=Pullin,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
The ^ati++++=The
skipper ^npt++++=skipper
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
stared ^vbd+++xvbn+=stared
too ^ql++++=too,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
a ^at++++=a
different ^jj+atrb+++=different
way ^nn++++=way.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mouth ^nn++++=mouth
opened ^vbd+++xvbn+=opened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
shut ^vb+++xvbn+=shut
with ^in++++=with
a ^at++++=a
snap ^nn++++=snap.
. ^zz++++=EXTRAWORD
" ^zz++++="Wot's
wot ^wpr++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
meaning ^jj+++xvbg+=meaning
of ^in++++=of
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
skipper ^nn++++=skipper.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
leaned ^vbd+++xvbn+=leaned
against ^in++++=against
the ^ati++++=the
rail ^nn++++=rail.
. ^zz++++=EXTRAWORD
" ^zz++++="Attacked,
attacked ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
feeble ^jj++++=feeble.
. ^zz++++=EXTRAWORD
" ^zz++++="Set
set ^vbd+++xvbn+=EXTRAWORD
upon ^in++++=upon
by ^in++++=by
five ^cd++++=five
foreign ^jj+atrb+++=foreign
sailors ^nns++++=sailors."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
made ^vbd+++xvbn+=made
a ^at++++=a
choking ^jj+atrb++xvbg+=choking
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
" ^zz++++="Five?"
five ^cd++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
skipper ^nn++++=skipper.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="Germans."
germans ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grummett ^np++++=Grummett
took ^vbd+++xvbn+=took
one ^cd1++++=one
step ^vb++++=step
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
neither ^rb++neg++=neither
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
knew ^vbd+vprv++xvbn+=knew
them ^pp3o+pp3+++=them
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
knew ^vbd+vprv+tht0+xvbnx+=knew
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
also ^rb++++=also
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
so ^ql++++=so
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
explain ^vb+vpub+++=explain
how ^wrb+who+whcl++=how
two ^cd++++=two
mild ^jj++++=mild
and ^cc+phrs+++=and
meek ^jj++++=meek-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
natives ^nns++++=natives
had ^vbd+hvd+aux++=had
torn ^vprf+++xvbnx+=torn
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
his ^pp$+pp3+++=his
necktie ^nn+++??+=necktie
round ^in++++=round
his ^pp$+pp3+++=his
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
damaged ^jj+++xvbn+=damaged
his ^pp$+pp3+++=his
features ^nns++++=features.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
on ^in+strn+++=on,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
skipper ^nn++++=skipper.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking
peaceable ^jj++++=peaceable,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
" ^zz++++="when
when ^wrb+who+++=EXTRAWORD
these ^dt+dem+++=these
five ^cd++++=five
Germans ^nns+nom+++=Germans
sprang ^vbd+++xvbn+=sprang
on ^in++++=on
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Big ^jj+atrb+++=Big
men ^nns++++=men
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
big ^jj++++=big,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^pn++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++0='em
'd ^md+prd+vrb++=had
a ^at++++=a
bottle ^nn++++=bottle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate's
's ^$++++=EXTRAWORD
bandaged ^vpsv++agls+xvbnx+=bandaged
eye ^nn++++=eye
twitched ^vbd+++xvbn+=twitched.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
knocked ^vbd+++xvbnx+=knocked
us ^pp1o+pp1+++=us
senseless ^jj++++=senseless,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc+cls+++=EXTRAWORD
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
unconscious ^jj+pred+++=unconscious
they ^pp3a+pp3+++=they
blacked ^vbd+++xvbnx+=blacked
us ^pp1o+pp1+++=us
all ^abn++++=all
over ^in+strn+++=over."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Outrageous!"
outrageous ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
