Disgrace ^np+++??+=Disgrace
both ^abx++++=both
hands ^nns++++=hands
to ^in++++=to
his ^pp$+pp3+++=his
temples ^nns++++=temples.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np++++=Minnie's
's ^$++++=EXTRAWORD
offended ^xvbn+++xvbn+=offended
upper ^jjb+atrb+++=upper
lip ^nn++++=lip
relaxed ^vbd+++xvbn+=relaxed
slightly ^rb+down+++=slightly.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Think."
think ^vb+vprv+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
trying ^vbg+++xvbgx+=trying."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
entered ^vbd+++xvbn+=entered
these ^dt+dem+++=these
deposits ^nns++++=deposits
on ^in++++=on
March ^nr++++=March
twenty ^cd++++=twenty-eighth
- ^zz++++=EXTRAWORD
eighth ^od++++=EXTRAWORD
and ^cc++++=and
twenty ^cd++++=twenty-ninth."
- ^zz++++=EXTRAWORD
ninth ^od++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+vrb++=have."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
take ^vb++++=take
the ^ati++++=the
money ^nn++++=money?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted's
's ^$++++=EXTRAWORD
face ^nn++++=face
went ^vbd+++xvbn+=went
white ^jj++++=white.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
set ^vbd+++xvbn+=set
down ^rb+phrv+++=down
the ^ati++++=the
coffee ^nn++++=coffee
pot ^nn++++=pot.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
did ^vbd+dod+aux++=did
not ^xnot++not++=not
turn ^vb++++=turn.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
asked ^vbd+vsua++xvbnx+=asked
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub+tht0+xvbnx+=answered
ye ^pp2+pp2+++=ye."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
whispered ^vbd+++xvbn+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="Maybe."
maybe ^rb+hdg+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
became ^vbd+++xvbn+=became
very ^ql+amp+++=very
flat ^nn++++=flat.
. ^zz++++=EXTRAWORD
" ^zz++++="Maybe
maybe ^rb+hdg+++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Maybe
maybe ^rb+hdg+++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elmer ^np+++??+=Elmer
made ^vbd+++xvbn+=made
a ^at++++=a
sound ^nn++++=sound
of ^in++++=of
triumph ^nn++++=triumph.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
lowered ^vbd+++xvbn+=lowered
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
modestly ^rb+cnj+++=modestly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
receiving ^jj+atrb++xvbg+=receiving
applause ^nn++++=applause
at ^in++++=at
a ^at++++=a
piano ^nn++++=piano
recital ^nn++++=recital.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
came ^vbd+++xvbn+=came
through ^in++++=through
the ^ati++++=the
office ^nn++++=office
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
ye ^pp2+pp2+++=ye
gone ^vbd+++xvbn+=gone
daft ^rb++++=daft?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
figures ^nns++++=figures
are ^vb+ber+vrb++=are
mine ^nn++++=mine."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Figures
figures ^nns++++=EXTRAWORD
have ^vb+hv+vrb++=have
no ^at++++=no
morals ^nns++++=morals.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'll
'll ^md+prd+++0=EXTRAWORD
say ^vb+vpub+++=say
whatever ^nn+nom+++=whatever
a ^at++++=a
dirty ^jj+atrb+++=dirty
hand ^nn++++=hand
teaches ^vbz+vsua+++=teaches
' ^zz++++='em."
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
afraid ^jj+atrb+++=afraid
" ^zz++++="
He ^pp3a+pp3+++=He
swallowed ^vbd+++xvbnx+=swallowed.
. ^zz++++=EXTRAWORD
" ^zz++++="Ever
ever ^rb++++=EXTRAWORD
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
I ^pp1a+pp1+++=I
lose ^vb++++=lose
track ^nn++++=track.
. ^zz++++=EXTRAWORD
At ^in++++=At
night ^nn++++=night.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wake ^vb++++=wake
up ^rp++++=up
and ^cc++++=and
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
remember ^nn+nom+++=remember
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
it ^pp3+it+++=it
without ^in++++=without
knowing ^xvbg+++xvbg+=knowing?
? ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
" ^zz++++="
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
finish ^vb++++=finish.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
the ^ati++++=the
deepest ^jjt+atrb+++=deepest
cruelty ^nn++++=cruelty
of ^in++++=of
disgrace ^nn+++??+=disgrace:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
him ^pp3o+pp3+++=him
to ^to++++=to
testify ^vbi+vpub+++=testify
against ^in++++=against
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
town ^nn++++=town's
's ^$++++=EXTRAWORD
suspicion ^nn++++=suspicion
had ^vbd+hvd+aux++=had
moved ^vprf+++xvbnx+=moved
inside ^jjb+atrb+++=inside
and ^cc+phrs+++=and
taken ^jj+atrb++xvbn+=taken
lodgings ^nns++++=lodgings.
. ^zz++++=EXTRAWORD
Faced ^xvbn+++xvbn+=Faced
with ^in++++=with
his ^pp$+pp3+++=his
own ^ap++++=own
handwriting ^nn++++=handwriting,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
trusted ^vbd+++xvbnx+=trusted
Minnie ^np+++??+=Minnie
Wenzel ^np+++??+=Wenzel
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
trusted ^vbd+++xvbnx+=trusted
Ted ^np++++=Ted
Terrill ^np+++??+=Terrill.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
seized ^vbd+++xvbn+=seized
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
steal ^vb++++=steal
eight ^cd++++=eight
hundred ^cd++++=hundred
dollars ^nns++++=dollars
in ^in++++=in
a ^at++++=a
trance ^nn++++=trance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
stole ^vbd+++xvbnx+=stole
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbn+=knew
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbnx+=said
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
pay ^nn++++=pay
it ^pp3+it+++=it
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
thieves ^nns++++=thieves
say ^vb+vpub+++=say
when ^wrb+who+whcl++=when
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
awake ^jj+pred+++=awake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
leaned ^vbd+++xvbn+=leaned
close ^in+cmpx+++=close
to ^in++++=to
Ted ^np++++=Ted.
. ^zz++++=EXTRAWORD
" ^zz++++="Where's
where ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
money ^nn++++=money?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
ye ^pp2+pp2+++=ye
bought ^vbd+++xvbn+=bought
anything ^pn++++=anything?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fine
fine ^jj+atrb+++=EXTRAWORD
clothes ^nns++++=clothes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
down ^rp++++=down
at ^rb++++=at
his ^pp$+pp3+++=his
shiny ^jj+atrb+++=shiny
cuffs ^nns++++=cuffs.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
motorcar ^nn+++??+=motorcar?
? ^zz++++=EXTRAWORD
Diamonds ^nns++++=Diamonds?
? ^zz++++=EXTRAWORD
A ^at++++=A
tame ^jj+atrb+++=tame
elephant ^nn+nom+++=elephant?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Birdie,
birdie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
not ^xnot++not++=not
do ^vb+do+vrb++=don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Eight ^cd++++=Eight
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty
dollars ^nns++++=dollars
is ^vbz+bez+vrb++=is
a ^at++++=a
large ^jj+atrb+++=large
animal ^nn++++=animal.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
leaves ^nns++++=leaves
tracks ^nns++++=tracks."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
said ^vbd+vpub++xvbn+=said
coldly ^rb+cnj+++=coldly,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
absence ^nn+nom+++=absence
of ^in++++=of
visible ^jj+atrb+++=visible
expenditure ^nn++++=expenditure
proves ^vbz+vprv+++=proves
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
persons ^nns++++=persons
often ^rb++++=often
conceal ^vb++++=conceal
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Such
such ^abl++++=EXTRAWORD
persons ^nns++++=persons,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
repeated ^vbd+++xvbn+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
criminal ^jj+atrb+++=criminal
type ^nn++++=type."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
never ^rb++++=never
constructed ^vbd+++xvbn+=constructed
for ^in++++=for
angelic ^jj+atrb+++=angelic
expressions ^nns++++=expressions,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
downright ^jjb++++=downright
architectural ^jj++++=architectural.
. ^zz++++=EXTRAWORD
" ^zz++++="Minnie
minnie ^nn+++??+=EXTRAWORD
Trapp ^np+++??+=Trapp,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
helped ^vbd+++xvbnx+=helped
pack ^vb++++=pack
your ^pp$+pp2+++=your
trunk ^nn++++=trunk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
blinked ^vbd+++xvbn+=blinked.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
has ^vbz+hvz+aux++=has
that ^dt+dem+++=that
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
seen ^vbd+vprv++xvbnx+=seen
the ^ati++++=the
silk ^nn++++=silk
nightgowns ^nns+++??+=nightgowns."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elmer ^np+++??+=Elmer
coughed ^vbd+++xvbn+=coughed.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
luncheon ^nn++++=luncheon
cloth ^nn++++=cloth
from ^in++++=from
Chicago ^np++++=Chicago,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
continued ^vbd+++xvbn+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
stork ^nn+++??+=stork
kimono ^np++++=kimono,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hand ^nn++++=hand
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
satin ^nn++++=satin
slippers ^nns+nom+++=slippers
with ^in++++=with
beads ^nns++++=beads,
, ^zz++++=EXTRAWORD
the ^ati++++=the
silver ^nn++++=silver
brush ^nn++++=brush
set ^vbd+++xvbn+=set,
, ^zz++++=EXTRAWORD
the ^ati++++=the
traveling ^nn+nom+++=traveling
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lavender ^nn+nom+++=lavender
corset ^nn+++??+=corset
" ^zz++++="
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
intimate ^jj+atrb+++=intimate
apparel ^nn+++??+=apparel!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
intimate ^jj+pred+++=intimate
with ^in++++=with
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
on ^in++++=on
the ^ati++++=the
trunk ^nn++++=trunk
to ^to++++=to
shut ^vbi++++=shut
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
looked ^vbd+++xvbn+=looked
from ^in++++=from
Birdie ^np+++??+=Birdie
to ^in++++=to
Minnie ^np+++??+=Minnie.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
planted ^vwbn+++xvbn+=planted
her ^pp$+pp3+++=her
square ^nn++++=square
hands ^nns++++=hands
on ^rp++++=on
her ^pp3o+pp3+++=her
hips ^nns++++=hips.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
seen ^vbd+vprv++xvbnx+=seen
the ^ati++++=the
bills ^nns++++=bills."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np++++=Minnie's
's ^$++++=EXTRAWORD
face ^vb++++=face
altered ^vbd+++xvbn+=altered.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
So ^ql++++=So
did ^vbd+dod+vrb++=did
Jo ^np++++=Jo.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
did ^vbd+dod+vrb++=did
not ^xnot++not++=not;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
looking ^vbg+++xvbgx+=looking
inward ^jjb++++=inward
at ^in++++=at
the ^ati++++=the
cell ^nn++++=cell
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
rebuilt ^vprf+++xvbnx+=rebuilt
for ^in++++=for
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
bills ^nns++++=bills?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
ones ^cd1s++++=ones
tucked ^vbd+++xvbn+=tucked
under ^in++++=under
her ^pp$+pp3+++=her
embroidered ^xvbn+++xvbn+=embroidered
petticoats ^nns++++=petticoats.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
twelve ^cd++++=twelve
dollars ^nns++++=dollars
for ^in++++=for
the ^ati++++=the
kimono ^np++++=kimono
and ^cc++++=and
nightgowns ^nns+++??+=nightgowns.
. ^zz++++=EXTRAWORD
Eighty ^cd++++=Eighty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
for ^in++++=for
linens ^nns+++??+=linens.
. ^zz++++=EXTRAWORD
Thirty ^cd++++=Thirty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
corset ^nn+++??+=corset,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
robbery ^nn+nom+++=robbery
itself ^ppl++++=itself
unless ^cs+cnd+++=unless
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does
the ^ati++++=the
dishes ^nns++++=dishes.
. ^zz++++=EXTRAWORD
Ninety ^cd++++=Ninety-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
silver ^nn++++=silver
set ^vbd+++xvbn+=set.
. ^zz++++=EXTRAWORD
Fifty ^cd++++=Fifty
for ^in++++=for
the ^ati++++=the
hat ^nn++++=hat
with ^in++++=with
the ^ati++++=the
dead ^jj+atrb+++=dead
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bird ^nn++++=bird's
's ^$++++=EXTRAWORD
the ^ati++++=the
lucky ^jj+atrb+++=lucky
one ^pn++++=one.
. ^zz++++=EXTRAWORD
More ^ap++++=More
besides ^rb++++=besides."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
private ^jj+atrb+++=private
purchases ^nns++++=purchases
are ^vb+ber+vrb++=are
irrelevant ^jj+pred+++=irrelevant,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Private,
private ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
waved ^vbd+++xvbn+=waved
every ^at++++=every
stitch ^nn++++=stitch
under ^in++++=under
the ^ati++++=the
noses ^nns++++=noses
av ^nn++++=av
the ^ati++++=the
dining ^jj+atrb++xvbg+=dining
room ^nn++++=room."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
saved ^vbd+++xvbnx+=saved."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
dollars ^nns++++=dollars
a ^at++++=a
week ^nn++++=week?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
investments ^nns+nom+++=investments."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elmer ^np+++??+=Elmer
turned ^vbd+++xvbn+=turned
toward ^in++++=toward
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
your ^pp$+pp2+++=your
aunt ^npt++++=aunt
sent ^vbd+++xvbn+=sent
the ^ati++++=the
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
aunt ^nn++++=aunt's
's ^$++++=EXTRAWORD
affairs ^nns++++=affairs
are ^vb+ber+vrb++=are
not ^xnot++not++=not
under ^in++++=under
discussion ^nn++++=discussion."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
aunt ^nn++++=aunt
in ^in++++=in
Scranton ^np+++??+=Scranton?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
grinned ^vbd+++xvbn+=grinned.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
aunt ^nn++++=aunt
that ^tht+rel+++=that
died ^jj+++xvbn+=died
when ^wrb+who+++=when
ye ^pp2+pp2+++=ye
were ^vbd+bed+vrb++=were
twelve ^cd++++=twelve?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elmer ^np++++=Elmer's
's ^$++++=EXTRAWORD
furnished ^vbd+++xvbn+=furnished
appearance ^nn+nom+++=appearance
began ^vbd+++xvbn+=began
to ^to++++=to
come ^vbi++++=come
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
gripped ^vbd+++xvbn+=gripped
her ^pp$+pp3+++=her
portfolio ^nn++++=portfolio.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
outrageous ^jj+pred+++=outrageous."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="B'gorra,
b ^zz++++=EXTRAWORD
'gorra, ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
startin ^nn+++??+=startin'."
'." ^nn+++??+=EXTRAWORD
Birdie ^np+++??+=Birdie
snatched ^vbd+++xvbn+=snatched
the ^ati++++=the
duplicate ^nn+nom+++=duplicate
sheets ^nns++++=sheets
from ^in++++=from
Jo ^np++++=Jo
and ^cc++++=and
held ^vwbn+vprv++xvbn+=held
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
watched ^vbd+++xvbnx+=watched
her ^pp$+pp3+++=her
rule ^nn++++=rule
them ^pp3o+pp3+++=them
forms ^nns++++=forms
for ^in++++=for
three ^cd++++=three
years ^nns++++=years.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
dots ^nns++++=dots
her ^pp$+pp3+++=her
i ^pp1a+pp1+++=i's
's ^vbz+bez+vrb++0=EXTRAWORD
like ^in++++=like
pinholes ^nns+++??+=pinholes
and ^cc++++=and
curls ^nns++++=curls
her ^pp$+pp3+++=her
sevens ^cds++++=sevens
like ^in++++=like
a ^at++++=a
pig ^nn++++=pig's
's ^$++++=EXTRAWORD
tail ^nn++++=tail.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
The ^ati++++=The
totals ^nns++++=totals
are ^vb+ber+vrb++=are
in ^in++++=in
her ^pp$+pp3+++=her
ink ^nn++++=ink."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
laughed ^vbd+++xvbn+=laughed
too ^rb++++=too
