# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Little ^ap++++=Little
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
ask ^vb++++=ask
you ^pp2+pp2+++=you
to ^in+strn+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
don ^npt++++=don'
' ^zz++++=EXTRAWORD
ask ^vb++++=ask
nothing ^pn++++=nothing
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
pa ^npt++++=pa
wants ^vbz++++=wants
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
ma ^npt++++=ma
wants ^vbz++++=wants
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
W ^zz++++=W'at
'at ^nn+++??+=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
go ^vbi++++=go
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
the ^ati++++=the
ring ^nn++++=ring
from ^in++++=from
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
and ^cc++++=and
held ^vbd+vprv+tht0+xvbn+=held
it ^pp3+it+++=it
toward ^in++++=toward
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
red ^jj+atrb+++=red
stone ^nn++++=stone
caught ^vbd+++xvbn+=caught
the ^ati++++=the
declining ^jj+atrb++xvbg+=declining
sun ^nn++++=sun
and ^cc++++=and
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
bright ^jj+atrb+++=bright
point ^nn++++=point
of ^in++++=of
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
marry ^vb++++=marry
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
you ^pp2+pp2+++=you
can ^md+pos+++=can
stay ^vb++++=stay.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
break ^vb++++=break
in ^rb+phrv+++=in
stores ^nns++++=stores,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
beg ^vb++++=beg
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
live ^vb++++=live
where ^wrb+who+++=where
the ^ati++++=the
roof ^nn++++=roof
leaks ^nns++++=leaks.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
follow ^vb+vprv+++=follow
your ^pp$+pp2+++=your
pa ^npt++++=pa
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
country ^nn++++=country."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
changed ^vbd+++xvbn+=changed
at ^rb++++=at
the ^ati++++=the
last ^jj+atrb+++=last
words ^nns++++=words.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
follow ^vb+vprv+++=follow
Pa ^nn++++=Pa
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Home!
home ^nr++++=EXTRAWORD
! ^zz++++=EXTRAWORD
That ^dt+dem+++=That
place ^nn++++=place
floods ^nns++++=floods
every ^at++++=every
spring ^nn++++=spring.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
got ^vbd+++xvbn+=got
hardly ^rb+down+++=hardly
no ^at++++=no
land ^nn++++=land.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
you ^pp2+pp2+++=you
hungry ^jj++++=hungry
before ^in++++=before
Christmas ^np++++=Christmas."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
hungry ^jj++++=hungry
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
like ^in++++=like
it ^pp3+it+++=it
don ^npt++++=don'
' ^zz++++=EXTRAWORD
matter ^nn++++=matter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
passes ^vbz++++=passes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seized ^vbd+++xvbnx+=seized
her ^pp$+pp3+++=her
wet ^jj+atrb+++=wet
hand ^nn++++=hand
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
press ^vbi++++=press
the ^ati++++=the
ring ^nn++++=ring
upon ^in++++=upon
one ^cd1++++=one
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drew ^vbd+++xvbnx+=drew
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Don'."
don ^npt++++=EXTRAWORD
'." ^nn+++??+=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
don ^npt++++=don'
' ^zz++++=EXTRAWORD
want ^vb++++=want
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
take ^vb++++=take
everything ^pn++++=everything
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Things
things ^nns++++=EXTRAWORD
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
the ^ati++++=the
house ^nn++++=house."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
don ^npt++++=don'
' ^zz++++=EXTRAWORD
want ^vb++++=want
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Humiliation ^nn+nom+++=Humiliation
rose ^vbd+++xvbn+=rose
in ^in++++=in
him ^pp3o+pp3+++=him
with ^in++++=with
such ^abl++++=such
force ^nn++++=force
that ^tht+rel+++=that
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
he ^pp3a+pp3+++=he
hated ^vbd+++xvbnx+=hated
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
close ^vbi++++=close
his ^pp$+pp3+++=his
hand ^nn++++=hand
upon ^in++++=upon
hers ^pp$$++++=hers
and ^cc++++=and
force ^nn++++=force
the ^ati++++=the
ring ^nn++++=ring
over ^in++++=over
her ^pp$+pp3+++=her
knuckle ^nn+++??+=knuckle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
remind ^vbi++++=remind
her ^pp$+pp3+++=her
of ^in++++=of
the ^ati++++=the
open ^jj+atrb+++=open
shutter ^nn++++=shutter,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stolen ^jj+atrb++xvbn+=stolen
goods ^nns++++=goods,
, ^zz++++=EXTRAWORD
the ^ati++++=the
promise ^nn++++=promise
by ^in++++=by
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
bound ^vprf+++xvbnx+=bound
him ^pp3o+pp3+++=him
while ^cs+sub+++=while
binding ^jj++++=binding
herself ^ppl+pp3+++=herself
to ^in++++=to
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
call ^vbi++++=call
her ^pp$+pp3+++=her
ungrateful ^jj++++=ungrateful.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
he ^pp3a+pp3+++=he
dropped ^vbd+++xvbnx+=dropped
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
rather ^rb++++=rather
go ^vb++++=go
with ^in++++=with
that ^dt+dem+++=that
lazy ^jj+atrb+++=lazy
crowd ^nn++++=crowd
than ^in++++=than
stay ^vb++++=stay
respectable ^jj++++=respectable?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lifted ^vbd+++xvbnx+=lifted
the ^ati++++=the
pail ^nn++++=pail.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
my ^pp$+pp1+++=my
family ^nn++++=family."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
pa ^npt++++=pa
uses ^vbz++++=uses
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Sends ^vbz++++=Sends
you ^pp2+pp2+++=you
to ^to++++=to
ask ^vbi++++=ask
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
things ^nns++++=things
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
he ^pp3a+pp3+++=he
knows ^vbz+vprv+tht0++=knows
nobody ^pn++++=nobody
tells ^vbz++++=tells
you ^pp2+pp2+++=you
no ^rb++++=no."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
no ^rb++++=no."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
stole ^vbd+++xvbn+=stole."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
agreement ^nn+nom+++=agreement
deprived ^vbd+++xvbn+=deprived
him ^pp3o+pp3+++=him
of ^in++++=of
accusation ^nn+nom+++=accusation.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
started ^vbd+++xvbnx+=started
toward ^in++++=toward
the ^ati++++=the
cabins ^nns++++=cabins.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
followed ^vbd+vprv++xvbnx+=followed
a ^ap++++=a
few ^ap"++++=few
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
" ^zz++++="Az
az ^nn+++??+=EXTRAWORD
lie ^vb++++=lie."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stop ^vb++++=stop.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
ask ^vb++++=ask
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
beside ^in+pl+++=beside
the ^ati++++=the
bayou ^nn+++??+=bayou,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ring ^nn++++=ring
held ^vbd+vprv++xvbn+=held
tightly ^rb++++=tightly
in ^in++++=in
his ^pp$+pp3+++=his
palm ^nn++++=palm.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
he ^pp3a+pp3+++=he
flung ^vbd+++xvbnx+=flung
it ^pp3+it+++=it
toward ^in++++=toward
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
struck ^vbd+++xvbn+=struck
a ^at++++=a
cypress ^nns+nom+++=cypress
root ^nn++++=root
and ^cc++++=and
fell ^vpsv++agls+xvbn+=fell
among ^in++++=among
the ^ati++++=the
reeds ^nns++++=reeds
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
dark ^jj++++=dark
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
with ^in++++=with
a ^at++++=a
lantern ^nn++++=lantern
and ^cc++++=and
searched ^vbd+++xvbn+=searched
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
family ^nn++++=family
left ^vbd+++xvbn+=left
on ^in++++=on
a ^at++++=a
clear ^jj+atrb+++=clear
morning ^nn++++=morning
in ^in++++=in
October ^nr++++=October.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
wagon ^nn++++=wagon
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
patched ^jj++++=patched
for ^in++++=for
the ^ati++++=the
journey ^nn++++=journey
with ^in++++=with
raw ^jj+atrb+++=raw
boards ^nns++++=boards.
. ^zz++++=EXTRAWORD
A ^at++++=A
mule ^nn++++=mule
and ^cc++++=and
a ^at++++=a
small ^jj+atrb+++=small
horse ^nn++++=horse
stood ^vbd+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
traces ^nns++++=traces.
. ^zz++++=EXTRAWORD
Bedding ^nn++++=Bedding,
, ^zz++++=EXTRAWORD
pots ^nns++++=pots,
, ^zz++++=EXTRAWORD
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
sacks ^nns++++=sacks
of ^in++++=of
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
splint ^jj+atrb++xvbn+=splint
chairs ^nns++++=chairs
were ^vbd+bed+aux++=were
tied ^vpsv++agls+xvbnx+=tied
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^nn++++=lie's
's ^$++++=EXTRAWORD
mother ^nn++++=mother
sat ^vbd+++xvbn+=sat
high ^jj++++=high
among ^in++++=among
the ^ati++++=the
bundles ^nns++++=bundles
with ^in++++=with
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
child ^nn++++=child
asleep ^jj++++=asleep
against ^in++++=against
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
F ^zz++++=F
lix ^nn+++??+=lix
moved ^vbd+++xvbn+=moved
about ^rb+phrv+++=about
giving ^xvbg+++xvbg+=giving
unnecessary ^jj+atrb+++=unnecessary
directions ^nns+nom+++=directions
while ^cs+sub+++=while
the ^ati++++=the
boys ^nns++++=boys
chased ^vbd+++xvbn+=chased
a ^at++++=a
pig ^nn++++=pig
they ^pp3a+pp3+++=they
intended ^vbd+vsua++xvbnx+=intended
to ^to+vcmp+++=to
take ^vbi++++=take
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
watched ^vbd+++xvbn+=watched
from ^in++++=from
the ^ati++++=the
store ^nn++++=store
gallery ^nn+nom+++=gallery.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
not ^xnot++not++=not
spoken ^jj+++xvbn+=spoken
to ^in++++=to
Az ^np+++??+=Az
lie ^vb++++=lie
since ^in++++=since
the ^ati++++=the
proposal ^nn+nom+++=proposal.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
last ^jj+atrb+++=last
days ^nns++++=days
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
cultivated ^vprf+++xvbnx+=cultivated
an ^at++++=an
air ^nn++++=air
of ^in++++=of
occupation ^nn+nom+++=occupation,
, ^zz++++=EXTRAWORD
calling ^vbg+nom++xvbg+=calling
loudly ^rb++++=loudly
for ^in++++=for
receipts ^nns++++=receipts,
, ^zz++++=EXTRAWORD
inspecting ^jj+++xvbg+=inspecting
cotton ^np++++=cotton
weights ^nns++++=weights
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
correcting ^vbg+++xvbg+=correcting
accounts ^nns++++=accounts
that ^tht+rel+subj++=that
needed ^vwbn+++xvbn+=needed
no ^at++++=no
correction ^nn+nom+++=correction.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
was ^vbd+bedz+aux++=was
deceived ^vpsv++agls+xvbnx+=deceived.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
came ^vbd+++xvbn+=came
across ^in+ppvb+++=across
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
hands ^nns++++=hands
clasped ^vbd+++xvbn+=clasped
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+aux++=are
leaving ^vbg+++xvbgx+=leaving
you ^pp2+pp2+++=you
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
plantation ^nn+nom+++=plantation,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
observed ^vbd+vprv++xvbnx+=observed.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
considerate ^jj+pred+++=considerate."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
emerged ^vbn+v++xvbn+=emerged
from ^in++++=from
the ^ati++++=the
cabin ^nn++++=cabin
carrying ^vwbg+++xvbg+=carrying
the ^ati++++=the
green ^nn++++=green
tin ^nn++++=tin
pail ^nn++++=pail.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
the ^ati++++=the
brown ^jj+atrb+++=brown
shoes ^nns++++=shoes
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fixed ^vbd+++xvbnx+=fixed
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention
upon ^in++++=upon
that ^dt+dem+++=that
fact ^nn++++=fact
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
contained ^vbd+++xvbn+=contained
a ^at++++=a
private ^jj+atrb+++=private
message ^nn+nom+++=message.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
placed ^vbd+++xvbnx+=placed
the ^ati++++=the
pail ^nn++++=pail
in ^in++++=in
the ^ati++++=the
wagon ^nn++++=wagon
and ^cc++++=and
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
her ^pp$+pp3+++=her
gaze ^nn++++=gaze
rested ^vbd+++xvbn+=rested
upon ^in++++=upon
the ^ati++++=the
store ^nn++++=store.
. ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
descended ^vbd+++xvbn+=descended
one ^cd1++++=one
step ^nn++++=step.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
walked ^vbd+++xvbnx+=walked
toward ^in++++=toward
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
heart ^nn++++=heart
beat ^vbd+++xvbn+=beat
so ^ql++++=so
violently ^rb++++=violently
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
anger ^nn++++=anger
at ^in++++=at
her ^pp$+pp3+++=her
for ^in++++=for
causing ^xvbg+++xvbg+=causing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+++=see."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ma
ma ^npt++++=EXTRAWORD
say ^vb+vpub+++=say
thank ^vb++++=thank
you ^pp2+pp2+++=you
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
the ^ati++++=the
cloth ^nn++++=cloth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pa
pa ^npt++++=EXTRAWORD
say ^vb+vpub+tht0++=say
he ^pp3a+pp3+++=he
owe ^vb++++=owe
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
knows ^vbz+vprv+++=knows."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
go ^vb++++=go
pay ^nn++++=pay
after ^in++++=after
the ^ati++++=the
spring ^nn++++=spring
crop ^nn++++=crop."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
almost ^rb+hdg+++=almost
smiled ^vbd+++xvbn+=smiled.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
waited ^vbd+++xvbnx+=waited,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
imagined ^vbd+vprv++xvbnx+=imagined
that ^tht+vcmp+++=that
at ^rb++++=at
last ^rb"++++=last
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
something ^pn++++=something
concerning ^in++++=concerning
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
only ^ap+down+++=only
extended ^jj+++xvbn+=extended
a ^at++++=a
key ^nn++++=key.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
small ^jj+atrb+++=small
store ^nn++++=store
key ^jjb++++=key
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
given ^vprf+++xvbnx+=given
her ^pp3o+pp3+++=her
after ^cs+sub+++=after
she ^pp3a+pp3+++=she
promised ^vbd+vpub++xvbnx+=promised
never ^rb++++=never
again ^rb+tm+++=again
to ^in++++=to
force ^nn++++=force
the ^ati++++=the
shutter ^nn++++=shutter.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
never ^rb++splt++=never
used ^vprf+++xvbnx+=used
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^ql++++=as
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
keep ^vb++++=keep
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
yere ^nn+++??+=yere."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
placed ^vbd+++xvbnx+=placed
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
gallery ^nn+nom+++=gallery
rail ^nn++++=rail.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
wagon ^nn++++=wagon
F ^zz++++=F
lix ^nn+++??+=lix
shouted ^vbd+vpub++xvbn+=shouted,
, ^zz++++=EXTRAWORD
" ^zz++++="Az
az ^nn+++??+=EXTRAWORD
lie ^vb++++=lie!
! ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
fille ^&fw++++=fille!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned.
. ^zz++++=EXTRAWORD
" ^zz++++="Az
az ^nn+++??+=EXTRAWORD
lie ^vb++++=lie,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
tell ^vbi++++=tell
her ^pp$+pp3+++=her
again ^rb+tm+++=again
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
worn ^xvbn+++xvbn+=worn
and ^cc++++=and
powerless ^jj++++=powerless,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
