**the ^nn+++??+=**THE
Last ^rb++++=LAST
**first ^nn+++??+=**FIRST
Eagle.** ^np+++??+=EAGLE.**
Of ^in++++=Of
death ^nn++++=death?
? ^zz++++=EXTRAWORD
**second ^nn+++??+=**SECOND
Eagle.** ^np+++??+=EAGLE.**
Of ^in++++=Of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
**first ^nn+++??+=**FIRST
Eagle.** ^np+++??+=EAGLE.**
Strange ^jj++++=Strange.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
cursed ^vbd+++xvbnx+=cursed
life ^nn++++=life
until ^in++++=until
the ^ati++++=the
final ^jj+atrb+++=final
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
**second ^nn+++??+=**SECOND
Eagle.** ^np+++??+=EAGLE.**
Because ^cs+cos+++=Because
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
it ^pp3+it+++=it
beyond ^in++++=beyond
measure ^nn++++=measure.
. ^zz++++=EXTRAWORD
**first ^nn+++??+=**FIRST
Eagle.** ^np+++??+=EAGLE.**
And ^cc+cls+++=And
when ^wrb+who+++=when
it ^pp3+it+++=it
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
keep ^vb++++=keep
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
**second ^nn+++??+=**SECOND
Eagle.** ^np+++??+=EAGLE.**
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
eternity ^nn+nom+++=eternity
promise ^nn++++=promise
him ^pp3o+pp3+++=him
a ^at++++=a
crown ^nn++++=crown.
. ^zz++++=EXTRAWORD
**first ^nn+++??+=**FIRST
Eagle.** ^np+++??+=EAGLE.**
Poor ^jj+atrb+++=Poor
king ^nn++++=king.
. ^zz++++=EXTRAWORD
**second ^nn+++??+=**SECOND
Eagle.** ^np+++??+=EAGLE.**
Poor ^jj+atrb+++=Poor
man ^nn++++=man.
. ^zz++++=EXTRAWORD
*the ^nn+++??+=*The
eagles ^nns++++=eagles
spread ^vb++++=spread
their ^pp$+pp3+++=their
wings ^nns++++=wings.
. ^zz++++=EXTRAWORD
the ^ati++++=The
sun ^nn++++=sun
goes ^vbz++++=goes
out.* ^nn++++=out.*
