**what ^nn+++??+=**What
Nigerian ^jj+atrb+++=Nigerian
elections ^nns+nom+++=elections
and ^cc++++=and
listened ^vpsv++agls+xvbn+=listened
to ^in++++=to
the ^ati++++=the
answers ^nns+nom+++=answers.
. ^zz++++=EXTRAWORD
At ^in++++=At
dinner ^nn++++=dinner
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
lamb ^np++++=lamb,
, ^zz++++=EXTRAWORD
roasted ^jj+atrb++xvbn+=roasted
vegetables ^nns++++=vegetables,
, ^zz++++=EXTRAWORD
three ^cd++++=three
kinds ^nns++++=kinds
of ^in++++=of
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
cake ^nn++++=cake
dense ^jj++++=dense
with ^in++++=with
chocolate ^nn+nom+++=chocolate.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
apologized ^vbd+++xvbn+=apologized
that ^cs+sub+++=that
the ^ati++++=the
lamb ^nn++++=lamb
was ^vbd+bedz+aux++=was
overcooked ^vpsv++agls+xvbnx+=overcooked.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
pink ^jj+pred+++=pink
near ^in+pl+++=near
the ^ati++++=the
bone ^nn++++=bone.
. ^zz++++=EXTRAWORD
Afterward ^rb+cnj+++=Afterward,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
watched ^vbd+++xvbn+=watched
her ^pp$+pp3+++=her
scrape ^vb++++=scrape
plates ^nns++++=plates
into ^in++++=into
a ^at++++=a
machine ^nn++++=machine
that ^tht+rel+subj++=that
growled ^vbd+++xvbn+=growled
beneath ^in+pl+++=beneath
the ^ati++++=the
sink ^nn++++=sink.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
offered ^vbd+++xvbn+=offered
to ^to++++=to
help ^vbi++++=help,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
a ^at++++=a
guest ^nn++++=guest.
. ^zz++++=EXTRAWORD
Evan ^np++++=Evan's
's ^$++++=EXTRAWORD
room ^nn++++=room
contained ^vbd+++xvbn+=contained
photographs ^nns++++=photographs
from ^in++++=from
his ^pp$+pp3+++=his
travels ^nns++++=travels.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^pn++++=one,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
with ^in++++=with
his ^pp$+pp3+++=his
arm ^vb++++=arm
around ^rp++++=around
three ^cd++++=three
Senegalese ^np+nom++??+=Senegalese
boys ^nns++++=boys.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
barefoot ^jj+pred+++=barefoot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
expensive ^jj+atrb+++=expensive
hiking ^nn++++=hiking
sandals ^nns+nom+++=sandals
and ^cc++++=and
smiled ^vbd+++xvbn+=smiled
broadly ^rb+down+++=broadly.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
were ^vbd+bed+vrb++=were
great ^jj+atrb+++=great
kids ^nns++++=kids,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
their ^pp$+pp3+++=their
names ^nns++++=names.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
named ^vbd+++xvbnx+=named
two ^cd++++=two,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
paused ^vbd+++xvbn+=paused.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wished ^vbd+vprv+tht0+xvbn+=wished
you ^pp2+pp2+++=you
had ^vb+hv+aux++=had
not ^xnot++not++=not
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wished ^vbd+vprv+tht0+xvbn+=wished
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
remembered ^vprf+++xvbnx+=remembered.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mother ^nn++++=mother
gave ^vbd+++xvbn+=gave
you ^pp2+pp2+++=you
a ^at++++=a
wool ^nn++++=wool
scarf ^nn++++=scarf.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
the ^ati++++=the
color ^nn++++=color
suited ^vwbn+++xvbn+=suited
your ^pp$+pp2+++=your
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scarf ^nn++++=scarf
was ^vbd+bedz+vrb++=was
soft ^jj+pred+++=soft
and ^cc+phrs+++=and
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
a ^at++++=a
useful ^jj+atrb+++=useful
present ^nn++++=present.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wore ^vbd+++xvbn+=wore
it ^pp3+it+++=it
indoors ^rn+pl+++=indoors
until ^cs+sub+++=until
Evan ^np+++??+=Evan
teased ^vbd+++xvbn+=teased
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
In ^in++++=In
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
if ^cs+cnd+++=if
your ^pp$+pp2+++=your
family ^nn++++=family
celebrated ^vbd+++xvbn+=celebrated
Christmas ^np++++=Christmas
with ^in++++=with
gifts ^nns++++=gifts.
. ^zz++++=EXTRAWORD
" ^zz++++="Sometimes."
sometimes ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
your ^pp$+pp2+++=your
parents ^nns++++=parents
give ^vb++++=give
you ^pp2+pp2+++=you
last ^jj+atrb+++=last
year ^nn++++=year?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
remember ^nn+nom+++=remember.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^nn++++=father
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
home ^nr++++=home
a ^at++++=a
chicken ^nn++++=chicken.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
sewn ^vprf+++xvbn+=sewn
matching ^jj+atrb++xvbg+=matching
dresses ^nns+nom+++=dresses
for ^in++++=for
you ^pp2+pp2+++=you
and ^cc++++=and
your ^pp$+pp2+++=your
cousin ^nn++++=cousin
from ^in++++=from
fabric ^nn++++=fabric
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
in ^rb+phrv+++=in
a ^at++++=a
cupboard ^nn++++=cupboard
for ^in++++=for
two ^cd++++=two
years ^nns++++=years.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
wrapping ^jj+atrb++xvbg+=wrapping
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
father ^nn++++=father
gave ^vbd+++xvbn+=gave
us ^pp1o+pp1+++=us
meat ^nn++++=meat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
waited ^vbd+++xvbn+=waited,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
expecting ^vbg+vprv++xvbg+=expecting
irony ^nn++++=irony.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
none ^rb++++=none
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kissed ^vbd+++xvbnx+=kissed
your ^pp$+pp2+++=your
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
began ^vbd+++xvbn+=began
a ^at++++=a
letter ^nn++++=letter
in ^in++++=in
January ^nr+nom+++=January.
. ^zz++++=EXTRAWORD
Dear ^uh++++=Dear
Mama ^nn++++=Mama
and ^cc++++=and
Papa ^npt++++=Papa,
, ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
began ^vbd+++xvbn+=began
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sorry ^uh++++=sorry
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
written ^vbd+++xvbn+=written.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
told ^vbd+vpub++xvbn+=told
them ^pp3o+pp3+++=them
about ^in++++=about
the ^ati++++=the
restaurant ^nn+nom+++=restaurant,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
you ^pp2+pp2+++=you
called ^vbd+++xvbn+=called
it ^pp3+it+++=it
temporary ^jj+atrb+++=temporary
work ^nn++++=work
before ^in++++=before
college ^npl++++=college.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
told ^vbd+vpub++xvbn+=told
them ^pp3o+pp3+++=them
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
safe ^jj+pred+++=safe.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
mention ^nn+nom+++=mention
Maine ^np++++=Maine.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
mention ^nn+nom+++=mention
Evan ^np+++??+=Evan
because ^cs+cos+++=because
your ^pp$+pp2+++=your
mother ^nn++++=mother
would ^md+prd+++=would
ask ^vb++++=ask
if ^cs+cnd+++=if
his ^pp$+pp3+++=his
people ^nns++++=people
knew ^vbd+vprv++xvbn+=knew
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
father ^nn++++=father
would ^md+prd+++=would
ask ^vb++++=ask
what ^wdt+who+++=what
kind ^rb++++=kind
of ^rb"++++=of
future ^jjb++++=future
a ^at++++=a
white ^jj+atrb+++=white
boy ^nn++++=boy
imagined ^vbd+++xvbn+=imagined
with ^in++++=with
a ^at++++=a
Nigerian ^jj+atrb+++=Nigerian
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
enclosed ^vbd+++xvbn+=enclosed
your ^pp$+pp2+++=your
address ^nns+nom+++=address
before ^cs+sub+++=before
you ^pp2+pp2+++=you
could ^md+pos+++=could
change ^vb++++=change
your ^pp$+pp2+++=your
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
weeks ^nns++++=weeks
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
a ^at++++=a
letter ^nn++++=letter
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
youngest ^jjt+atrb+++=youngest
brother ^nn++++=brother
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
the ^ati++++=the
envelope ^nn++++=envelope.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
handwriting ^nn++++=handwriting
leaned ^vbd+++xvbn+=leaned
forward ^rb++++=forward
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
words ^nns++++=words
were ^vbd+bed+aux++=were
running ^vbg+++xvbgx+=running.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside
were ^vbd+bed+vrb++=were
four ^cd++++=four
pages ^nns++++=pages
from ^in++++=from
your ^pp$+pp2+++=your
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thanked ^vbd+++xvbnx+=thanked
you ^pp2+pp2+++=you
for ^in++++=for
the ^ati++++=the
money ^nn++++=money.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
your ^pp$+pp2+++=your
brothers ^nns+nom+++=brothers
were ^vbd+bed+vrb++=were
well ^rb++++=well.
. ^zz++++=EXTRAWORD
The ^ati++++=The
neighbor ^nn++++=neighbor's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter
had ^vbd+hvd+aux++=had
married ^vprf+++xvbnx+=married
a ^at++++=a
man ^nn++++=man
in ^in++++=in
Abuja ^np+++??+=Abuja.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
auntie ^npt++++=auntie's
's ^$++++=EXTRAWORD
fibroids ^nns+++??+=fibroids
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^nn++++=father
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
five ^cd++++=five
months ^nns++++=months
earlier ^jjr++++=earlier.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
collapsed ^vbd+++xvbnx+=collapsed
outside ^jjb++++=outside
a ^at++++=a
pharmacy ^nn+nom+++=pharmacy
while ^cs+sub+++=while
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
his ^pp$+pp3+++=his
blood ^nn++++=blood-pressure
- ^zz++++=EXTRAWORD
pressure ^nn++++=EXTRAWORD
medicine ^nn++++=medicine.
. ^zz++++=EXTRAWORD
A ^at++++=A
taxi ^nn++++=taxi
driver ^nn++++=driver
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
clinic ^nn++++=clinic,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
doctor ^nn++++=doctor.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
buried ^vbd+++xvbnx+=buried
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^nn++++=mother
wrote ^vbd+vprv++xvbn+=wrote
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
not ^xnot++not++=not
known ^vbd+vprv++xvbn+=known
where ^wrb+who+whcl++=where
to ^to++++=to
reach ^vbi++++=reach
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
your ^pp$+pp2+++=your
uncle ^nn++++=uncle
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
them ^pp3o+pp3+++=them
no ^at++++=no
longer ^rbr++++=longer
connected ^vbd+++xvbn+=connected.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
messages ^nns+nom+++=messages
through ^in++++=through
people ^nns++++=people
in ^in++++=in
America ^np++++=America.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
too ^ql++++=too
busy ^jj++++=busy
with ^in++++=with
school ^nn++++=school
to ^in++++=to
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
read ^vbd+vprv++xvbn+=read
the ^ati++++=the
line ^nn++++=line
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
months ^nns++++=months.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
soup ^nn++++=soup,
, ^zz++++=EXTRAWORD
carried ^jj+atrb++xvbn+=carried
plates ^nns++++=plates,
, ^zz++++=EXTRAWORD
kissed ^j+++xvbn+=kissed
Evan ^np+++??+=Evan
in ^in++++=in
the ^ati++++=the
sea ^nn++++=sea
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
beneath ^in+pl+++=beneath
paintings ^nns++++=paintings
in ^in++++=in
Vermont ^np+++??+=Vermont
while ^cs+sub+++=while
your ^pp$+pp2+++=your
father ^nn++++=father
lay ^vbd+++xvbn+=lay
in ^in++++=in
red ^jj+atrb+++=red
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
money ^nn++++=money
to ^in++++=to
a ^at++++=a
dead ^jj+atrb+++=dead
man ^nn++++=man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
changed ^vbd+++xvbn+=changed
size ^nn++++=size.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
moved ^vbd+++xvbn+=moved
outward ^jjb++++=outward
and ^cc++++=and
then ^rn+tm+++=then
rushed ^vbd+++xvbn+=rushed
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cord ^nn++++=cord
around ^in++++=around
your ^pp$+pp2+++=your
throat ^nn++++=throat
pulled ^vbd+++xvbn+=pulled
so ^pn+emph+++=so
hard ^jj++++=hard
that ^tht+jcmp+++=that
your ^pp$+pp2+++=your
breath ^nn++++=breath
clogged ^vwbn+++xvbn+=clogged.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
pressed ^vbd+++xvbn+=pressed
your ^pp$+pp2+++=your
fingers ^nns+nom+++=fingers
against ^in++++=against
your ^pp$+pp2+++=your
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
searching ^vbg+++xvbg+=searching
for ^in++++=for
something ^pn++++=something
to ^in++++=to
tear ^nn++++=tear
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
made ^vbd+++xvbn+=made
a ^at++++=a
sound ^nn++++=sound
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
not ^xnot++not++=not
recognize ^vb+vprv+++=recognize.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shop ^nn++++=shop
owner ^nn++++=owner
found ^vbd+vprv++xvbn+=found
you ^pp2+pp2+++=you
on ^in++++=on
the ^ati++++=the
stairs ^nns++++=stairs
and ^cc++++=and
called ^xvbn+++xvbn+=called
Evan ^np+++??+=Evan
from ^in++++=from
the ^ati++++=the
number ^nn++++=number
taped ^jj++++=taped
beside ^in+pl+++=beside
your ^pp$+pp2+++=your
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
before ^cs+sub+++=before
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
crying ^nvbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
held ^vwbn+vprv++xvbn+=held
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
struck ^vbd+++xvbn+=struck
his ^pp$+pp3+++=his
chest ^nn++++=chest
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
anything ^rb++++=anything
but ^rb"++++=but
because ^cs+cos+++=because
his ^pp$+pp3+++=his
father ^nn++++=father
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive
in ^in++++=in
a ^at++++=a
warm ^jj+atrb+++=warm
house ^npl++++=house
in ^in++++=in
Vermont ^np+++??+=Vermont,
, ^zz++++=EXTRAWORD
discussing ^vbg+++xvbg+=discussing
elections ^nns+nom+++=elections
and ^cc++++=and
drinking ^nvbg+++xvbg+=drinking
wine ^nn++++=wine.
. ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
held ^vbd+vprv++xvbn+=held
your ^pp$+pp2+++=your
wrists ^nns++++=wrists
loosely ^rb++++=loosely.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
hated ^vbd+++xvbn+=hated
the ^ati++++=the
uselessness ^nns+nom+++=uselessness
of ^in++++=of
the ^ati++++=the
words ^nns++++=words.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
clung ^vbd+++xvbn+=clung
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
days ^nns++++=days,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Maureen ^np++++=Maureen
called ^vbd+++xvbn+=called
once ^rb+tm+++=once
and ^cc++++=and
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
keep ^vb++++=keep
covering ^vbg+++xvbg+=covering
your ^pp$+pp2+++=your
shifts ^vbz++++=shifts.
. ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
offered ^vbd+++xvbn+=offered
to ^to++++=to
speak ^vbi++++=speak
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
not ^xnot++not++=not
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
offered ^vbd+++xvbnx+=offered
to ^to++++=to
pay ^vbi++++=pay
your ^pp$+pp2+++=your
rent ^nn++++=rent.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
not ^xnot++not++=not
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
brought ^vbd+++xvbnx+=brought
soup ^nn++++=soup,
, ^zz++++=EXTRAWORD
fruit ^nn++++=fruit,
, ^zz++++=EXTRAWORD
tissues ^nns++++=tissues,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
flowers ^nns+nom+++=flowers
opened ^vbd+++xvbn+=opened
yellow ^jj+atrb+++=yellow
mouths ^nns++++=mouths
on ^in++++=on
the ^ati++++=the
windowsill ^nn+++??+=windowsill
and ^cc++++=and
then ^rn+tm+++=then
began ^vbd+++xvbn+=began
to ^to++++=to
rot ^vbi++++=rot.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
booked ^vbd+++xvbn+=booked
a ^at++++=a
flight ^nn++++=flight
to ^in++++=to
Lagos ^np+++??+=Lagos
with ^in++++=with
nearly ^rb+down+++=nearly
all ^rb++++=all
your ^pp$+pp2+++=your
savings ^nns++++=savings.
. ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
pay ^vb++++=pay.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub++xvbn+=said
no ^at++++=no.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
come ^vb++++=come
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
help ^vb++++=help
with ^in++++=with
the ^ati++++=the
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
with ^in++++=with
arrangements ^nns+nom+++=arrangements,
, ^zz++++=EXTRAWORD
with ^in++++=with
anything ^pn++++=anything
your ^pp$+pp2+++=your
mother ^npt++++=mother
needed ^vwbn+++xvbn+=needed.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
imagined ^vbd+++xvbn+=imagined
him ^pp3o+pp3+++=him
at ^in++++=at
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^$++++=EXTRAWORD
compound ^nn++++=compound,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
beneath ^in+pl+++=beneath
the ^ati++++=the
low ^jj+atrb+++=low
doorway ^nn++++=doorway.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
imagined ^vbd+vprv++xvbn+=imagined
neighbors ^nns++++=neighbors
gathering ^vwbg+++xvbg+=gathering
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
oyibo ^nn+++??+=oyibo
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
imagined ^vbd+++xvbn+=imagined
him ^pp3o+pp3+++=him
photographing ^vbg+++xvbg+=photographing
harmattan ^jj+atrb+++=harmattan
dust ^nn++++=dust
because ^cs+cos+++=because
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
beautiful ^jj++++=beautiful
in ^in++++=in
evening ^nn++++=evening
light ^nn++++=light.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
imagined ^vbd+vprv++xvbn+=imagined
your ^pp$+pp2+++=your
mother ^nn++++=mother
watching ^vwbg+++xvbg+=watching
his ^pp$+pp3+++=his
face ^nn++++=face
and ^cc++++=and
learning ^vbg+vprv++xvbg+=learning
another ^dt++++=another
reason ^nn++++=reason
for ^in++++=for
your ^pp$+pp2+++=your
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
go ^vb++++=go
alone ^rb+cnj+++=alone,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
nodded ^vbd+++xvbnx+=nodded,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
hurt ^vbd+++xvbn+=hurt
entered ^vprf+++xvbn+=entered
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
airport ^nn++++=airport,
, ^zz++++=EXTRAWORD
announcements ^nns+nom+++=announcements
scattered ^vbd+++xvbn+=scattered
above ^rb++++=above
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Families ^nns++++=Families
pushed ^vwbn+++xvbn+=pushed
