**editor ^nn++++=**EDITOR'S
's ^$++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
take ^vb++++=take
a ^at++++=a
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
line ^nn++++=line.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
with ^in++++=with
the ^ati++++=the
sledges ^nns+++??+=sledges
at ^rb++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
forest ^nn++++=forest
and ^cc++++=and
listened ^vbd+++xvbn+=listened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beat ^nn+++xvbn+=beat
had ^vb+hv+aux++=had
hardly ^rb+down+splt++=hardly
begun ^vprf+++xvbnx+=begun
when ^wrb+who+++=when
two ^cd++++=two
shots ^nns++++=shots
sounded ^vbd+++xvbn+=sounded,
, ^zz++++=EXTRAWORD
one ^pn++++=one
after ^in++++=after
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
pause ^nn++++=pause
and ^cc++++=and
a ^at++++=a
third ^od++++=third
shot ^vbd+++xvbn+=shot.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
some ^dti++++=some
time ^nn++++=time
a ^at++++=a
man ^nn++++=man
came ^vbd+++xvbn+=came
running ^nvbg+++xvbg+=running.
. ^zz++++=EXTRAWORD
" ^zz++++="Damian
damian ^jj++++=EXTRAWORD
has ^vbz+hvz+aux++=has
killed ^vprf+++xvbnx+=killed
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
brought ^vbd+++xvbnx+=brought
the ^ati++++=the
bear ^nn++++=bear
out ^rp+pl+++=out
on ^in++++=on
a ^at++++=a
sledge ^nn++++=sledge
drawn ^vwbn+++xvbn+=drawn
by ^in++++=by
two ^cd++++=two
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
immense ^jj++++=immense.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fur ^nn++++=fur
was ^vbd+bedz+vrb++=was
black ^jj+pred+++=black,
, ^zz++++=EXTRAWORD
with ^in++++=with
brown ^jj+atrb+++=brown
tips ^nns++++=tips
on ^in++++=on
the ^ati++++=the
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
paws ^nns+++??+=paws
were ^vbd+bed+vrb++=were
broader ^jjr+pred+++=broader
than ^in++++=than
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
head ^nn++++=head.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
bullet ^nn++++=bullet
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
through ^in++++=through
the ^ati++++=the
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
Damian ^np++++=Damian's
's ^$++++=EXTRAWORD
final ^jj++++=final
shot ^xvbn+++xvbn+=shot
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
behind ^in+pl+++=behind
the ^ati++++=the
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
examined ^vbd+++xvbn+=examined
the ^ati++++=the
jaw ^nn++++=jaw.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
first ^od++++=first
close ^vb++++=close
shot ^nn+++xvbn+=shot
had ^vbd+hvd+aux++=had
shattered ^vprf+++xvbnx+=shattered
the ^ati++++=the
lower ^jjr+atrb+++=lower
bone ^nn++++=bone
and ^cc++++=and
driven ^jj+++xvbn+=driven
several ^ap++++=several
teeth ^nns++++=teeth
sideways ^jjb++++=sideways.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
through ^in++++=through
the ^ati++++=the
flesh ^nn++++=flesh
beneath ^in+pl+++=beneath
the ^ati++++=the
eye ^nn++++=eye
without ^in++++=without
reaching ^xvbg+++xvbg+=reaching
the ^ati++++=the
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
older ^jjr+atrb+++=older
wound ^nn+++xvbn+=wound
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
plain ^nn++++=plain
why ^wrb+who+++=why
the ^ati++++=the
animal ^nn++++=animal
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
unable ^jj++++=unable
to ^to+jcmp+++=to
bite ^vbi++++=bite
with ^in++++=with
full ^jj+atrb+++=full
force ^nn++++=force.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
the ^ati++++=the
jaw ^nn++++=jaw
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
broken ^vpsv++agls+xvbnx+=broken,
, ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bear ^nn++++=bear
would ^md+prd+++=would
have ^vb+hv+aux++=have
crushed ^vprf+++xvbnx+=crushed
my ^pp$+pp1+++=my
skull ^nn++++=skull.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
the ^ati++++=the
skin ^nn++++=skin
prepared ^vwbn+++xvbn+=prepared
and ^cc++++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
body ^nn++++=body
mounted ^vbd+++xvbn+=mounted.
. ^zz++++=EXTRAWORD
For ^in++++=For
many ^ap++++=many
years ^nns++++=years
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
in ^in++++=in
my ^pp$+pp1+++=my
room ^nn++++=room,
, ^zz++++=EXTRAWORD
upright ^jj++++=upright
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
forepaws ^vbz+++??+=forepaws
raised ^vbd+++xvbn+=raised
and ^cc++++=and
its ^pp$+it+++=its
black ^jj+atrb+++=black
mouth ^nn++++=mouth
open ^nn++++=open.
. ^zz++++=EXTRAWORD
Visitors ^nns++++=Visitors
often ^rb++++=often
admired ^vbd+++xvbn+=admired
its ^pp$+it+++=its
size ^nn++++=size
and ^cc++++=and
asked ^vprf+++xvbn+=asked
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
killed ^vprf+++xvbnx+=killed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
told ^vbd+vpub++xvbn+=told
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
Damian ^np+++??+=Damian
killed ^vbd+++xvbn+=killed
it ^pp3+it+++=it
a ^at++++=a
month ^nn++++=month
after ^cs+sub+++=after
it ^pp3+it+++=it
had ^vb+hv+aux++=had
nearly ^rb+down+splt++=nearly
killed ^vprf+++xvbnx+=killed
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
before ^cs+sub+++=before
killing ^vbg+nom++xvbg+=killing
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
saved ^vprf+++xvbnx+=saved
my ^pp$+pp1+++=my
life ^nn++++=life
with ^in++++=with
nothing ^pn++++=nothing
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands
but ^cc++++=but
a ^at++++=a
stick ^nn++++=stick.
. ^zz++++=EXTRAWORD
In ^in++++=In
time ^nn++++=time
the ^ati++++=the
scars ^nns++++=scars
faded ^vbd+++xvbn+=faded.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
remained ^vbd+++xvbn+=remained
near ^rb++++=near
my ^pp$+pp1+++=my
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
when ^wrb+who+whcl++=when
I ^pp1a+pp1+++=I
smiled ^vbd+++xvbnx+=smiled,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
strangers ^nns+nom+++=strangers
seldom ^rb++++=seldom
noticed ^vbd+vprv++xvbn+=noticed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
marks ^vbz++++=marks
passed ^vbd+++xvbn+=passed
away ^rp+pl+++=away
more ^rbr++++=more
quickly ^rb++++=quickly
than ^in++++=than
the ^ati++++=the
recollection ^nn+nom+++=recollection
of ^in++++=of
its ^pp$+it+++=its
weight ^nn++++=weight
upon ^in++++=upon
my ^pp$+pp1+++=my
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
its ^pp$+it+++=its
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Damian ^np++++=Damian's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
in ^in++++=in
the ^ati++++=the
snowy ^jj+atrb+++=snowy
forest ^nn++++=forest:
: ^zz++++=EXTRAWORD
" ^zz++++="Leave
leave ^nn++++=EXTRAWORD
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
what ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
let ^vb++++=Let
him ^pp3o+pp3+++=him
alone ^rb++++=alone!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
