# ^zz++++=#
Passing ^vwbg+++xvbg+=Passing
are ^vb+ber+aux++=are
ashamed ^jj+pred+++=ashamed
of ^in++++=of
the ^ati++++=the
price ^nn++++=price
they ^pp3a+pp3+++=they
paid ^vbd+++xvbnx+=paid
for ^in++++=for
victory ^nn++++=victory
sometimes ^rb++++=sometimes
take ^vb++++=take
revenge ^nn++++=revenge
upon ^in++++=upon
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+aux++=does
not ^xnot++not++=not
reduce ^vb++++=reduce
the ^ati++++=the
price ^nn++++=price.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
climbed ^vbd+++xvbn+=climbed
from ^in++++=from
the ^ati++++=the
buckboard ^nn+++??+=buckboard
without ^in++++=without
help ^nn++++=help.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
to ^in++++=to
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
knelt ^j+++xvbn+=knelt
and ^cc+phrs+++=and
remained ^jj+++xvbn+=remained
there ^rn+pl+++=there
so ^ql++++=so
long ^rb++++=long
that ^dt+dem+++=that
the ^ati++++=the
rescue ^nn++++=rescue
party ^nn++++=party
moved ^vbd+++xvbn+=moved
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
jack ^np++++=jack
of ^in++++=of
diamonds ^nns++++=diamonds
in ^in++++=in
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
coat ^nn++++=coat
lining ^vwbg+++xvbg+=lining.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
how ^wrb+who+++=how
Alfred ^np++++=Alfred
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
lay ^vbd+++xvbn+=lay
the ^ati++++=the
clay ^nn++++=clay
slab ^nn++++=slab.
. ^zz++++=EXTRAWORD
The ^ati++++=The
letters ^nns+nom+++=letters
were ^vbd+bed+vrb++=were
rough ^jj+pred+++=rough,
, ^zz++++=EXTRAWORD
some ^dti++++=some
scarcely ^rb+down+++=scarcely
finished ^jj+++xvbn+=finished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dark ^nn++++=dark
where ^wrb+who+++=where
dust ^nn++++=dust
had ^vbd+hvd+aux++=had
settled ^vprf+++xvbnx+=settled
into ^in++++=into
the ^ati++++=the
cuts ^nns++++=cuts.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
washed ^vwbn+++xvbn+=washed
it ^pp3+it+++=it
with ^in++++=with
water ^nn++++=water
from ^in++++=from
a ^at++++=a
canteen ^nn++++=canteen.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
read ^vbd+vprv++xvbn+=read:
: ^zz++++=EXTRAWORD
**there ^nn+++??+=**THERE
Is ^vbz+bez+vrb++=IS
A ^at++++=A
Love ^nn++++=LOVE
Greater ^jjr++++=GREATER
Than ^in++++=THAN
The ^ati++++=THE
Love ^nn++++=LOVE
Of ^in++++=OF
A ^at++++=A
Woman ^nn++++=WOMAN.
. ^zz++++=EXTRAWORD
A ^at++++=A
Man ^nn++++=MAN
May ^md+pos+++=MAY
Give ^vb++++=GIVE
His ^pp$+pp3+++=HIS
Life ^nn++++=LIFE
For ^in++++=FOR
His ^pp$+pp3+++=HIS
Friend.** ^np+++??+=FRIEND.**
Beneath ^in+pl+++=Beneath
that ^dt+dem+++=that
Tom ^np++++=Tom
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
another ^dt++++=another
line ^nn++++=line:
: ^zz++++=EXTRAWORD
**passing ^jj+++xvbg+=**PASSING
The ^ati++++=THE
Love ^nn++++=LOVE
** ^nn+++??+=**
The ^ati++++=The
knife ^nn++++=knife
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
last ^rb++++=last
attack ^vb++++=attack
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
carried ^vbd+++xvbn+=carried
the ^ati++++=the
slab ^nn++++=slab
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
Bar ^nn++++=Bar-M.
- ^zz++++=EXTRAWORD
m ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
spoke ^vbd+++xvbn+=spoke
much ^rb++++=much
of ^in++++=of
the ^ati++++=the
ravine ^nn++++=ravine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
anyone ^pn++++=anyone
called ^vbd+++xvbn+=called
Tom ^np++++=Tom
a ^at++++=a
hero ^nn++++=hero
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
disagreeable ^jj++++=disagreeable.
. ^zz++++=EXTRAWORD
" ^zz++++="Tom
tom ^np++++=EXTRAWORD
cheated ^vwbn+++xvbn+=cheated,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Years ^nns++++=Years
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Alfred ^np++++=Alfred
had ^vb+hv+vrb++=had
a ^at++++=a
ranch ^nn++++=ranch
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own,
, ^zz++++=EXTRAWORD
the ^ati++++=the
clay ^nn++++=clay
slab ^nn++++=slab
stood ^vbd+++xvbn+=stood
on ^in++++=on
the ^ati++++=the
mantel ^nn+++??+=mantel
beneath ^in+pl+++=beneath
a ^at++++=a
glass ^nn++++=glass
case ^nn++++=case.
. ^zz++++=EXTRAWORD
Visitors ^nns++++=Visitors
mistook ^vbd+++xvbn+=mistook
it ^pp3+it+++=it
for ^in++++=for
an ^at++++=an
Indian ^jj+atrb+++=Indian
relic ^nn++++=relic,
, ^zz++++=EXTRAWORD
a ^at++++=a
mineral ^nn++++=mineral
specimen ^nn++++=specimen
or ^cc++++=or
an ^at++++=an
unusually ^rb++++=unusually
ugly ^jj+atrb+++=ugly
decoration ^nn+nom+++=decoration.
. ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
corrected ^vwbn+++xvbn+=corrected
them ^pp3o+pp3+++=them
only ^rb+down+++=only
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
persisted ^vbd+++xvbnx+=persisted.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
the ^ati++++=the
jack ^np++++=jack
of ^in++++=of
diamonds ^nns++++=diamonds,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
it ^pp3+it+++=it
in ^in++++=in
his ^pp$+pp3+++=his
wallet ^nn++++=wallet
until ^in++++=until
the ^ati++++=the
red ^jj++++=red
faded ^jj+++xvbn+=faded
from ^in++++=from
it ^pp3+it+++=it
and ^cc++++=and
the ^ati++++=the
pasteboard ^nn+++??+=pasteboard
wore ^vbd+++xvbn+=wore
thin ^jj++++=thin
as ^in++++=as
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
people ^nns++++=people
who ^whp+rel+subj++=who
maintain ^vb+vpub+++=maintain
that ^tht+vcmp+++=that
a ^at++++=a
common ^jj+atrb+++=common
cow ^nn++++=cow-puncher,
- ^zz++++=EXTRAWORD
puncher ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
rough ^jj++++=rough
in ^in++++=in
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
awkward ^jj++++=awkward
on ^in++++=on
foot ^nn++++=foot
and ^cc++++=and
unacquainted ^jj++++=unacquainted
with ^in++++=with
the ^ati++++=the
finer ^nn++++=finer
uses ^vbz++++=uses
of ^in++++=of
table ^nn++++=table
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
incapable ^jj+pred+++=incapable
of ^in++++=of
the ^ati++++=the
higher ^jjr+atrb+++=higher
feelings ^nns+nom+++=feelings.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
people ^nns++++=people
may ^md+pos+++=may
be ^vb+be+vrb++=be
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
People ^nns++++=People
frequently ^rb++++=frequently
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
at ^in++++=at
a ^at++++=a
safe ^jj+atrb+++=safe
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
only ^rb+down+splt++=only
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
Tom ^np++++=Tom
Ransome ^np+++??+=Ransome.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
doubted ^vbd+vprv++xvbn+=doubted
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
any ^dti++++=any
love ^nn++++=love
passing ^vwbg+++xvbg+=passing
the ^ati++++=the
love ^nn++++=love
of ^in++++=of
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
remained ^vbd+++xvbn+=remained
behind ^in+pl+++=behind
to ^in++++=to
find ^vb+vprv+++=find
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
