*[sam ^nn+++??+=*[Sam
managed ^vbd+++xvbnx+=managed
Enoch ^np++++=Enoch
and ^cc++++=and
the ^ati++++=the
boy ^nn++++=boy
without ^in++++=without
screechin ^nn+++??+=screechin'.
'. ^nn+++??+=EXTRAWORD
Some ^dti++++=Some
women ^nns++++=women
drive ^nn++++=drive
hired ^vbd+++xvbn+=hired
help ^vb++++=help
like ^in++++=like
oxen ^nns++++=oxen
with ^in++++=with
a ^at++++=a
goad ^nn++++=goad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
wonder ^vb++++=wonder
why ^wrb+who+++=why
they ^pp3a+pp3+++=they
kick ^vb++++=kick
over ^in++++=over
the ^ati++++=the
traces ^nns++++=traces.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Enoch,
enoch ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
the ^ati++++=the
south ^np+pl+++=south
field ^nn++++=field
mowed ^vbd+++xvbn+=mowed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
a ^at++++=a
notion ^nn++++=notion
there ^ex+pex+++=there'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
a ^at++++=a
cherry ^nn++++=cherry
pie ^nn++++=pie
wantin ^nn+++??+=wantin'
' ^zz++++=EXTRAWORD
somebody ^pn++++=somebody
to ^to++++=to
help ^vbi++++=help
it ^pp3+it+++=it
disappear ^vb+seem+++=disappear.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Enoch ^np++++=Enoch
would ^md+prd+++=would
mow ^vb+++??+=mow
as ^cs+sub+++=as
if ^cs+cnd+++=if
angels ^nns++++=angels
was ^vbd+bedz+vrb++=was
countin ^nn+++??+=countin'
' ^zz++++=EXTRAWORD
every ^at++++=every
swath ^nn++++=swath.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
bound ^jj+atrb++xvbn+=bound
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
Lem ^np+++??+=Lem,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
considered ^vpsv++agls+xvbnx+=considered
lazy ^jj++++=lazy,
, ^zz++++=EXTRAWORD
wicked ^jj++++=wicked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
probably ^rb++++=probably
destined ^vbd+++xvbn+=destined
for ^in++++=for
the ^ati++++=the
gallows ^np++++=gallows.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
discovered ^vbd+vprv+tht0+xvbn+=discovered
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
farther ^rbr++++=farther
than ^in++++=than
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
his ^pp$+pp3+++=his
nose ^nn++++=nose.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
got ^vbd+++xvbnx+=got
him ^pp3o+pp3+++=him
spectacles ^nns++++=spectacles
from ^in++++=from
a ^at++++=a
travelin ^nn+++??+=travelin'
' ^zz++++=EXTRAWORD
peddler ^jjr++++=peddler,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
distinguish ^vb++++=distinguish
weeds ^nns++++=weeds
from ^in++++=from
onions ^nns++++=onions,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
improved ^vbd+++xvbn+=improved
his ^pp$+pp3+++=his
moral ^jj+atrb+++=moral
character ^nn+nom+++=character
amazin ^nn+++??+=amazin'.
'. ^nn+++??+=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
kept ^vbd+++xvbnx+=kept
the ^ati++++=the
accounts ^nns++++=accounts
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
brown ^jj+atrb+++=brown
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
tin ^nn++++=tin-peddler
- ^zz++++=EXTRAWORD
peddler ^jjr++++=EXTRAWORD
nor ^cc++neg++=nor
flour ^nn++++=flour
agent ^nn++++=agent
could ^md+pos+++=could
cheat ^vb++++=cheat
the ^ati++++=the
parson ^nn++++=parson
by ^in++++=by
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
brass ^nn++++=brass
button ^nn++++=button.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Silas ^np+++??+=Silas
Doolittle ^np+++??+=Doolittle
once ^cs+tm+++=once
brought ^vprf+++xvbn+=brought
a ^at++++=a
load ^nn++++=load
of ^in++++=of
damp ^nn++++=damp
wood ^nn++++=wood
and ^cc++++=and
swore ^vbd+vpub+tht0+xvbn+=swore
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
seasoned ^jj+atrb+++=seasoned
maple ^nn+++??+=maple.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^vb+++??+=EXTRAWORD
lifted ^vbd+++xvbn+=lifted
one ^cd1++++=one
stick ^nn++++=stick.
. ^zz++++=EXTRAWORD
" ^zz++++="'Silas,'
' ^zz++++=EXTRAWORD
silas ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='this
this ^dt+dem+++=EXTRAWORD
tree ^nn++++=tree
had ^vb+hv+vrb++=had
leaves ^nns++++=leaves
on ^in++++=on
it ^pp3+it+++=it
Tuesday ^nr++++=Tuesday.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Now,
' ^zz++++=EXTRAWORD
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
' ^zz++++='
" ^zz++++="'You
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
take ^vb++++=take
it ^pp3+it+++=it
back ^jjb++++=back
and ^cc+phrs+++=and
dry ^jj++++=dry
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
you ^pp2+pp2+++=you
can ^md+pos+++=can
leave ^vb++++=leave
it ^pp3+it+++=it
at ^in++++=at
green ^jj++++=green-wood
- ^zz++++=EXTRAWORD
wood ^nn++++=EXTRAWORD
price ^nn++++=price.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^vbz+++??+=EXTRAWORD
looked ^vbd+++xvbn+=looked
at ^in++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
there ^rn+pl+++=there
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
gap ^nn++++=gap
in ^in++++=in
the ^ati++++=the
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
green ^jj++++=green-wood
- ^zz++++=EXTRAWORD
wood ^nn++++=EXTRAWORD
price ^nn++++=price.
. ^zz++++=EXTRAWORD
Arter ^np+++??+=Arter
that ^tht+rel+obj++=that
the ^ati++++=the
men ^nns++++=men
round ^in++++=round
town ^nn++++=town
said ^vbd+vpub++xvbn+=said
Parson ^nn++++=Parson
Carryl ^np++++=Carryl's
's ^$++++=EXTRAWORD
housekeeper ^nn+nom+++=housekeeper
had ^vb+hv+vrb++=had
eyes ^nns++++=eyes
in ^in++++=in
the ^ati++++=the
ends ^nns++++=ends
of ^in++++=of
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
all ^rb++++=all
the ^ati++++=the
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
singin ^nn+++??+=singin'.
'. ^nn+++??+=EXTRAWORD
She ^pp3a+pp3+++=She
sung ^vbd+++xvbnx+=sung
over ^in++++=over
the ^ati++++=the
churn ^jj+++xvbn+=churn,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
ironing ^nn++++=ironing,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
up ^rp++++=up
garret ^nn+++??+=garret
among ^in++++=among
the ^ati++++=the
herbs ^nns++++=herbs.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
hymns ^nns++++=hymns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
old ^jj+atrb+++=old
ballads ^nns++++=ballads,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
no ^at++++=no
words ^nns++++=words
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
tune ^nn++++=tune
floatin ^nn+++??+=floatin'
' ^zz++++=EXTRAWORD
round ^in++++=round
like ^in++++=like
a ^at++++=a
bobolink ^nn+++??+=bobolink
over ^in++++=over
a ^at++++=a
meadow ^nn++++=meadow.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
study ^nn++++=study
window ^nn++++=window
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open
into ^in++++=into
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
voice ^nn++++=voice
would ^md+prd+++=would
come ^vb++++=come
in ^in++++=in
with ^in++++=with
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
sweet ^jj+atrb+++=sweet
peas ^nns++++=peas
and ^cc++++=and
new ^jj+atrb+++=new
hay ^nn++++=hay.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
sermons ^nns++++=sermons
changed ^vbd+++xvbn+=changed.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'd
'd ^md+prd+aux++0=EXTRAWORD
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
sound ^jj++++=sound
sound ^jj++++=sound
as ^ql++++=as
a ^at++++=a
dry ^jj+atrb+++=dry
codfish ^nn++++=codfish
and ^cc++++=and
about ^in++++=about
as ^ql++++=as
nourishin ^nn+++??+=nourishin'
' ^zz++++=EXTRAWORD
to ^in++++=to
common ^jj+atrb+++=common
appetites ^nns++++=appetites
but ^cc++++=but
now ^rn+tm+++=now
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
to ^to++++=to
bud ^vbi++++=bud
and ^cc+phrs+++=and
blossom ^vb++++=blossom.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
preached ^vbd+++xvbnx+=preached
of ^in++++=of
the ^ati++++=the
lilies ^nns++++=lilies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
folks ^nns++++=folks
could ^md+pos+++=could
almost ^rb+hdg+splt++=almost
see ^vb+vprv+++=see
Huldy ^np++++=Huldy's
's ^$++++=EXTRAWORD
white ^jj+atrb+++=white
lilies ^nns++++=lilies
by ^in++++=by
the ^ati++++=the
porch ^nn++++=porch.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
preached ^vbd+++xvbnx+=preached
about ^in++++=about
the ^ati++++=the
bread ^nn++++=bread
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
warmth ^nn++++=warmth
in ^in++++=in
it ^pp3+it+++=it
like ^in++++=like
fresh ^jj+atrb+++=fresh
loaves ^nns++++=loaves
on ^in++++=on
the ^ati++++=the
kitchen ^nn++++=kitchen
shelf ^nn++++=shelf.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
the ^ati++++=the
peace ^nn++++=peace
that ^tht+rel+subj++=that
passeth ^vbz++++=passeth
understanding ^nvbg+++xvbg+=understanding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
voice ^nn++++=voice
had ^vb+hv+vrb++=had
a ^at++++=a
softness ^nns+nom+++=softness
it ^pp3+it+++=it
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
'd ^md+prd+vrb++=had
in ^in++++=in
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np++++=Carryl's
's ^$++++=EXTRAWORD
day ^nn++++=day.
. ^zz++++=EXTRAWORD
" ^zz++++="Folks
folks ^nns++++=EXTRAWORD
noticed ^vbd+vprv++xvbn+=noticed.
. ^zz++++=EXTRAWORD
" ^zz++++="'The
' ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
parson ^nn++++=parson
is ^vbz+bez+vrb++=is
growin ^nn+++??+=growin'
' ^zz++++=EXTRAWORD
wonderfully ^rb++++=wonderfully
spiritual ^jj++++=spiritual,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Deacon ^np+++??+=Deacon
Blodgett ^np+++??+=Blodgett.
. ^zz++++=EXTRAWORD
" ^zz++++="'There
' ^zz++++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
influences ^nns+nom+++=influences,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
long ^rb++++=long
draw ^vb++++=draw
on ^in+ppvb+++=on
' ^zz++++='influences.'
influences ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'What
' ^zz++++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
influences ^nns+nom+++=influences?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Miss ^npt++++=Miss
Asphyxia ^np++++=Asphyxia.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+vrb++=be
sorry ^jj++++=sorry
to ^to+jcmp+++=to
say ^vbi+vpub+++=say,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
common ^jj+atrb+++=common
way ^nn++++=way
of ^in++++=of
sayin ^nn+++??+=sayin'
' ^zz++++=EXTRAWORD
anything ^pn++++=anything
she ^pp3a+pp3+++=she
particularly ^rb++++=particularly
wanted ^vbd+++xvbn+=wanted
heard ^vbd+vprv++xvbn+=heard.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
great ^jj+atrb+++=great
association ^nn+nom+++=association
meetin ^nn+++??+=meetin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
church ^nn++++=church
in ^in++++=in
September ^nr+nom+++=September,
, ^zz++++=EXTRAWORD
with ^in++++=with
ministers ^nns+nom+++=ministers
from ^in++++=from
nine ^cd++++=nine
towns ^nns++++=towns,
, ^zz++++=EXTRAWORD
delegates ^nns+nom+++=delegates,
, ^zz++++=EXTRAWORD
deacons ^nns++++=deacons,
, ^zz++++=EXTRAWORD
singers ^nns+nom+++=singers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enough ^qlp++++=enough
relations ^nns+nom+++=relations
to ^to++++=to
consume ^vbi++++=consume
a ^at++++=a
winter ^nn++++=winter's
's ^$++++=EXTRAWORD
provision ^nn++++=provision
in ^in++++=in
one ^cd1++++=one
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parsonage ^nn+nom+++=parsonage
was ^vbd+bedz+aux++=was
to ^to++++=to
entertain ^vbi++++=entertain
twelve ^cd++++=twelve
overnight ^jjb++++=overnight
and ^cc++++=and
feed ^nn++++=feed
near ^in+pl+++=near
forty ^cd++++=forty
at ^in++++=at
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
chance ^nn++++=chance
the ^ati++++=the
parish ^nn++++=parish
women ^nns++++=women
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
waitin ^nn+++??+=waitin'
' ^zz++++=EXTRAWORD
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
appointed ^vbd+++xvbnx+=appointed
themselves ^ppls+pp3+++=themselves
a ^at++++=a
committee ^nn+nom+++=committee
to ^to++++=to
inspect ^vbi++++=inspect
preparations ^nns+nom+++=preparations.
. ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
distrust ^nn++++=distrust,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
assistance ^nn+nom+++=assistance.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
come ^vprf+++xvbn+=come
on ^in++++=on
Thursday ^nr++++=Thursday
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Blodgett ^np+++??+=Blodgett,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Asphyxia ^np++++=Asphyxia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Zeruiah ^np+++??+=Zeruiah
Pennel ^np+++??+=Pennel,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
a ^at++++=a
nose ^nn++++=nose
for ^in++++=for
dust ^nn++++=dust
and ^cc++++=and
could ^md+pos+++=could
find ^vb+vprv+++=find
a ^at++++=a
cobweb ^nn+++??+=cobweb
in ^in++++=in
a ^at++++=a
thunderstorm ^nn++++=thunderstorm.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
received ^vbd+++xvbn+=received
them ^pp3o+pp3+++0='em
pleasant ^jj++++=pleasant.
. ^zz++++=EXTRAWORD
" ^zz++++="'We
' ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbn+=thought,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+aux++=be
overwhelmed ^vpsv++agls+xvbnx+=overwhelmed.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Thank
' ^zz++++=EXTRAWORD
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
' ^zz++++='I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
along ^in+strn+++=along.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'So
' ^zz++++=EXTRAWORD
so ^ql+emph+++=EXTRAWORD
young ^jj++++=young
a ^at++++=a
person ^nn++++=person
cannot ^md+pos+not++=cannot
understand ^vb+vprv+++=understand
the ^ati++++=the
scale ^nn++++=scale
of ^in++++=of
such ^abl++++=such
hospitality ^nn+nom+++=hospitality,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Blodgett ^np+++??+=Blodgett.
. ^zz++++=EXTRAWORD
" ^zz++++="'No,
' ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
' ^zz++++='Won't
will ^md+prd+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
look ^vb++++=look
round ^rb++++=round
and ^cc++++=and
tell ^vb++++=tell
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
forgot ^vprf+++xvbnx+=forgot?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
took ^vbd+++xvbn+=took
a ^rb++++=a
little ^rb"++++=little
wind ^nn++++=wind
out ^rp+pl+++=out
of ^in++++=of
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
begun ^vbd+++xvbnx+=begun.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
looked ^vbd+++xvbnx+=looked
in ^in++++=in
the ^ati++++=the
parlor ^nn++++=parlor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
brass ^nn++++=brass
andirons ^nns+++??+=andirons
shone ^vbd+++xvbn+=shone
fit ^jj++++=fit
to ^to+jcmp+++=to
dazzle ^vbi++++=dazzle
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
The ^ati++++=The
curtains ^nns++++=curtains
was ^vbd+bedz+aux++=was
washed ^vpsv++agls+xvbnx+=washed,
, ^zz++++=EXTRAWORD
stretched ^xvbn+++xvbn+=stretched,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
white ^jj++++=white
as ^ql++++=as
snow ^np++++=snow.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
dust ^vb++++=dust
enough ^qlp++++=enough
on ^rp++++=on
the ^ati++++=the
mantel ^nn+++??+=mantel
for ^in++++=for
a ^at++++=a
flea ^nn++++=flea
to ^to++++=to
write ^vbi++++=write
his ^pp$+pp3+++=his
name ^nn++++=name
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
spare ^jj+atrb+++=spare
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
Sheets ^nns++++=Sheets
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
lavender ^nn+nom+++=lavender,
, ^zz++++=EXTRAWORD
quilts ^nns++++=quilts
lay ^vbd+++xvbn+=lay
smooth ^jj++++=smooth,
, ^zz++++=EXTRAWORD
wash ^vb++++=wash-pitchers
- ^zz++++=EXTRAWORD
pitchers ^nns+nom+++=EXTRAWORD
were ^vbd+bed+vrb++=were
full ^jj+pred+++=full,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
each ^dt++++=each
bureau ^nn++++=bureau
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
nosegay ^nn+++??+=nosegay.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
tried ^vbd+++xvbnx+=tried
the ^ati++++=the
pantry ^nn++++=pantry.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
had ^vb+hv+vrb++=had
pies ^nns++++=pies
in ^in++++=in
rows ^nns++++=rows
apple ^nn++++=apple,
, ^zz++++=EXTRAWORD
mince ^nn++++=mince,
, ^zz++++=EXTRAWORD
pumpkin ^nn+++??+=pumpkin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quince ^nn+++??+=quince;
; ^zz++++=EXTRAWORD
hams ^nns++++=hams
boiled ^vbd+++xvbn+=boiled;
; ^zz++++=EXTRAWORD
chickens ^nns++++=chickens
dressed ^vbd+++xvbn+=dressed;
; ^zz++++=EXTRAWORD
dough ^nn+++??+=dough
risin ^nn+++??+=risin';
'; ^nn+++??+=EXTRAWORD
cakes ^nns++++=cakes
covered ^vbd+++xvbn+=covered;
; ^zz++++=EXTRAWORD
pickles ^nns+++??+=pickles,
, ^zz++++=EXTRAWORD
preserves ^vbz++++=preserves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jellies ^nns++++=jellies
ranged ^vwbn+++xvbn+=ranged
by ^in++++=by
color ^nn++++=color
like ^in++++=like
church ^npl++++=church
windows ^nns++++=windows
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
" ^zz++++="Mis'
mis ^npt++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Pennel ^np+++??+=Pennel
run ^vbd+++xvbn+=run
one ^cd1++++=one
finger ^nn++++=finger
along ^in++++=along
the ^ati++++=the
top ^jjb+atrb+++=top
shelf ^nn++++=shelf.
. ^zz++++=EXTRAWORD
" ^zz++++="Nothin'.
nothin ^nn+++??+=EXTRAWORD
'. ^nn+++??+=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
looked ^vbd+++xvbnx+=looked
behind ^in+pl+++=behind
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
" ^zz++++="Nothin'.
nothin ^nn+++??+=EXTRAWORD
'. ^nn+++??+=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
wood ^nn++++=wood-box,
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
expected ^vbd+vprv++xvbnx+=expected
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
there ^rn+pl+++=there
I ^pp1a+pp1+++=I
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sticks ^nns++++=sticks
was ^vbd+bedz+aux++=was
